Cell Type,Comparison,Credible Effect,fdr,log2-fold change,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample
Epithelial,ctrlvcd40,False,0.05,0.0,0.0,0.0,0.0,0.0,0.0,11436.082129134718
Fibroblasts,ctrlvcd40,False,0.05,0.0,0.0,-1.2,0.499,0.328,0.4434,996.7786557645296
Granulocytes,ctrlvcd40,False,0.05,0.0,0.0,-2.546,0.092,0.808,0.8796,1401.8228929566828
Macrophages,ctrlvcd40,False,0.05,0.0,0.0,-0.988,0.612,0.272,0.3959,1114.909745689107
T-Cells,ctrlvcd40,False,0.05,0.0,0.0,-1.53,0.66,0.456,0.5035,433.34264154862467
CD103+ cDC,ctrlvcd40,False,0.05,0.0,0.0,-1.211,1.24,0.432,0.4663,77.13280951926497
NK Cells,ctrlvcd40,False,0.05,0.0,0.0,-1.386,0.918,0.423,0.4651,161.18112538707163
Epithelial,ctrlvcd40,False,0.05,0.0,0.0,0.0,0.0,0.0,0.0,11436.082129134718
Fibroblasts,ctrlvcd40,False,0.05,0.0,0.0,-1.2,0.499,0.328,0.4434,996.7786557645296
Granulocytes,ctrlvcd40,False,0.05,0.0,0.0,-2.546,0.092,0.808,0.8796,1401.8228929566828
Macrophages,ctrlvcd40,False,0.05,0.0,0.0,-0.988,0.612,0.272,0.3959,1114.909745689107
T-Cells,ctrlvcd40,False,0.05,0.0,0.0,-1.53,0.66,0.456,0.5035,433.34264154862467
CD103+ cDC,ctrlvcd40,False,0.05,0.0,0.0,-1.211,1.24,0.432,0.4663,77.13280951926497
NK Cells,ctrlvcd40,False,0.05,0.0,0.0,-1.386,0.918,0.423,0.4651,161.18112538707163
Epithelial,ctrlvcd40,False,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11436.082129134718
Fibroblasts,ctrlvcd40,False,0.1,0.0,0.0,-1.2,0.499,0.328,0.4434,996.7786557645296
Granulocytes,ctrlvcd40,False,0.1,0.0,0.0,-2.546,0.092,0.808,0.8796,1401.8228929566828
Macrophages,ctrlvcd40,False,0.1,0.0,0.0,-0.988,0.612,0.272,0.3959,1114.909745689107
T-Cells,ctrlvcd40,False,0.1,0.0,0.0,-1.53,0.66,0.456,0.5035,433.34264154862467
CD103+ cDC,ctrlvcd40,False,0.1,0.0,0.0,-1.211,1.24,0.432,0.4663,77.13280951926497
NK Cells,ctrlvcd40,False,0.1,0.0,0.0,-1.386,0.918,0.423,0.4651,161.18112538707163
Epithelial,ctrlvcd40,False,0.15,0.09595175645344012,0.0,0.0,0.0,0.0,0.0,12222.544368370543
Fibroblasts,ctrlvcd40,False,0.15,0.09595175645344012,0.0,-1.2,0.499,0.328,0.4434,1065.3273741790206
Granulocytes,ctrlvcd40,True,0.15,-1.7253403706293493,-1.2624235028634612,-2.546,0.092,0.808,0.8796,423.94932078585924
Macrophages,ctrlvcd40,False,0.15,0.09595175645344012,0.0,-0.988,0.612,0.272,0.3959,1191.582368816451
T-Cells,ctrlvcd40,False,0.15,0.09595175645344012,0.0,-1.53,0.66,0.456,0.5035,463.14372380567255
CD103+ cDC,ctrlvcd40,False,0.15,0.09595175645344012,0.0,-1.211,1.24,0.432,0.4663,82.43725219535663
NK Cells,ctrlvcd40,False,0.15,0.09595175645343983,0.0,-1.386,0.918,0.423,0.4651,172.26559184709498
Epithelial,ctrlvcd40,False,0.2,0.09595175645344012,0.0,0.0,0.0,0.0,0.0,12222.544368370543
Fibroblasts,ctrlvcd40,False,0.2,0.09595175645344012,0.0,-1.2,0.499,0.328,0.4434,1065.3273741790206
Granulocytes,ctrlvcd40,True,0.2,-1.7253403706293493,-1.2624235028634612,-2.546,0.092,0.808,0.8796,423.94932078585924
Macrophages,ctrlvcd40,False,0.2,0.09595175645344012,0.0,-0.988,0.612,0.272,0.3959,1191.582368816451
T-Cells,ctrlvcd40,False,0.2,0.09595175645344012,0.0,-1.53,0.66,0.456,0.5035,463.14372380567255
CD103+ cDC,ctrlvcd40,False,0.2,0.09595175645344012,0.0,-1.211,1.24,0.432,0.4663,82.43725219535663
NK Cells,ctrlvcd40,False,0.2,0.09595175645343983,0.0,-1.386,0.918,0.423,0.4651,172.26559184709498
Epithelial,ctrlvtak,False,0.05,0.0,0.0,0.0,0.0,0.0,0.0,11039.953059572246
Fibroblasts,ctrlvtak,False,0.05,0.0,0.0,-0.342,0.428,0.123,0.3712,1121.3359522630699
Granulocytes,ctrlvtak,False,0.05,0.0,0.0,-0.624,0.116,0.191,0.5293,1713.4704023824702
Macrophages,ctrlvtak,False,0.05,0.0,0.0,-0.271,0.512,0.145,0.4017,1220.8175887313052
T-Cells,ctrlvtak,False,0.05,0.0,0.0,-0.033,1.2,0.391,0.845,607.4537666092501
CD103+ cDC,ctrlvtak,False,0.05,0.0,0.0,-0.761,1.12,0.342,0.4965,34.304483776372926
NK Cells,ctrlvtak,False,0.05,0.0,0.0,-0.803,0.739,0.276,0.4731,100.91474666528244
Epithelial,ctrlvtak,False,0.05,0.0,0.0,0.0,0.0,0.0,0.0,11039.953059572246
Fibroblasts,ctrlvtak,False,0.05,0.0,0.0,-0.342,0.428,0.123,0.3712,1121.3359522630699
Granulocytes,ctrlvtak,False,0.05,0.0,0.0,-0.624,0.116,0.191,0.5293,1713.4704023824702
Macrophages,ctrlvtak,False,0.05,0.0,0.0,-0.271,0.512,0.145,0.4017,1220.8175887313052
T-Cells,ctrlvtak,False,0.05,0.0,0.0,-0.033,1.2,0.391,0.845,607.4537666092501
CD103+ cDC,ctrlvtak,False,0.05,0.0,0.0,-0.761,1.12,0.342,0.4965,34.304483776372926
NK Cells,ctrlvtak,False,0.05,0.0,0.0,-0.803,0.739,0.276,0.4731,100.91474666528244
Epithelial,ctrlvtak,False,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11039.953059572246
Fibroblasts,ctrlvtak,False,0.1,0.0,0.0,-0.342,0.428,0.123,0.3712,1121.3359522630699
Granulocytes,ctrlvtak,False,0.1,0.0,0.0,-0.624,0.116,0.191,0.5293,1713.4704023824702
Macrophages,ctrlvtak,False,0.1,0.0,0.0,-0.271,0.512,0.145,0.4017,1220.8175887313052
T-Cells,ctrlvtak,False,0.1,0.0,0.0,-0.033,1.2,0.391,0.845,607.4537666092501
CD103+ cDC,ctrlvtak,False,0.1,0.0,0.0,-0.761,1.12,0.342,0.4965,34.304483776372926
NK Cells,ctrlvtak,False,0.1,0.0,0.0,-0.803,0.739,0.276,0.4731,100.91474666528244
Epithelial,ctrlvtak,False,0.15,0.0,0.0,0.0,0.0,0.0,0.0,11039.953059572246
Fibroblasts,ctrlvtak,False,0.15,0.0,0.0,-0.342,0.428,0.123,0.3712,1121.3359522630699
Granulocytes,ctrlvtak,False,0.15,0.0,0.0,-0.624,0.116,0.191,0.5293,1713.4704023824702
Macrophages,ctrlvtak,False,0.15,0.0,0.0,-0.271,0.512,0.145,0.4017,1220.8175887313052
T-Cells,ctrlvtak,False,0.15,0.0,0.0,-0.033,1.2,0.391,0.845,607.4537666092501
CD103+ cDC,ctrlvtak,False,0.15,0.0,0.0,-0.761,1.12,0.342,0.4965,34.304483776372926
NK Cells,ctrlvtak,False,0.15,0.0,0.0,-0.803,0.739,0.276,0.4731,100.91474666528244
Epithelial,ctrlvtak,False,0.2,-0.044933391576763286,0.0,0.0,0.0,0.0,0.0,10701.40814670858
Fibroblasts,ctrlvtak,False,0.2,-0.04493339157676312,0.0,-0.342,0.428,0.123,0.3712,1086.9497025932271
Granulocytes,ctrlvtak,False,0.2,-0.044933391576763446,0.0,-0.624,0.116,0.191,0.5293,1660.9260949077134
Macrophages,ctrlvtak,False,0.2,-0.044933391576763286,0.0,-0.271,0.512,0.145,0.4017,1183.380691855995
