Cell Type,Comparison,Credible Effect,fdr,log2-fold change,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample
Epithelial,cd40vcombo,False,0.05,0.0,0.0,-1.338,0.254,0.409,0.529,13985.372894572512
Fibroblasts,cd40vcombo,False,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1027.3801211761056
Granulocytes,cd40vcombo,False,0.05,0.0,0.0,-0.07,2.687,0.864,0.8512,524.1444263637608
Macrophages,cd40vcombo,False,0.05,0.0,0.0,-0.38,1.734,0.559,0.6051,1399.3558032572191
T-Cells,cd40vcombo,False,0.05,0.0,0.0,-0.079,2.714,0.878,0.8396,474.26548942892447
CD103+ cDC,cd40vcombo,False,0.05,0.0,0.0,-1.41,1.381,0.461,0.4352,89.63691825155105
NK Cells,cd40vcombo,False,0.05,0.0,0.0,-1.057,1.681,0.493,0.469,191.09434694992797
Epithelial,cd40vcombo,False,0.1,0.0,0.0,-1.338,0.254,0.409,0.529,13985.372894572512
Fibroblasts,cd40vcombo,False,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1027.3801211761056
Granulocytes,cd40vcombo,False,0.1,0.0,0.0,-0.07,2.687,0.864,0.8512,524.1444263637608
Macrophages,cd40vcombo,False,0.1,0.0,0.0,-0.38,1.734,0.559,0.6051,1399.3558032572191
T-Cells,cd40vcombo,False,0.1,0.0,0.0,-0.079,2.714,0.878,0.8396,474.26548942892447
CD103+ cDC,cd40vcombo,False,0.1,0.0,0.0,-1.41,1.381,0.461,0.4352,89.63691825155105
NK Cells,cd40vcombo,False,0.1,0.0,0.0,-1.057,1.681,0.493,0.469,191.09434694992797
Epithelial,cd40vcombo,False,0.15,-0.11994087305459257,0.0,-1.338,0.254,0.409,0.529,12869.694863559398
Fibroblasts,cd40vcombo,False,0.15,-0.11994087305459257,0.0,0.0,0.0,0.0,0.0,945.4212460473199
Granulocytes,cd40vcombo,True,0.15,1.8531288496015688,1.3676277153073115,-0.07,2.687,0.864,0.8512,1893.6440234765182
Macrophages,cd40vcombo,False,0.15,-0.11994087305459257,0.0,-0.38,1.734,0.559,0.6051,1287.7227035155113
T-Cells,cd40vcombo,False,0.15,-0.11994087305459257,0.0,-0.079,2.714,0.878,0.8396,436.43113267545675
CD103+ cDC,cd40vcombo,False,0.15,-0.11994087305459257,0.0,-1.41,1.381,0.461,0.4352,82.48616573212523
NK Cells,cd40vcombo,False,0.15,-0.11994087305459292,0.0,-1.057,1.681,0.493,0.469,175.8498649936712
Epithelial,cd40vcombo,False,0.2,-0.22030962006225946,0.0,-1.338,0.254,0.409,0.529,12004.781133124683
Fibroblasts,cd40vcombo,False,0.2,-0.22030962006225946,0.0,0.0,0.0,0.0,0.0,881.8837787320405
Granulocytes,cd40vcombo,True,0.2,1.7527601025939021,1.3676277153073115,-0.07,2.687,0.864,0.8512,1766.3808106479046
Macrophages,cd40vcombo,False,0.2,-0.22030962006225946,0.0,-0.38,1.734,0.559,0.6051,1201.1807101682782
T-Cells,cd40vcombo,True,0.2,1.7507382619075882,1.366226282136052,-0.079,2.714,0.878,0.8396,1596.0491277197807
CD103+ cDC,cd40vcombo,False,0.2,-0.22030962006225946,0.0,-1.41,1.381,0.461,0.4352,76.94264523152363
NK Cells,cd40vcombo,False,0.2,-0.22030962006225965,0.0,-1.057,1.681,0.493,0.469,164.03179437579084
