,Cell Type,Comparison,Credible Effect,fdr,log2-fold change,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample
0,Acinar,ctrlvcd40,False,0.05,0.0,0.0,-1.421,1.052,0.42,0.4475,146.7137078035544
1,B-Cells,ctrlvcd40,False,0.05,0.0,0.0,-2.733,0.366,0.872,0.6949,222.6237489031372
2,Epithelial,ctrlvcd40,False,0.05,0.0,0.0,0.0,0.0,0.0,0.0,11401.305231774442
3,Fibroblasts,ctrlvcd40,False,0.05,0.0,0.0,-1.131,0.566,0.302,0.4116,1018.9043087983442
4,Granulocytes,ctrlvcd40,False,0.05,0.0,0.0,-2.577,0.104,0.832,0.8707,1391.9809032128167
5,Macrophages,ctrlvcd40,False,0.05,0.0,0.0,-0.894,0.709,0.266,0.3942,1148.8114002307932
6,RBC,ctrlvcd40,False,0.05,0.0,0.0,-1.366,1.148,0.434,0.4519,87.31158189876425
7,T-Cells,ctrlvcd40,False,0.05,0.0,0.0,-1.599,0.63,0.481,0.4978,493.9741173781476
8,Acinar,ctrlvcd40,False,0.1,0.0,0.0,-1.421,1.052,0.72,0.4475,227.0508936422327
9,B-Cells,ctrlvcd40,False,0.1,0.0,0.0,-2.733,0.366,0.474,0.6949,103.14896375019053
10,Epithelial,ctrlvcd40,False,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11922.39917478659
11,Fibroblasts,ctrlvcd40,False,0.1,0.0,0.0,-1.131,0.566,0.343,0.4116,1026.770987582617
12,Granulocytes,ctrlvcd40,False,0.1,0.0,0.0,-2.577,0.104,0.881,0.8707,534.4158030812096
13,Macrophages,ctrlvcd40,False,0.1,0.0,0.0,-0.894,0.709,0.532,0.3942,1431.0649887132822
14,RBC,ctrlvcd40,False,0.1,0.0,0.0,-1.366,1.148,0.431,0.4519,123.7389609987286
15,T-Cells,ctrlvcd40,False,0.1,0.0,0.0,-1.599,0.63,0.855,0.4978,543.0352274451518
16,Acinar,ctrlvcd40,False,0.15,0.03573308436525932,0.0,-1.421,1.052,0.72,0.4475,232.74477806620095
17,B-Cells,ctrlvcd40,False,0.15,0.03573308436525932,0.0,-2.733,0.366,0.474,0.6949,105.73568899325926
18,Epithelial,ctrlvcd40,False,0.15,0.03573308436525932,0.0,0.0,0.0,0.0,0.0,12221.383961275104
19,Fibroblasts,ctrlvcd40,False,0.15,0.03573308436525963,0.0,-1.131,0.566,0.343,0.4116,1052.5199077449456
20,Granulocytes,ctrlvcd40,True,0.15,-1.844658144064628,-1.3033878783358284,-2.577,0.104,0.881,0.8707,148.79278030464675
21,Macrophages,ctrlvcd40,False,0.15,0.03573308436525932,0.0,-0.894,0.709,0.532,0.3942,1466.9526195356489
22,RBC,ctrlvcd40,False,0.15,0.03573308436525932,0.0,-1.366,1.148,0.431,0.4519,126.84203331598121
23,T-Cells,ctrlvcd40,False,0.15,0.03573308436525963,0.0,-1.599,0.63,0.855,0.4978,556.6532307642143
24,Acinar,ctrlvcd40,False,0.2,0.03573308436525932,0.0,-1.421,1.052,0.72,0.4475,232.74477806620095
25,B-Cells,ctrlvcd40,False,0.2,0.03573308436525932,0.0,-2.733,0.366,0.474,0.6949,105.73568899325926
26,Epithelial,ctrlvcd40,False,0.2,0.03573308436525932,0.0,0.0,0.0,0.0,0.0,12221.383961275104
27,Fibroblasts,ctrlvcd40,False,0.2,0.03573308436525963,0.0,-1.131,0.566,0.343,0.4116,1052.5199077449456
28,Granulocytes,ctrlvcd40,True,0.2,-1.844658144064628,-1.3033878783358284,-2.577,0.104,0.881,0.8707,148.79278030464675
29,Macrophages,ctrlvcd40,False,0.2,0.03573308436525932,0.0,-0.894,0.709,0.532,0.3942,1466.9526195356489
30,RBC,ctrlvcd40,False,0.2,0.03573308436525932,0.0,-1.366,1.148,0.431,0.4519,126.84203331598121
31,T-Cells,ctrlvcd40,False,0.2,0.03573308436525963,0.0,-1.599,0.63,0.855,0.4978,556.6532307642143
32,Acinar,ctrlvtak,False,0.05,0.0,0.0,-0.798,0.771,0.271,0.4884,110.00668313971954
33,B-Cells,ctrlvtak,False,0.05,0.0,0.0,-0.988,0.41,0.29,0.5162,271.38571723480817
34,Epithelial,ctrlvtak,False,0.05,0.0,0.0,0.0,0.0,0.0,0.0,10998.79631366391
35,Fibroblasts,ctrlvtak,False,0.05,0.0,0.0,-0.392,0.44,0.143,0.44,1130.642257554074
