Cell Type,Comparison,Credible Effect,fdr,log2-fold change,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample
Acinar,ctrlvcd40,False,0.05,0.0,0.0,-1.42,1.014,0.427,0.4646,153.22191398478478
B-Cells,ctrlvcd40,False,0.05,0.0,0.0,-2.624,0.397,0.839,0.6668,222.04660421865447
Epithelial,ctrlvcd40,False,0.05,0.0,0.0,-0.293,0.922,0.247,0.4252,11349.026959036855
Fibroblasts,ctrlvcd40,False,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1045.1203118754563
Granulocytes,ctrlvcd40,False,0.05,0.0,0.0,-2.523,0.094,0.834,0.838,1352.7397897930732
Macrophages,ctrlvcd40,False,0.05,0.0,0.0,-0.894,0.791,0.276,0.4095,1189.0230573857161
RBC,ctrlvcd40,False,0.05,0.0,0.0,-1.24,1.129,0.415,0.4695,92.748106738208
T-Cells,ctrlvcd40,False,0.05,0.0,0.0,-1.595,0.598,0.452,0.5064,507.69825696724956
Acinar,ctrlvcd40,False,0.1,0.0,0.0,-1.42,1.014,0.641,0.4646,206.79516919633443
B-Cells,ctrlvcd40,False,0.1,0.0,0.0,-2.624,0.397,0.452,0.6668,85.17677327923549
Epithelial,ctrlvcd40,False,0.1,0.0,0.0,-0.293,0.922,0.435,0.4252,12255.48391800375
Fibroblasts,ctrlvcd40,False,0.1,0.0,0.0,0.0,0.0,0.0,0.0,941.7395805390898
Granulocytes,ctrlvcd40,False,0.1,0.0,0.0,-2.523,0.094,0.863,0.838,497.56628433893974
Macrophages,ctrlvcd40,False,0.1,0.0,0.0,-0.894,0.791,0.47,0.4095,1324.4185111393288
RBC,ctrlvcd40,False,0.1,0.0,0.0,-1.24,1.129,0.442,0.4695,106.34928117528874
T-Cells,ctrlvcd40,False,0.1,0.0,0.0,-1.595,0.598,0.883,0.5064,494.0954823280353
Acinar,ctrlvcd40,False,0.15,0.0,0.0,-1.42,1.014,0.641,0.4646,206.79516919633443
B-Cells,ctrlvcd40,False,0.15,0.0,0.0,-2.624,0.397,0.452,0.6668,85.17677327923549
Epithelial,ctrlvcd40,False,0.15,0.0,0.0,-0.293,0.922,0.435,0.4252,12255.48391800375
Fibroblasts,ctrlvcd40,False,0.15,0.0,0.0,0.0,0.0,0.0,0.0,941.7395805390898
Granulocytes,ctrlvcd40,False,0.15,0.0,0.0,-2.523,0.094,0.863,0.838,497.56628433893974
Macrophages,ctrlvcd40,False,0.15,0.0,0.0,-0.894,0.791,0.47,0.4095,1324.4185111393288
RBC,ctrlvcd40,False,0.15,0.0,0.0,-1.24,1.129,0.442,0.4695,106.34928117528874
T-Cells,ctrlvcd40,False,0.15,0.0,0.0,-1.595,0.598,0.883,0.5064,494.0954823280353
Acinar,ctrlvcd40,False,0.2,0.032006254175386814,0.0,-1.42,1.014,0.641,0.4646,211.43419755743759
