"","logFC","logCPM","F","PValue","FDR"
"Ctla2a",2.75344000370707,7.45302193296345,89.2181536369504,3.61732767692302e-08,0.000382749441495225
"Serinc5",-1.26076347450272,3.71208232166657,37.2712654080878,1.17784103468598e-05,0.0623136799400617
"Cd274",1.43376501426193,7.40809511477855,32.0343801797115,2.8472532588675e-05,0.0745599861467714
"Map4k1",2.05036120597652,4.64545723732603,29.9952809774997,4.12400017954361e-05,0.0745599861467714
"Gm57204",2.0529494235605,6.65679214735512,28.6519134640222,5.31301556232296e-05,0.0745599861467714
"Dab2",2.2397708634357,8.30738781202581,28.0568432525748,5.9588542130071e-05,0.0745599861467714
"Asns",2.26620045138154,2.81815687406043,27.3942871228787,6.78345393638623e-05,0.0745599861467714
"Flywch2",2.00802094061463,1.56352314977767,27.3223877032922,6.88037324434836e-05,0.0745599861467714
"Ctla2b",2.1823668367517,4.97825917818477,27.1768182956234,7.081382868264e-05,0.0745599861467714
"Gde1",2.00682578808299,6.3468559521682,26.3220332144847,8.40304620217704e-05,0.0745599861467714
"Cdc42ep3",1.60408788478894,3.58820253460585,26.164468052527,8.67568906615862e-05,0.0745599861467714
"Miga1",1.59404619236027,2.04368290867036,26.0675052694542,8.84838616140587e-05,0.0745599861467714
"B2m",1.77861735605683,11.0316617570694,25.8974890784796,9.16056913248302e-05,0.0745599861467714
"Rpl24",0.841675352844528,10.9181194571406,25.1189210827411,0.000107570104045745,0.081299947922002
"Tiam1",1.61890314986059,5.07358620866472,24.3181633650163,0.000127315158825404,0.0875178008376664
"4930486L24Rik",2.15215024846736,2.31025851540754,23.8763107260986,0.000139929179700967,0.0875178008376664
"Slc43a2",-1.2349180728874,6.05645861448829,23.8537190426306,0.000140610775374759,0.0875178008376664
"H2-Q4",2.23110823614881,5.86458615927817,23.0254458433949,0.000168365178444509,0.0953562934904625
"Runx3",-1.73744016147267,8.01845355073374,22.831004340639,0.000175738285739585,0.0953562934904625
"Stat4",-2.25685067950285,8.37026065938505,22.7167126541758,0.000180240607675007,0.0953562934904625
"Dynlt2b",0.859119239969835,4.08869482734738,22.3972716731236,0.000193525184910609,0.0958867603445212
"Casd1",1.52814513665508,4.35183469681409,22.0512925001232,0.00020916516453461,0.0958867603445212
"Slco3a1",2.00970223698857,7.05004483213845,21.8570481264736,0.000218563829964413,0.0958867603445212
"Mir142hg",-2.49415401729201,7.70671644716176,21.8564493956105,0.000218593522220711,0.0958867603445212
"Rps17",0.961497423285429,10.0500870276571,21.6581873382365,0.000228678992742404,0.0958867603445212
"Psmb8",3.30977327045798,8.10926801055667,21.5274183524312,0.000235616271520419,0.0958867603445212
"Rpl35a",0.814308095320446,11.3988818398434,20.5847344778067,0.000293210626072729,0.114905986462057
"Dusp2",-2.30569017843514,6.76835530949409,20.348971641305,0.000309977472282381,0.11713827265071
"Hddc3",1.52456707956546,1.61854155721419,20.1663110459814,0.000323707927327131,0.118108744105116
"Gbp7",3.28275249706473,6.04953492502445,19.892463685927,0.000345588762357961,0.121889156483653
"H2-Q6",2.41209620262888,6.27102070106515,19.7515336714244,0.000357492119698943,0.122020132855952
"Xdh",2.78471638025193,5.52480283272427,19.091335083671,0.000419736912957012,0.133654995829629
"M1ap",1.90441374089514,1.27747380706207,19.0717422371294,0.000421761426686467,0.133654995829629
"Nrg1",2.40935351341095,7.61101845288193,18.9980510891819,0.000429474516416917,0.133654995829629
"Mga",1.55849742385619,5.34791937529929,18.8334811516495,0.000447277397624092,0.135218346978872
"Anxa6",1.44864606045707,6.19890582913398,18.4001029007338,0.000498252570759099,0.146444734755612
"Ptgs2",1.50806951899946,8.47664763399884,18.1945453108308,0.000524685104726093,0.150045759273156
"Csf2ra",1.19946849276336,6.16770260204515,17.7629065483704,0.000585467935449187,0.159675266794396
"H2-D1",1.69331965888365,10.3072188350893,17.742445681691,0.000588539401283569,0.159675266794396
"Satb1",-2.05684281666955,7.6206704823731,17.6307252333287,0.000605632360907181,0.160204900268972
"1700003F12Rik",1.81858975440469,1.3325091508798,17.0590776036685,0.000702290471363586,0.180447194671141
"Kctd17",1.39538762944519,2.58505021695205,16.9437403898399,0.000723825315208759,0.180447194671141
"H2-K1",1.75183720759736,10.4643243845238,16.8321829174675,0.000745361764213074,0.180447194671141
"Nlrp3",1.47035092305147,7.57949320011237,16.7871143228,0.000754265556250281,0.180447194671141
"Dnajc19",0.660419380936769,6.05821205876553,16.6418687522248,0.000783782827368174,0.180447194671141
"Gm5617",1.02689261133586,3.80604070258232,16.6385181775099,0.000784478872967817,0.180447194671141
"Eif4ebp1",0.682210123753087,6.8015807203616,16.4111595917858,0.000833371811339492,0.187615045442195
"Psmb9",2.94439927702555,6.94645486032813,16.0147945603212,0.000927010981669733,0.200743331215889
"Slc9a9",-1.20164031160008,7.33324054384497,16.0043602887463,0.000929630774934182,0.200743331215889
"Rps14",0.664311119159005,11.4031329074909,15.8588733775291,0.000967038530770641,0.202840926941172
"Rpl36",0.730522707926593,11.5297734407594,15.7973695754444,0.000983358314604083,0.202840926941172
"Kcnq5",1.91558072126306,6.84159516142794,15.7473627357174,0.000996855514690571,0.202840926941172
"Ampd3",1.17277316529381,2.93615424950627,15.4804978027257,0.00107249585660194,0.214114691673682
"Dock2",-1.78259115410699,8.93715170229921,15.2939218130403,0.00112920684029327,0.215259291789884
"Fabp5",1.52534945665197,8.51001745393882,15.2887137093729,0.00113083748985642,0.215259291789884
"Rps11",0.633563447986702,11.3235956681882,15.2619437317896,0.00113926097157485,0.215259291789884
"Rps20",0.671782071432765,11.5823722381432,15.0668402520817,0.00120282488038427,0.223282281742912
"Lsm5",0.685508287424853,6.61122089051464,14.758181621692,0.00131168745718482,0.236364221366866
"Gm35082",1.28440981264545,2.9314565502175,14.6586108295855,0.00134913406727421,0.236364221366866
"Rpl35",0.907839670241167,10.55541453619,14.6480057936157,0.00135319268485612,0.236364221366866
"Pde3b",-1.04056160089867,8.09478434781125,14.6234277924237,0.00136265168730544,0.236364221366866
"Gm34854",-1.3876638463264,0.472783551269981,14.4020409177447,0.00145128430138236,0.243463386746937
"Iigp1",4.87785402131608,4.06310038592152,14.3639023523989,0.00146719805478152,0.243463386746937
"ENSMUSG00000121487",1.05343284911024,0.688663517366421,14.3510446527453,0.00147260719703279,0.243463386746937
"Nlrc5",2.01606718726118,5.57651847106326,14.2444519269136,0.00151832301887483,0.246316634524869
"Arhgap15",-1.72899030006766,9.63473068041832,14.2032406857756,0.00153642357798331,0.246316634524869
"Atp5o",0.608245904879821,7.41158868007058,14.1300012180296,0.00156919298170491,0.2472697188622
"Galk2",1.21070103554786,5.10593503434704,14.0616321901922,0.00160049349526233,0.2472697188622
"Rpl32",0.725583130325322,11.8178695630219,14.0016417642851,0.00162853693574744,0.2472697188622
"Rpl27a",0.657093777124189,11.6249338658637,13.9675501561155,0.00164471942798225,0.2472697188622
"St8sia4",-1.46733683591135,7.19752373334624,13.9373317049395,0.00165921463370345,0.2472697188622
"Rps15a",0.668778449414128,11.5394256160173,13.7934985586899,0.00173020642311895,0.250298673511092
"Plcb1",-1.35576773058754,7.98837466164233,13.7912345255895,0.00173135084969078,0.250298673511092
"Rpl34",0.703303366398603,11.46301042749,13.75358785124,0.00175050579716669,0.250298673511092
"Ppp1r16b",-1.59181418162015,7.60381054038582,13.6746527956975,0.00179144699268976,0.252737341728671
"Dennd1a",-1.00125555242854,7.77867965234755,13.5853853539231,0.00183904969441843,0.255887682417763
"Rplp2",0.728875590898519,11.2787437203122,13.543007621216,0.00186214455591794,0.255887682417763
"Ncald",-1.30087767753087,4.85469418872915,13.4857642690484,0.0018938602814466,0.256909431256237
"Il7r",-1.65541030250189,7.59169597620519,13.2944326593733,0.00200435883605743,0.26642499137184
"Pard3b",-1.55642871668902,4.80821629271632,13.2535150847873,0.00202891975969799,0.26642499137184
"Inpp5d",-1.19550746311932,8.24986368647345,13.2359863092071,0.00203954487299112,0.26642499137184
"Atosa",-0.904096068264504,4.54764485436496,13.0087958986791,0.00218307283655182,0.281696264433596
"Itgal",-1.03915137036852,6.30222348624145,12.9144575024256,0.00224598198719212,0.283100403701337
"Snhg15",0.931218526728472,5.05536253614095,12.9122686295334,0.0022474656375496,0.283100403701337
"Xlr",-2.44195535486327,2.71571556768152,12.8286765974393,0.00230495908616368,0.286926730478799
"Rpl18",0.613053192647138,11.0337573344104,12.6988636926327,0.00239755214212826,0.29420386784261
"Gbp2",3.47046659322346,5.20173982720376,12.6695602393094,0.00241902811665316,0.29420386784261
"Rpl11",0.560218992372204,10.8771759465232,12.480514259687,0.002562892137995,0.308158655819604
"Gm56906",0.859193292688734,7.255130512943,12.4318088365012,0.00260149992429502,0.309286187628827
"Pou2f2",1.03023877071218,5.39370470217706,12.2044983514972,0.00279055902745727,0.328076722994727
"H4c1",1.5935335644,1.30124191762784,12.1265441177707,0.00285891876382504,0.332419993846514
"Sipa1l2",-0.87630608171455,5.78746180702803,12.044269971404,0.00293311870312422,0.336525476748154
"Nfatc1",-0.848893069402791,6.13008194768331,12.0173813984041,0.00295783662579891,0.336525476748154
"Fas",1.13982192834864,4.77344547802339,11.8929518023354,0.00307531738747389,0.346169502945332
"Spata24",0.917398614029914,2.37901810251029,11.7471183917598,0.00321974611094098,0.355449441367383
"Ogfrl1",1.48779210638716,4.55856123379117,11.7420067341068,0.00322494531436242,0.355449441367383
"Rpl41",0.556210983980607,11.9486739750803,11.6869464659198,0.00328155204807431,0.357959816707983
"Rpl13",0.623255975619203,12.1113129612103,11.6437623056698,0.0033267325410453,0.359185275681636
"4930469K13Rik",-1.94793069683921,3.03511544479358,11.5877191493533,0.0033864145799689,0.36193588556213
"Snx20",0.81858207534026,6.20083750806575,11.4891515624142,0.00349433106091674,0.368775353740758
"Rpl28",0.640708510247617,11.2180762645514,11.4661106238489,0.00352011253452572,0.368775353740758
"Hebp1",1.05179176599115,5.50160695524671,11.395035713651,0.00360100111086533,0.372900061289651
"H2aj",0.643872786778073,7.88510717539499,11.3700182673968,0.00362996940864134,0.372900061289651
"Rps24",0.487452700179053,11.9608090285349,11.2265258013914,0.00380128105073701,0.386743796133157
"Nuak2",-0.758712321806518,5.08296879819113,11.194170522629,0.00384115616053933,0.387078793663492
"Rps13",0.636444235247955,10.9949942881751,11.1316674376788,0.00391952775599381,0.387924511747796
"Ikzf1",-1.12602289741414,7.31025582145022,11.1290306787177,0.00392287333494132,0.387924511747796
"Shprh",-0.691878042866635,4.63763298504499,11.0587707800947,0.00401321703415581,0.392269386932789
"Rps23",0.562736436153319,11.3411105050124,11.0375548339985,0.00404095673146905,0.392269386932789
"Ptk2b",-0.655303032758218,7.27800080198424,10.9795131178368,0.0041179566211674,0.396045207331193
"Rpl39",0.520381007937904,11.8493581532983,10.9522363297628,0.00415471297738989,0.396045207331193
"AA467197",1.29478410959416,7.67187783108873,10.839294296581,0.00431089265502187,0.406440081846289
