"","logFC","logCPM","F","PValue","FDR"
"Mllt3",-1.31936535502084,7.1709334629155,44.1463266267367,4.18884431325684e-06,0.0443221616785706
"Fer",-2.50823738004998,5.45443925143227,26.0626846878106,8.85707184494918e-05,0.367252203130259
"Thrb",-2.9828553722983,1.66034076408068,25.2385581740891,0.000104925937316095,0.367252203130259
"BC055324",-1.68143393045596,2.43460283968498,23.9128503489919,0.000138834591486725,0.367252203130259
"Serpinb6a",-1.84635910790303,7.45593938543829,21.7537247272849,0.00022375540758751,0.473511193536688
"S100a4",1.30752054128334,9.36679936983766,20.5136461097792,0.000298156701709846,0.525799343465313
"Tmsb10",1.24527061514696,11.739479030109,19.2222454815313,0.000406486390207196,0.614433213540334
"Nfia",-1.41347286190461,5.90939671762961,18.0457937737576,0.000544794295258002,0.631160917938594
"Crybg1",1.00826348035514,6.03162962792072,17.6117937491257,0.000608583662563067,0.631160917938594
"Fmnl1",0.801329461139599,6.16381394583809,16.4939250625152,0.00081518795390934,0.631160917938594
"Cdin1",-0.995377244094423,4.31590256928078,16.2888914162554,0.000861073587033953,0.631160917938594
"AA467197",1.59608973076851,7.67187783108873,16.0875365196708,0.000908975848443851,0.631160917938594
"Arhgap26",0.922342428876226,7.52688351983489,15.8877995229484,0.000959468402296249,0.631160917938594
"Atp1b3",1.26513609566123,8.24224711145396,15.4453990796615,0.00108291543251482,0.631160917938594
"Fhit",-2.35927903913298,5.03842493490811,15.2246435787309,0.00115111563991121,0.631160917938594
"Rdh11",1.00959206675132,4.16154066963866,15.2081361671595,0.00115640616735571,0.631160917938594
"Ablim1",-1.75276404584111,7.45328105170232,14.9890003718441,0.00122928870243528,0.631160917938594
"Nr1d2",-1.24627483256076,4.41077378457407,14.814267668744,0.00129110950916072,0.631160917938594
"Gm4876",1.48186323008418,4.39753800005742,14.7447613268129,0.00131666581742058,0.631160917938594
"Capg",1.15429139727206,8.34873569152436,14.5151346379692,0.00140522330425953,0.631160917938594
"Diaph1",0.733757271884631,7.92207778925034,14.3975922593823,0.00145313052620865,0.631160917938594
"Plcb1",1.38844506282218,7.98837466164233,14.3621745181307,0.00146792364217687,0.631160917938594
"Ly6c2",4.6631229741052,7.8815300496403,14.2611576187145,0.00151105399842131,0.631160917938594
"Atp11b",0.901195006789025,7.50130149030333,14.1483047481221,0.00156093046436347,0.631160917938594
"Plpp2",1.88906112262459,4.74384714320287,14.1147512998914,0.0015761145933452,0.631160917938594
"Tmsb10b",1.63123805273169,5.19289416741586,14.023341775789,0.00161832967343972,0.631160917938594
"Frmd5",-2.45006931684367,5.56070389254257,13.8321021893639,0.00171082327381007,0.631160917938594
"Hspbap1",0.994694921172799,4.01081288095472,13.7378180743542,0.00175860029458367,0.631160917938594
"Samhd1",1.31907287208484,7.68118130033291,13.6710976514781,0.00179331610845958,0.631160917938594
"Itgb7",1.25222778815328,6.15307775767898,13.595291404942,0.00183369767735067,0.631160917938594
"Plac8",2.35457148619687,9.72917188044298,13.211552432147,0.00205446008690893,0.631160917938594
"Adarb1",-3.28162486004618,4.28762912576348,13.1818739434893,0.00207274201311797,0.631160917938594
"Uxt",0.908481212730792,3.89950559358163,13.0677601696314,0.00214476014177486,0.631160917938594
"Klhl2",0.876310236153176,6.75427436685571,12.9805920212072,0.00220167032298275,0.631160917938594
"Resf1",1.49085981529046,7.4946066870699,12.8112532857793,0.00231714987390653,0.631160917938594
"Dqx1",2.9407147272648,1.99868017637176,12.7417534582354,0.00236650463785423,0.631160917938594
"Tfdp2",-1.43368579973439,5.3531112593954,12.7014813540057,0.00239564416516996,0.631160917938594
"Ptk2",-1.41842236453984,5.51423384374755,12.6619541548753,0.0024246377995436,0.631160917938594
"Myo1d",-2.3497344702232,5.41779795995768,12.6242525724929,0.00245266064540512,0.631160917938594
"Zyx",0.896752600871612,6.81358277956202,12.4552381485673,0.00258284690330816,0.631160917938594
"Crim1",-1.88581701660779,6.68438546005772,12.3691231589275,0.00265215633044023,0.631160917938594
"Ly6a",3.75332436048925,7.87630990819386,12.2957859033983,0.00271283465997798,0.631160917938594
"Osgin2",0.87322014107651,4.61269360062629,12.1765220708925,0.00281487810850251,0.631160917938594
"Flnb",-1.60892945519152,7.10821468772455,12.1271193175856,0.0028584075053357,0.631160917938594
"Gm12840",-1.84847916404245,4.37318778809756,12.0612140108694,0.00291766197696467,0.631160917938594
"Tnfrsf23",1.83184896959325,5.84742409783658,12.0534914778318,0.00292469524118654,0.631160917938594
"Mrpl52",0.678051541620135,7.77552613074949,12.0482302966096,0.00292949776975054,0.631160917938594
"Mindy3",1.26293927367772,6.20968569683149,11.9800346954568,0.00299255840104709,0.631160917938594
"Ndufb1",0.801131724841301,8.73687052388343,11.9432435648536,0.00302721295547448,0.631160917938594
"Zdhhc2",-1.31390319447053,5.64538846422103,11.8196972574906,0.00314693343523415,0.631160917938594
"Atox1",0.767988157014774,8.44917635284735,11.813509183036,0.00315306860330059,0.631160917938594
"Ctla2a",-1.01014395976416,7.45302193296345,11.7503628367675,0.00321645099619722,0.631160917938594
"Gm10076",0.715181984133876,9.4432108794427,11.6750519892972,0.00329392705168636,0.631160917938594
