"","logFC","logCPM","F","PValue","FDR"
"E2f7",-2.46284648060319,2.85150920353201,42.7326522689924,5.12891165578251e-06,0.0542690142298347
"Tmcc3",-1.58927057697073,6.44668090985746,31.3426736714558,3.22263597070092e-05,0.099427088147085
"Ikzf2",-2.14635337165909,9.03444082885569,29.460785308557,4.55717949613443e-05,0.099427088147085
"Cald1",-2.73243813403953,7.00632128126077,29.3485024408824,4.65451771174361e-05,0.099427088147085
"Shcbp1",-2.12766901301534,3.83316308382353,29.2725987494676,4.7216368319976e-05,0.099427088147085
"Kif11",-2.14985769049602,5.23155124762783,28.2920859404338,5.69358155720142e-05,0.099427088147085
"Kif22",-2.10591331620734,3.46344179959553,27.5507903497928,6.57773005414984e-05,0.099427088147085
"Pvt1",-1.18075563035016,6.58978660692164,26.3815828103726,8.30251377779994e-05,0.109811122853626
"Tanc2",-1.37603974098633,5.88752212208116,25.6061301257894,9.72466472255476e-05,0.114329641588169
"Diaph3",-1.60335569759581,6.0505726074078,24.5212901577572,0.00012194777679499,0.129032942626779
"Neil3",-2.1627747338067,3.57933638096402,22.7769076422708,0.000177853430358749,0.16334464603666
"Plxdc2",-1.0796240934745,7.19076229700173,22.5932369338096,0.000185250520030236,0.16334464603666
"Kif4",-1.61626851611102,3.92536547497862,21.612305276769,0.000231086621823926,0.17012001383287
"Smc2",-1.4068809197707,5.76387451488996,21.4699690620231,0.000238738264594944,0.17012001383287
"Cdca3",-1.50140589167264,4.87926490415083,21.4258351531617,0.000241168151166529,0.17012001383287
"Kif15",-1.86207374429404,4.73528724888354,21.1194344887149,0.000258822325825286,0.171162439347335
"Cep128",-1.47759833119408,5.1471128573168,20.6532250021111,0.000288532135602283,0.178431145987262
"Ccna2",-1.91332149626005,5.07206526188903,20.4150931984906,0.00030516909585095,0.178431145987262
"Ssh2",-1.15096083282774,8.09034004527013,20.2094635356528,0.000320403721175501,0.178431145987262
"Spsb1",-1.06133293085841,5.17550951419642,19.9866666460829,0.000337880019096108,0.178755424102796
"Ccdc93",-0.751053481306887,4.46979992113215,19.5623754163128,0.000374198064394509,0.188542367588491
"Ncapd2",-1.31741792051525,4.56226029353725,19.1158951745615,0.000417214512211829,0.190628067754572
"2700049A03Rik",-0.841146294154174,3.49753945461596,19.0410007226132,0.000424960029892733,0.190628067754572
"Rrm1",-1.32185118190945,5.41728783986571,18.9344783056445,0.000436255776961517,0.190628067754572
"Ube2c",-1.35715691588617,6.3391724221907,18.8053573940892,0.000450401823444314,0.190628067754572
"Nuf2",-1.98567423819398,3.12650448004814,18.5732886527589,0.000477138671243023,0.191119479070933
"Tmem158",-2.99995732747857,4.339912624925,18.3478849852665,0.000504822812498447,0.191119479070933
"Cenpp",-1.53191366337109,4.59079035091667,18.3405739737895,0.000505750440788784,0.191119479070933
"Bora",-1.24732283834194,3.23674197126053,18.0176479545045,0.000548695704258721,0.192499760048474
"Racgap1",-1.4551875189392,5.29013303195325,17.6213616003717,0.000607090081869747,0.192499760048474
"Cep55",-1.41249632995246,4.13490956341588,17.3489308906329,0.000651275100688599,0.192499760048474
"Adam19",-1.58934275297486,6.21942873024151,17.2349184387793,0.00067082849064262,0.192499760048474
"Ect2",-1.78092082740377,4.46737312405702,17.228298619716,0.000671983876113188,0.192499760048474
"Birc5",-1.31682347056954,6.14196374282367,17.2166781787373,0.000674017445495819,0.192499760048474
"Kcnq5",-2.37579299592967,6.84159516142794,17.2013908940959,0.000676703235295358,0.192499760048474
"Selenom",3.04225093207674,5.87887568050447,17.1814320917988,0.000680227845134099,0.192499760048474
"Tbc1d5",-0.799536262586118,7.2426124727009,16.9974727319794,0.000713701997547741,0.192499760048474
"Mcm2",-1.0346011103912,4.70644302800393,16.8929589226968,0.000733540990980448,0.192499760048474
"Tgfbr1",-0.965791689383966,6.85324090644031,16.8609678616348,0.000739736729947099,0.192499760048474
"Cdkn2c",-1.47265660167118,3.67262749097518,16.8080670699049,0.000750111351591486,0.192499760048474
"Efcab11",-1.77980487247839,2.85912727321839,16.6565960319587,0.000780731602094334,0.192499760048474
"Pclaf",-1.57436336350907,6.69025016614541,16.6518179340638,0.000781720073966293,0.192499760048474
"Tesc",-2.45952722130317,3.31560156868032,16.6490299707631,0.000782297484366733,0.192499760048474
"1700123O20Rik",0.904914382309343,4.90521861916954,16.4392866609948,0.000827141617038017,0.198908760224529
"Rrm2",-1.47509938326883,5.90476514910261,16.2115470766245,0.000879130356244375,0.204055843736947
"Knstrn",-1.26422792370695,4.14331228902475,16.1670374264979,0.000889714020847739,0.204055843736947
"Cdk1",-1.33480210857902,5.45339782531782,16.0980555050564,0.000906400591214113,0.204055843736947
"Cenpf",-1.41895091354082,5.50306386764992,15.7408004676437,0.000998642105617702,0.208036941093424
"Tgfbr2",-0.896734991902451,7.28388571545931,15.7048047341907,0.00100850619021285,0.208036941093424
"Foxn3",-0.920833071328907,8.15165116396812,15.6967618127891,0.00101072515389268,0.208036941093424
"Cdca5",-2.05490886692213,2.61692609034602,15.6306461014173,0.00102917501432302,0.208036941093424
"Kif14",-2.30440052828615,2.30797391058812,15.5558549314636,0.00105050310963692,0.208036941093424
"Stmn1",-1.20669679283696,7.07874634390744,15.5373746428612,0.00105584927548347,0.208036941093424
"Tpx2",-1.46131064477992,5.09383744191587,15.3911685844516,0.00109923882074666,0.208036941093424
"Alkbh1",-0.72366233584961,5.24655907941725,15.374293416582,0.00110437447813836,0.208036941093424
"Rap2b",1.00607453619773,5.57941729396621,15.3734364394374,0.00110463600189598,0.208036941093424
"Frmd4b",-1.11088896695856,6.63166341227281,15.3212357471839,0.00112069800985967,0.208036941093424
"Mki67",-1.14249363609582,6.45480988300397,15.1041151507594,0.00119037927916005,0.215778599025473
"Cit",-1.67178351261283,4.2221304842105,15.016472075352,0.00121987497590921,0.215778599025473
"Hmmr",-1.73330995546056,4.34708455548487,14.9928874429518,0.00122795177763695,0.215778599025473
"Epb41",-0.830308602694699,8.27322132073919,14.8954285295684,0.00126197058704386,0.215778599025473
"Ptger4",-1.12793985135036,5.53594366343757,14.8731159793232,0.00126990707949753,0.215778599025473
"Hivep2",-0.912684123363005,8.87620347675109,14.8317748630679,0.00128476058393392,0.215778599025473
"Slc9a9",-1.09089809406094,7.33324054384497,14.72901689348,0.00132253341238285,0.218303194340101
"Pbk",-1.79604687067734,3.32193291009508,14.6798270935378,0.00134105544202878,0.218303194340101
"Rcn1",-2.26008344788578,2.8440018742003,14.592579774778,0.00137462903854139,0.220378028133431
"Cenph",-1.48398049384039,3.56103708889728,14.2757707197498,0.0015047275646248,0.236544391168165
"Gna12",-0.741103561001819,5.65761746892959,14.2073829139462,0.00153459333488612,0.236544391168165
"Dleu2",-0.84983660959278,8.09254930226607,14.1894492733431,0.00154253501470592,0.236544391168165
"Axl",-1.02631161103142,6.182319743142,13.9362614651932,0.00165973063320442,0.247548290229727
"Nup210",-1.26300612620923,5.0489154514382,13.8976299937597,0.0016784775068559,0.247548290229727
"Cdca8",-1.21823241345566,4.9203825754925,13.8716334933721,0.00169122689771903,0.247548290229727
"Tubgcp5",-0.860402863260007,4.28855423672196,13.8380170871867,0.00170787498221058,0.247548290229727
"Wnk1",-0.911672095906873,9.33804199791584,13.6762964573492,0.00179058357855833,0.249761171707253
"Dynll1",0.676471325041775,8.58648759404156,13.6733766885527,0.00179211765347709,0.249761171707253
"Kpna1",-0.651099564982033,6.63720763453783,13.6698813951193,0.00179395605800503,0.249761171707253
"Ocrl",-0.862082330682531,4.41082229922941,13.519676281844,0.00187499864867943,0.250824827092372
"Ndc1",-1.12592872601963,3.81448501514038,13.4311552987285,0.00192468347916249,0.250824827092372
"Metrn",-1.11876442319262,3.53582280069494,13.4219289129715,0.00192994666962465,0.250824827092372
"Mxd3",-1.87298703356919,1.83459559444567,13.3893866519054,0.00194864001030178,0.250824827092372
"Cmc1",0.778712082409377,6.17391892905699,13.319983427018,0.00198919152692566,0.250824827092372
"Rhoc",0.767709370846545,6.37738658633832,13.1931781707817,0.00206575713322654,0.250824827092372
"Ahr",-0.856593552880852,6.60800089698565,13.1151922526908,0.00211448902342054,0.250824827092372
"Picalm",-0.707333533564792,9.40552807790655,13.097843661892,0.00212550479564327,0.250824827092372
"Rad51b",-1.16254571132232,6.5327447866622,13.0361372317224,0.00216521261033841,0.250824827092372
"Aspm",-1.94308315625019,3.52635982725082,12.9871799916109,0.00219731035280816,0.250824827092372
"Brca1",-1.42645415535683,4.08308808913537,12.963048933005,0.00221332800731175,0.250824827092372
"Cnn3",2.80906077329311,5.35921237477937,12.9296637274263,0.00223570534171886,0.250824827092372
"Mcm6",-1.14272501925057,6.02452934990894,12.8695396269931,0.00227664994046345,0.250824827092372
"Arhgap19",-1.05044794908151,3.57884873906329,12.8149118751601,0.00231458401873392,0.250824827092372
"Cacnb3",-1.66508933385824,3.26806138141591,12.8060919176542,0.00232077510612853,0.250824827092372
"Zgrf1",-1.60672591548542,3.7478329909502,12.788511946482,0.00233317085359938,0.250824827092372
"Anln",-1.65571247557476,4.4351256754198,12.7735417223573,0.0023437851872225,0.250824827092372
"Cip2a",-1.391480438489,3.64545525641604,12.7624392770448,0.00235169223560707,0.250824827092372
"St7",-1.08402733646088,6.87822672824985,12.7616852311512,0.00235223034669365,0.250824827092372
"Spag5",-1.45079546519374,3.5692920586109,12.7583942569904,0.00235458051239226,0.250824827092372
"Bcap29",-0.68274601375437,5.18826232150812,12.712346617595,0.00238774286482476,0.250824827092372
"Rttn",-0.948535815552824,4.16922118291117,12.6769091036033,0.00241362200586211,0.250824827092372
"Prc1",-1.23950092106034,5.31382301873434,12.6739543367253,0.00241579401190478,0.250824827092372
"Fbxo5",-1.73686335058907,3.3648957617431,12.6644499895704,0.00242279544558016,0.250824827092372
"Bub1",-1.46313601236796,3.94777195570266,12.6441379321446,0.00243783510407364,0.250824827092372
"Arsb",-1.30993411224467,5.51474031900403,12.5580322592969,0.00250276750132361,0.250824827092372
"Hspb1",-2.03239101608406,7.04187546207369,12.5296519598631,0.00252459376923918,0.250824827092372
"Man1b1",-0.685914098574234,4.74175758093414,12.5055932991068,0.00254326424497172,0.250824827092372
"Mat2b",0.733230366540033,5.78162269433549,12.4682913302422,0.00257252004634751,0.250824827092372
"Arf6",0.601739120952123,6.56923004333478,12.4519282391352,0.00258547290400768,0.250824827092372
"Sema3c",4.72394809217004,6.30624158595073,12.427127104275,0.00260524538463011,0.250824827092372
"Plekhn1",1.7236504214966,2.53284172359219,12.4123405410256,0.0026171147772626,0.250824827092372
"Pola1",-1.2471311696478,6.15707150955307,12.3811657465544,0.00264233917327841,0.250824827092372
"Raet1e",0.91088719094599,4.9828125590374,12.3553720731335,0.00266341648919915,0.250824827092372
"Iqgap3",-1.24012217535937,3.43506302157809,12.3359287859546,0.00267942967217496,0.250824827092372
"Tbc1d22a",-0.741873482386037,6.04203036795494,12.2994681975517,0.00270975098582588,0.250824827092372
"Mpp7",-0.878308251450144,8.91446878447557,12.2231015084458,0.00277451869128364,0.250824827092372
"Mtr",-0.725526585321039,4.5566456188927,12.2025089602525,0.00279228052362033,0.250824827092372
"Wdhd1",-1.20847484254061,3.64601981962047,12.1888640067552,0.00280412028881404,0.250824827092372
"Ticrr",-1.66434709727244,2.24613426786026,12.177557498898,0.00281397379719725,0.250824827092372
"Exoc4",-0.702697132687291,7.87114665571046,12.1465285730726,0.00284121603072999,0.250824827092372
"Ece1",-0.741165595707709,7.0559571630589,12.098311913161,0.0028841395423382,0.250824827092372
"Bmp2k",-0.737686942245575,6.73967625381802,12.042417016753,0.00293481459319335,0.250824827092372
"Hspa2",1.03263410785571,3.13420161455207,12.0130462480658,0.00296184371923628,0.250824827092372
"Rad54l",-1.51706230877145,2.31800475311162,12.0098936546323,0.00296476158227315,0.250824827092372
"Ccdc18",-1.5785285909902,2.51009740817901,11.9988387431911,0.00297501898464249,0.250824827092372
"Tmsb10",0.977345158151679,11.739479030109,11.9848380365008,0.00298806705563652,0.250824827092372
"Rad54b",-1.51817347244377,2.3760268803893,11.9398656530549,0.00303041727991907,0.250824827092372
"Tbc1d4",-1.25208318523624,6.24698855671822,11.923324144808,0.00304616397462554,0.250824827092372
"Pip4k2a",-0.889888059891006,7.40921944618465,11.8865960828815,0.00308145770183044,0.250824827092372
"Itpr2",-0.806876192067112,6.83644146837116,11.830892198986,0.00313586833124471,0.250824827092372
"Spata5",-0.673116494741783,6.17424500548836,11.8154879217096,0.00315110531881719,0.250824827092372
"Tm4sf1",-2.06730160796126,8.53657209851915,11.7937123530731,0.00317278682270773,0.250824827092372
"Asf1b",-1.30464612185803,4.09488987073913,11.7902871173622,0.00317621252781962,0.250824827092372
"Mbp",-0.736649162915159,6.18421393879813,11.7544531428986,0.00321230222024067,0.250824827092372
