"","logFC","logCPM","F","PValue","FDR"
"Tmsb10",2.22261577329864,11.739479030109,57.7700893132447,7.37876305326238e-07,0.00469226670534005
"Mllt3",-1.41612627140762,7.1709334629155,56.190350337488,8.86923108466128e-07,0.00469226670534005
"Ablim1",-2.93219422548787,7.45328105170232,47.5548284359228,2.62048922281132e-06,0.00829474510815132
"E2f7",-2.32573944614212,2.85150920353201,42.9639148399593,4.96015585419126e-06,0.00829474510815132
"Ikzf2",-2.48894814492788,9.03444082885569,42.5557386290986,5.26234748700247e-06,0.00829474510815132
"Cdin1",-1.51676298013372,4.31590256928078,41.4859093098462,6.15695388643071e-06,0.00829474510815132
"Tanc2",-1.7572559975565,5.88752212208116,41.3804412994859,6.25399183885433e-06,0.00829474510815132
"2700049A03Rik",-1.16285349305494,3.49753945461596,40.7268690745388,6.89487408193986e-06,0.00829474510815132
"Tmsb10b",2.77423499924971,5.19289416741586,40.5738278199836,7.05535450083752e-06,0.00829474510815132
"Ctla2a",-1.78580777255803,7.45302193296345,37.7140433902824,1.09761042883541e-05,0.0108716574651036
"Upp1",2.55402243110306,4.72633090340777,37.5298606681947,1.13021672919515e-05,0.0108716574651036
"S100a10",1.60525850002746,10.062904530432,36.8745808921291,1.25532336784221e-05,0.0110688137959487
"Raet1e",1.54132658371267,4.9828125590374,36.1210127906454,1.41873664888421e-05,0.0115474249860337
"Spsb1",-1.34706128826267,5.17550951419642,33.0430474108909,2.38446706814968e-05,0.0180214614629227
"Hmga1",2.95803668331689,5.58558771712017,31.5935655452334,3.0804252720026e-05,0.0205127980702935
"Tox",-3.39890610014557,8.35350140631278,31.5549811466042,3.10183129311687e-05,0.0205127980702935
"Plpp2",2.66707637944376,4.74384714320287,30.6772260316248,3.63676600242273e-05,0.0226356594539029
"Tmem158",-3.42663134551228,4.339912624925,30.2397969886136,3.94135832826699e-05,0.0231686180396628
"Gm29243",2.45778485741298,3.72567166354125,29.6115712065544,4.43002821252128e-05,0.0246705939561514
"Tmcc3",-1.52323352021442,6.44668090985746,29.1119684409194,4.86727960647896e-05,0.0257503427580769
"Rrm2",-1.86338391286754,5.90476514910261,28.4404477876673,5.5330893581288e-05,0.0278788659516004
"S100a11",1.51863096389871,10.0232188386462,27.9872755582741,6.03993294634218e-05,0.0288194908507053
"Foxm1",-1.56816400837127,3.10893383434025,27.7999086317043,6.26451459754487e-05,0.0288194908507053
"Txn1",1.17640601053259,9.34445647766232,27.2107662318248,7.03392452069831e-05,0.0310108147306287
"Capg",1.56006042743,8.34873569152436,26.1358097928646,8.72633515888697e-05,0.0366483652607523
"Galnt12",-0.986261345269109,3.63914533201056,25.9811897512902,9.0053633567674e-05,0.0366483652607523
"Agpat3",-1.0081439614585,5.11808996537863,25.5275411360026,9.88340840094665e-05,0.0387319793668209
"Kif11",-1.95442232891058,5.23155124762783,24.9982144428777,0.000110313777360515,0.0408689557797031
"Tmem64",-1.52917713888427,4.53106441805958,24.7598869705276,0.000115964222699141,0.0408689557797031
"H2-Q6",2.62622629486287,6.27102070106515,24.7553419916786,0.000116075083325245,0.0408689557797031
"Rras2",-1.05970947831641,5.86204931049216,24.6078855111398,0.000119737040844041,0.0408689557797031
"Prrg1",-1.84672450017565,3.0849805408189,24.2726428911405,0.000128553961718925,0.0425071709046234
"Kif4",-1.59715064958212,3.92536547497862,23.6292419085393,0.000147589175850853,0.0439252616599148
"Tiam2",-2.23805893227644,6.8508692299114,23.5145889001901,0.000151302520622035,0.0439252616599148
"Plxdc2",-1.09749403376829,7.19076229700173,23.4328124464753,0.000154015020605765,0.0439252616599148
"Lsr",2.69779078309832,5.27989777634042,23.1495907750646,0.000163839177448655,0.0439252616599148
"Cenpp",-1.65068641008364,4.59079035091667,23.1495083656994,0.000163842136306833,0.0439252616599148
"Cox5b",0.88097332464633,8.00720500598937,22.8180592647065,0.000176241852393364,0.0439252616599148
"Immp2l",-1.48376769641381,7.14411267886698,22.8122341506078,0.000176468978016489,0.0439252616599148
"Cdc25c",-2.56976596023562,1.92446596819853,22.8085665236229,0.000176612149809849,0.0439252616599148
"Pvt1",-1.08670288198686,6.58978660692164,22.7652030836429,0.000178314814758777,0.0439252616599148
"Eno1",1.07517242299655,8.14373306494444,22.4361044223953,0.000191853103528445,0.0439252616599148
"Grm8",-1.92905462197073,2.18958050909056,22.3624948207421,0.000195036493964638,0.0439252616599148
"Ccdc93",-0.788216409029287,4.46979992113215,22.3185396261315,0.000196965623184083,0.0439252616599148
"Prdx5",1.49616176967324,9.09168195414918,22.2423760015624,0.000200359165561953,0.0439252616599148
"Mcm2",-1.14492537093752,4.70644302800393,22.2057104636281,0.000202016156093556,0.0439252616599148
"Xkr6",-1.15394115823124,4.89772326340783,22.1447941383928,0.000204803147054454,0.0439252616599148
"Ubb",1.02755871013624,10.1498315228267,22.0982507506867,0.000206961603233106,0.0439252616599148
"Prdx6",1.27011790739736,8.07556451603894,22.0124705583046,0.000211006783703354,0.0439252616599148
"Acaca",-0.924284867217432,5.48716467535008,21.991762071314,0.000211996570510669,0.0439252616599148
"Pgm2l1",-1.32636382438787,5.2834796667342,21.9862560526785,0.000212260612009471,0.0439252616599148
"Bcl7a",-1.83882405965603,2.39831593101249,21.9117638248041,0.000215869351319873,0.0439252616599148
"Kif22",-1.77079830119732,3.46344179959553,21.7127042741103,0.00022585472261611,0.0450899777358691
"Ccna2",-1.89124546897021,5.07206526188903,21.4970531922426,0.000237260680407047,0.0464899122108697
"Emp3",1.02729144931854,8.04342247704169,21.3458321038306,0.000245643877992302,0.0472574158733918
"H2-Q7",2.47862464031999,8.51880917203973,21.2291724038887,0.000252338143108688,0.0474656804845387
"Diaph3",-1.45890182961899,6.0505726074078,21.1719157946624,0.000255698307118297,0.0474656804845387
"Cep55",-1.46585537879414,4.13490956341588,21.08313976085,0.000261007836439873,0.0476159296098327
"Ncapd2",-1.31230148918628,4.56226029353725,20.78599560973,0.000279699153734672,0.0493045555331933
"Aspm",-2.26630004799575,3.52635982725082,20.7569687050916,0.000281604062800792,0.0493045555331933
"Esd",1.03155013610915,7.76157014468911,20.7161237083602,0.000284309217385684,0.0493045555331933
"Adam19",-1.71435190906617,6.21942873024151,20.4421750032982,0.000303223881386953,0.0493045555331933
"Gna12",-0.8814304400796,5.65761746892959,20.4143977747793,0.000305219230172137,0.0493045555331933
"Zbtb20",-1.14209017066602,8.305696746254,20.3984806638247,0.000306369250533149,0.0493045555331933
"Ect2",-1.84350878598822,4.46737312405702,20.3866128452388,0.000307229868244416,0.0493045555331933
"Rad51b",-1.44134680708245,6.5327447866622,20.3823193977971,0.000307541883110363,0.0493045555331933
"Pin4",1.11451381649581,5.78630733945481,20.2268100400863,0.000319086158887073,0.0496191324861093
"Sem1",0.884245920686346,9.07498393418552,20.1938416192739,0.000321595512598078,0.0496191324861093
"Rcn1",-2.43784621468716,2.8440018742003,19.9392571022288,0.000341735231419177,0.0496191324861093
"Eif4ebp1",0.756467244111476,6.8015807203616,19.8905834770235,0.000345744616186936,0.0496191324861093
"Hmmr",-1.88759791863636,4.34708455548487,19.857594399042,0.000348491999347648,0.0496191324861093
"Plac8",2.94593955258531,9.72917188044298,19.7566845591847,0.000357049052342847,0.0496191324861093
"Tubb4b",0.827570069869928,7.01781829455715,19.7373223168184,0.00035871774707903,0.0496191324861093
"Zfp971",1.25137848265473,1.71980721666558,19.7120374923323,0.000360910046719974,0.0496191324861093
"Prickle1",-2.86180471284457,5.44585204168754,19.6013310038386,0.000370687280440473,0.0496191324861093
"Elob",0.923517831040279,8.7619639505779,19.5903131632428,0.000371676478437058,0.0496191324861093
"Arhgap19",-1.2563666409225,3.57884873906329,19.4641539530867,0.000383216733628043,0.0496191324861093
"Tgfbr1",-1.03437112611069,6.85324090644031,19.4128097112277,0.000388027967097735,0.0496191324861093
"Sap18",0.799955397611798,5.97084094908874,19.3914188637435,0.000390052361019622,0.0496191324861093
"Sec61g",0.840520324548349,9.27828999121654,19.3738987085117,0.000391719262876077,0.0496191324861093
"Cdkn2c",-1.50547781973874,3.67262749097518,19.3099888506554,0.000397867834252434,0.0496191324861093
"Syne1",-1.21700893459481,4.60963546744587,19.256438563366,0.000403103137462869,0.0496191324861093
"Ly6a",4.93958005631398,7.87630990819386,19.2130629765803,0.000407400373199027,0.0496191324861093
"Brca2",-1.35300744839804,3.50279300091944,19.1979853482221,0.000408906131482415,0.0496191324861093
"Ly6c2",5.62777789726197,7.8815300496403,19.0520730853281,0.000423804845236406,0.0496191324861093
"Bora",-1.21316647846614,3.23674197126053,19.0231278835759,0.000426832168660811,0.0496191324861093
"Tbc1d5",-0.842876741094067,7.2426124727009,19.006605746228,0.000428571054301106,0.0496191324861093
"Sra1",0.778230236930809,6.33169443272689,18.9652966287417,0.000432953530797793,0.0496191324861093
"Mrps18c",0.942956743548435,6.02487149533367,18.9365967462155,0.000436027879919794,0.0496191324861093
"Knstrn",-1.29330834531782,4.14331228902475,18.9112394654856,0.000438764547772567,0.0496191324861093
"Itgb7",1.45752185666849,6.15307775767898,18.9049299833776,0.000439448483525555,0.0496191324861093
"Tcf7",-2.23941873376848,5.20282727740931,18.8921835874668,0.000440833818652577,0.0496191324861093
"Resf1",1.81356488678247,7.4946066870699,18.78780878217,0.000452363795038498,0.0496191324861093
"Dynll1",0.791565336193617,8.58648759404156,18.7601088202298,0.000455480243735687,0.0496191324861093
