"","logFC","logCPM","F","PValue","FDR"
"Gm2682",3.71100573547664,5.95987547141866,43.0937893190739,4.86811374395368e-06,0.0515095115247739
"Ablim1",2.11405006821891,7.45328105170232,22.1848784133694,0.000202964436074781,0.995821261498057
"Spry2",-2.8365617838813,5.05409355939378,17.1626705357637,0.000683559819889591,0.995821261498057
"Thrb",2.44113186926988,1.66034076408068,16.3126313433189,0.000855615060749222,0.995821261498057
"Rnf125",1.08194815802567,6.21655234309488,15.3277880006684,0.00111866757693549,0.995821261498057
"Gimap9",1.89046769073361,4.6052992512138,15.0980574910384,0.00119239197329227,0.995821261498057
"Dqx1",-2.99047791145834,1.99868017637176,13.1822491732949,0.00207250973295897,0.995821261498057
"Il18rap",0.978638106201599,5.82342878721085,12.7370858434545,0.00236986145127664,0.995821261498057
"Gm12840",1.89658890637026,4.37318778809756,12.6923520585305,0.00240230580173596,0.995821261498057
"Plpp2",-1.71291513820213,4.74384714320287,12.1933755081443,0.00280019940480149,0.995821261498057
"Ccdc6",0.779858094433508,5.3999282444986,11.9834023244232,0.00298940871702345,0.995821261498057
"Mllt3",0.679586545982399,7.1709334629155,11.724494651353,0.00324282912713914,0.995821261498057
"BC055324",1.19128147888685,2.43460283968498,11.584403042062,0.0033899836092988,0.995821261498057
"Gm41609",-2.69157779891444,6.20498762534665,11.5811058987143,0.00339353642894351,0.995821261498057
"St3gal6",-1.36634330274002,4.45625830044482,11.4209349081991,0.00357128585391866,0.995821261498057
"Frmd5",2.20673951106915,5.56070389254257,11.0863907316184,0.00397742512313865,0.995821261498057
"Tmem126b",-0.971412130154269,2.91313364623026,10.9032426899505,0.00422166591736577,0.995821261498057
"Rubcn",-1.0618256019859,3.59431069638284,10.8859728652357,0.00424555546146065,0.995821261498057
"Camk4",1.47488702086688,8.67112177594001,10.8141441718808,0.0043465653352814,0.995821261498057
"Gm48228",2.52368863968083,2.05284899730944,10.4651909226494,0.00487748710479263,0.995821261498057
"Parp1",-0.727124678755603,5.43091844404291,10.2010575175056,0.00532815394491516,0.995821261498057
"Mettl1",-0.848931853163448,4.00727667272931,10.1652547792517,0.00539278117180275,0.995821261498057
"Itga11",1.64941048681812,2.041195324446,10.0216184005689,0.00566110272093295,0.995821261498057
"Tfdp2",1.270435424683,5.3531112593954,9.97616760272722,0.00574912152379849,0.995821261498057
"Herc3",1.15392312999079,5.56715143934941,9.81575139873433,0.0060723579615257,0.995821261498057
"Letm1",-0.595410530185755,4.98605019179132,9.77129656657867,0.00616552968041216,0.995821261498057
"Prss12",-2.60167250066148,1.93355644459332,9.74748268611034,0.00621610382821994,0.995821261498057
"Anks3",0.739045262994343,3.89407919662981,9.74282598080832,0.00622604805292704,0.995821261498057
"Gem",0.775079157084812,5.61844927592775,9.69252485804362,0.00633461707661167,0.995821261498057
"Trim47",-1.04285171592174,4.32721966855501,9.62248010792846,0.00686581625983217,0.995821261498057
"Lxn",-0.795294667156164,4.76500029308263,9.36744402642384,0.00709007774131031,0.995821261498057
"Dclre1a",-1.61989576517865,3.12737974457262,9.20886797034801,0.00749517548038423,0.995821261498057
"Setd1b",0.884774928361271,4.69420618059118,9.20076414060087,0.00751656953456385,0.995821261498057
"Myo1d",2.01685577312635,5.41779795995768,9.16910261440005,0.00760081995334256,0.995821261498057
"Dixdc1",-1.57274852906216,3.09491658375947,9.16107493474237,0.00762235066397009,0.995821261498057
"Spaca9",-1.22012666686967,2.53077322417466,9.06282123542067,0.00789153659279035,0.995821261498057
"Septin1",1.14723005429814,6.06732270232047,9.03387788180172,0.00797287024091139,0.995821261498057
"Uspl1",0.760506577055451,4.4456386461111,8.85821291831239,0.0084873236589106,0.995821261498057
"Gm43774",1.36263083219405,0.684216696278714,8.80171303007213,0.00866069182475022,0.995821261498057
"Trmu",-0.829261950912495,2.54002026970428,8.79617491782978,0.00867789984649325,0.995821261498057
"Frmd4b",-0.833945087521152,6.63166341227281,8.71556642184671,0.00893279671510591,0.995821261498057
"Gpr68",1.21099108500333,4.8000419174826,8.68693548070518,0.00902536277395586,0.995821261498057
"Myo10",1.83559144453098,8.01332348765348,8.65937567387716,0.00911549225455505,0.995821261498057
"Poll",-0.969743254932999,2.31175534364738,8.65839334945172,0.00911872352024358,0.995821261498057
"Adarb1",2.65638326339629,4.28762912576348,8.63769808835588,0.00918710090659472,0.995821261498057
"Hmga1",-1.58549306420101,5.58558771712017,8.62916423827949,0.00921546566797601,0.995821261498057
"Mast4",1.93864868891648,7.48114289861804,8.60471844017809,0.00929726861773068,0.995821261498057
"Sgcz",1.25768742488816,0.161589806204908,8.60277508825211,0.00930380683682359,0.995821261498057
"Mrpl58",-0.601589906598164,5.41580437328107,8.59763122195127,0.00932113800719253,0.995821261498057
"Bhlhe41",-1.53709561349459,4.82798317368531,8.68157056074189,0.00949823316533839,0.995821261498057
"Ly6c2",-3.3530514932503,7.8815300496403,8.39500799389301,0.0100338125655317,0.995821261498057
"Rras2",0.632523647029459,5.86204931049216,8.38348300769246,0.0100761666202976,0.995821261498057
"Tnfrsf23",-1.4997683030523,5.84742409783658,8.29643518431755,0.0104026856472265,0.995821261498057
"Plat",1.83331351236099,6.09892873032048,8.23791877040422,0.0106289172254239,0.995821261498057
"Plekha5",0.650858466248093,6.73957674407614,8.20671893315072,0.0107518144288843,0.995821261498057
"Cdca7",-1.15889374241604,3.64849368139915,8.17300927290713,0.0108864107487607,0.995821261498057
"Ntpcr",-0.676249824840073,5.05735043604651,8.12419035590161,0.0110847335590548,0.995821261498057
"Dcakd",-0.669871693502661,4.29330531077006,8.08011280489138,0.0112673178140339,0.995821261498057
"4930503L19Rik",-0.739998870951501,4.57596048169319,8.04438354070756,0.0114178240061483,0.995821261498057
"AU020206",-0.752879804333343,7.70903964359413,8.00480793713295,0.011587198740819,0.995821261498057
"Rgs19",-0.712438873042375,4.64094033559456,7.95262777308617,0.0118148887750334,0.995821261498057
"Mboat1",-1.91011472088486,4.91385778361222,7.8893170314871,0.012097988417085,0.995821261498057
"Psd3",-0.841149479448075,6.93735472031845,7.85857615609902,0.012238217587464,0.995821261498057
"Zfp60",1.33756964019913,1.95409283463756,7.8420465781682,0.0123143812615732,0.995821261498057
"Elp6",-0.894032923781345,2.62909569207382,7.82921530295382,0.0123738748861582,0.995821261498057
"Tmem64",0.906933408225625,4.53106441805958,7.79266302150462,0.0125451485366392,0.995821261498057
"Bag5",0.845799677001688,3.98461828339978,7.77530885943559,0.0126274054771687,0.995821261498057
"Gabbr1",1.34987429854721,4.19010087243415,7.7355243207461,0.0128182994336821,0.995821261498057
"Skap1",1.54820398690529,8.44597625875866,7.6989158845793,0.012996850493133,0.995821261498057
"Ppat",-0.625793676337937,4.53196273770729,7.69752498586205,0.0130036897830425,0.995821261498057
"Il18r1",1.40163193523478,6.97183771116506,7.68881192482623,0.0130466264409558,0.995821261498057
"Cd247",1.55883355728536,6.95795451655861,7.67303981548624,0.0131247588136674,0.995821261498057
"Cacybp",-0.598503013592058,6.42880724859072,7.65350644346966,0.013222260844072,0.995821261498057
"Airn",1.48169512833576,6.37036487420698,7.58930264332983,0.0135485768036848,0.995821261498057
"Trac",1.44507416476887,7.11332467575407,7.54247200817549,0.0137923614913615,0.995821261498057
"Pogk",-1.49549051785249,4.21959814130497,7.48068297156647,0.0141216711434235,0.995821261498057
"Hspa2",0.821182643155909,3.13420161455207,7.46475633989341,0.014207994321775,0.995821261498057
"Gm20186",0.875398327730395,6.89588371286478,7.40342728893464,0.0145460433181518,0.995821261498057
"Pvt1",-0.615449502977298,6.58978660692164,7.30224954042688,0.0151239035746706,0.995821261498057
"Plekhn1",1.33772155767641,2.53284172359219,7.24569802252693,0.0154582279187372,0.995821261498057
"Hip1r",0.911548818686634,5.85332311756753,7.20961652800018,0.0156759232291583,0.995821261498057
"Tm4sf1",1.34367667215269,8.53657209851915,7.18401413069409,0.0158325072789924,0.995821261498057
"Dffb",0.917987242775395,2.35600724467625,7.17176688182907,0.0159080394237974,0.995821261498057
"Tox",1.50539553275931,8.35350140631278,7.15822097047194,0.0159920582277042,0.995821261498057
"Spsb3",0.809961783567897,3.89168627416498,7.08518929842335,0.0164538228066003,0.995821261498057
"Lmtk2",0.869889011755542,5.52589311331406,7.07640298694787,0.0165103915926333,0.995821261498057
"1700052K11Rik",-1.2892909434118,1.12259311275721,7.06601719136126,0.0165775437222525,0.995821261498057
"Spon1",-1.27598738080025,5.35644716492246,7.13199156057589,0.0167747277206986,0.995821261498057
"Trbc1",2.0743415200242,7.2511304152733,7.01051734877877,0.0169417001039426,0.995821261498057
"Tmcc3",-0.737301450633736,6.44668090985746,7.00082843188162,0.0170062013363979,0.995821261498057
"Eml5",0.87239248295543,4.27322874058256,6.96742430687497,0.0172307311217949,0.995821261498057
"Gatc",-0.806684026570034,2.83421662884489,6.95377450459346,0.0173234489454591,0.995821261498057
"Lck",1.51780253729924,6.59640355524232,6.94939516058316,0.0173533162969083,0.995821261498057
"Kifc5b",1.09152360622985,1.81127775130415,6.946576657922,0.0173725696136337,0.995821261498057
"Zfp867",-1.70694093795814,1.74270677585559,6.93744861267365,0.0174350906995672,0.995821261498057
"Fhit",1.61183331173618,5.03842493490811,6.89235795902345,0.0177477122556828,0.995821261498057
"Prkd2",0.86372720657809,4.05186815218381,6.89114981151088,0.0177561758653564,0.995821261498057
"Mindy3",-0.948740546617655,6.20968569683149,6.8703391831932,0.0179026869303207,0.995821261498057
"Tspyl1",0.557067456180611,4.66979662639972,6.84063309354726,0.0181142137353806,0.995821261498057
"Pdss1",-0.746779429950641,4.13251148988485,6.79315617964194,0.0184582141923404,0.995821261498057
"Rwdd3",1.25048860969263,0.765712400322906,6.78725916906202,0.0185014586943462,0.995821261498057
"Tubgcp5",-0.602679277386855,4.28855423672196,6.78441918317252,0.0185223262821192,0.995821261498057
"Gm56730",1.60058070713063,6.28738912533017,6.77930980318372,0.0185599363786704,0.995821261498057
"Krt19",2.18844548728739,9.18545331730597,6.77411799325595,0.0185982423257959,0.995821261498057
