,gene,tx,de_coef,de_se,de_pval,de_padj,dv_coef,dv_se,dv_pval,dv_padj
0,Mrpl15,treat,-0.4936279316021721,0.016223825060237985,2.6114648047876364e-07,1.0275168139070753e-06,-0.007196050220181033,0.07089253387325907,0.9173082691730827,0.9440793261412179
2,Lypla1,treat,-0.7591638108723413,0.023447555876147767,6.974670819555251e-07,1.8573219732374945e-06,-0.008165766708161368,0.12768565571447302,0.9496050394960504,0.9657502666821448
4,Tcea1,treat,-0.49626308908575517,0.013187661837924624,2.7946140765932307e-05,3.474792479658285e-05,0.1503327072411923,0.03753743489007746,0.0003982527787486811,0.0024112024419947376
6,Rgs20,treat,-1.305807595858821,0.03242536380043412,8.664905238608825e-08,5.917091182002973e-07,-0.22216242169509248,0.06008849219312834,0.0007649669086659066,0.003738590271190019
8,Atp6v1h,treat,-0.8221914101452703,0.022458713178108512,7.027212894262398e-07,1.8644952205403777e-06,-0.09610496875421158,0.10840365930892691,0.3842615738426157,0.5095630888714131
10,Rb1cc1,treat,-0.8380772736105296,0.016748407810054128,6.810293510608251e-06,1.1408026226295388e-05,0.1830047573209556,0.04568714172634523,0.0007902243661821866,0.003827991022443796
12,Pcmtd1,treat,-0.8822712302625163,0.017221920110853897,2.868868610031665e-07,1.076391568513352e-06,-0.018601975983784814,0.03908399949172979,0.6352364763523648,0.7329532337939445
14,Rrs1,treat,-0.6064252666744532,0.025964047816124346,1.3159160632842523e-05,2.0046297089135185e-05,-0.009731919686357837,0.08828619536356756,0.9139086091390861,0.9419138784049621
16,Vcpip1,treat,-0.8668942506803005,0.020962398268975432,7.000968373925853e-08,5.314550369636404e-07,0.20847572959534358,0.06606284738020768,0.0018998100189981002,0.007055931517447513
18,Snhg6,treat,-0.1718149179805609,0.012613025784814212,0.00014198830555690967,0.00014888843623858352,-0.12271126164595982,0.06304493191216853,0.05219478052194781,0.10877461316712872
20,Cops5,treat,-0.5330191754252704,0.014486619205262482,3.0044186332209023e-05,3.672844457711907e-05,0.19170386432435774,0.048381581482151326,0.0005002326119813863,0.002827782441164458
22,Cspp1,treat,-0.869632461423192,0.017896358539859568,4.333616541678727e-05,4.9441103253748965e-05,-0.08002224759023002,0.05156927602036596,0.13338666133386662,0.2307169356270815
24,Arfgef1,treat,-0.8745148878816538,0.01564806526267746,1.6829499741959228e-05,2.4110292869676618e-05,0.103174836278574,0.03560927863452057,0.005099490050994901,0.015953419553774512
26,Prex2,treat,-0.8875332280059954,0.0410458220365418,2.8027900149965105e-08,3.528607017338522e-07,-0.04084198336111022,0.12143925835400689,0.7387261273872613,0.8137180221371803
28,Sulf1,treat,-0.26038578990506245,0.06072482635364796,0.00032639476953406134,0.0003366168667466624,-0.8608952243688425,0.45636841252599575,0.0628937106289371,0.12606754170818338
30,Ncoa2,treat,-0.9472315574655324,0.017286034342094397,1.5421519080720372e-07,7.789886522281573e-07,0.04502280008340922,0.036153410882875915,0.21037896210378962,0.32653827735965113
32,Tram1,treat,-0.7216122245419264,0.014790489352410256,2.1107289066047557e-05,2.8259666944781905e-05,0.129382095099871,0.03498137361195675,0.001099261221518419,0.004882740186777851
