,gene,tx,de_coef,de_se,de_pval,de_padj,dv_coef,dv_se,dv_pval,dv_padj
0,Mrpl15,treat,-0.13984421806263753,0.012806319746258043,0.0001455870430426166,0.0003749340869472697,-0.05082821085049821,0.0569450621792055,0.3742625737426257,0.5806921998709219
2,Lypla1,treat,-0.12992074401873252,0.01698937722736411,0.00023222463589686254,0.0004849530522928412,-0.00969991484694052,0.100605596702945,0.922107789221078,0.9588734439092648
4,Tcea1,treat,-0.013583940564841846,0.010044015448557838,0.1735826417358264,0.19718914157572526,0.045334690480802804,0.033436911623210296,0.1745825417458254,0.37267800136136076
6,Rgs20,treat,-0.2179842014437019,0.024062621823598,2.016203881640809e-05,0.00013875385035782263,0.14313016019008662,0.05593864740549555,0.009999000099990002,0.050453800409930624
8,Atp6v1h,treat,-0.15578540749952377,0.01688181947822111,0.0001653824993749088,0.0003992159132908242,-0.06966112802301877,0.07284817052277189,0.3417658234176582,0.5504374868081322
10,4732440D04Rik,treat,-0.20703373088226545,0.04425006709866442,0.00022039068679773657,0.00047091163034568224,0.26508492012427376,0.22663800675665166,0.24697530246975302,0.4546920178537893
12,Rb1cc1,treat,-0.20418563541442164,0.01185273255979708,9.931778816842398e-05,0.00031112795591907986,-0.040895506479344874,0.03677229642520904,0.2652734726527347,0.47433924949213624
14,Pcmtd1,treat,-0.22110504025036218,0.01280877300013026,9.932807228516172e-05,0.00031112795591907986,-0.0856225416694292,0.035642064842506566,0.016698330166983303,0.07348229698482298
16,Rrs1,treat,-0.09612408337887746,0.019503413289909653,0.0002590369101360427,0.0005234273853788073,-0.07164818510413873,0.05702545899336636,0.2101789821017898,0.41533516155609335
18,Vcpip1,treat,-0.18843651600925956,0.015052751003838728,0.0001684106776138855,0.00040293155276697605,-0.08238967197151055,0.05748188021658331,0.1546845315468453,0.34569870060972113
20,1700034P13Rik,treat,0.3554642112211024,0.10286681069943726,0.0007523557878760252,0.001175363091574921,-0.025050205348569558,0.3754926961589505,0.9458054194580542,0.9718626730911343
22,Snhg6,treat,0.2550838497924578,0.009860212664470642,3.550682356512603e-07,2.2020423660999965e-05,-0.15492493773809016,0.036410793112998635,0.0002970312220999397,0.004529047184831603
24,Cops5,treat,-0.10536477466679965,0.0112054971609528,0.0003153416881974837,0.0005991716758109296,-0.038346796348968745,0.043522804549636,0.38986101389861016,0.5950773200711965
26,Cspp1,treat,-0.1829322249436804,0.013111092431678505,0.00011948415217225645,0.00034033042756247253,-0.10875102120506437,0.03788712390111563,0.003999600039996,0.024158399562082298
28,Arfgef1,treat,-0.17267043336360824,0.011298784024776383,0.00011777116400442704,0.0003378873067335189,0.0415784114178648,0.0304058488860993,0.1710828917108289,0.3686005263339551
