,gene,tx,de_coef,de_se,de_pval,de_padj,dv_coef,dv_se,dv_pval,dv_padj
0,Mrpl15,treat,0.2601898017558882,0.06654196963875592,0.0010692836584996616,0.002842012452073908,-0.4875743152590416,0.3346074219661889,0.12538746125387462,0.4426733166917112
2,Lypla1,treat,-0.09745265432263958,0.05982781625057574,0.104989501049895,0.15176783079569983,0.07903041153659454,0.36720325139077464,0.8121187881211879,0.9273726691603051
4,Tcea1,treat,0.23313500213326355,0.04446403519874999,0.0007885804163455095,0.0022654105658629618,0.19445931316892723,0.19588069381629555,0.25547445255474455,0.6008444890185
6,Atp6v1h,treat,-0.1938233563134888,0.04556682248475884,0.0004147674642569304,0.00148611258790006,0.06055425643479302,0.21854313765124447,0.7675232476752325,0.911788467170982
8,Rb1cc1,treat,-0.12676733016042285,0.04411806636765268,0.0040995900409959,0.008407987724147789,0.14593314675542843,0.24223301190019275,0.4560543945605439,0.7500412127079422
10,St18,treat,-0.7409846485195509,0.12649010412016126,0.00014018335820836355,0.000813256606064776,0.22008082221514572,0.17603940241313756,0.2146785321467853,0.5609782805503234
12,Pcmtd1,treat,0.015544590949230427,0.06251182172294735,0.7988201179882012,0.8382580302849982,0.5076780803057784,0.23725507583646094,0.038396160383961604,0.2598462842791351
14,Vcpip1,treat,0.10568769380985943,0.05985024449469223,0.0760923907609239,0.11425681546202122,0.4156609078203604,0.3238081290276779,0.15458454154584542,0.4856648275354519
16,Sgk3,treat,-0.12324060576365323,0.0516828072007419,0.0164983501649835,0.029424222932037503,-0.1677170099496818,0.1962052822986871,0.38206179382061795,0.7019535248705236
18,Snhg6,treat,0.5534590355111432,0.07443639106791906,8.911148350933365e-05,0.0006539186518592549,0.10408198161979758,0.23391107960045002,0.6241375862413758,0.8406893189142337
20,Cops5,treat,0.4065385345349026,0.07122497846976471,9.446716450430573e-05,0.0006698548398395748,-0.1883705253208012,0.3646783869200607,0.5671432856714329,0.8135983869967435
22,Cspp1,treat,0.41947776208913956,0.10531476922481989,0.0013218073189166508,0.003292254105672813,-0.06239554694529144,0.23358634203223327,0.7697230276972302,0.9128745231153312
24,Arfgef1,treat,0.06776021280198478,0.055622122073047314,0.22597740225977403,0.2947425250276844,-0.19897047891350164,0.17258534991365385,0.24067593240675933,0.5864058755414782
26,Ncoa2,treat,-0.1847414458060491,0.047289346153098086,0.0005161991362362328,0.0017131004301466188,-0.09108555030065833,0.1628165046484414,0.5776422357764224,0.8179896714487894
28,Tram1,treat,-0.1237639985889048,0.03873684961721568,0.0016998300169983002,0.003918692100255624,0.1995209130698562,0.16160706545204384,0.1745825417458254,0.513091825689849
30,Lactb2,treat,0.2157741811739931,0.08270539223367575,0.0100989901009899,0.018904307916315807,1.1950664387233574,0.3950327740279828,0.013998600139986002,0.15769534157695342
32,Terf1,treat,-0.11904634275221464,0.09337936326493466,0.203979602039796,0.27087654004845024,-0.28140184467700335,0.3813316047728915,0.43785621437856215,0.7378523814672167
34,Rpl7,treat,0.0817110358620146,0.021425668010937888,0.0005788361739453151,0.0018457565282690908,-0.21520513945666364,0.05463895367158428,0.0005002944403801036,0.024221338274091286
36,Ube2w,treat,0.03843830384787617,0.06333541315189348,0.5474452554744526,0.6186285019767434,0.002872377922974191,0.3050756307277448,0.9918008199180082,0.9979211377960053
38,Eloc,treat,0.41168091473698426,0.03989400197137974,2.415978560161102e-05,0.0004007510898203571,0.12127902496184279,0.1899387610977324,0.48255174482551744,0.7700329680877389
40,Tmem70,treat,0.10129255381169962,0.10120058401345707,0.31226877312268775,0.38768826097862985,-1.0734753685527507,0.7153600839771341,0.12348765123487651,0.44003859201100537
42,Ly96,treat,0.31518198369878037,0.08094721662868758,0.0005076263160065762,0.001693177882381806,-0.6039869443958762,0.2692438455970536,0.0354964503549645,0.25149391219235845
