,gene,tx,de_coef,de_se,de_pval,de_padj,dv_coef,dv_se,dv_pval,dv_padj
0,Mrpl15,treat,-0.39570872540965313,0.07174019696584541,5.616269429470274e-05,0.0003250167283288539,0.6032948402909588,0.7450183038950399,0.35776422357764226,0.6300035321077857
2,Lypla1,treat,-0.1567229783808054,0.06664035949977551,0.0184981501849815,0.027862689409061673,-0.984257408318588,0.6472513887706478,0.10108989101089891,0.33337750108118314
4,Tcea1,treat,-0.20031530896049293,0.04993255515045058,0.0002697957360253388,0.0007590729342952579,-0.0919527729751277,0.20405757998534402,0.6518348165183482,0.8332858038397074
6,Atp6v1h,treat,-0.02159256966047676,0.048990049631502414,0.6536346365363463,0.699302122990575,-0.2862287937639356,0.15958056603558743,0.0724927507249275,0.28791388738538176
8,Rb1cc1,treat,-0.015168953312468944,0.04967790398545648,0.7615238476152385,0.797895476210726,-0.4100858132901451,0.2559539540684423,0.1044895510448955,0.33962743994992045
10,St18,treat,-0.5792453764820363,0.1099644230018748,0.0001654410676854278,0.0005574177138481577,0.1421267217734669,0.18346108272665562,0.4477552244775522,0.7028671264234257
12,Pcmtd1,treat,-0.4553096546036251,0.07095998151256673,6.741410136369917e-05,0.000346846097004935,-0.042126572638329446,0.24758726897687788,0.8624137586241376,0.935611132922339
14,Vcpip1,treat,-0.3261776528030973,0.0659421440425124,0.001113090018145416,0.0022306275994969636,-0.560391277337833,0.437012392987935,0.1416858314168583,0.39832082628750376
16,Sgk3,treat,-0.14842014659030833,0.06218871089693133,0.016198380161983803,0.024648024434347174,-0.1885072696197606,0.2515084645508315,0.4316568343165683,0.6885649707197048
18,Snhg6,treat,0.0761880150410734,0.09847906397202916,0.43965603439656037,0.49448938102011086,1.134444731265212,0.4319104965291891,0.004999500049995001,0.05325190464210809
20,Cops5,treat,-0.09173242579018151,0.07217609894271877,0.202979702029797,0.24859152166687426,-0.4899522729736239,0.7230643337773858,0.42155784421557846,0.6827266359223833
22,Cspp1,treat,-0.24389907940284217,0.08777516172823574,0.0052994700529947,0.008771450196512988,0.07044026954077498,0.32786917582884023,0.8142185781421858,0.9132716156177297
24,Arfgef1,treat,0.09786266366620076,0.04998299747223317,0.0514948505149485,0.07167083609856993,0.3378239406358141,0.17729473495406228,0.05749425057494251,0.2549301047124889
26,Ncoa2,treat,0.0562566699512147,0.04973425094364851,0.2596740325967403,0.31063228719863056,0.24937062169938662,0.12976151048552664,0.05369463053694631,0.24720725295891463
28,Tram1,treat,-0.16556541061739982,0.0448285951160982,0.0007514750807917656,0.0016256020449399616,-0.417656639445589,0.20158823389272099,0.0397960203979602,0.2075205296161889
30,Lactb2,treat,-0.3122727980841589,0.08776994160260569,0.0009156115249257902,0.001903014390089302,-0.2888826552296227,0.3341875464745174,0.3574642535746425,0.6299684230972673
32,Terf1,treat,-0.2948468398836735,0.1060851736033831,0.006399360063993601,0.01042671053034394,0.16737988018755243,0.4255291442136432,0.6593340665933407,0.8362781768570742
34,Rpl7,treat,0.05655522829941096,0.018972746031553682,0.0032996700329967,0.00566235676579473,-0.01229980380989366,0.07201131461964849,0.8628137186281372,0.935611132922339
36,Stau2,treat,-1.1953803238901444,0.1471301775277449,1.3710675782853856e-05,0.0002164559414876451,-0.605408131937112,0.45591609888012224,0.14908509149085092,0.40844960887322845
38,Ube2w,treat,-0.36729318763146895,0.06633780524456442,0.00014326999393153583,0.0005117934750040264,-0.07292557553799973,0.23356693708738246,0.7424257574242575,0.8791024450854406
40,Eloc,treat,-0.07851638270349749,0.046691594759031056,0.09299070092990701,0.12273650039748948,-0.45259267752411797,0.5654950539532361,0.45465453454654536,0.7064059513729124
42,Ly96,treat,-0.1550467417880147,0.09177406788098731,0.0893910608939106,0.11847701593477016,0.6793682159368519,0.41870419933010106,0.09729027097290271,0.328114369285963
44,Mcm3,treat,-0.3949564640984706,0.09249647882116498,0.0005024841252808282,0.0011891727794099548,0.24421274712509372,0.31943493577479415,0.42655734426557346,0.6860697026301045
46,Tram2,treat,-0.15574028857292202,0.11921814110904075,0.19158084191580843,0.23591109127693602,-1.0601946438298242,0.6008173103404297,0.06819318068193181,0.2789105075465569
48,Ogfrl1,treat,-0.18700283910871102,0.06775566094723627,0.007999200079992,0.012815568260023814,0.2918634291313696,0.2547139769756649,0.24337566243375663,0.5244206265738461
50,Smap1,treat,0.15301380808204548,0.047915215478912025,0.001999800019998,0.0035709621178734384,-0.20530153815540053,0.22557576237572188,0.3330666933306669,0.6068213277604808
52,Sdhaf4,treat,-0.5294928318093726,0.11168395413194909,0.0003120350662877023,0.0008410832028650266,0.4862641343957024,0.8591171595392397,0.47195280471952805,0.7201489781335455
54,Lmbrd1,treat,-0.1211354417881239,0.04476002486298859,0.007999200079992,0.012815568260023814,-0.5223533570030038,0.1571504404377175,0.0016998300169983002,0.024679274811108102
56,Phf3,treat,-0.2443993626789826,0.048972258469020334,0.00010355921103901615,0.00042563996599729003,0.029909971378846743,0.20354975917053705,0.8798120187981202,0.9438792744978146
58,Prim2,treat,-0.42509417966935176,0.11254003982976579,0.0009071882888208084,0.0018893331685703259,-0.03479270678571441,0.32212722907860203,0.9037096290370963,0.9548003909675338
60,Zfp451,treat,-0.38882791832175867,0.07368376015791755,0.000184163777434127,0.0005997106163257425,-0.1611655582952576,0.23636366493264946,0.5010498950104989,0.7381783505859939
62,Dst,treat,-1.0553278120330005,0.10751742398156512,1.0392330431748688e-05,0.00021625337860416835,0.8966511114344473,0.18606221389262764,9.411023571654447e-05,0.006178942895034811
64,Ccdc115,treat,-0.04191624283412666,0.07025225678831193,0.5532446755324467,0.6063596302859925,-0.28833778073310173,0.7077389445487927,0.6152384761523848,0.8140364636253336
66,Imp4,treat,-0.14925205823837354,0.08326716468659177,0.07119288071192881,0.09597529940706566,-1.4000531859702319,0.679219297759659,0.0755924407559244,0.292910243859335
68,Ptpn18,treat,0.09433975097637322,0.03223753173966146,0.0053994600539946005,0.008915861599304912,0.4092333702268123,0.1158571764679816,0.0010559826768930425,0.019294430216442587
70,Fam168b,treat,-0.32702507276972503,0.05549667341306633,0.0007197143431744747,0.0015735981088564532,0.019637649220830132,0.30180417839244483,0.943005699430057,0.9718930610620822
72,Plekhb2,treat,-0.20954805021557282,0.05596619822483299,0.0007998629629996131,0.0017029026513755074,-0.07812798918645569,0.2417944670336735,0.7322267773222678,0.8755890513801856
74,Hs6st1,treat,-0.29456202241976565,0.07034737334168599,0.00041453503631963794,0.0010397549047185758,0.3063193906442125,0.20726998570165572,0.13808619138086192,0.3915426123514067
76,Uggt1,treat,-0.09563303980869803,0.05597814551498001,0.08649135086491351,0.11491674071628342,0.5784458414656167,0.29601225154192745,0.053394660533946606,0.24663751446637516
78,Neurl3,treat,-0.2050148227526511,0.05083109827019295,0.00042620372574883223,0.0010610365253611981,-0.07654853724921677,0.11742384094846343,0.5185481451854814,0.7503721918957814
80,Arid5a,treat,-0.35097979893906794,0.06992710422395364,0.0001350237160773552,0.000493160733355601,-0.1643703641078674,0.41624488386077096,0.6261373862613738,0.8194482346828892
82,Kansl3,treat,0.03133803667889524,0.07271922062311333,0.6658334166583342,0.7109402273077545,-1.1151700136623188,0.6335746129773843,0.0628937106289371,0.26626145612903923
84,Lman2l,treat,-0.3486864492157017,0.1064009281163955,0.0011998800119988001,0.0023612936794059625,-0.8268346910224755,0.6977050768334977,0.18488151184881513,0.4571734346000029
86,Cnnm4,treat,-0.0680479331299862,0.11124566037126775,0.5472452754724527,0.6007250882754861,0.15431297260180832,0.854903357510981,0.8281171882811719,0.9203816360186783
88,Cnnm3,treat,-0.5793086288059223,0.12786042867903236,7.679767419402938e-05,0.00036559872381620247,-1.629919168460992,0.843840582659852,0.051394860513948606,0.24120546446024738
90,Cox5b,treat,0.26465844416655826,0.03324332246888754,5.450170250290236e-05,0.0003210512023778891,0.021909092305526963,0.18259026232456155,0.9006099390060994,0.9539077271325387
92,Actr1b,treat,-0.35352652893243264,0.08882154531717158,0.0006908638401381798,0.0015261606350605867,0.01830914700363719,0.33324497700024663,0.9567043295670433,0.9792537049848166
94,Tmem131,treat,0.17965081599369281,0.06087030567097629,0.0026997300269973002,0.004700848651138867,0.4542546392210704,0.11393835069724584,0.000637394078009445,0.014946963236264267
96,Inpp4a,treat,-0.12592865487932772,0.07626349258370012,0.10128987101289871,0.13281366260975552,-0.07504976956903471,0.29422955678750035,0.8078192180781922,0.9106183775952303
98,Coa5,treat,-0.10098459950121814,0.06604018354295796,0.1264873512648735,0.16229528495628617,-0.7429551762198446,0.515132933586862,0.1267873212678732,0.375298987430082
100,Unc50,treat,-0.3352211362635604,0.07396653412640915,0.000331252682359031,0.0008780705572532194,-0.9659691711293514,0.8471201340739786,0.21237876212378762,0.48776717339752734
102,Mgat4a,treat,0.0011889195962284226,0.04433774862176293,0.9774022597740226,0.9811879233823857,0.08394863912291735,0.1374637122057261,0.5472452754724527,0.7719456637283258
104,Tsga10,treat,-0.3188823284757581,0.12428792195975959,0.010198980101989802,0.016056797019960548,-0.7511958019216065,0.5010656768350421,0.10288971102889712,0.3364589709253374
106,Mrpl30,treat,-0.14050240947637063,0.04644505301778338,0.001999800019998,0.0035709621178734384,0.13074338235719546,0.3050326787308951,0.6474352564743525,0.8309854854411975
108,Txndc9,treat,-0.24182502883674126,0.059991333673179756,0.0004910680457592088,0.0011676840585195187,-1.2884722866842138,0.7383919307465867,0.0644935506449355,0.2695441845201288
110,Eif5b,treat,-0.15439738839101902,0.04256048767719165,0.0020786735297030176,0.003707073741300132,0.016955632960664112,0.17386042076519737,0.9192080791920808,0.9606268281638313
112,Rev1,treat,-0.27406369862590046,0.08556277325634676,0.0014998500149985001,0.00280640385159345,0.030288419989879425,0.24231830130678048,0.9000099990001,0.9539077271325387
114,Aff3,treat,0.7409027534980958,0.3380838058665578,0.036696330366963306,0.05242975089996105,-0.707260741740812,0.31844652192405615,0.045995400459954004,0.22477361202427246
116,Pdcl3,treat,-0.40995300721547256,0.058746257950524176,2.755322849554766e-05,0.00025634193466515744,-0.9115874279080141,0.5847147276384936,0.09549045095490451,0.3268363558573446
118,Rpl31,treat,0.39653684345968665,0.02358330795164533,1.6268818519184532e-06,0.00019789217556075844,-0.002020543987742945,0.09160642204181878,0.9826017398260174,0.992100270567374
120,Tbc1d8,treat,0.005021060753665832,0.08605451648287582,0.954904509549045,0.9635411603015015,0.037229485858243296,0.24136941503427883,0.8801119888011198,0.943944061239655
122,Cnot11,treat,-0.2762681154423134,0.11820872797198737,0.0211978802119788,0.031569007389535574,0.28058727873557254,0.713315146228096,0.6501349865013498,0.8322013234930393
124,Gm15832,treat,-0.29312136872775485,0.08550148441482183,0.0011998800119988001,0.0023612936794059625,-0.22870616915491923,0.5138656426789541,0.5843415658434157,0.794475237248341
126,Rnf149,treat,-0.19499714415041544,0.04496629192713578,0.00032142680158133276,0.0008588563411478299,-0.016473159832812757,0.12951190138218913,0.8966103389661034,0.951976809601698
128,Map4k4,treat,0.3029974650703983,0.045432737263789005,0.00013444497389747463,0.0004918170033113055,-0.0830277581346705,0.1343078823581044,0.5413458654134586,0.7667149091607738
130,Il1r2,treat,0.32738589166601073,0.08925354419120116,0.0008757654829299967,0.0018349122304024302,-0.028757053401550978,0.1348150322866903,0.8384161583841616,0.92368329287978
132,Il1rl2,treat,0.20189766696853845,0.10881603157327052,0.06469353064693531,0.08794198280249675,0.4974882627320139,0.5908127406769902,0.34026597340265974,0.6135483849193024
