,gene,tx,de_coef,de_se,de_pval,de_padj,dv_coef,dv_se,dv_pval,dv_padj
0,Mrpl15,treat,0.20573598010796074,0.07882584342648663,0.010198980101989802,0.027488848851292498,0.4830084731819938,0.5133503059687053,0.28947105289471053,0.635644836504701
2,Lypla1,treat,-0.028578756654557145,0.0648965494987592,0.6565343465653435,0.7563461368786828,0.8285266113251367,0.7278310443972471,0.18418158184181582,0.5269261428755461
4,Tcea1,treat,-0.07262314565320255,0.049704911987544204,0.145985401459854,0.24178588026697598,-0.13218984827258537,0.2550306813448134,0.5716428357164284,0.822411671472258
6,Atp6v1h,treat,-0.1081039289673458,0.04644513019207688,0.021597840215978402,0.05156661348905603,0.23092477170816125,0.24000597259217596,0.30546945305469453,0.6463206088000697
8,Rb1cc1,treat,-0.05932209203756354,0.04746572465303796,0.20417958204179582,0.31586101759639124,0.1650240556030979,0.352736953552127,0.5936406359364064,0.8330023396301366
10,St18,treat,-0.034140475493537444,0.11629393739198399,0.7696230376962304,0.8442126552759324,-0.0203196442271266,0.16819093824110617,0.9084091590840916,0.9741834581482091
12,Pcmtd1,treat,0.007835455687101315,0.07019171961911967,0.9104089591040896,0.9417446726505295,-0.6123960137219637,0.3009560543731064,0.0425957404259574,0.2989911893164425
14,Vcpip1,treat,-0.011043857154261164,0.06660295499193715,0.8647135286471352,0.9113792059677245,0.08227568019290307,0.5225938040828936,0.8485151484851515,0.9471182541389297
16,Sgk3,treat,0.06306814953453153,0.05879092768121398,0.2853714628537146,0.40858804961317,0.023965519617362003,0.279787612299599,0.9287071292870713,0.9801612406096588
18,Snhg6,treat,0.01985647327096342,0.10891329837425374,0.8544145585441456,0.9056121438018842,-2.0449352649843124,0.59154541920155,0.0003367985920116388,0.018784865613910413
20,Cops5,treat,-0.0578500033207477,0.07763150197384679,0.45015498450154984,0.5740287351285469,1.0523413941258362,0.6394343021302927,0.0912908709129087,0.41464723790011665
22,Cspp1,treat,-0.33638065081278024,0.11510430986691916,0.006299370062993701,0.018369948214787567,-0.03156406792065193,0.279948935703377,0.9039096090390961,0.9715459009654591
24,Arfgef1,treat,-0.31928737053366685,0.057443268348132556,0.00021808495135760335,0.0018872564625811439,0.3673373234154814,0.2017111183235891,0.0674932506749325,0.3646166796932872
26,Ncoa2,treat,-0.10320478505488805,0.048152253896717616,0.032296770322967704,0.07164073990307884,0.10918396409576142,0.16035833979623082,0.49275072492750727,0.7780208462193822
28,Tram1,treat,0.06775399741612553,0.04132258915875624,0.10288971102889712,0.1837295070608313,0.21847631766109793,0.23143644248320797,0.31856814318568144,0.6565430673976543
30,Lactb2,treat,-0.07143983866721167,0.09290069757407154,0.44585541445855414,0.5697194780006003,-1.118876487908401,0.46940146904724217,0.15298470152984703,0.49770272578627583
32,Terf1,treat,0.12998843727292156,0.10872082421081454,0.23477652234776522,0.35151183793349805,-0.016157072527827526,0.4339098897551082,0.9699030096990301,0.9946342444407243
34,Rpl7,treat,-0.2730255711285453,0.021107196913401426,7.00913225881753e-07,0.0005980613605767859,0.3852672057740835,0.08221657853216909,0.0003188348728762103,0.018563339942268334
36,Ube2w,treat,0.031100753385727025,0.07075755876459693,0.6674332566743326,0.7654833812654304,0.08996165099632232,0.3477856601880298,0.7725227477252274,0.9151152418716423
38,Eloc,treat,-0.11142947100147989,0.045124687654540106,0.013298670132986702,0.034290740022207694,-0.05607590954924145,0.3242308443795602,0.8447155284471553,0.9469949076068312
40,Ly96,treat,-0.0009854988999361612,0.0958401442905114,0.9906009399060094,0.9940728455517496,0.20111608774154152,0.34832710405664324,0.5553444655534446,0.8133753456923055
42,Mcm3,treat,0.31276626725044765,0.08816609616011344,0.0027142247999793006,0.009152377852217782,-0.3483751185115192,0.22920808880677612,0.12588741125887412,0.46363412439243884
44,Ogfrl1,treat,0.19018096519268807,0.06486365181708494,0.0036996300369963003,0.011806396679919638,-0.16774117699518382,0.29004033686419894,0.559044095590441,0.8153220249235383
46,Smap1,treat,-0.15970730307853861,0.045641732321862416,0.0009264237140810417,0.004435799856052382,0.0790894563257806,0.2882593928375453,0.7544245575442455,0.9097199943626092
48,Sdhaf4,treat,0.10831968819374962,0.10357657166871076,0.29547045295470453,0.4204223337721388,-0.25286447642839144,0.5695229719212767,0.6142385761423858,0.8440179944730177
50,Lmbrd1,treat,-0.05441377450018275,0.04024932530218152,0.1795820417958204,0.28588131158599234,0.28280712752922305,0.19428418003119086,0.1715828417158284,0.5146653939257237
52,Phf3,treat,-0.05064540036192617,0.05474450367061983,0.35536446355364465,0.4826813062441014,0.6445534849267007,0.23706108621243985,0.012398760123987601,0.1499232889211079
54,Prim2,treat,0.1555954919251491,0.11101114171268582,0.16268373162683733,0.26358936992979587,-0.3298326509819242,0.3045757729755287,0.2703729627037296,0.6160761914239198
56,Zfp451,treat,-0.1658090814778071,0.0786752498125851,0.035596440355964404,0.07724415080398725,0.0269128223838725,0.3203947424288433,0.9304069593040696,0.9806001700714885
58,Dst,treat,0.19107345275237717,0.12296346444898883,0.11858814118588142,0.20576770798256497,-0.33787514391109547,0.2615103718711158,0.20417958204179582,0.5493593187400078
60,Ccdc115,treat,-0.10336163048186936,0.07074421662870407,0.14478552144785523,0.24005548025808027,-1.0701705465025506,0.9567369377538198,0.22127787221277873,0.5686721904812425
62,Imp4,treat,0.1451511528701595,0.0949259363684057,0.12668733126687332,0.21684303784164022,-0.947687905334775,1.0336392963492862,0.296970302969703,0.6394932680644978
64,Ptpn18,treat,0.013743441589428204,0.02929591402141286,0.6366363363663634,0.7394549984131206,-0.6374178551526363,0.12946147146449988,0.00016922236139022454,0.013511697497808929
66,Fam168b,treat,-0.014740899351398046,0.05788979503642116,0.8006199380061993,0.8666966316132856,0.06337058918108425,0.38212033581617977,0.8468153184681532,0.9471182541389297
68,Plekhb2,treat,-0.0785776456202509,0.061611662268903494,0.20627937206279373,0.3185521557597296,0.14611374818773556,0.26483614495881097,0.5643435656434357,0.818232087798246
70,Hs6st1,treat,0.15732842397745847,0.07207222617501888,0.029497050294970503,0.06662394687200379,-0.07661438662454365,0.26513530258076623,0.7553244675532447,0.9097199943626092
72,Uggt1,treat,0.009151769733946427,0.05645554443583877,0.8698130186981302,0.9159742130906827,0.14125572125245917,0.28859471771497247,0.6181381861813818,0.8461327347928191
74,Neurl3,treat,0.11417172808722201,0.0455028225096531,0.012898710128987101,0.0334825636933162,-0.05542337466864014,0.10661871584868074,0.5973402659734026,0.8347444425045196
76,Arid5a,treat,0.26977204475422956,0.0682760499728426,0.00048172719711062274,0.002898321746658761,-0.13371633975557579,0.4789607559259826,0.7367263273672633,0.904974740621176
78,Kansl3,treat,-0.34529524588902477,0.08778267874105643,0.0009959878937257636,0.004657221336900454,1.1756237532340126,0.6684198326416303,0.06189381061893811,0.35512936194795724
80,Cox5b,treat,-0.0005824692549261432,0.02910167993141081,0.985001499850015,0.990280007400364,-0.18122834140036034,0.21090299836660806,0.36536346365363465,0.6910984428596554
82,Actr1b,treat,0.01965634364661468,0.09207781431436358,0.832016798320168,0.8897937464847401,-0.6568077400220764,0.3776984166738775,0.0766923307669233,0.38886340686160703
84,Tmem131,treat,-0.04609426941809997,0.05926829763483996,0.43875612438756123,0.5628551939667201,-0.015819315963283852,0.1407381448715026,0.9091090890910909,0.9743046809891528
86,Inpp4a,treat,0.10013749695125067,0.07419957416569883,0.17798220177982202,0.28369923048889756,0.28236736045495925,0.28495805661456614,0.3143685631436856,0.6544235959726152
88,Coa5,treat,0.059930754904175015,0.0611081898822641,0.32386761323867613,0.4504117295434167,0.545171637100071,0.522423172321172,0.24547545245475452,0.592952994985324
90,Unc50,treat,-0.08009846677404203,0.0830894124910368,0.33866613338666135,0.46510249152547034,-0.14384395843726067,0.87889845381396,0.8899110088991101,0.9648754914350947
92,Mgat4a,treat,0.04275076801686074,0.04016311341241662,0.287971202879712,0.4113589563978535,-0.2566185888098514,0.1360132362523925,0.05879412058794121,0.3463314943481865
94,Mrpl30,treat,0.16855187072809075,0.04534092966812047,0.00039838587066503086,0.0025718528939386925,0.058856064238246394,0.30117018011998514,0.8346165383461653,0.9427314338443915
96,Txndc9,treat,0.04004770869812225,0.06000718743406365,0.5052494750524947,0.6252247651509084,1.4518054004486933,0.7391008800206303,0.042495750424957505,0.29896726236467264
98,Eif5b,treat,-0.06685794908843391,0.04271694997045005,0.11758824117588242,0.2042044322916937,0.1728457688622385,0.1744682189864471,0.3154684531546845,0.6547199167482715
100,Rev1,treat,-0.0167450559869667,0.08831893806099743,0.8469153084691531,0.9005930392876205,-0.14368723987671192,0.29764232635325855,0.5989401059894011,0.8358967980568941
