,gene,tx,de_coef,de_se,de_pval,de_padj,dv_coef,dv_se,dv_pval,dv_padj
0,Mrpl15,treat,0.4771740936877549,0.05898391162813511,4.706168282118915e-05,0.000267964220980284,-0.09655185824459239,0.472197504183201,0.8051194880511949,0.9127377712110399
2,Lypla1,treat,-0.10013270890094646,0.055615418678941306,0.07169283071692831,0.09544864167393756,0.8263519589040361,0.5460114016269167,0.09109089091090891,0.3326717175688332
4,Tcea1,treat,0.18246885730249074,0.03948686892995448,0.001226294435018725,0.002320103832262041,0.08373913783062517,0.16143944540038097,0.5925407459254075,0.8039385025972082
6,Atp6v1h,treat,-0.2701885442272062,0.04020497895755692,0.0001553246388794946,0.0005005552673338881,0.34606885322145337,0.1588872512563347,0.029197080291970802,0.18165947703323254
8,Rb1cc1,treat,-0.1535990840614957,0.03955564755857789,0.0018547201705015194,0.0032556069753495818,0.29266970751732263,0.22245711074608202,0.1760823917608239,0.44959871011476377
10,St18,treat,-0.744080579929565,0.11514082111496031,4.109885015036009e-05,0.00025645229525416715,0.2912185936189168,0.18737536391166829,0.12498750124987501,0.3804197791327268
12,Pcmtd1,treat,0.0404858431141223,0.061095053468648776,0.5063493650634937,0.5578622742298427,-0.09447152850747201,0.21349579232612848,0.6534346565343465,0.8392861781437514
14,Vcpip1,treat,0.11899204488807417,0.05521373117905041,0.033096690330966905,0.04656755566849743,0.5272470485771432,0.3834997762316635,0.1304869513048695,0.38822183151978557
16,Sgk3,treat,-0.03169170810604721,0.049228826975300274,0.5181481851814819,0.5694633353134915,-0.14284134420882935,0.20656125275718995,0.47505249475052497,0.7257151783758247
18,Snhg6,treat,0.6343261126144588,0.07607012172244938,1.794858075350351e-05,0.00019508670160929466,-1.5584814002386824,0.3668526958762943,0.00021482403200753978,0.013071496184865555
20,Cops5,treat,0.3652069675370551,0.056209483171895815,8.423928630984412e-05,0.00035916750338757763,0.7427703741332847,0.5174652544302843,0.11608839116088392,0.3663800652901743
22,Cspp1,treat,0.11741090169900083,0.07309433303457176,0.10878912108789121,0.13990791499392063,-0.019969250260006517,0.2253866104214417,0.9278072192780722,0.9696733383430215
24,Arfgef1,treat,-0.22183589613782215,0.042725907635362735,0.00013110865252531292,0.00045527635128359256,0.17906060878749236,0.1576642411157277,0.25647435256474355,0.5451408677959912
26,Ncoa2,treat,-0.26034108427617786,0.041319195747837455,8.062910717136493e-05,0.0003504781422662451,0.019053087109736723,0.1445357321093143,0.9003099690030997,0.9599025249665085
28,Tram1,treat,-0.030831130863648554,0.03609881116641647,0.39466053394660533,0.4477267552119808,0.42387754536047423,0.1597352168792972,0.0122987701229877,0.10462697806048778
30,Lactb2,treat,0.17440854484111154,0.07442302703460114,0.018198180181981802,0.026901983468525705,0.28266171391085304,0.29536098635913294,0.30796920307969206,0.5960158701111021
32,Terf1,treat,0.0327004311982515,0.09144578564778505,0.7197280271972802,0.7573863748023555,-0.2862651353233999,0.3573093934974125,0.384961503849615,0.662358877939189
34,Rpl7,treat,-0.16197733663185057,0.015366313602491079,0.00022948969625796812,0.0006462089238037776,0.29587602266506097,0.05847574056140057,0.0002731122558032907,0.013907418416082463
36,Ube2w,treat,0.085031034256674,0.05711615609463078,0.1356864313568643,0.1711575153096075,0.07728965805953679,0.20791438855644595,0.6964303569643036,0.8586066582085785
38,Eloc,treat,0.3265409771823363,0.03393816418277812,3.984916159354853e-05,0.00025230330369408377,0.13242754440448215,0.23561057757957357,0.5442455754424558,0.7747191180961207
40,Tmem70,treat,0.6174897163517227,0.11065075079449598,0.0001737697581218734,0.0005394149863013623,-0.3376939570174983,0.9381770292905809,0.6625337466253375,0.8425420298919453
42,Ly96,treat,0.34124911326718865,0.07468709210578413,0.0001802601499946682,0.0005521620635502209,-0.39157575240133685,0.2538514029429308,0.1156884311568843,0.36576086997200763
44,Mcm3,treat,-0.2667950975103352,0.08538180724891423,0.0018998100189981002,0.0033205053399236514,-0.06065379248730259,0.27763591073431454,0.8261173882611739,0.9234816826584507
46,Tram2,treat,0.05393953911855218,0.09755569944108723,0.5856414358564144,0.6322215470529327,0.9419278229474125,0.5137816103466546,0.0664933506649335,0.2835049036664029
48,Ogfrl1,treat,0.22619239816924944,0.05504423097116752,0.00043324475740880283,0.0010122672821982442,-0.0692835684509626,0.20740549600335664,0.73002699730027,0.8757620729741259
50,Smap1,treat,0.039182258639302664,0.03628002655754606,0.28287171282871715,0.33159492214043906,0.26079878989755434,0.1979728846214052,0.17398260173982602,0.4466196211984093
52,Sdhaf4,treat,0.46242015700530265,0.0781753762802791,0.0004049229404985367,0.0009617886355475392,-0.18832164161491655,0.49023682136904284,0.6688331166883311,0.8447179908218501
54,Lmbrd1,treat,-0.26074842907259704,0.03506762191407658,6.157494222204803e-05,0.0003021928128190737,0.40954974491942736,0.12639504627359552,0.0025997400259974,0.035965574926129736
56,Phf3,treat,0.055571812499760585,0.0417327134061827,0.18488151184881513,0.22679809586101018,0.23306025691443547,0.17780908295405548,0.17988201179882013,0.4542252277408463
58,Prim2,treat,-0.008347036988724575,0.09794496829310884,0.9338066193380662,0.9445944670114561,-0.24794143572238353,0.2997599656365183,0.3945605439456054,0.6689361760400111
60,Zfp451,treat,-0.13988477748437572,0.0636085589320551,0.028497150284971504,0.04058907737474616,0.015210056088640761,0.23750376681119945,0.9507049295070493,0.9779457584327527
62,Dst,treat,0.2504978781274177,0.10882855291130679,0.021497850214978503,0.03129654593340342,-0.23576498568625207,0.17624928638779405,0.17838216178382163,0.45305409324649426
64,Ccdc115,treat,-0.04461347962148777,0.058244493954287734,0.44045595440455954,0.4940593270777593,0.511488495917117,0.5979073579019382,0.2752724727527247,0.5651862608992174
66,Imp4,treat,0.07388397649572306,0.06806719990725785,0.28057194280571945,0.3293291726900549,0.4339296829404827,0.6876273794329317,0.5528447155284472,0.7810753753432212
68,Ptpn18,treat,0.10299279093223294,0.024725740853607063,0.0004919623541104076,0.0011167529884643461,-0.2538067672651603,0.08127277528866224,0.0025997400259974,0.035965574926129736
70,Fam168b,treat,-0.03469841167932345,0.0476468242849396,0.46595340465953405,0.5175658176756581,-0.029965213220432354,0.25750980442517135,0.9035096490350965,0.9609242008697959
72,Plekhb2,treat,-0.16002144764616752,0.0483880468483557,0.0028438026554024392,0.004758448628708812,0.24596004841304475,0.2155513032568141,0.24397560243975602,0.5307276661794753
74,Hs6st1,treat,-0.27828367232408924,0.0625272676850065,0.0002882298807666573,0.0007541875160002184,-0.23134395617310397,0.1922661028164786,0.22207779222077792,0.5055543906611241
76,Uggt1,treat,-0.3329621406492045,0.04959416403668742,2.0372332875490434e-05,0.00019966430818964593,0.007541215591603401,0.27196574440845095,0.9803019698030196,0.9917520923963942
78,Neurl3,treat,-0.28416760835586197,0.039610953238337014,0.00027779008055066584,0.0007362616383734886,-0.08509894955955896,0.10019934542109685,0.39686031396860316,0.6707761427247106
80,Arid5a,treat,0.06835141641695788,0.06037037572219929,0.25907409259074093,0.30660161279075654,0.281705815973163,0.3715123141022935,0.3945605439456054,0.6689361760400111
82,Kansl3,treat,-0.14047400234430535,0.058863453757376866,0.016998300169983,0.025263464131748695,0.9273294816498673,0.585486850056729,0.0781921807819218,0.30830305217693493
84,Lman2l,treat,0.16545261535940792,0.08804557113848735,0.05979402059794021,0.08079056603184243,0.6313916812590514,0.6606330845812152,0.27877212278772123,0.5687933622096728
86,Cnnm4,treat,-0.009567764476047416,0.09038230642837987,0.9134086591340866,0.9267025819673226,-0.47120424222754426,0.6294480870855557,0.43015698430156984,0.6926501788036044
88,Cox5b,treat,0.2928579885832221,0.02315218309295487,2.295636751283754e-05,0.00020500835664449447,-0.08890553344181823,0.12811711961511468,0.48955104489551043,0.7361093107934915
90,Actr1b,treat,0.10150645574819955,0.07442575793675764,0.17448255174482552,0.2153661202557757,-0.338498576661366,0.2613642865242527,0.1934806519348065,0.46916281016275274
92,Tmem131,treat,-0.3265065608502185,0.04942697220722902,0.0001092791876503822,0.00041252606063603794,-0.22869302035263103,0.11615411450155018,0.054894510548945105,0.25693780035295033
94,Inpp4a,treat,-0.31852572202280044,0.06403545960998477,8.176955580093807e-05,0.00035348417009863184,-0.14742404867320918,0.22620222249596,0.5036496350364964,0.7467814636508319
