,gene,tx,de_coef,de_se,de_pval,de_padj,dv_coef,dv_se,dv_pval,dv_padj
0,Mrpl15,treat,0.5171915102219443,0.12631259588589755,0.0005031929980056515,0.00427680546773645,-1.2078098196804383,0.895907758132778,0.14238576142385762,0.6103749598176516
2,Lypla1,treat,0.2727092770548878,0.13057229861200384,0.045495450454954504,0.10962531530916368,0.039574213396905825,0.5871231547499339,0.9536046395360464,0.9880695747987285
4,Tcea1,treat,0.18794659917728473,0.07918823989457582,0.019998000199980003,0.058553777649757964,-0.041139537398249174,0.5580076768434389,0.924007599240076,0.9771207708642848
6,Atp6v1h,treat,0.053160076656789804,0.10511556726441301,0.6143385661433857,0.7319998259647621,0.21624155216562066,0.5535433914929825,0.6182381761823817,0.8902281875299535
8,Rb1cc1,treat,-0.20898703066178334,0.0724237242744392,0.0057994200579942,0.022626954908421138,0.13240140026201605,0.40500514518351777,0.7022297770222977,0.9134925847671801
10,Pcmtd1,treat,-0.2236426914836866,0.09569287628182446,0.0225977402259774,0.06410727816107278,-0.3486362709645542,0.3265509793203359,0.27987201279872015,0.7168391969093246
12,Vcpip1,treat,0.2485492580942953,0.1367323056992671,0.06939306069393061,0.15195056823648684,0.43797787924277903,0.8140615232514443,0.5421457854214579,0.86723998609911
14,Snhg6,treat,-0.022214864337567617,0.17221251769236967,0.897010298970103,0.9355582905761712,-0.5932987548521939,0.4418866430916006,0.16548345165483452,0.6298633702521221
16,Cops5,treat,0.2322734656957936,0.1279395660895315,0.07039296070392961,0.15356058379124496,-0.6400313982902236,0.6145583318124018,0.22287771222877711,0.6832773275720916
18,Cspp1,treat,0.28566259367613256,0.144999038451355,0.0570942905709429,0.13071479796066304,0.1729979185295998,0.38747770185731756,0.6715328467153284,0.9036413190364132
20,Arfgef1,treat,-0.04347038040156242,0.07882532901532097,0.5853414658534146,0.7077542293128141,-0.052780853408595535,0.2994594941552949,0.8479152084791521,0.9596736834027996
22,Ncoa2,treat,-0.16078009456854933,0.05677692213952706,0.005099490050994901,0.020510425327977602,0.25762514579669804,0.22964291596559355,0.2515748425157484,0.6980708179182081
24,Tram1,treat,0.21558212923805337,0.09081779720985172,0.018998100189981004,0.05627140302211078,-0.6157189243860167,0.7720037906674202,0.33766623337666235,0.7527628770224023
26,Lactb2,treat,-0.11577107874754412,0.1497482311404018,0.43545645435456454,0.580638927960139,-0.3710439392194257,0.46927283115767027,0.3765623437656234,0.7824210417499916
28,Terf1,treat,0.2406634995816559,0.12224919198248005,0.051994800519948,0.12170253455035866,0.39103250288854713,0.7350617955825391,0.49185081491850813,0.8423074001612714
30,Rpl7,treat,-0.10371945069313158,0.034871627084017115,0.0036996300369963003,0.015988313152435603,0.003737734295098635,0.14267165485261535,0.9793020697930207,0.9958395908059346
32,Ube2w,treat,0.05643514962856521,0.11577094217615039,0.6285371462853715,0.7428166274281663,-0.02416198378638863,0.5076327561440994,0.9571042895710429,0.9888020890964214
34,Eloc,treat,0.20608913668673476,0.07926075667650855,0.009799020097990201,0.033956104932394926,-0.09421272218259473,0.9540039932223753,0.9105089491050895,0.973660348825228
36,Mcm3,treat,-0.12679135651249127,0.13433571217590595,0.34206579342065796,0.4901023477899124,0.10084253623938788,0.2175207222819034,0.6257374262573743,0.8916513880621751
38,Kcnq5,treat,-1.3285270158496771,0.13121795879233802,1.0514385804077765e-05,0.0011780447429139925,0.7651424404302672,0.2169888758960705,0.000743284702812109,0.049906007529744494
40,Smap1,treat,0.42147978444200257,0.072754476563378,7.050927948405363e-05,0.001849298635771117,0.9051985198092967,0.5845695972671325,0.0847915208479152,0.5461395333725961
42,Lmbrd1,treat,-0.293232478412002,0.09094412033362265,0.0022997700229977,0.0108736533754032,0.3541689629359767,0.4373822544557605,0.35426457354264573,0.7670088196334657
44,Phf3,treat,0.08539947184684028,0.08392808562216976,0.29817018298170184,0.4429183797933914,-0.4002238713815531,0.35119618143861075,0.2313768623137686,0.6885214508852144
46,Prim2,treat,-0.18098865489157662,0.14036151316519876,0.1902809719028097,0.32046528856349193,0.3938447363829728,0.28404637725687065,0.15428457154284572,0.6191487393316742
48,Zfp451,treat,0.16261114472950647,0.1366883405156605,0.22827717228277172,0.36472920918171015,-0.4260223982637641,0.6856614873599386,0.45955404459554045,0.8253611329919344
50,Dst,treat,-1.8300581886485265,0.20330334061234792,8.656761628568255e-05,0.0019470203613741986,0.06366531247403209,0.2366306563499291,0.7778222177782221,0.942810333474818
52,Ccdc115,treat,0.2793989347473697,0.22995658950824713,0.21147885211478853,0.3450586689797278,-0.4979332351475872,0.9884691308762622,0.5475452454754525,0.8687500128933167
54,Imp4,treat,0.009189429854518635,0.1526887407689341,0.9522047795220479,0.9713797519081399,0.012591117360395282,1.0961955685166078,0.9905009499050095,0.9981066770986674
56,Ptpn18,treat,0.3024231113176955,0.040961058618977704,6.173325005358375e-06,0.0009163798490512212,0.23920018511541088,0.28939961714183565,0.37846215378462156,0.7842311485918247
58,Fam168b,treat,-0.09659702133933006,0.08442637254994817,0.2608739126087391,0.4007600924624745,0.6482640735732962,0.9558473620188181,0.45685431456854314,0.8228276213010753
60,Plekhb2,treat,0.13875391116046512,0.13918396122005736,0.3050694930506949,0.45023319633354586,-0.5842944503464714,0.5000521247096575,0.18638136186381363,0.6545212471152451
62,Uggt1,treat,0.050782382912413875,0.08570692967945986,0.5542445755424458,0.6811128704261432,0.6081171047664587,0.619068245735604,0.23817618238176183,0.6909214417275186
64,Neurl3,treat,-0.31988924187937184,0.05954028636001986,0.0001841867484802796,0.0027061464519687623,0.42460555561402724,0.15699780337806885,0.006299370062993701,0.16894487021886045
66,Arid5a,treat,0.26011054014058094,0.07868467070024023,0.0018847733415046793,0.009393096321661404,0.06826650870256717,0.34145791666528796,0.835916408359164,0.9579271875325932
68,Kansl3,treat,0.44525151697953663,0.1627773250139527,0.020497950204979503,0.05955321627600554,-0.27371974326177284,0.5380970079638931,0.5301469853014699,0.8603936453545086
70,Cnnm3,treat,0.039506498491839875,0.22111692660254345,0.8522147785221478,0.9043536045397953,-0.796773670344103,1.105940695282161,0.40835916408359163,0.8033480914304627
72,Cox5b,treat,0.3495690833149484,0.05963118859459301,0.0001694221486339659,0.002666844903996933,-0.05801925223765122,0.28491543727633684,0.8216178382161784,0.9551486466486127
74,Actr1b,treat,0.2836593618230154,0.13284499931029245,0.0357964203579642,0.09168882469698456,1.8307821267813995,0.8319090382441113,0.023797620237976203,0.3452277499522775
76,Zap70,treat,-0.13560209096962303,0.0834615356672414,0.10228977102289771,0.20321058463714786,-0.8825559162049256,0.3776748551547347,0.031296870312968704,0.3898282618751612
78,Tmem131,treat,-0.24573569758366165,0.106783741843494,0.026097390260973904,0.07173972525228098,-0.17640431210967725,0.49516280531379536,0.6894310568943106,0.9092426982002337
80,Inpp4a,treat,-0.12163457091840313,0.12785991248157783,0.33726627337266274,0.4846399421291549,0.06254776282819528,0.5138115761237414,0.8851114888511149,0.9686185425323129
82,Coa5,treat,0.4178762796663664,0.1519359720391183,0.011998800119988001,0.039662527791757336,0.655905135752911,0.9997915739172413,0.607039296070393,0.887898292932481
84,Unc50,treat,1.62902866293149,0.39314072125242366,0.0036996300369963003,0.015988313152435603,-0.5338154487809863,1.1391516045065377,0.5898410158984102,0.8787288093402512
86,Mgat4a,treat,-0.7162804196201091,0.10777532485478425,9.657178291140848e-05,0.0020253863059160136,-0.2081153662867774,0.2545680942311191,0.400959904009599,0.7994329960472071
88,Mitd1,treat,0.6210202583531327,0.15171150982062817,0.0008313946770438169,0.005825238445192846,-0.38948944029995675,0.6933483210499224,0.41905809419058093,0.8067581346401256
90,Mrpl30,treat,0.49569071348588734,0.09574935231437519,0.0001035003052011036,0.0021106787479189914,-1.8623617651259843,0.7586807954287129,0.052894710528947106,0.47046616617893156
92,Txndc9,treat,0.09406167811822604,0.12230898927431798,0.4413558644135586,0.5845973194753569,-2.459858425539183,1.168903892253681,0.20567943205679431,0.6667606982318528
94,Eif5b,treat,0.3060446825351812,0.08036195565508476,0.0007861363676412332,0.005599224240330496,-0.4563641555183017,0.3603400262200963,0.1765823417658234,0.644064817262566
96,Rev1,treat,-0.24686894792203215,0.17288766437726188,0.14998500149985,0.2692979647182961,1.080264804039579,0.9902884207728372,0.45165483451654836,0.8204338224124701
98,Aff3,treat,-0.4829872511712069,0.12637278224651569,0.0008676381615164245,0.005987172308064149,0.37953619210072065,0.18043476665470107,0.0542945705429457,0.47344568821806343
100,Pdcl3,treat,0.19987320046937665,0.12704373081980638,0.11828817118288171,0.22735121850657453,1.477003273554646,0.992646863573642,0.44685531446855314,0.8172201972011336
102,Rpl31,treat,-0.07529758430099745,0.04554785735704933,0.10158984101589841,0.20200870878644223,0.125703983928922,0.1504766939195294,0.41575842415758424,0.8051535259095449
104,Cnot11,treat,0.1437365585113135,0.1710812625988987,0.39206079392060794,0.5408197306348813,1.1652266138738614,1.269822484135851,0.42255774422557746,0.8077318316072584
106,Rnf149,treat,-0.18965739980388946,0.12239072358282571,0.1262873712628737,0.23848884342334994,-0.5617247410979833,0.4587181532883623,0.1857814218578142,0.6544297031962552
108,Map4k4,treat,-0.23049374662341585,0.08586176963860505,0.0093990600939906,0.032945744415124656,-0.20437429364023846,0.44471408757462705,0.5541445855414459,0.8698667651626206
110,Il1r2,treat,-1.4905878797733472,0.22480765302592884,9.66645172704218e-05,0.0020253863059160136,0.6396389187435916,0.4350881686756073,0.20127987201279873,0.6622522799266465
112,Il1rl1,treat,-1.9642386923768111,0.13352667228909623,4.462382541569234e-06,0.0008370815676845824,1.5198738888135672,0.14690592851618284,1.991034149688283e-05,0.006628988953157397
114,Il18r1,treat,-0.34021829234486733,0.07870359925532822,0.0004769483379538415,0.0041532895513770405,0.43969590642192724,0.14735522908423052,0.0022997700229977,0.0895087320536239
116,Il18rap,treat,0.036211373500202676,0.10535722958512812,0.7324267573242675,0.8216309300528647,0.27025390780072867,0.48668468352520433,0.5841415858414158,0.8758693310842747
118,Mrps9,treat,-0.32631684194408983,0.11153637026693293,0.0045995400459954,0.018868164597422007,-0.22518299837570835,0.9600392761040094,0.7538246175382461,0.9358566958291552
120,Fhl2,treat,-0.35513742001791315,0.13564921785818887,0.009099090090990901,0.03217700390625758,-0.07962374720721108,0.3214543563233021,0.8098190180981902,0.9513641937241683
122,Nck2,treat,0.13731689038270176,0.1730096301841835,0.41615838416158385,0.5640983151631748,-0.1763483917136606,0.5107261729776204,0.6735326467353264,0.9040119448465712
124,Uxs1,treat,0.2291296574427191,0.1633501695347506,0.16128387161283872,0.28305607712530917,0.18186219205607082,0.6694732370211113,0.7628237176282372,0.9377614425817586
126,Tpp2,treat,0.19426100974087943,0.06736121023041283,0.003999600039996,0.017019631370196315,0.31590941351814134,0.28998423942651985,0.24267573242675733,0.6918263510853023
128,Tex30,treat,-0.04314870549760321,0.1521269720375766,0.7671232876712328,0.8449608188447764,-0.007634177437241942,0.5324378651803157,0.9885011498850115,0.9975656663582654
130,Ercc5,treat,-0.17317898710844395,0.1747665157779046,0.31516848315168483,0.4609808496693869,-0.2723138539879889,0.7770280409987816,0.6787321267873213,0.9046223112633518
132,Nabp1,treat,-0.05270921778078642,0.08589824346676056,0.5298470152984701,0.6595148634873302,-0.11523709111809415,0.36505899191218805,0.7421257874212579,0.9306461495304301
134,Stat4,treat,-0.16954703993736642,0.04681723535366004,0.0024013846437951386,0.011278909625713296,0.5842033881810552,0.13154638360462845,0.0003503055447568773,0.0337645265015294
136,Stat1,treat,0.08990335612841853,0.08394471097240984,0.2852714728527147,0.4279407311912757,0.22930558669355275,0.2508880948233511,0.39376062393760625,0.7955735122690263
138,Gls,treat,-0.018900809760560085,0.059828662628122746,0.7596240375962404,0.8394529487494465,0.4378917788016915,0.22170654155367298,0.06429357064293571,0.49986097614355496
140,Nab1,treat,0.18907393218071614,0.08203833845923937,0.025097490250974904,0.06968128763461193,-0.2447251643852683,0.3350022693067381,0.41115888411158885,0.8046397063974771
142,Nemp2,treat,0.7551875498041712,0.277999323199136,0.009299070092990702,0.032739086819393075,-1.9483504918416588,0.9790429170336042,0.0560943905609439,0.47676497330293605
144,Mfsd6,treat,0.25564006546434404,0.10573756664339262,0.0168983101689831,0.0515838899132564,0.04359466863588153,0.3326858463600771,0.8879112088791121,0.9687454994893338
146,Inpp1,treat,0.7460575312942773,0.15373124595007276,0.0005267513422662106,0.004377934658444299,-0.2577813257140493,0.5812697483214015,0.5551444855514449,0.8698667651626206
148,Pms1,treat,0.5855282238047703,0.24535574323308604,0.023497650234976502,0.06624801300788649,-0.41921247403580997,0.7851330788181222,0.5205479452054794,0.8550328189003025
