,gene,tx,de_coef,de_se,de_pval,de_padj,dv_coef,dv_se,dv_pval,dv_padj
0,Mrpl15,treat,0.38137687265484854,0.09243859742616513,0.0007662052237471777,0.0023427859827674065,0.10506536309957468,0.9355893484193508,0.904009599040096,0.9745177393900372
2,Lypla1,treat,-0.1015502704549735,0.080291693001257,0.2084791520847915,0.2821830042299802,-0.48474961216641016,0.48404421871302333,0.26107389261073893,0.6647360823023128
4,Tcea1,treat,-0.12936642953995175,0.06400589906887125,0.0443955604439556,0.074039283768784,2.2364692896624687,1.1457693923490655,0.0380961903809619,0.3558246231177176
6,Atp6v1h,treat,-0.18874688878188467,0.07086521215182147,0.007799220077992201,0.015965876790830117,-0.41865239920542247,0.2818036107704691,0.12638736126387362,0.5443322605960722
8,Rb1cc1,treat,-0.24708309579345342,0.06823660472308472,0.0009136194542099865,0.0026709685794968456,0.5140070314803501,0.6831428167632774,0.3271672832716728,0.709589485495895
10,Pcmtd1,treat,-0.463371612589348,0.05731139815418928,1.8800382567995945e-05,0.00034772486009144684,0.15354494567971208,0.2779414893228931,0.5598440155984401,0.8427335947568089
12,Vcpip1,treat,-0.20021782634763094,0.10496099649752795,0.0565943405659434,0.09138063032587045,0.0589146656636303,0.7378928970739911,0.9216078392160784,0.9806575196220733
14,Snhg6,treat,0.8200950749734235,0.22027013273019289,0.0033996600339966003,0.007637196620281314,-1.0386870641653287,0.4120959727835277,0.018598140185981403,0.255382253982394
16,Cops5,treat,0.5210254334010176,0.11781288644805057,0.000751536031087934,0.002310746300456256,0.0006115131653755389,0.7574355967237139,0.999000099990001,0.9993151425948543
18,Cspp1,treat,-0.2402276981025619,0.08669383379731543,0.005499450054994501,0.011770752749286476,0.16995128327500242,0.6145638082420702,0.7455254474552545,0.9261711260353995
20,Arfgef1,treat,-0.1491050778758483,0.04977894963225004,0.0025997400259974,0.006019252089389601,0.5550370893540293,0.5557369891600685,0.26317368263173685,0.6649940899819645
22,Ncoa2,treat,-0.3246875067933767,0.03849707283062398,4.39218855074262e-05,0.00046501790760608596,0.4830106217960981,0.15585315744308376,0.001999800019998,0.057147438409312225
24,Tram1,treat,-0.06721470940286721,0.07666324643033562,0.38686131386861317,0.4759984823860516,-0.09566426621725199,0.9483336374879707,0.8973102689731027,0.9732495035673386
26,Lactb2,treat,-0.0773280194262079,0.10913357925889305,0.47795220477952205,0.5652738231024027,0.38397532551117947,0.6172309735019432,0.48075192480751927,0.8061185955380683
28,Terf1,treat,0.07626219544803241,0.08468772974205267,0.36436356364363565,0.45279577820866296,0.10047199754322242,0.501150109008481,0.8234176582341766,0.9463336275068145
30,Rpl7,treat,-0.17847730406299595,0.024023953197267855,7.75323722784528e-05,0.0006015549311793103,0.2692021414964113,0.10976918206331529,0.022097790220977902,0.27870453511308907
32,Ube2w,treat,-0.22379656125672287,0.10954994214200997,0.042195780421957804,0.0707613087488502,-0.7324419417207653,0.40098248914358625,0.06829317068293171,0.44461052384187566
34,Eloc,treat,-0.043051633445427936,0.0673222801290528,0.5235476452354765,0.6070894281436415,2.507180519648106,1.2186683399289466,0.3016698330166983,0.6906508194362808
36,Tmem70,treat,-0.2301353885777061,0.19497312954836146,0.22907709229077092,0.3058861447048307,-2.5111045452169325,0.901919672155699,0.0201979802019798,0.2652918973113041
38,Mcm3,treat,0.6576696371062062,0.16131712825594638,0.0014614379069110377,0.0037217490960592212,0.1402779400411845,0.38669544739192335,0.6652334766523348,0.8916630415978052
40,Kcnq5,treat,-1.0654860375388664,0.10376775100262686,9.933088986332654e-06,0.00030113447501463976,0.40946431232362224,0.14324836952770376,0.0044995500449955,0.10268037944406998
42,Smap1,treat,0.16100059327426106,0.06624753873040481,0.015498450154984501,0.02942896371841415,0.6130674442818621,0.6802532603514118,0.24427557244275572,0.6516754548262583
44,Sdhaf4,treat,0.41493851625140815,0.1489084177063667,0.008899110088991101,0.017922525207796684,-2.0927950378161877,0.7867392743318188,0.13958604139586042,0.56331669632019
46,Lmbrd1,treat,-0.44725974805026675,0.06253173889977466,0.0005059541827546434,0.0017350126137272745,0.8343665945923445,0.5412091701593582,0.1434856514348565,0.5657383298338904
48,Phf3,treat,-0.2756736334370698,0.04584991465604225,0.0005406539290941867,0.0018166888380156357,1.377120804255112,0.655871050934649,0.065993400659934,0.4420930663005505
50,Prim2,treat,-0.015168027428259652,0.12522556001394436,0.9115088491150884,0.9317776569104288,-0.04393020488475338,0.3111724797030847,0.8743125687431257,0.9681571525387144
52,Zfp451,treat,-0.17478763218699075,0.11279477239115458,0.12158784121587841,0.17760839619468863,0.03644067228668916,0.7623408054457946,0.953004699530047,0.9899180294736484
54,Dst,treat,-1.91627947334645,0.1422827792370313,6.157392980894027e-06,0.0002762255035340381,0.14875170010138566,0.21169295678117794,0.47985201479852013,0.805964788339997
56,Ccdc115,treat,0.0662115336458979,0.1560528305486249,0.6656334366563343,0.7342685658403383,0.5238268238327989,0.821450960065536,0.5237476252374762,0.8273062661371402
58,Imp4,treat,0.08475997455956576,0.1250260182824737,0.48735126487351266,0.5743556426449125,0.7709529299546208,1.0120861262551324,0.5946405359464053,0.861182553990699
60,Ptpn18,treat,0.4452917186666905,0.03293962440293838,5.7285207806634825e-06,0.0002742462050243463,-0.05046652838925163,0.21615476432924588,0.8102189781021898,0.940847624514393
62,Fam168b,treat,-0.25231800196809234,0.07429139925749796,0.0014824659049841938,0.0037619054804878898,-0.4116419110723515,0.5294887083828214,0.36966303369663034,0.736617190994079
64,Plekhb2,treat,0.31785466116463207,0.09940321144904345,0.0025997400259974,0.006019252089389601,0.8483487416173623,0.7170536613630889,0.23207679232076792,0.6429199070490158
66,Uggt1,treat,-0.1307748442554504,0.06171770153999573,0.034596540345965404,0.05969008755909832,0.9613796034385615,0.6694484334565298,0.11638836116388361,0.5259029652590296
68,Neurl3,treat,-0.040741793268654736,0.054148540293965715,0.45355464453554645,0.5415679775895929,-0.2814754366556507,0.14727666032236367,0.05649435056494351,0.4180021304227959
70,Arid5a,treat,0.18392206132494804,0.05915428143842516,0.0020997900209979003,0.004998524537790123,-0.2622466173238194,0.2833582381580082,0.32836716328367166,0.7099814720401896
72,Kansl3,treat,-0.23266616376456808,0.09816286735353145,0.019698030196980302,0.0363903038933148,2.0161859983279515,1.1496059991900969,0.15808419158084192,0.5739063287054067
74,Cnnm4,treat,-0.2893909735094852,0.16250424371607639,0.0751924807519248,0.11708912564806356,3.1821746759097205,1.3490908762384792,0.6087391260873912,0.8654955212681331
76,Cnnm3,treat,-0.49704273527076337,0.15187688630029053,0.0024997500249975004,0.005817466675929619,-0.01894808112203833,1.1123979535604784,0.9854014598540146,0.9969441429427578
78,Cox5b,treat,0.7455048508117675,0.0558163485725446,2.4355636904103902e-05,0.0003756251122630149,-0.5716275498387543,0.21167515434318673,0.014898510148985102,0.22344243117059454
80,Actr1b,treat,0.08463125422779322,0.09722826126157784,0.38646135386461355,0.47581396303520596,0.6193965983796883,0.5572550388242207,0.20137986201379862,0.6177806578936114
82,Zap70,treat,-0.05430359759630811,0.06105242743607157,0.36496350364963503,0.4532749544152867,-0.6020725635486529,0.3017405371136633,0.052594740525947405,0.4044376168443761
84,Tmem131,treat,-0.4155986626018824,0.06919480408298316,8.197151468532885e-05,0.0006217683720890161,0.2891350962313048,0.5733720370902536,0.5517448255174483,0.8375853489070811
86,Inpp4a,treat,-0.4055172146012942,0.0857058273578861,0.00021268897630695628,0.0010101529017490353,0.28888579264165126,0.3725048284053351,0.3962603739626037,0.7492238562858043
88,Coa5,treat,0.24880597119804132,0.10675672152679297,0.022997700229977002,0.04168497435970688,0.7477828209682262,0.904129256555899,0.5642435756424358,0.8436392278754684
90,Mgat4a,treat,-0.676206976114556,0.07787966709865131,1.0303998697908177e-05,0.00030113447501463976,0.0031102528624190693,0.25897784486725517,0.9911008899110089,0.9975462165671988
92,Mitd1,treat,0.6051513414458581,0.11548825259471687,0.000368261904119166,0.0013937641297229733,0.27930425232018946,0.5347177310820462,0.5306469353064693,0.8283175615575118
94,Mrpl30,treat,0.5551478569395054,0.07753931108492257,9.916184978537033e-05,0.0006635894251459804,-0.893898503951143,0.7826841798330925,0.2616738326167383,0.6647360823023128
96,Eif5b,treat,0.3118188649522164,0.05965787809834436,0.00011942143112143103,0.0007311412356433997,0.8982649084996664,0.6515296714506624,0.1332866713328667,0.5530220032280617
98,Rev1,treat,-0.25058593290192527,0.16071273846633016,0.1166883311668833,0.17135897521358975,1.2666525041068506,1.144550714039775,0.24837516248375163,0.6545785537484379
100,Aff3,treat,-1.2690028222039202,0.07538558081135852,6.781678981872841e-07,0.0001561212318968491,0.6436694732535992,0.10003872531113249,4.647273371683585e-05,0.009872824352141088
102,Pdcl3,treat,-0.2767248548613234,0.10279678600708887,0.0084991500849915,0.017237406694113198,3.5542574494064687,1.2128674872023033,0.27947205279472054,0.6753549065025031
104,Rpl31,treat,0.3431247369003913,0.036615304746721304,8.781033427855523e-06,0.0002918851829028532,0.21999039202752638,0.12685560489486644,0.0861913808619138,0.4767102237144707
106,Cnot11,treat,-0.09684337663213063,0.1140372507830088,0.40005999400059994,0.48939078325102314,0.7298361107468042,0.9583486153020854,0.5269473052694731,0.8280918442809184
108,Rnf149,treat,-0.5447702830225772,0.08640754986687355,9.425537750194086e-05,0.0006556536347284131,-1.046097135552189,0.3201552113359352,0.007399260073992601,0.14443355664433555
110,Map4k4,treat,-0.224387506108194,0.05474442892803185,0.000366544012796547,0.0013891010855324338,0.6122747651398154,0.5011575683404305,0.1518848115188481,0.5694570227372353
112,Il1r2,treat,-1.0161164626551307,0.20591021470620935,0.00014230234869563342,0.000797496554880829,0.3043638761906349,0.2558077340514095,0.2705729427057294,0.6668035794326732
114,Il1rl1,treat,-1.5532429389388882,0.12669500127225888,3.0939516932092984e-06,0.0002387736084094495,0.8682246100880068,0.1199242849891063,1.4401704761897114e-05,0.006256144239895904
116,Il18r1,treat,-0.3022359291102046,0.05711084310505879,0.00023994470581820536,0.0010834229279079678,0.3114258262295105,0.11076205307216797,0.003999600039996,0.09538895734486702
