,gene,tx,de_coef,de_se,de_pval,de_padj,dv_coef,dv_se,dv_pval,dv_padj
0,Mrpl15,treat,0.6179099087109376,0.1416635737695766,0.00014538383555940746,0.00040603485055499904,0.813699942902601,0.9802739736686817,0.32956704329567044,0.6575746210867872
2,Lypla1,treat,-0.016027128155713975,0.13792578154346424,0.9065093490650935,0.9173874612538746,-0.37198413832347926,0.6732026244911241,0.6204379562043796,0.8472980595115562
4,Tcea1,treat,0.6873250333347662,0.08979590176016773,1.2253433860565575e-05,0.00015118902597160717,0.3915895958805428,0.6634101939565193,0.5133486651334866,0.7845195546890493
6,Atp6v1h,treat,0.12340488410421635,0.11059521240918907,0.26717328267173285,0.3087932412788872,0.34023638425949443,0.5617421220985733,0.47005299470052997,0.7541147025981813
8,Rb1cc1,treat,0.3479758327984332,0.07808349238507986,0.0004071950141457743,0.0008824011869711426,0.10331524745180769,0.45495257354637886,0.8043195680431957,0.9332393979129948
10,Pcmtd1,treat,0.4171763961774975,0.097378376387222,0.0002244108882986055,0.0005520267840500456,0.3577241771900401,0.30793672487559587,0.24777522247775222,0.58500399960004
12,Vcpip1,treat,0.5045248226856361,0.14983551274099635,0.0031996800319968005,0.005273739727004499,-0.07387518491292527,0.8942207333436042,0.9176082391760824,0.9766717901201045
14,Snhg6,treat,0.9540497819925414,0.2125284446239109,0.00027231612168346727,0.0006391092651754844,0.5219750231253092,0.46062075863048746,0.23787621237876214,0.5780895594651061
16,Cops5,treat,0.6624889204415151,0.14196599944673496,0.00018020075362662217,0.0004697660037870727,0.9560355018703229,0.66124199886479,0.1151884811518848,0.4636863282645482
18,Cspp1,treat,0.37069121707263497,0.1614927600944549,0.026197380261973803,0.03667923191078789,-0.8688626289068127,0.4371606049177364,0.0675932406759324,0.39132928812381923
20,Arfgef1,treat,0.2631277609087352,0.08179977485371043,0.0021997800219978004,0.0037189732413327333,0.5745348980463653,0.42142957229222305,0.14528547145285473,0.4984030410518271
22,Ncoa2,treat,-0.0583973100184284,0.05729531332977629,0.3084691530846915,0.35170209883022513,0.26904795336113174,0.23375632402662339,0.24667533246675333,0.5840426247365909
24,Tram1,treat,1.1052449530569795,0.11026079645774232,7.2554708067178964e-06,0.00015037638059029758,0.033046493191075624,0.7291428148304351,0.9594040595940406,0.9911218676871894
26,Lactb2,treat,1.0369972869207786,0.17472521733348625,0.00014364277084703465,0.0004026772412664794,0.10230904999056638,0.5436210865766034,0.836016398360164,0.9455318155335304
28,Terf1,treat,-0.19452094393821256,0.12836454650575077,0.128987101289871,0.15942226002118887,0.8769164590117419,0.9705802934784711,0.29327067293270676,0.6264033790795678
30,Rpl7,treat,0.17839276776399987,0.03858409972507311,0.0011417204519487357,0.0021192610003157018,-0.2129156990716899,0.20800770697252624,0.31796820317968205,0.6500683265006832
32,Ube2w,treat,0.6940760207418445,0.1331880419268867,0.00012985849601566938,0.00037207473943334487,-0.004788683324473159,0.5221084412768493,0.9927007299270073,0.9973369475279544
34,Eloc,treat,0.9221872031679464,0.09645135546575244,3.1086609745405954e-05,0.00017894493314642995,-1.4871810786401043,0.7900082204932122,0.047495250474952504,0.34652074360909235
36,Mcm3,treat,0.9148049860199782,0.15779310641830946,9.244138210624013e-05,0.0002979320977436784,-0.12681667593428003,0.2335121142304534,0.5802419758024198,0.8277486319594711
38,Kcnq5,treat,0.7471077901265223,0.12613854536733968,2.989157368776143e-05,0.0001764228310658708,-0.334137895441231,0.25921851686810665,0.20637936206379362,0.5578416517322627
40,Smap1,treat,0.3628492912024185,0.08110181570852819,0.00021745143020295452,0.0005385001662773622,-0.18599873769004432,0.6816962638875536,0.7466253374662534,0.90641175805644
42,Lmbrd1,treat,0.3917468869828506,0.10037177067435911,0.0004108356197750804,0.0008870689881304811,-0.35319106319814403,0.5304221020277501,0.46535346465353467,0.7517377850469023
44,Phf3,treat,0.2817930800173895,0.08739243865927798,0.0028997100289971,0.004810666474336173,0.14812842504962245,0.3960821276483126,0.6863313668633136,0.8776438504746947
46,Prim2,treat,0.40739779990670044,0.15172607463311272,0.007499250074992501,0.011629238547184203,-0.6071459769182695,0.33256242980586376,0.06569343065693431,0.387248150910809
48,Zfp451,treat,0.7667972371379653,0.15272665811507927,0.00014864911631296148,0.0004121449471471699,0.264352368046567,0.6866807432094392,0.6184381561843816,0.8472980595115562
50,Dst,treat,1.3689307481252755,0.23546770961625635,5.2860218766118595e-05,0.00021966670563888232,-0.717934110268881,0.2786562242411771,0.0273972602739726,0.293536047239158
52,Ptpn18,treat,-0.13044579489848002,0.04180640647138806,0.0017998200179982,0.003106101395317494,-0.05729543207958693,0.3058634291598466,0.8333166683331666,0.9454724400071735
54,Plekhb2,treat,0.8122167624307473,0.15534805462455728,0.0001045708230946866,0.00032321804887070637,0.5989679813535128,0.5552079246693854,0.23607639236076391,0.5780895594651061
56,Uggt1,treat,0.3429178698424074,0.09194870248695587,0.0007160730452329285,0.0014112801322668897,0.001630817865034852,0.7662911757337149,0.9981001899810019,0.999387697234233
58,Neurl3,treat,0.2687709696042906,0.06339950955932329,0.00032675302836138973,0.0007381117515663536,-0.11241143246734321,0.18480972775396454,0.5546445355464453,0.8134786521347864
60,Arid5a,treat,-0.056911963280976155,0.0809959661741804,0.47485251474852513,0.5203018026477992,0.014687826639713974,0.39802865139825483,0.9672032796720328,0.9919028364694945
62,Kansl3,treat,0.09118370172970934,0.1736274913450934,0.5883411658834117,0.6283255169628669,0.4109022288832034,0.601097170073133,0.397960203979602,0.7033844608558341
64,Cox5b,treat,0.5341942105321377,0.06945514883342975,1.2730750415593856e-05,0.00015118902597160717,-0.7981184745738814,0.28807886189290693,0.013798620137986202,0.2135199324104287
66,Actr1b,treat,0.353983826317685,0.14799392801017322,0.0226977302269773,0.032234216937554065,-1.8567537431630257,0.8460709075637726,0.05729427057294271,0.3755298045325001
68,Zap70,treat,0.13961482223706556,0.08637048798257742,0.10548945105489452,0.13268123846327773,0.941593624296558,0.3871072348303348,0.025797420257974202,0.28688999231944934
70,Tmem131,treat,0.456140558464573,0.1137080566443912,0.00041092681979799364,0.0008870689881304811,0.34925894949728115,0.6758829551994288,0.5662433756624338,0.8202666707277169
72,Inpp4a,treat,0.051590175911206175,0.13352566267016097,0.6958304169583042,0.7291161544437812,0.6383174013547003,0.6148774825820547,0.23477652234776522,0.5778060326263094
