,gene,tx,de_coef,de_se,de_pval,de_padj,dv_coef,dv_se,dv_pval,dv_padj
0,Mrpl15,treat,1.0735889558866472,0.0807179612282134,1.7045634900063303e-05,8.104790455528957e-05,-0.02006447595371049,0.8405964991990205,0.9772022797720228,0.9929482149441305
2,Lypla1,treat,0.21474559479400285,0.06045608957301459,0.0011577295177368908,0.0016183845452824473,-0.20292719293819403,0.365301697574091,0.5534446555344466,0.7529211123341795
4,Tcea1,treat,0.822121912718122,0.05378142959360143,2.677101811341445e-06,4.327412991444642e-05,0.6487943677909463,0.43599183913841244,0.28247175282471754,0.529411934219367
6,Atp6v1h,treat,0.16940272625592787,0.05343516242521231,0.0017998200179982,0.0024132895988751638,0.4707610089893209,0.28289432367083195,0.10118988101189881,0.2985484060289623
8,Rb1cc1,treat,0.12375390095432283,0.0408765117923475,0.0025997400259974,0.00342336574189027,0.1414701525595669,0.22107216610795327,0.5148485151484852,0.7242224639892397
10,Pcmtd1,treat,0.14394524053927163,0.05248078889049654,0.006399360063993601,0.008178342861722017,-0.02254153008450709,0.21873467319168646,0.924007599240076,0.9695560270892756
12,Vcpip1,treat,0.6774180512012713,0.07939019097030207,9.110979264513192e-05,0.0002054911248694598,0.1505494259712091,0.49729199061039303,0.7302269773022698,0.8668120260217325
14,Snhg6,treat,0.9009452140980413,0.13003819473283024,9.98792644003724e-05,0.00021909565975106285,-0.3155398851761788,0.34649952661539646,0.35606439356064395,0.5964341317411055
16,Cops5,treat,0.831981446800377,0.07773300893988025,3.085795345855128e-05,0.00010810673593812327,0.1256756071587022,0.5349013470185041,0.7763223677632237,0.8900974365373381
18,Cspp1,treat,0.5729135469797585,0.08663112055692491,8.016060772078581e-05,0.00019086295728484585,-0.7952377517973749,0.27600036310052156,0.0051994800519948,0.05160628611224728
20,Arfgef1,treat,0.19447592674041647,0.04024241861070359,0.00014768825503883956,0.00028976045763905574,0.4328971452176721,0.2497973163105164,0.08449155084491551,0.26939772825577507
22,Ncoa2,treat,-0.22666038587555554,0.028632831580024762,1.1067393570423912e-05,6.780543479897595e-05,0.5332908112212911,0.10265409024203188,0.0002064770063959013,0.011407397795837272
24,Tram1,treat,1.2407620957865104,0.0702786232918816,1.4966333203322003e-06,3.890946743170752e-05,-0.9022272266908882,0.43538599157047236,0.0461953804619538,0.19368553406580094
26,Lactb2,treat,0.834786465603604,0.11441551030484237,0.00025169909218345036,0.00043623030752442565,-0.5892105733566882,0.3910411621165342,0.1207879212078792,0.3289900739655764
28,Terf1,treat,0.034028470082252925,0.05640361399609181,0.5516448355164484,0.5791992445558672,1.008990897996111,0.6169489711040572,0.08199180081991801,0.265220110113341
30,Rpl7,treat,0.0661527372247517,0.018918183639514474,0.0012934776836006543,0.0017856961527388483,-0.1277326054005266,0.09673974918820345,0.1897810218978102,0.42588171089433113
32,Ube2w,treat,0.6745437353923072,0.07708372515624602,4.965352136920467e-05,0.00014154654516344508,-0.2032680832191279,0.37181682605227245,0.553044695530447,0.7526770426706239
34,Eloc,treat,1.0987398550571443,0.05943226024661179,3.1568327473145493e-07,3.6869470381130804e-05,-1.4559633047451674,0.39928887782514166,0.007399260073992601,0.06580282142725899
36,Tmem70,treat,0.8673483885362193,0.14650682678541305,0.00018829746031525323,0.0003483084577031484,-1.1418923614103793,0.8991804562435836,0.23167683231676833,0.47251174915177546
38,Mcm3,treat,0.7612244686240468,0.09944454589912027,0.00019378315386793697,0.00035558126166340974,-0.0886546292160998,0.15151594096434523,0.5588441155884412,0.7569100604578449
40,Kcnq5,treat,-0.5995120868449304,0.08405496078203534,8.700456307706567e-06,6.0893440279161546e-05,0.49703368310419943,0.24628855298165245,0.0382961703829617,0.17425874030672736
42,Smap1,treat,0.7347787905103593,0.04451232718352535,9.19673199685344e-07,3.71153997986201e-05,0.5506853381488557,0.34746653742440653,0.08839116088391161,0.2757751211385608
44,Lmbrd1,treat,0.08030551217287267,0.05571559622241712,0.1481851814818518,0.167533518288881,-0.037586856607891315,0.2728965399633033,0.8903109689031097,0.9525585217733152
