,gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval
0,Mrpl15,treat,-0.2675124183823634,0.06975227684378917,0.0007281173244608296,2.390540530632156,1.051916393369791,0.026697330266973303
1,Lypla1,treat,-0.333871900091727,0.06661426321303801,3.996555492058605e-05,-0.2724152045073673,0.7140279035807156,0.6701329867013298
2,Tcea1,treat,-0.37352072081173177,0.04720550020328997,3.4110695635706147e-05,0.06147811731885032,0.29916110233227117,0.833016698330167
3,Atp6v1h,treat,-0.27837071237378386,0.04924518578744865,0.00011699770338623617,-0.26759839287643056,0.21315473698419526,0.21127887211278873
4,Rb1cc1,treat,-0.22686452251541903,0.0479302679115861,0.0003835808837969903,-0.23160373216300106,0.1907056834424363,0.2238776122387761
5,St18,treat,-0.7629493289462431,0.11815779915363452,7.954271283660313e-05,-0.13100255981291808,0.1931431379594871,0.51004899510049
6,Pcmtd1,treat,-0.5737412803124172,0.0654349176770669,6.782968586940199e-06,-0.6339118014943408,0.2844490586850672,0.0263973602639736
7,Vcpip1,treat,-0.49292199473132936,0.06545388367516851,4.29051847703773e-05,-0.431193462938945,0.4373681733225696,0.29627037296270375
8,Sgk3,treat,-0.147831281913897,0.061700206982845666,0.015598440155984402,-0.6055944538446265,0.2822557452988963,0.0326967303269673
9,Snhg6,treat,0.23876606626446553,0.076705305895126,0.001999800019998,-0.7133351914692426,0.2644289734996953,0.0086991300869913
10,Cops5,treat,-0.22175055767216253,0.0727443470602902,0.0031996800319968005,0.6368940603029518,0.5416215256395165,0.1695830416958304
11,Cspp1,treat,-0.41264859469474824,0.08957991643326607,0.0007743408141507006,0.14051359614224518,0.2526700836792445,0.5681431856814319
12,Arfgef1,treat,-0.28862059993583306,0.05293344628873352,6.188148804056056e-05,0.911113045803027,0.21227404543041253,0.0006429998059526052
13,Ncoa2,treat,-0.20894498274360018,0.0482944826918172,0.0002869313255995402,0.26864277694482014,0.1609279371051862,0.09319068093190681
14,Tram1,treat,-0.2311450325659382,0.042045465108714264,3.7962149856136066e-05,-0.12089740109635737,0.2116114737643822,0.5600439956004399
15,Lactb2,treat,-0.43765708551583077,0.08441231259726885,0.00012002740629728893,0.018680692500199075,0.2717735368052058,0.9437056294370563
16,Terf1,treat,-0.3491109912557713,0.1024952030865898,0.0016211498777451657,0.2249727589342699,0.502371256259088,0.6404359564043596
17,Rpl7,treat,-0.2103241424898128,0.024008485871560833,1.4667199714114335e-05,0.7511674912184442,0.0801782494354258,0.0003451437146687187
18,Stau2,treat,-0.7855713524074891,0.1318864472890836,0.000213919799447378,0.11360112792972198,0.36286989389374147,0.7439256074392561
19,Ube2w,treat,-0.42902932031177865,0.0660105807149,3.056746494026631e-05,0.33165565926109036,0.2757854796447305,0.2288771122887711
20,Eloc,treat,-0.2263610978840441,0.04515281936935326,0.0008065795937450658,-0.10799168521845447,0.8179842954926135,0.8423157684231577
21,Tmem70,treat,-0.37173542848619334,0.11242490434271488,0.001604679915223688,-0.32385242914495527,0.6623713813538222,0.5649435056494351
22,Ly96,treat,-0.30655061107308074,0.0933757521776273,0.0013998600139986002,1.0448535713584963,0.5451701020607117,0.04989501049895011
23,Mcm3,treat,-0.1413371626738542,0.09425648770297591,0.1336866313368663,-0.5001928990285229,0.24032030816208524,0.0392960703929607
24,Tram2,treat,-0.617576365812607,0.11951384818968967,0.00020015058715128323,-1.81179528223537,0.9973072680889372,0.0580941905809419
25,Ogfrl1,treat,-0.03725449116844903,0.06551722290727269,0.5714428557144285,0.06483540086876254,0.33361570743785757,0.8418158184181582
