,gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval
0,Mrpl15,treat,0.3148022994415247,0.06900900887278491,0.0009830874534822044,0.8803807251997603,0.40356525652166986,0.030296970302969704
1,Lypla1,treat,0.10102613391627234,0.06183866336473749,0.101989801019898,0.5011085798171107,0.6733636507041594,0.39366063393660633
2,Tcea1,treat,0.06890519537414062,0.044945790235334376,0.12668733126687332,-0.24208474566755284,0.19311614220175174,0.20507949205079493
3,Atp6v1h,treat,0.066728889165419,0.04471650318678868,0.13608639136086392,0.15668027027610068,0.22994770432144526,0.49505049495050496
4,Rb1cc1,treat,0.11315765361045148,0.04377375772024133,0.010198980101989802,-0.11169293317659866,0.2920710386010739,0.7028297170282972
5,St18,treat,0.1584270828491667,0.11323511592940327,0.1603839616038396,0.13847965049295594,0.15757560617125568,0.3788621137886211
6,Pcmtd1,treat,0.15747452691998107,0.06317786463712755,0.012798720127987202,-0.31965859601388846,0.2210640665062932,0.15028497150284972
7,Vcpip1,treat,0.11651368671214744,0.06354133268350803,0.0673932606739326,-0.2633587686584357,0.37984591682998087,0.45625437456254375
8,Sgk3,treat,0.27864618049452533,0.05568774107836008,0.00035057075615001324,-0.14262196305236105,0.26964624243363017,0.5914408559144085
9,Snhg6,treat,0.30970747534332504,0.08191923854652336,0.0006285866145176325,-1.855812601456514,0.6301557729755461,0.0001646686229172649
10,Cops5,treat,0.16692798756679236,0.06653840221541779,0.011198880111988802,1.3892490673297093,0.6652747748967184,0.043695630436956304
11,Cspp1,treat,0.11677272401959035,0.08431970812285058,0.1713828617138286,0.2529422843936499,0.22055211135137442,0.2460753924607539
12,Arfgef1,treat,-0.09326790901707575,0.05028567544971037,0.061993800619938005,0.5132761295222673,0.17175118888765725,0.0027997200279972004
13,Ncoa2,treat,0.060260357617140284,0.046156947968282735,0.19318068193180682,0.019912701137169916,0.20788667854565257,0.9212078792120788
14,Tram1,treat,0.1797230386130398,0.03842211530331632,0.0002984029097493709,-0.17810565195280334,0.1982116723218496,0.3628637136286371
15,Lactb2,treat,0.06709753438556908,0.08175327791572069,0.40905909409059094,-0.0438419236981872,0.2500474450460834,0.8538146185381462
16,Terf1,treat,0.24747053405340486,0.09979280985896608,0.012898710128987101,0.0977393080788396,0.4563767808745931,0.8228177182281772
17,Rpl7,treat,-0.09394956541697018,0.021361779068523986,0.0002804854937585248,0.5175200792409423,0.08040615506224245,5.556904550385467e-05
18,Ube2w,treat,0.14227326067473875,0.06378532334400583,0.025397460253974602,0.2597842822643804,0.25862903061028336,0.31456854314568544
19,Eloc,treat,0.08940410841901629,0.040692566617366054,0.0282971702829717,0.3163712139067976,0.22740720897946437,0.16028397160283972
20,Ly96,treat,0.11823142647956783,0.0922076780781115,0.19888011198880112,0.3292127973017983,0.32196714420259376,0.30046995300469953
21,Mcm3,treat,0.3921583864056985,0.08683674522608623,0.00012933433929672764,-0.1541063135859749,0.20487551378726845,0.44385561443855615
22,Tram2,treat,-0.19356425297988705,0.11321764314726943,0.08759124087591241,-1.5962030529901927,1.0211862728837122,0.08809119088091191
23,Ogfrl1,treat,0.3897147970168649,0.06290198304514967,2.8172889394879996e-05,0.11748429785946876,0.3144853805587668,0.706029397060294
