,gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval
0,Mrpl15,treat,1.0061387205043772,0.07339632653845486,1.0016062950820603e-06,-0.5101966639290554,0.6172004584275904,0.3408659134086591
1,Lypla1,treat,0.12478898648389268,0.05634055738207627,0.027297270272972702,-0.22255006713593756,0.294676103796471,0.43495650434956507
2,Tcea1,treat,0.6515552042846453,0.04518765726599944,7.7050289858476e-06,0.04011734182371718,0.2240710550224404,0.8556144385561444
3,Atp6v1h,treat,0.10423054798339294,0.050035855616421716,0.0372962703729627,0.503700109402626,0.23512171739878704,0.0410958904109589
4,Rb1cc1,treat,0.030875706200976908,0.038149548940593615,0.41435856414358563,0.185805548728756,0.1832094450471268,0.30696930306969306
5,Pcmtd1,treat,0.025389696798763572,0.04760341037376141,0.5960403959604039,0.15219151340862633,0.21768089217068337,0.47935206479352066
6,Vcpip1,treat,0.5363383662958978,0.06965737696649206,1.7483792873693487e-05,0.11940402151063567,0.34164661555417924,0.7076292370762923
7,Snhg6,treat,0.748770793455011,0.10024504775213076,2.610570580926299e-05,-0.33104041019876185,0.3512336089269923,0.34196580341965804
8,Cops5,treat,0.7472309101083182,0.07319759308445185,6.53461355211361e-06,-0.1421296837905272,0.3903928404759625,0.6948305169483052
9,Cspp1,treat,0.3698431159882052,0.07286240267533375,0.0003271454649438245,-0.5856857298684277,0.2221354069633336,0.009099090090990901
10,Arfgef1,treat,0.12049816663036195,0.03822727706269787,0.0021972997979676067,0.43685690125658394,0.1902387003330137,0.027197280271972803
11,Ncoa2,treat,-0.23157991594433314,0.028062632419418306,8.707287427241446e-05,0.7432727812153559,0.0972403835486745,1.5794219043379207e-05
12,Tram1,treat,0.9978531546007368,0.05755196282271465,3.876497788505423e-06,-0.8271325830593828,0.3372758537252199,0.0187981201879812
13,Lactb2,treat,0.6620098794644732,0.09233916843149331,1.4217277942481616e-05,-0.6017150451671694,0.3378534641389284,0.07779222077792221
14,Terf1,treat,0.018010903324656935,0.055027673601026936,0.7443255674432556,0.8221794252756587,0.3618578248638387,0.032396760323967606
15,Rpl7,treat,0.03920140561470187,0.01899698479601042,0.0413958604139586,-0.1297492862290076,0.08480200845620496,0.1287871212878712
16,Ube2w,treat,0.4107433361021802,0.06641886759640002,0.0006846345036302398,-0.3406321581141283,0.3195811498350824,0.27447255274472554
17,Eloc,treat,1.020982980122777,0.05491500899997863,5.670397579298528e-06,-1.391118359887297,0.3366047711448457,0.0027997200279972004
18,Mcm3,treat,0.7256057012544266,0.09333531953053091,1.3838712406225924e-05,-0.15884490125777262,0.13908783189510268,0.2518748125187481
19,Kcnq5,treat,-0.6540621802680473,0.07996997467930039,1.3895059744198074e-06,0.7663976929613242,0.23222324276900402,0.0008884825333123944
20,Smap1,treat,0.631760233741551,0.040865779194388975,3.515503277332519e-06,0.49103796955125095,0.2214764058856132,0.027197280271972803
21,Lmbrd1,treat,-0.005356916037822513,0.052963372630010046,0.9189081091890811,-0.03943117501162191,0.24649753343141165,0.8703129687031297
