"","logFC","logCPM","F","PValue","FDR"
"Ctla2a",1.41785257199603,7.45302193296345,25.815912019437,9.31472506150601e-05,0.942870556526035
"Lyz2",2.04000301025188,10.8086291767313,21.682526752078,0.000227413218986469,0.942870556526035
"Cd80",1.83593480489197,6.99528318950774,20.9800463226194,0.000267329332726406,0.942870556526035
"Dab2",1.80628627041835,8.30738781202581,18.7715824209208,0.000454186467831928,0.999707407199739
"Casd1",1.36817978101743,4.35183469681409,17.7622216443174,0.000585570457891472,0.999707407199739
"Entpd1",1.63720540924602,7.0962887402248,16.9918217872946,0.000714759139515443,0.999707407199739
"Pde4b",1.9913152859022,8.56779468729478,16.0356434961985,0.000921801105802273,0.999707407199739
"Osm",2.49953140540972,7.16882356735416,15.9464144760705,0.000944331676601527,0.999707407199739
"Apbb1ip",1.86786957454139,7.21270652326364,15.6276098688866,0.00103003132407778,0.999707407199739
"Il1b",2.49105100852894,10.3467334802995,15.3855141851405,0.00110095664304397,0.999707407199739
"Nrg1",2.12330117568058,7.61101845288193,15.0604712908701,0.00120496597842224,0.999707407199739
"Dynlt2b",0.677218524808543,4.08869482734738,13.967907410089,0.00164454891357319,0.999707407199739
"Nlrp3",1.33149757738227,7.57949320011237,13.8099277818911,0.00172192718393355,0.999707407199739
"Fcer1g",1.80000386451337,9.48159511681037,13.7406418001727,0.00175714781206033,0.999707407199739
"Bcl2a1b",2.08183230272296,8.35227993327264,13.7187744082684,0.00176843139065449,0.999707407199739
"G0s2",2.21774546459186,3.13953445073029,13.5908049743743,0.00200499315305597,0.999707407199739
"Gm57204",1.36492614941492,6.65679214735512,13.082970084316,0.00213500042149356,0.999707407199739
"Ctss",1.83962875138413,9.75530170971483,13.0664215412378,0.00214562149673815,0.999707407199739
"H2-Ab1",1.54624179413785,10.4071868227523,12.9889318165,0.00219615261650426,0.999707407199739
"Ccrl2",1.72829627854004,7.52889753522697,12.9191696958513,0.0022427917300909,0.999707407199739
"Srgn",1.90057187772812,10.7984671236563,12.8126224497574,0.00231618927239166,0.999707407199739
"Csf2ra",1.01502759668647,6.16770260204515,12.6913393941388,0.0024030460249679,0.999707407199739
"Atp2b4",1.32742280016254,7.09728740255142,12.0241955946493,0.00295155041448899,0.999707407199739
"Gm34854",-1.25781787750442,0.472783551269981,11.9061548639934,0.00306260577971356,0.999707407199739
"Arhgap31",1.19885694769471,7.805503404204,11.885938387532,0.00308209389457887,0.999707407199739
"Arhgdib",1.15863099177918,8.47224732116276,11.7997301030854,0.00316677831851596,0.999707407199739
"Lrmda",1.96094898181585,8.53337343686352,11.7688037844888,0.00319779402522517,0.999707407199739
"Lcp1",1.46960117254132,8.84462489241011,11.7203404173487,0.00324708791418368,0.999707407199739
"Ctla2b",1.3817501335882,4.97825917818477,11.3823844459532,0.00361561763589636,0.999707407199739
"Ifitm3",2.17608395147444,9.33961841842154,11.1266685353279,0.00392587320833772,0.999707407199739
"4930486L24Rik",1.43494541482387,2.31025851540754,11.0250213342045,0.00405744569510568,0.999707407199739
"Pabpc1",-0.529551254859969,9.49436406311204,10.9260586986638,0.00419033625710046,0.999707407199739
"Pde8a",1.09591300895628,5.89158585732558,10.8909788046346,0.00423861504203697,0.999707407199739
"Phactr2",1.08708567023333,6.68001734835192,10.5497271875772,0.00474245772395794,0.999707407199739
"Tyrobp",1.32533647733542,9.22991570721829,10.497697091978,0.00482505856429461,0.999707407199739
"Plek",1.55770300245351,8.69122168306792,10.4099450420958,0.00496807277346107,0.999707407199739
"H2-Q6",1.74657204827577,6.27102070106515,10.3926843745859,0.00499676268090664,0.999707407199739
"Rcn3",1.61922134644691,2.30535117551147,10.2115234779423,0.00530942732384721,0.999707407199739
"Lilrb4a",1.90351479597668,7.95814442707077,9.79745854697875,0.00611050362902496,0.999707407199739
"H2-Eb1",1.53946352289813,10.3855963402683,9.68044041413384,0.00636101736984185,0.999707407199739
"Thbs1",1.41835476278736,9.83900252027098,9.67678732229891,0.0063690225413377,0.999707407199739
"Cd274",0.780359664628602,7.40809511477855,9.64253931880826,0.00644462745317634,0.999707407199739
"Gstk1",1.63550730170593,0.919978208377338,9.46738282280264,0.00684750187042411,0.999707407199739
"Xylt1",1.15835963603738,6.81128205144513,9.28532965430712,0.00729667012695407,0.999707407199739
"Itgam",1.73269261679223,7.45953552021714,9.22495815518972,0.00745290117725095,0.999707407199739
"Trps1",1.17487746870162,9.24115286648887,9.21293395501138,0.00748446724426825,0.999707407199739
"Serinc5",-0.615922541484881,3.71208232166657,9.12474885256143,0.00772064515383182,0.999707407199739
"Gbp7",2.14072002274378,6.04953492502445,9.10334857653603,0.00777922237993609,0.999707407199739
"Ptgs2",1.05264882524398,8.47664763399884,9.05174107875243,0.00792256157885506,0.999707407199739
"Rgs1",1.37204622006382,9.08084286065078,8.78187126314426,0.00872252340287078,0.999707407199739
"Cd52",1.17303859704522,10.1420829868725,8.42610083697164,0.0099205490873552,0.999707407199739
"H2-Q7",1.54250045043234,8.51880917203973,8.40434861398058,0.00999963387488793,0.999707407199739
"Flywch2",1.08876978665362,1.56352314977767,8.3366070211969,0.0102505337634735,0.999707407199739
"Mga",1.00951227789263,5.34791937529929,8.08315854175237,0.0112545922852241,0.999707407199739
"Samsn1",1.16886282200836,8.19356771089707,7.91506233573913,0.0119819481864109,0.999707407199739
"Miga1",0.870619421008227,2.04368290867036,7.78043885488752,0.0126030263056322,0.999707407199739
"H2-Aa",1.63848348800459,10.4448158987249,7.67383100258507,0.0131208267808813,0.999707407199739
"Tiam1",0.907899333633154,5.07358620866472,7.65324364662471,0.0132235782023481,0.999707407199739
"Lhfpl2",1.22416184535916,4.85050063538877,7.74736744587429,0.0133097784119905,0.999707407199739
"Casp4",1.56225419445429,5.03090569953068,7.63463608220931,0.0133172346790482,0.999707407199739
"Rora",1.26955773063495,8.49785550714218,7.52509359466259,0.0138840914828189,0.999707407199739
"Fcgr3",0.936085907504352,8.01177115275221,7.40968494519356,0.0145111356021349,0.999707407199739
"Fabp4",2.10141634607865,6.46883629081225,7.26863899920418,0.0153216020594883,0.999707407199739
"Cytip",0.932317376442802,8.6767071928467,7.25694538217442,0.0153910716189122,0.999707407199739
