"","logFC","logCPM","F","PValue","FDR"
"Runx3",-2.23691505436776,8.01845355073374,36.7644304642196,1.27783855199972e-05,0.0875412482885853
"Map4k1",2.18664836436352,4.64545723732603,33.167935783271,2.3332729580888e-05,0.0875412482885853
"Cdc42ep3",1.84804287703448,3.58820253460585,32.8131399820214,2.48203142298229e-05,0.0875412482885853
"Rora",-2.71673092211221,8.49785550714218,29.9474589459904,4.16081790410207e-05,0.11006403560826
"Trps1",-2.07256597204016,9.24115286648887,26.5911077827571,7.95934979153041e-05,0.145804904188715
"Slc9a9",-1.56048936971846,7.33324054384497,26.402256526394,8.26792765459115e-05,0.145804904188715
"Pde4b",-2.54747619234493,8.56779468729478,24.3935653263935,0.000125292463223033,0.189388507623273
"Ctla2a",1.33558743171104,7.45302193296345,23.1191483903931,0.000164936277477064,0.191881019774844
"Tesc",1.31188395607975,3.31560156868032,22.4144750303294,0.000192782427306363,0.191881019774844
"Atp2b4",-1.84123394965041,7.09728740255142,22.0180891115607,0.000210739132080298,0.191881019774844
"Cytip",-1.66864049532602,8.6767071928467,21.7029941903848,0.000226354883062947,0.191881019774844
"Inpp5d",-1.5419339594566,8.24986368647345,21.563193091351,0.000233695275713051,0.191881019774844
"Lrmda",-2.7526019978665,8.53337343686352,21.3630444285895,0.000244673139765834,0.191881019774844
"Snx20",1.1419821990518,6.20083750806575,21.2027456676976,0.000253882834972859,0.191881019774844
"Samsn1",-1.93572048006831,8.19356771089707,19.96576936355,0.000339573286429724,0.239534996247527
"Sorl1",-1.60634984372852,6.76019975872904,18.9948116926384,0.000429817188225701,0.284243479288509
"Cd80",-1.72698983437836,6.99528318950774,17.96453306339,0.000556143855199128,0.336210839270425
"Fli1",-1.87664671726471,7.74681122229601,17.8544165522439,0.000571949258753204,0.336210839270425
"Xdh",2.67861401581669,5.52480283272427,17.602412708228,0.000610052084949442,0.339734795307897
"Entpd1",-1.69826648389708,7.0962887402248,17.3425086247975,0.000652359378609801,0.345130729253515
"Ppm1h",-1.31449722063227,7.1178994880005,17.1393707846447,0.000687723280788118,0.346514287334242
"Kctd17",1.4123758935792,2.58505021695205,16.9087605417196,0.000730502178056297,0.351338343000622
"Stat4",-1.94460740036262,8.37026065938505,16.6591156784514,0.000780210913665909,0.358930942499956
"Ccl4",-2.45646390329759,8.04919692357984,16.4381517859928,0.000827391979365476,0.364776438902754
