"","logFC","logCPM","F","PValue","FDR"
"Lyz2",-3.04199667926611,10.8086291767313,44.4556852881392,4.00987155000575e-06,0.0424284508706108
"Cdc42ep3",1.57608954219893,3.58820253460585,24.3539328786793,0.000126351099327315,0.668460490991162
"Ighm",3.32628879998798,4.48921063304146,18.2149291838956,0.000521994917258324,0.999970163909786
"Atp2b4",-1.55758197846302,7.09728740255142,16.3954918345222,0.000836865077588119,0.999970163909786
"Ifitm3",-2.36927052813106,9.33961841842154,13.004316475246,0.00218601470613552,0.999970163909786
"Pde8a",-1.1883905023812,5.89158585732558,12.8561650288171,0.00228587232934415,0.999970163909786
"Armcx3",-1.66716082544161,3.2895907405625,12.72113960387,0.00238137000008073,0.999970163909786
"Snx20",0.872164274476339,6.20083750806575,12.6498211452978,0.00243361652598853,0.999970163909786
"Lrmda",-1.99387581047969,8.53337343686352,12.1701508868286,0.00282044971069734,0.999970163909786
"Tmem156",1.46299334436301,3.4122471064538,11.5689268399619,0.00340669631251568,0.999970163909786
"H2-Ab1",-1.44911140746082,10.4071868227523,11.4893369189587,0.0034941245219053,0.999970163909786
"Trps1",-1.28435606609796,9.24115286648887,10.9848133203557,0.00411085703242289,0.999970163909786
"Grap2",1.470760299601,8.23896065579142,10.9609511516579,0.00414292942586006,0.999970163909786
"Rcn3",-1.63904020335989,2.30535117551147,10.4892053281816,0.00483869316040285,0.999970163909786
"Elmo2",0.791134475077681,4.58725886722756,9.91081569479104,0.00587840070878583,0.999970163909786
"Skap1",1.48455836632992,8.44597625875866,9.90687633184273,0.00588629780359306,0.999970163909786
"Prune2",1.70571738963985,4.09514104043722,9.85229724696246,0.00599695206495398,0.999970163909786
"Fcer1g",-1.48428208098749,9.48159511681037,9.56885056703537,0.00661076236856078,0.999970163909786
"Kcnq5",1.3932553412038,6.84159516142794,8.59860110528681,0.00931786739694476,0.999970163909786
"Cxcl16",-0.663191396260148,7.3177081668339,8.51058956192138,0.00962001857599772,0.999970163909786
"H2-Eb1",-1.38222624972699,10.3855963402683,7.88516581017242,0.0121168180080874,0.999970163909786
"Fcrl1",1.82641603594507,1.03811318759606,7.8265523184092,0.0123862629155042,0.999970163909786
"Ctss",-1.39559105007972,9.75530170971483,7.75829062845953,0.0127086647775013,0.999970163909786
"Fcgr3",-0.947448095765072,8.01177115275221,7.64534871066441,0.013263223779095,0.999970163909786
"Cebpd",-0.790494573562381,3.83500963462209,7.60423509271443,0.0134718746341346,0.999970163909786
"Map4k1",1.01470233412178,4.64545723732603,7.54025888715537,0.0138040048857499,0.999970163909786
"Ptpn13",-1.16963727707555,5.1257537010014,7.5193817738056,0.0139143917571622,0.999970163909786
"Ppp1r3b",0.797255611666689,5.38204423778198,7.35335070174727,0.0148288518624816,0.999970163909786
"Thbs1",-1.21041342265732,9.83900252027098,7.12630397612001,0.0161920260860941,0.999970163909786
