"","logFC","logCPM","F","PValue","FDR"
"Ctla2a",1.58736710983861,7.45302193296345,32.1662523233988,2.78138829696689e-05,0.294298695702067
"Kcnq5",2.12903844391304,6.84159516142794,19.2160837160575,0.000407099449023239,0.999943856760676
"Nlrp3",1.55917367576486,7.57949320011237,18.955521077498,0.000433997955785657,0.999943856760676
"Dab2",1.80924125098894,8.30738781202581,18.8584590330385,0.000444522833776138,0.999943856760676
"Cdc42ep3",1.33213454995339,3.58820253460585,18.4279378985723,0.000494789498127276,0.999943856760676
"H2-Q6",2.17898020691132,6.27102070106515,16.4787096270047,0.000818497156719966,0.999943856760676
"Gm57204",1.51554051845304,6.65679214735512,16.1491466442372,0.000894008393794527,0.999943856760676
"Prune2",2.17150587558779,4.09514104043722,15.5121490809818,0.00106319616352403,0.999943856760676
"Spata24",0.983711815700616,2.37901810251029,13.6296423771142,0.00181527380086946,0.999943856760676
"Ighm",2.70774620992076,4.48921063304146,13.2916837562063,0.00200599835853886,0.999943856760676
"Tiam1",1.16447203108406,5.07358620866472,12.9584143322662,0.00221641936178146,0.999943856760676
"Apbb1ip",1.6483850762399,7.21270652326364,12.4681345386876,0.00257264381395802,0.999943856760676
"Gm34854",-1.24786634063238,0.472783551269981,11.9657208462875,0.0030059876438622,0.999943856760676
"Dusp2",-1.6927018915143,6.76835530949409,11.7718540048627,0.00319471983366914,0.999943856760676
"Tm4sf5",-1.74072966863817,2.18927874360148,11.6277668919244,0.00334364485592595,0.999943856760676
"Ampd3",0.99950588213402,2.93615424950627,11.4383402142368,0.00355147120338524,0.999943856760676
"Asns",1.40272316658237,2.81815687406043,11.0745740487996,0.00399269381233345,0.999943856760676
"G0s2",1.94990461868894,3.13953445073029,10.7437506020957,0.00474784069121946,0.999943856760676
"Slc14a1",1.52315441093573,3.10832499298246,10.0455517781563,0.00561536593483477,0.999943856760676
"H2-Q4",1.43087186765306,5.86458615927817,9.86959437475602,0.00596163149522744,0.999943856760676
"1700084F23Rik",-0.820606577793169,0.114419656333174,9.70208455052665,0.00631382012488142,0.999943856760676
"Ikzf4",0.860939644619453,4.40950108021181,9.61224532251246,0.00651234921880836,0.999943856760676
"Icam1",0.9200471950083,5.85321112584687,9.6030604231935,0.00653304043142024,0.999943856760676
"Casp4",1.71680254988632,5.03090569953068,9.36663944592284,0.00709206965884645,0.999943856760676
"4930486L24Rik",1.3116107288131,2.31025851540754,9.32150436055908,0.00720483094470429,0.999943856760676
"Sema4d",0.85220690523856,6.92812524937905,9.12144807527647,0.0077296474906981,0.999943856760676
"Ctla2b",1.20307391249094,4.97825917818477,8.73890051177333,0.00885814984020054,0.999943856760676
"Bcl2l15",1.18978485644679,2.71497341233944,8.73188096407878,0.00888053122786549,0.999943856760676
"Gnb5",1.33265436419738,1.82053982571457,8.48691678474462,0.009703171366174,0.999943856760676
"Itgam",1.6433916149391,7.45953552021714,8.43425194553687,0.00989109661837303,0.999943856760676
"Rftn1",0.69410979893902,6.72629107570774,8.34352739241243,0.0102245779800741,0.999943856760676
"Rpl41",0.465520228827405,11.9486739750803,8.20159493132373,0.0107721515581531,0.999943856760676
"Atp2a3",1.4352821601483,4.50347601537721,8.13924776965148,0.011023130749328,0.999943856760676
"Tmem156",1.19258719160712,3.4122471064538,8.08071100223773,0.0112648171727512,0.999943856760676
"Nrg1",1.52446101303727,7.61101845288193,8.06396770528125,0.0113350473050974,0.999943856760676
"Ramp1",-0.887703719303093,4.78407054198311,8.04443863498803,0.011417590179298,0.999943856760676
"Gde1",1.07829298829111,6.3468559521682,7.99514746395141,0.0116289746755975,0.999943856760676
"Clstn1",1.03775658570812,3.47369848571298,7.92470544689483,0.0119388096672185,0.999943856760676
"Slco3a1",1.16567097997418,7.05004483213845,7.71043786107031,0.0129403516093925,0.999943856760676
"Fcho1",0.861028381146972,3.75441090648172,7.69438393262092,0.0130191499145422,0.999943856760676
"Anxa6",0.922124771670035,6.19890582913398,7.64179542315743,0.0132811111340605,0.999943856760676
"Rps17",0.566376918076299,10.0500870276571,7.60413571513191,0.0134723834662992,0.999943856760676
"Tmem150c",-1.29975972125419,1.53864176209459,7.38678424048195,0.0146393499876289,0.999943856760676
