"","logFC","logCPM","F","PValue","FDR"
"Ablim1",-3.29348024786567,7.45328105170232,60.565209349587,5.37940143685045e-07,0.00569194466033146
"E2f7",-2.3074084656525,2.85150920353201,42.6074782631286,5.22292571728938e-06,0.0149386072408395
"Ikzf2",-2.4780058667704,9.03444082885569,42.3005351283301,5.46172825276988e-06,0.0149386072408395
"Tm4sf1",-3.41097828011395,8.53657209851915,42.0721618110648,5.64733285732522e-06,0.0149386072408395
"Tox",-3.79934443016185,8.35350140631278,39.9003309544226,7.81305265500428e-06,0.0165339820285201
"Rras2",-1.31533412806063,5.86204931049216,37.9709718936268,1.05386965724812e-05,0.0185849914055706
"Camk4",-2.67160447690192,8.67112177594001,36.4355979943426,1.34778684290095e-05,0.0203727608353357
"Zeb1",-1.36878766517087,8.95968528020257,31.4157363796564,3.18047827423567e-05,0.0420658007746096
"Cenpp",-1.85863377028788,4.59079035091667,29.4107473672414,4.60027315225433e-05,0.0425223877890253
"Kif22",-2.03570076685991,3.46344179959553,29.2626421977268,4.73052118944033e-05,0.0425223877890253
"Ncapd2",-1.55068475371322,4.56226029353725,29.2127975172437,4.7752805236055e-05,0.0425223877890253
"Hmga1",2.78032854732812,5.58558771712017,29.1607776962127,4.82249932396091e-05,0.0425223877890253
"Rnf125",-1.35067205304589,6.21655234309488,28.2220743783967,5.77112230201875e-05,0.0443738100158293
"Plpp2",2.4909303950213,4.74384714320287,28.1332413280119,5.87121576619988e-05,0.0443738100158293
"Ikzf4",-1.7879451850605,4.40950108021181,26.7011645518957,7.78547956200444e-05,0.050011141295154
"Gm2682",-2.00651024412455,5.95987547141866,26.6218853148747,7.91029274055354e-05,0.050011141295154
"Foxm1",-1.52716388739857,3.10893383434025,26.4765885240414,8.1449001065057e-05,0.050011141295154
"Dynll1",0.938833986370908,8.58648759404156,26.2608795441396,8.50770762038345e-05,0.050011141295154
"Depdc1b",-2.02907640601528,2.1903216454561,25.6770488031239,9.58386231663624e-05,0.0533720248275411
"Psmd7",0.846224857257235,6.43812423116879,24.7835149296585,0.000115389799502079,0.058290960088974
"Spry2",3.0200526731559,5.05409355939378,24.7307919728506,0.000116675960788886,0.058290960088974
"Magohb",1.69351806006018,5.14755274325098,24.550441999206,0.000121198480479863,0.058290960088974
"Tmsb10b",2.05251735584853,5.19289416741586,24.1406389115867,0.000132223366224919,0.0608284973054725
"Kif4",-1.59771283359634,3.92536547497862,23.7909734610127,0.000142523412529175,0.0628350094987999
"Kif11",-1.86950661248922,5.23155124762783,22.9743035428622,0.000170270294899426,0.0676817267611653
"Cep55",-1.51825479624127,4.13490956341588,22.8497468485269,0.000175012051630269,0.0676817267611653
"Plekha5",-1.05447524480926,6.73957674407614,22.6970037655501,0.000181029995845345,0.0676817267611653
"Tcf7",-2.40448935882376,5.20282727740931,22.4014627500506,0.000193343939540059,0.0676817267611653
"Ccna2",-1.9212889178766,5.07206526188903,22.2319677042579,0.000200827984615352,0.0676817267611653
"Cdca3",-1.47853206330165,4.87926490415083,22.2228217907326,0.000201240957101222,0.0676817267611653
"Tmsb10",1.3401507641428,11.739479030109,22.1955746571485,0.000202476918924747,0.0676817267611653
"Rrm2",-1.63725534564469,5.90476514910261,22.0695600325907,0.000208304833627769,0.0676817267611653
"Selenom",3.30567986203942,5.87887568050447,21.9679084150395,0.000213143137797438,0.0676817267611653
"Diaph3",-1.48237318839948,6.0505726074078,21.8789219153635,0.000217482157629678,0.0676817267611653
"Skap1",-2.41326497386061,8.44597625875866,21.4111883889411,0.000241980675737534,0.0714939231788249
"Zbtb46",-1.54188644270081,4.42665554740881,21.3884966763587,0.000243245556605018,0.0714939231788249
"Cip2a",-1.65528218967884,3.64545525641604,21.0995876791561,0.000260014861982771,0.0727246375615951
"Cd151",1.77607454855781,5.07067055287536,21.0803097272908,0.000261179116089274,0.0727246375615951
"Tmem64",-1.38305794218255,4.53106441805958,20.2964717047199,0.000313855800529839,0.0831412309272516
"St6galnac3",-1.91558203188368,7.23996268064082,20.2904532171675,0.000314303868924493,0.0831412309272516
"Ggct",2.52203688614061,5.58616484375043,20.1243246326868,0.000326959552023709,0.0843794882917772
"Neil3",-1.91303401107823,3.57933638096402,19.8603543417051,0.000348261211176699,0.0860424445996542
"Immp2l",-1.38015543605845,7.14411267886698,19.8435761235842,0.000349666866816476,0.0860424445996542
"Apol9b",4.32134592769734,3.40536691167215,19.4174252585786,0.000387592706258029,0.0908519452700324
"Ect2",-1.77607560408225,4.46737312405702,18.9726713543948,0.000432167476364045,0.0908519452700324
"Zfp867",2.38080558774033,1.74270677585559,18.8975536004765,0.00044024958557801,0.0908519452700324
"Cald1",-2.10637696033961,7.00632128126077,18.8266386031379,0.000448035331130494,0.0908519452700324
"Racgap1",-1.45217278804627,5.29013303195325,18.7771493123824,0.000453560224257354,0.0908519452700324
"Mreg",-1.5954946464833,2.85366820756563,18.6297387463451,0.000470474889564332,0.0908519452700324
"Krt19",-3.83220523730074,9.18545331730597,18.6155833581564,0.000472136035409919,0.0908519452700324
"Gm29243",1.75872949242379,3.72567166354125,18.5883601959209,0.000475349216806678,0.0908519452700324
"Cdon",-1.3931266274572,3.22872137908088,18.5588148774536,0.000478864266530018,0.0908519452700324
"Stom",1.17942125725457,5.58232885357681,18.5115740958398,0.000484545305789434,0.0908519452700324
"Nupr1",1.7870613806949,6.61152217556904,18.4627553263413,0.000490495654635252,0.0908519452700324
"Ctla4",-1.3497181789673,7.582093268064,18.4619293405742,0.000490597033718349,0.0908519452700324
"Shcbp1",-1.61717875725282,3.83316308382353,18.4578405850476,0.00049109922186357,0.0908519452700324
"Gas8",1.57304301804271,3.4140289278423,18.4085999685299,0.000497192539516442,0.0908519452700324
"Xkr6",-1.05091356846777,4.89772326340783,18.4020689828842,0.000498007071700395,0.0908519452700324
"Spag5",-1.59233148601073,3.5692920586109,18.1683391269123,0.000528166575331147,0.0947208565013367
"Pgap1",2.51610242316086,6.41377844449039,18.0646160530083,0.000542202625110765,0.0953117291084045
"Ptpn4",-0.886969798633736,5.82503029996788,18.0120389040922,0.000549476937492928,0.0953117291084045
"Psma5",0.887755460923859,7.12189685827158,17.9031633137298,0.000564891138105207,0.0964050505208257
"Ppp1r16b",-1.83605570297072,7.60381054038582,17.8309109926911,0.000575387977481782,0.0966377807894402
"Aff3",-1.76725757850375,5.79510205220668,17.6315011983967,0.000605511735745009,0.0987129965295232
"Sgo1",-1.98298046677914,3.67735204537117,17.6257751656885,0.000606402492620641,0.0987129965295232
"Nup210",-1.36714896547681,5.0489154514382,17.5621354026656,0.000616402058581395,0.0988204573007536
"Pimreg",-1.68976708277178,2.85518479554173,17.3276574305228,0.000654874487088496,0.103421297729603
"Mllt3",-0.776347462369182,7.1709334629155,16.9986678688266,0.000713478643960753,0.108665086261911
"Osbpl3",-1.50047679777666,6.48920271769497,16.9333698643692,0.000725797645068583,0.108665086261911
"Ube2c",-1.25649534751937,6.3391724221907,16.9309036599315,0.000726267570052224,0.108665086261911
"Tubb4b",0.764417455941013,7.01781829455715,16.9157735613714,0.000729158030866237,0.108665086261911
"4930484I04Rik",2.09032725181238,2.26062367401787,16.6512223289769,0.000781843388548645,0.114898401308795
