"","logFC","logCPM","F","PValue","FDR"
"Gm2682",3.22775203116877,5.95987547141866,45.7758878150376,3.336473831781e-06,0.0353032296140748
"Cdin1",-1.3596475527898,4.31590256928078,32.7251327293731,2.52055447359166e-05,0.0929454724070835
"Bhlhe41",-2.9431685894484,4.82798317368531,33.8660920357398,2.63525580967064e-05,0.0929454724070835
"Fer",-2.27037861504434,5.45443925143227,25.1022001920805,0.000107945570964093,0.285543021592766
"Nr1d2",-1.46159427758474,4.41077378457407,21.8092901943556,0.00022094650292631,0.467566989492657
"Msrb2",-1.23396550191927,2.52981085516186,18.9936170744491,0.000429943635423441,0.727790169004941
"Hip1r",1.39340890667153,5.85332311756753,18.1163116476743,0.000535155439949899,0.727790169004941
"Mpzl1",-2.18482093151896,3.4985765623754,17.2441588182184,0.00066921945281529,0.727790169004941
"Arv1",-1.18198081735104,2.851763740681,16.9162321122819,0.00072907023963383,0.727790169004941
"Caprin2",-1.64446090887517,3.15633972831844,16.3305840458278,0.000851512980565368,0.727790169004941
"Zfp867",-2.28922091428477,1.74270677585559,16.055168841735,0.000916951767574429,0.727790169004941
"Tanc2",-1.0734190649559,5.88752212208116,15.997865547849,0.000931265643732796,0.727790169004941
"Camk4",1.7056839522584,8.67112177594001,15.9440727089711,0.000944931247901545,0.727790169004941
"Dcbld2",-2.47402143504956,4.26050633325374,15.7708400417248,0.000990493092670466,0.727790169004941
"Crim1",-2.00874768211066,6.68438546005772,15.5073311143384,0.00106460590475746,0.727790169004941
"Ada",-1.22432394233914,3.04983520910796,15.1995116600888,0.00115918112762469,0.727790169004941
"Vegfb",-1.45339630862877,4.69015659184419,15.0331385558967,0.00121420334859142,0.727790169004941
"Scoc",-1.01349347923698,4.63592668532243,14.6838050225555,0.00133954680334506,0.727790169004941
"Gm4876",1.44270559875036,4.39753800005742,14.5765834809105,0.00138088645175945,0.727790169004941
"Adcy3",-1.30243999954789,3.40546317777876,14.5578653737563,0.00138824924919079,0.727790169004941
"Trim47",-1.25468624216482,4.32721966855501,14.7618308818939,0.00144443753417482,0.727790169004941
"Nup35",-0.965204884324919,4.48881212793536,13.9122035650789,0.00167137750671143,0.790341771413089
"Zfp74",-1.05869665257647,2.40962717309972,13.8178079582094,0.00171797190648342,0.790341771413089
"Sult2b1",2.08939423286274,4.55526099533081,13.2236625282904,0.00204705242451082,0.860551203496416
"Psd3",-1.08141714850399,6.93735472031845,12.995125745508,0.00219206470501084,0.860551203496416
"Rpl41",0.576966023416784,11.9486739750803,12.5630534425736,0.00249892803655399,0.860551203496416
"Enpp1",-1.24640505788976,4.87122611452709,12.5249574585418,0.00252822474485855,0.860551203496416
"Rubcn",-1.07126076958794,3.59431069638284,12.2516136856624,0.00275013543116852,0.860551203496416
"Crybg1",0.821199116773407,6.03162962792072,12.1563517653461,0.00283255965412132,0.860551203496416
"Il18rap",0.907969199281724,5.82342878721085,12.0124522191039,0.00296239327173679,0.860551203496416
"Cacna1a",-1.28869081727071,4.8214921297825,11.9344701143468,0.00303554347165128,0.860551203496416
"Mllt3",-0.639778809038436,7.1709334629155,11.8737194077956,0.00309394032541339,0.860551203496416
"Tsen2",-1.34474601199087,2.60744392897546,11.7612079482413,0.00320546404233867,0.860551203496416
"Rnf125",0.870941598955263,6.21655234309488,11.7368636348665,0.00323018604116093,0.860551203496416
"AA467197",1.34728949460531,7.67187783108873,11.6482991812277,0.00332195315213128,0.860551203496416
"Ggnbp1",-1.95749432634464,2.10597626805251,11.5882078187521,0.00338588899722899,0.860551203496416
"Plekha8",-1.32397720562472,2.69075746650304,11.4903417585214,0.00349300508900357,0.860551203496416
"S100a10",0.876975451525012,10.062904530432,11.369133955253,0.00363099816784692,0.860551203496416
"Celsr1",2.12830984969422,3.78199993169992,11.3266812356089,0.00368077382052244,0.860551203496416
"Fmnl1",0.654460789371912,6.16381394583809,11.2307975548256,0.00379605141994021,0.860551203496416
"Spata32",1.6023464179076,1.35859543250985,11.0528474388533,0.00402094010624742,0.860551203496416
"Slc39a10",-1.64904542124116,4.81768683394342,11.0443356899129,0.00403206738497031,0.860551203496416
"Pecr",-1.37846314822168,2.71159525651615,11.0281375349322,0.00405333897713728,0.860551203496416
"Slc52a3",1.27641542360898,2.38264781973151,10.8862350797969,0.00424519159974046,0.860551203496416
"Spg20",-0.747669756924973,3.52657361710482,10.8802758415602,0.00425346961509043,0.860551203496416
"Nfia",-1.05821214669873,5.90939671762961,10.8619985408132,0.00427897243159836,0.860551203496416
"Gm16201",0.779544678094361,3.03069435880193,10.8576211287017,0.00428510590882797,0.860551203496416
"Rpl36",0.603058034342035,11.5297734407594,10.7910656500901,0.00437959268450198,0.860551203496416
"Tspan4",-0.82850347657266,5.04918434414977,10.6059924888253,0.00465492291321828,0.860551203496416
"Map3k14",0.86498848563306,6.42911411653885,10.6037908694459,0.00465831363850902,0.860551203496416
"Ppat",-0.697886256416161,4.53196273770729,10.581966976468,0.00469207578948154,0.860551203496416
"Tmem39a",0.6283764250394,5.03026059481903,10.3521699267875,0.00506484105895375,0.860551203496416
"2700049A03Rik",-0.580115501668683,3.49753945461596,10.3374283135956,0.00508987122581092,0.860551203496416
"Rpl34",0.605380485470134,11.46301042749,10.2062318209792,0.00531888632609862,0.860551203496416
"Klhl2",0.771736483079054,6.75427436685571,10.1985882411249,0.00533258305050026,0.860551203496416
"Coprs",-0.954019387568186,2.84072085292475,10.1725171422944,0.00537960075394008,0.860551203496416
"Cish",0.87712004526527,5.68676020263375,10.1575982504379,0.00540671643158058,0.860551203496416
"Rdh11",0.804528579456409,4.16154066963866,10.1542675571332,0.00541279113627908,0.860551203496416
"Adora2a",1.00158783700088,5.0575033006553,10.1204139026192,0.00547497424222942,0.860551203496416
"Ptk2",-1.17563939784411,5.51423384374755,10.1088720933694,0.00549635843386019,0.860551203496416
"Rpl27",0.523369384820193,11.0088192324513,10.1026959784865,0.00550783998800464,0.860551203496416
