"","logFC","logCPM","F","PValue","FDR"
"Tagln2",1.08300002223211,9.09598869466844,32.4669942043277,2.63746372539763e-05,0.174581155063731
"Pxdc1",2.78839267787801,6.04089052504361,28.2785971277502,5.70842981124837e-05,0.174581155063731
"Irf8",1.61830586645495,6.71494154876827,27.5857080702156,6.53278966449513e-05,0.174581155063731
"Hilpda",1.6916881607106,8.45434595318881,25.7747529038423,9.39360440835415e-05,0.174581155063731
"Large1",2.51495785715033,6.6647615881222,25.5597854506878,9.81792893284572e-05,0.174581155063731
"Cltb",1.68121114404129,5.05266913200868,25.5195572707845,9.89969691316873e-05,0.174581155063731
"Hsdl1",-1.27176094863957,3.84509217662217,23.0828751165894,0.000166254274689712,0.237435134396728
"Lgals1",1.16939342131947,10.1076559386874,22.7348365303542,0.000179518105583009,0.237435134396728
"Ddit4",1.5493254578164,6.32872768032149,21.8547103091268,0.000218679792619662,0.24351857958806
"Tmem176a",1.73117399462301,6.67193179171956,21.5931674363903,0.000232099251381365,0.24351857958806
"Tcf7l2",-3.77104220862737,7.67910020453707,21.1573109823903,0.000256563412862568,0.24351857958806
"Sestd1",2.76043644446954,6.18941283818532,20.8402628951508,0.000276176444103272,0.24351857958806
"Alkbh4",-2.80418312549063,2.17364439397073,19.0379440617741,0.00042527955431916,0.29732889589653
"Ccdc34",1.23803152780618,6.08273436657035,18.9729283146473,0.00043214011644983,0.29732889589653
"Luzp1",1.93508912458757,6.28557548726515,18.8556635691593,0.000444830170496464,0.29732889589653
"Birc5",1.42844841764595,6.14196374282367,18.7173275290208,0.000460340875315657,0.29732889589653
"Cks1b",1.1204489446781,6.51098198174488,18.3419573460353,0.000505574770615411,0.29732889589653
"Tubb4b",0.844420367883529,7.01781829455715,17.8186277641203,0.000577194160449744,0.29732889589653
"Cdca8",1.46092723886913,4.9203825754925,17.7355121456688,0.000589584320576387,0.29732889589653
"Ccdc88a",1.58329038253986,6.58274671858359,17.4174481147858,0.000639832263852043,0.29732889589653
"Hnrnpab",0.97503861361382,7.87364674653762,16.9233286078588,0.000727713100964439,0.29732889589653
"Nf2",-0.793334333768849,4.92978118442068,16.7447696125534,0.000762740100238932,0.29732889589653
"Tmem176b",1.43785221440125,7.12328226209057,16.5510203779396,0.000802903516310629,0.29732889589653
"Vdr",2.50931879071808,5.79624476855392,16.2986988221238,0.000858813843667263,0.29732889589653
"Hk2",1.7355286236856,7.60775247091641,16.2329752576999,0.000874085538135065,0.29732889589653
"Lrrk1",1.1749227409075,6.61576181260809,16.057426334755,0.000916392943272287,0.29732889589653
"Hdac8",-0.90542403500324,5.88887360653225,15.9704014563353,0.000938214732649764,0.29732889589653
"Asf1b",1.57768198793051,4.09488987073913,15.68330464526,0.00101445012521661,0.29732889589653
"Galc",1.248959011825,4.83568231443977,15.6056647365762,0.00103624435838821,0.29732889589653
"Dse",1.81133506142612,4.85320437304668,15.572866242958,0.00104560875967611,0.29732889589653
"Tyrobp",1.75180140867998,9.22991570721829,15.4758836199476,0.00107385919645856,0.29732889589653
"Slc25a36",-1.12097359287108,5.58957473174056,15.4227980198604,0.00108968504280488,0.29732889589653
"S100a4",1.14621294216512,9.36679936983766,15.3696195127911,0.00110580165859625,0.29732889589653
"Cenpf",1.45065156770266,5.50306386764992,15.3690580144484,0.00110597325189841,0.29732889589653
"Mib2",-2.15220389586948,2.16148610799929,17.6497918140603,0.00111414854041873,0.29732889589653
"Rhobtb2",-1.62281436572537,2.86040673459204,15.2733644398193,0.00113565872583569,0.29732889589653
"Fkbp2",1.31801022660067,6.72032810250274,15.1935211678775,0.00116111298713706,0.29732889589653
"Trip11",-0.760316653143555,6.28649961554763,15.1677337836082,0.00116947048681582,0.29732889589653
