"","logFC","logCPM","F","PValue","FDR"
"Ube2e2",-3.99124851019575,6.12692981329227,108.082493988136,8.92504685367068e-09,6.4291949306458e-05
"Ccdc88a",-3.91044606781683,6.58274671858359,103.649942533866,1.21523389672919e-08,6.4291949306458e-05
"Sh3pxd2b",-4.14906491182623,6.59996673379959,85.3067661638598,4.98922234938042e-08,0.000175969872262648
"Irs2",-1.89593117819561,6.44405981784803,76.4356016738673,1.08618035788755e-07,0.000265840568001223
"Tmem176a",-3.25682303865331,6.67193179171956,74.8657579336586,1.25621665249609e-07,0.000265840568001223
"Klf4",-3.353418001212,8.04094844092826,72.2182324458053,1.61476741698127e-07,0.000284764233984647
"Tmem176b",-2.94177000353133,7.12328226209057,68.2734181363673,2.38142775327409e-07,0.000359969815105617
"Lyn",-2.09451030695901,8.99962789336626,59.3672798016637,6.15076353075173e-07,0.000694707907177136
"Lmo4",-3.21573891376195,6.76410759364356,59.2605828681669,6.22525807978446e-07,0.000694707907177136
"Pcyt1a",-2.24310139242693,6.0246381032057,58.7906171432061,6.56561673922253e-07,0.000694707907177136
"Iftap",-3.42797257159036,3.14656331519309,56.1992531319942,8.85993961095695e-07,0.000852245645668505
"Tubb6",-2.32226117184855,6.38973628604719,53.2306998680557,1.26600380563075e-06,0.00111629885561492
"Cd81",-2.46614978481777,7.36547054369431,50.6969816081386,1.73828698884434e-06,0.00141483189453553
"Myo1e",-2.0953495836867,8.33778426007608,49.665169164642,1.9847588625661e-06,0.00150005239462942
"Zfp608",-11.6830130358339,5.87428890902952,51.435204280696,2.25068133644927e-06,0.00155345743339857
"Basp1",-2.49151135136028,9.36254711387976,48.3770403190347,2.34905197376213e-06,0.00155345743339857
"Acvr2a",-1.98128835770909,5.56821660118624,47.3620957847359,2.68908137344094e-06,0.0016737158830811
"Nedd4l",-2.31879234389452,6.39767123172156,46.8328307193716,2.8880024461529e-06,0.0016932294251179
"Deptor",-4.74232799095467,4.60608832120057,46.4540201943813,3.040483799002e-06,0.0016932294251179
"Mpp7",-1.73920770062904,8.91446878447557,44.9825560233967,3.7244103813538e-06,0.0019002771503822
"Cd63",-3.98290668273855,7.86113545439317,44.8926687179703,3.77146017938061e-06,0.0019002771503822
"Gab2",-2.90667205713867,8.47161344332254,44.2056424446909,4.15384729468881e-06,0.00199781173750465
"Itgav",-1.60651621941058,9.23846315664151,43.0991904801224,4.86432753371558e-06,0.00223780215801063
"Pxdc1",-3.06333892619833,6.04089052504361,42.5969385616366,5.23092931890995e-06,0.00229059681077906
"Cnnm2",-1.61019650845571,5.35790988872937,42.3631334799579,5.41205181641399e-06,0.00229059681077906
"Ahr",-1.74585264435415,6.60800089698565,41.9330923138008,5.76380980185702e-06,0.00234564890436343
"Tyrobp",-2.90399409837285,9.22991570721829,41.5109843702795,6.13413167072208e-06,0.00239643134028103
"Selenop",-3.22456125473242,8.13814404695107,41.2749225002825,6.35279191121544e-06,0.00239643134028103
"Itga5",-5.37611259894006,6.23064710706978,40.972348538585,6.64591952137734e-06,0.00239643134028103
