"","logFC","logCPM","F","PValue","FDR"
"Sh3pxd2b",-4.02529633086345,6.59996673379959,98.6313931088216,1.7481170084858e-08,0.00016281406605635
"Tcf7l2",-5.7207313285966,7.67910020453707,91.0376634865223,3.12745697906238e-08,0.00016281406605635
"Atg4c",-10.364218492788,3.48889492973001,93.0529132170119,4.6162196216714e-08,0.00016281406605635
"Zfp608",-12.0792011060827,5.87428890902952,80.4059796005337,1.24750244718549e-07,0.000329995584841741
"Eif4ebp1",-1.75150874187121,6.8015807203616,72.0486477403628,1.64136921263535e-07,0.000347346552777892
"Marcks",-3.96716289658684,7.80198568564241,64.7810953117852,3.41165418694925e-07,0.000598954433503568
"Swap70",-2.00527550384105,5.80934197189294,62.8015325213626,4.21213487553391e-07,0.000598954433503568
"Ralb",-2.90288659861978,5.82684635324146,62.1326103168048,4.52852799171018e-07,0.000598954433503568
"Basp1",-2.64846441614735,9.36254711387976,60.365805395568,5.49993009251752e-07,0.000646608447876977
"Zfhx3",-4.62990198038941,6.94186871897126,55.0861549362608,1.01108342564994e-06,0.0010698273726802
"Cd81",-2.31316665219054,7.36547054369431,53.3826618919744,1.24262238305212e-06,0.00112337627489671
"Atp6v0a1",-6.57597509743014,5.97213287828751,52.8096686344716,1.3333968175239e-06,0.00112337627489671
"Ube2e2",-2.79086533198147,6.12692981329227,52.1436748258314,1.44835080556488e-06,0.00112337627489671
"Nuak2",-3.11094527421702,5.08296879819113,51.9363417507753,1.48636875990491e-06,0.00112337627489671
"Nedd4l",-2.26643832835298,6.39767123172156,49.9271864254989,1.91866189964438e-06,0.00135342410400914
"Wdfy3",-4.45919796086083,6.71713949322165,49.4186881485796,2.04926890267399e-06,0.00135520714119959
"Cd63",-3.75583755132411,7.86113545439317,48.3523854771857,2.35671865357916e-06,0.00146684941608948
"Serinc5",-1.56052849090781,3.71208232166657,46.2884249712111,3.10995239539131e-06,0.00173420219897061
"Cxcl16",-3.67714638330031,7.3177081668339,46.2787693811281,3.11405744073731e-06,0.00173420219897061
"Acvr2a",-1.83966931109122,5.56821660118624,45.4841191327216,3.4736333457694e-06,0.0018377257215793
"Specc1",-2.60201221465589,5.89979542517851,44.3391117387647,4.076288553537e-06,0.00205386710404643
"Lyn",-1.71888425574872,8.99962789336626,42.9204781378546,4.99137262154857e-06,0.00240062335039116
"Anxa3",-3.18230571204103,7.82148961148804,42.5562219281608,5.26197771226085e-06,0.00242073852927965
"Adamts6",-2.1115427988965,5.85814016851764,41.2842701994524,6.34396928418736e-06,0.0027968974581661
"Irs2",-1.31830700114425,6.44405981784803,40.3882304707407,7.25560724453628e-06,0.00299658472364082
"Tnfaip2",-5.78645778941804,7.54682499034373,40.2907631823051,7.36331186226833e-06,0.00299658472364082
