"","logFC","logCPM","F","PValue","FDR"
"Tmem176b",-2.53668818100293,7.12328226209057,48.9090525326417,2.19022678178123e-06,0.0134357830421085
"Tmem176a",-2.61990524025665,6.67193179171956,47.7894819110318,2.53960552728637e-06,0.0134357830421085
"Ube2e2",-2.08159312911945,6.12692981329227,32.3982385923076,2.66961762064069e-05,0.0563982377414774
"Alkbh4",3.38224752144395,2.17364439397073,31.246592586527,3.27903065476928e-05,0.0563982377414774
"Cltb",-1.73626324679855,5.05266913200868,30.0209608521699,4.10438008083174e-05,0.0563982377414774
"Lmo4",-2.22511213611988,6.76410759364356,29.4022329940349,4.60765121709646e-05,0.0563982377414774
"Ccdc88a",-1.95585719383144,6.58274671858359,28.8218397483738,5.14326245617984e-05,0.0563982377414774
"Iftap",-2.47723288749237,3.14656331519309,27.9249315854503,6.11364318892375e-05,0.0563982377414774
"Armc7",1.34196571538938,4.6886131400774,27.6589167860608,6.43967896165684e-05,0.0563982377414774
"Zfp652",1.17464924053675,5.83259166143517,27.6116317575308,6.49964726340159e-05,0.0563982377414774
"Banf1",-1.1364544941868,7.15718106926893,27.4869192571408,6.66083301796713e-05,0.0563982377414774
"Large1",-2.4485180098002,6.6647615881222,27.2333476640166,7.00255351021531e-05,0.0563982377414774
"Gpbp1l1",1.1088020501233,6.22297776030296,26.7780240959428,7.66657754773213e-05,0.0563982377414774
"Sh3pxd2b",-2.14718321156004,6.59996673379959,26.7408680477363,7.72380227891328e-05,0.0563982377414774
"Pxdc1",-2.50694019526117,6.04089052504361,26.5687414725891,7.99521374276686e-05,0.0563982377414774
"Tagln2",-0.948382730131787,9.09598869466844,25.228444246154,0.000105146631138226,0.0695347815045979
"Tubb6",-1.59237805030148,6.38973628604719,24.1853809451781,0.000130966658061218,0.0815151887615149
"Il1r1",-3.3795991786853,4.70018690657181,23.884414891153,0.000139685577983625,0.0821118389247075
"Rrm2",-1.78703451278574,5.90476514910261,23.0233051592987,0.000168444441127276,0.0902861788721777
"Hsdl1",1.23253455599008,3.84509217662217,22.7974478074555,0.00017704698291847,0.0902861788721777
"Trmt1l",1.11794433179729,4.67441434981787,22.5077651458843,0.000188809822737187,0.0902861788721777
"Trip11",0.919131573370072,6.28649961554763,22.4940736652978,0.000189387066485984,0.0902861788721777
"Slc30a9",1.13351324145705,6.10634880872584,22.1462937713798,0.00020473402204834,0.0902861788721777
"Tmem109",-1.13195621187866,5.10255913299797,22.1095730948576,0.000206434191414917,0.0902861788721777
"Enah",-4.44544182825443,4.05965649797103,21.9642112468416,0.000213321469785884,0.0902861788721777
"Hdac8",1.04725377684155,5.88887360653225,21.6265199303204,0.000230337694185472,0.0937385823914031
"Mdm4",0.757814325548454,6.08407986863664,21.3660235239294,0.000244505562000308,0.0958190130194538
"Anapc11",-0.982738703995696,6.43395610265375,20.8051943526175,0.000278447160544033,0.0974681156398811
"B3galt4",3.94552218457412,1.59776980149282,20.6542428421544,0.00028846324228551,0.0974681156398811
"Pde5a",-3.64397465409883,3.80044010152571,20.5880819728615,0.000292979996996368,0.0974681156398811
"Lxn",-1.51133872468378,4.76500029308263,20.5837318981499,0.000293279739412987,0.0974681156398811
"G0s2",14.3336020138187,3.13953445073029,21.200394957224,0.000294771732395444,0.0974681156398811
"Cxcl2",2.30137913966359,10.6797969350791,20.1194527570932,0.000327339217898082,0.104956856502412
"Dse",-1.84143091984576,4.85320437304668,19.5616651452205,0.000374262421090867,0.111231237273375
"Ip6k1",0.890503538575009,6.18156239281289,19.3793407610047,0.000391200641721098,0.111231237273375
"Cdkn1a",-1.3974166450356,8.48829584515482,19.327497603443,0.000396172676863667,0.111231237273375
"Gpr155",2.24379815256443,2.22112352360931,19.3224474050572,0.000396660793012296,0.111231237273375
"Irs2",-0.943562367209222,6.44405981784803,19.2626180304001,0.000402495081680417,0.111231237273375
"Nsmce1",-1.09665036063818,5.36799406492917,19.1872516360395,0.000409981878240395,0.111231237273375
"Pim3",-1.00928739884693,6.0494179632359,18.9555641847956,0.000433993343982027,0.112959475387319
"Ccdc34",-1.19513284900636,6.08273436657035,18.8575725755045,0.000444620266212224,0.112959475387319
"Tom1",1.58119489318304,4.98597187517132,18.8235404690101,0.000448378978004669,0.112959475387319
"Mtx2",-1.26337942476011,5.33341457530444,18.7253378758589,0.000459426364415977,0.113050938648499
"Alyref",-1.012474459743,6.7808417788943,18.3126651407246,0.000509309161338018,0.122477278093581
"Ywhab",-0.915583719433801,7.63807368323098,18.0653653760293,0.000542099736221591,0.127465717976904
"Sh2d3c",1.20333638656408,3.61008200034982,17.9625074437392,0.000556430138736224,0.127991028216695
"Lman1",-1.12281482410228,6.11895619725479,17.7504102759314,0.000587341659303,0.129716663967384
"Hdac7",1.39767524623882,4.63387859142033,17.690408810431,0.000596432644945571,0.129716663967384
"Samd1",-1.24823868797924,4.70551701630317,17.465805843766,0.000631891979176908,0.129716663967384
"Dgkd",0.787924162164656,6.24567367068041,17.4389063212053,0.000636295116827303,0.129716663967384
"Zer1",1.12774434773161,3.80748438444761,17.4322032555684,0.00063739768103615,0.129716663967384
"Dixdc1",-3.01638534997961,3.09491658375947,17.4125321763085,0.000640645704225372,0.129716663967384
"4833418N02Rik",-4.17958928901333,1.52730583882973,17.2582206082175,0.000666779159568796,0.129716663967384
"Gnptab",1.08274136320347,6.20381774632417,17.2057526722229,0.000675935701655515,0.129716663967384
"Cks1b",-1.06480892477249,6.51098198174488,17.135275038454,0.000688458091309975,0.129716663967384
"Osgin1",1.34203124016559,5.25694736211231,17.0963446012045,0.000695486686854675,0.129716663967384
"Bcas3",0.818126656367523,6.86496995455106,17.0782246175286,0.00069878554447981,0.129716663967384
"Zcchc10",-0.982056499608918,4.49082070781045,16.6367291117674,0.000784850816082035,0.143181146292483
"Deptor",-2.68038736931454,4.60608832120057,16.519099487183,0.000809745695588056,0.144835688570687
"Mblac2",2.03681296423542,2.31263556979782,16.4167255549744,0.000832134772469791,0.144835688570687
"Nolc1",-1.23176994485489,6.0077479616482,16.4039147823343,0.000834985067839703,0.144835688570687
"Gm2682",1.27698054511836,5.95987547141866,16.261718529139,0.000867369486229406,0.145981216962209
"Slc12a6",1.24462064626193,6.42129182201928,16.2539360266509,0.000869182182082902,0.145981216962209
"Ezh1",1.03712214475986,4.74281219354418,16.1802841009595,0.000886549304297795,0.146571534199609
"Dennd6a",0.989619466899809,5.1619283945361,16.0738348650007,0.000912342612587343,0.148515341289026
"Rab3ip",1.03793879978149,5.8656936569988,15.8824646701963,0.000960859543934981,0.150429974643821
"Mipep",-1.04369976751733,3.15749474462608,15.872698185274,0.000963412170529107,0.150429974643821
"Tspan14",0.847877333077166,6.21458726207236,15.8078975743683,0.000980542951589837,0.150429974643821
"Nme1",-1.04520963063263,7.93369458655226,15.688658782887,0.00101296624580861,0.150429974643821
"Mindy2",1.10340678937439,5.7161591888575,15.6352804839714,0.00102786951845306,0.150429974643821
"Usp48",0.800488872490927,5.79332237852283,15.6328365835883,0.00102855772819774,0.150429974643821
"Nhp2",-1.20499343722842,6.42225004287352,15.5544604318661,0.00105090546264743,0.150429974643821
"Eif1a",-1.1662684277214,6.49884885214774,15.4950953540147,0.00106819554244823,0.150429974643821
"Birc5",-1.2774867193878,6.14196374282367,15.480104013327,0.00107261213257936,0.150429974643821
"Fkbp2",-1.29306356215039,6.72032810250274,15.3418324872554,0.00111432932964726,0.150429974643821
"Hnrnpab",-0.920135548888714,7.87364674653762,15.253475491633,0.00114194025423447,0.150429974643821
"Rsrp1",1.00121085886525,7.14943427371126,15.2408027935568,0.00114596302225893,0.150429974643821
"Uvrag",0.9073156437707,7.7800886300866,15.1858868905422,0.00116358018930903,0.150429974643821
"Dohh",-1.30650332721287,4.67398374805181,15.0529132390771,0.00120751237740206,0.150429974643821
"Bmt2",0.91149959934066,6.17516256018486,14.9710473270585,0.00123548474940716,0.150429974643821
"Frmd4b",-1.37836828919673,6.63166341227281,14.9213715858347,0.00125281270330019,0.150429974643821
"Tmco1",-1.14348976145192,6.62615312693976,14.915564038884,0.00125485626089875,0.150429974643821
"Mrpl28",-0.97713977827777,5.85500478875935,14.8990276062711,0.00126069563426826,0.150429974643821
"Swt1",0.988557222288062,5.66466088301949,14.8979919801147,0.0012610623507111,0.150429974643821
"Rexo5",0.883811356707571,3.66498496155967,14.880780921,0.00126717438323394,0.150429974643821
"Esd",-0.990867538997622,7.76157014468911,14.8678237981445,0.00127179770489386,0.150429974643821
"Hs6st1",-1.55923840640885,5.02338551486172,14.842913178118,0.00128073956751726,0.150429974643821
"Rnf145",0.769215394534137,6.07627177556537,14.8034552768929,0.0012950481882539,0.150429974643821
"Zfp58",1.31773293383553,1.76526722522339,14.7818493553508,0.00130295917469051,0.150429974643821
"Txnl1",-0.827430412770284,6.91500914607601,14.7099830820348,0.00132966614206796,0.150429974643821
"Atg16l2",0.868366683663971,4.45212622910983,14.6196828047968,0.00136409948106494,0.150429974643821
"Cln8",-2.25563711165711,4.52703902137941,14.6156437330759,0.00136566290364409,0.150429974643821
"Tyrobp",-1.67157674113005,9.22991570721829,14.5702733225265,0.00138336364942554,0.150429974643821
"Gm30054",1.04150186038724,3.42833935789067,14.5568471748915,0.00138865102238281,0.150429974643821
"Pdia6",-0.998926415994145,8.11194013120877,14.5275217738196,0.0014002788466462,0.150429974643821
"Phip",0.811079643513356,6.8339608882789,14.5077007774242,0.00140820002595233,0.150429974643821
"Ranbp1",-0.988904174196861,7.73681871143442,14.5059472919221,0.00140890320185882,0.150429974643821
