"","logFC","logCPM","F","PValue","FDR"
"4833418N02Rik",-4.62846987363648,1.52730583882973,30.1774339003756,3.98706486753744e-05,0.214007885408365
"Sh3pxd2b",-2.02341463059725,6.59996673379959,28.7987328823663,5.1659850274812e-05,0.214007885408365
"Eif4ebp1",-1.08103168195606,6.8015807203616,26.0468488447581,8.88567200383083e-05,0.214007885408365
"Abr",1.73186280204311,7.91813021013755,25.407345643533,0.000101318384353289,0.214007885408365
"Gnptab",1.20324474130757,6.20381774632417,25.1293301744594,0.000107337107094717,0.214007885408365
"Wdr13",-1.53994529975606,3.2208278377275,24.5443724917217,0.000121354060339306,0.214007885408365
"Kat2a",-1.65587587564012,3.49007148322991,23.7996321525341,0.000142257749514706,0.215032749659301
"Osgin1",1.3541379324869,5.25694736211231,21.2572059314334,0.000250711034152121,0.331596681545449
"Abcb1b",1.27048242021899,6.80684352352743,20.2485830154396,0.000317440969943588,0.346678886698182
"Cpne2",-1.97932229354207,4.30959338188366,20.1155612599588,0.000327642837820794,0.346678886698182
"Cln8",-2.17239203775997,4.52703902137941,17.0824359742899,0.000698017277095055,0.578049930638635
"Cxcl2",1.82835257330357,10.6797969350791,16.9868821555237,0.000715684653096097,0.578049930638635
"Tgfb3",3.10895564885088,3.5801650479194,16.8381284203985,0.000744195996670413,0.578049930638635
"Spns1",-0.923196004162968,3.97698054831228,16.3286953347213,0.000851943498525781,0.578049930638635
"Trmt1l",0.825412313159032,4.67441434981787,16.3251494087026,0.000852752426666188,0.578049930638635
"Rpl27",0.665108561265653,11.0088192324513,16.2329350607476,0.000874094971195365,0.578049930638635
"Rlf",0.665886801962341,6.71041390456749,15.7926476273316,0.000984623989736196,0.594328732096315
"Bcl3",-0.930848678478988,5.5815785586882,15.6866880815029,0.00101351213478832,0.594328732096315
"G0s2",3.29819645623621,3.13953445073029,15.5445287407324,0.00116897809622326,0.594328732096315
"Nlrp3",2.46754871279103,7.57949320011237,15.1078286305635,0.00118914733961449,0.594328732096315
"Cipc",0.859982558068824,3.84423708498652,14.556611803802,0.00138874391653545,0.594328732096315
"Hscb",0.812089293878844,4.68160000509204,14.3229562978196,0.00148450188696849,0.594328732096315
"Pik3ap1",1.09967075671382,6.92012407238191,14.1551341942377,0.00155786007254698,0.594328732096315
"Cox4i1",0.549046833338648,9.63201010360361,14.0636839255933,0.00159954402472908,0.594328732096315
"Bcl10",-0.738063509315412,6.53578186365186,14.0533093748808,0.00160435150093694,0.594328732096315
"Gm41609",3.83230402569581,6.20498762534665,14.0374250248333,0.00161174366739538,0.594328732096315
"Uhrf2",0.930373560902562,7.6316536741181,13.9748298868548,0.00164124879112225,0.594328732096315
"Agbl3",5.54388825695402,4.83790261749497,13.8906301344833,0.00168189976800078,0.594328732096315
"Arid3b",1.01413161497653,3.74625214853451,13.7628264450679,0.00174578316142922,0.594328732096315
"Pim3",-0.784576475415401,6.0494179632359,13.5857696260406,0.00183884175370821,0.594328732096315
"Dennd4c",0.98446828856268,6.49380626191679,13.5774441748991,0.00184335281860429,0.594328732096315
"Gm11713",1.45133040433899,2.94255124380667,13.3714828787431,0.00195901128472892,0.594328732096315
"Mttp",-1.52231375916797,1.4922316215824,13.132769731065,0.00210339335310175,0.594328732096315
"Ifitm1",1.97140329639452,7.85246988863767,13.0305090969298,0.00216887561221727,0.594328732096315
"Mtmr1",0.801801285054492,4.77555180896412,13.0209826477929,0.00217509167761318,0.594328732096315
"Serac1",1.41943233629322,3.05489631640696,12.976983701529,0.00220406246078573,0.594328732096315
"Zfp574",1.77345977599819,3.29176728417949,12.9734072231524,0.00220643637448685,0.594328732096315
"Zyg11b",0.874383498915437,6.42817763369745,12.8753296385571,0.00227267045337684,0.594328732096315
"1700017B05Rik",1.13281095688851,5.67294848843886,12.8686969960368,0.00227722973557223,0.594328732096315
"Sft2d2",0.777661440481992,5.29740374634884,12.8607203203603,0.00228272653960902,0.594328732096315
"Rpl36",0.654529787954387,11.5297734407594,12.676633605239,0.00241382442779199,0.594328732096315
"Rpl39",0.560474418443152,11.8493581532983,12.6737357567438,0.00241595477419265,0.594328732096315
"Foxred2",2.0487024555096,1.72758467621605,12.470437132512,0.00257082687301961,0.594328732096315
"Pcsk7",0.639312043895379,4.95341600290117,12.3804086821822,0.00264295512863838,0.594328732096315
"Nsd2",0.626733672610485,6.69738266658398,12.2819285393021,0.00272447472016062,0.594328732096315
"Anxa3",-1.67501127995432,7.82148961148804,12.2462365294435,0.00275471539511183,0.594328732096315
"Edil3",-3.0801916418365,4.64709708971061,12.1948054211087,0.00279895797516274,0.594328732096315
"Vdr",1.99438032182388,5.79624476855392,12.1406693635349,0.00284639344856934,0.594328732096315
"Samd1",-0.958688427174326,4.70551701630317,12.0848903898961,0.00289621720010254,0.594328732096315
"Rpl41",0.566001393714454,11.9486739750803,12.0772343115309,0.0029031321881411,0.594328732096315
"Eif2s1",-0.700361045677548,6.42312747718365,11.9783784480636,0.00299410883044205,0.594328732096315
"Usp48",0.643109270444499,5.79332237852283,11.8094740785642,0.00315707646266216,0.594328732096315
"Pigq",-0.861826369442696,3.81952662380222,11.7335892351115,0.00323352759256121,0.594328732096315
"Rnf5",-1.0538273671988,5.01668960871383,11.6801043418063,0.00328866417922379,0.594328732096315
"Rmnd5b",0.889390256345598,4.04198669469972,11.6296169112028,0.00334168384510737,0.594328732096315
"Nuak2",-1.39635797549742,5.08296879819113,11.4479195432366,0.0035406186995792,0.594328732096315
"E2f6",-1.52309567276525,3.71415058585913,11.3905665621726,0.00360615688637111,0.594328732096315
"Rps15",0.69078449863198,10.6807737245747,11.3839876784433,0.0036137616631205,0.594328732096315
"Abcb7",0.608289213389669,5.38003705321484,11.3336550705424,0.0036725445169352,0.594328732096315
"Aph1b",-2.15125737036711,2.43996821597999,11.324395102252,0.00368347603604302,0.594328732096315
"Ddit4",1.03480976444908,6.32872768032149,11.2369869636455,0.00378848850346748,0.594328732096315
"Rps15a",0.602960228968202,11.5394256160173,11.2102559121794,0.00382127369144924,0.594328732096315
"Nek4",-1.59048702637588,2.53989604788421,11.1572127504357,0.00388728121854962,0.594328732096315
"Zfp971",1.48086244953281,1.71980721666558,11.1520397851783,0.00389378697834434,0.594328732096315
"Slc25a23",-2.37455722099506,2.37036014383538,11.1395984801272,0.00390948403502953,0.594328732096315
"Rpl13a",0.689059982971877,10.8819151439173,11.0904807162746,0.00397215566904275,0.594328732096315
