"","logFC","logCPM","F","PValue","FDR"
"Atg4c",-10.7332466167049,3.48889492973001,148.259579111203,1.71134635917554e-09,1.81077558264364e-05
"Zfp608",-12.1705865485674,5.87428890902952,96.1765490632082,3.67667623350047e-08,0.000194514556133342
"Cxcl2",-4.19815765267808,10.6797969350791,77.5263791949964,9.83207099406791e-08,0.000346777143960775
"Tcf7l2",-4.98883989227643,7.67910020453707,69.0413572224542,2.20484526151234e-07,0.000542354024652889
"Cd14",-4.37351763767825,9.56308799751357,67.5480059224007,2.56286752033309e-07,0.000542354024652889
"Nlrp3",-4.61119711833737,7.57949320011237,61.9049130897853,4.64222138953907e-07,0.000772247184889795
"Cd63",-3.89475770466745,7.86113545439317,61.0315234963326,5.10890302828519e-07,0.000772247184889795
"Slc7a7",-4.95105092059402,4.97119660710905,54.0356639552179,1.14749858226373e-06,0.00140457489135312
"Nedd4l",-2.27868316561762,6.39767123172156,51.6976441902381,1.53152663559944e-06,0.00140457489135312
"Lyn",-1.87600152996927,8.99962789336626,51.3396136868934,1.60216580749632e-06,0.00140457489135312
"Maml3",-2.4103848135125,7.23222391883371,51.034298268437,1.66529074452629e-06,0.00140457489135312
"St6gal1",-2.44247410975111,6.4859095344762,50.7661413271422,1.7230337143395e-06,0.00140457489135312
"Ier3",-3.59857977539048,9.27603055143793,50.7540708497206,1.72568505695025e-06,0.00140457489135312
"Basp1",-2.37178846129673,9.36254711387976,50.1564942490341,1.86283190675192e-06,0.00140790174323872
"Zfp516",-3.83058069890578,6.30425372116372,48.3039169467292,2.37187217637048e-06,0.00151109877945795
"Specc1",-2.50229279970182,5.89979542517851,48.185173104957,2.40945972700325e-06,0.00151109877945795
"Zfhx3",-4.15476263747679,6.94186871897126,47.9952178516475,2.47098219898664e-06,0.00151109877945795
"Ptgs2",-4.26420540392884,8.47664763399884,47.6985167908645,2.57062451849949e-06,0.00151109877945795
"Il1b",-5.63428080931384,10.3467334802995,45.9816917495652,3.24337020841904e-06,0.00180621579869905
