"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_RIBOSOME","KEGG_RIBOSOME","KEGG_RIBOSOME",82,0.772196039374477,3.1009024368259,1e-10,8.27818181818182e-09,6.4822966507177e-09,2053,"tags=89%, list=19%, signal=72%","Rpl30/Rps17/Rpl24/Rps13/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rpl36al/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Rpl17/Rps19/Rpl3/Rpl10/Rps10/Rpl29/Rpl37/Rpl19/Rps27a/Rps6/Rplp0/Rps18/Rps24/Rpl36a/Rpl13a/Rpl21/Rpsa/Rpl18a/Rpl23a/Rpl10a/Rpl12/Rpl34/Rps9/Rpl26/Rpl36/Rpl15/Rps29/Rps8/Rpl23/Rps25/Mrpl13/Rpl7/Rpl5/Rps4x/Rpl4/Rsl24d1/Rpl39/Fau/Rpl27/Rpl6/Rps27l/Rps21/Rpl38/Rpl37a/Rps3a1"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",114,0.740521631275052,3.09912844171439,1e-10,8.27818181818182e-09,6.4822966507177e-09,2244,"tags=82%, list=21%, signal=66%","Eif4ebp1/Rpl30/Rps17/Rpl24/Rps13/Pabpc1/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rpl36al/Eif3c/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Rpl17/Eif3k/Rps19/Eif3e/Rps14/Rpl3/Rpl10/Rps10/Rpl29/Rpl37/Rpl19/Rps27a/Rps6/Rplp0/Rps18/Rps24/Eif3i/Rpl36a/Rpl13a/Rpl21/Eif3f/Rpsa/Rpl18a/Eif3h/Rpl23a/Rpl10a/Rpl12/Rpl34/Rps9/Rpl26/Rpl36/Eif2s2/Rpl15/Rps29/Rps8/Rpl23/Eif4h/Rps25/Eif2b2/Rpl7/Rpl5/Eif2s1/Eif3l/Rps4x/Eif2b5/Rpl4/Rpl39/Eif1ax/Fau/Rpl27/Eif2b1/Rpl6/Eif3d/Rps27l/Rps21/Rpl38/Rpl37a/Rps3a1/Rpl7a/Eif3m/Eif3g/Eif3j2/Rpl14"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",106,0.735896934941085,3.05239350851393,1e-10,8.27818181818182e-09,6.4822966507177e-09,2053,"tags=77%, list=19%, signal=63%","Rpl30/Rps17/Rpl24/Rps13/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rpl36al/Ssr4/Rplp2/Rps23/Rpl22/Rpl28/Sec61b/Rpl13/Rpl17/Sec61g/Rps19/Rps14/Rpl3/Rpl10/Rps10/Rpl29/Rpl37/Rpl19/Rps27a/Srp9/Rps6/Rplp0/Rps18/Rps24/Rpl36a/Rpl13a/Rpl21/Rpsa/Rpl18a/Rpl23a/Spcs2/Rpl10a/Rpl12/Rpl34/Srp19/Rps9/Rpl26/Rpl36/Rpl15/Rps29/Rps8/Rpl23/Rps25/Rpl7/Rpl5/Rps4x/Srpr/Rpl4/Rpl39/Sec11c/Srp14/Fau/Sec11a/Rpl27/Rpl6/Rps27l/Rps21/Rpl38/Rpl37a/Rps3a1"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",86,0.765808495651906,3.03949910139424,1e-10,8.27818181818182e-09,6.4822966507177e-09,2053,"tags=86%, list=19%, signal=70%","Rpl30/Rps17/Rpl24/Rps13/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rpl36al/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Rpl17/Rps19/Rps14/Rpl3/Rpl10/Rps10/Rpl29/Rpl37/Rpl19/Eef1d/Rps27a/Rps6/Rplp0/Rps18/Rps24/Rpl36a/Rpl13a/Rpl21/Rpsa/Rpl18a/Rpl23a/Rpl10a/Rpl12/Rpl34/Eef1b2/Rps9/Rpl26/Rpl36/Rpl15/Rps29/Rps8/Rpl23/Rps25/Rpl7/Rpl5/Rps4x/Rpl4/Rpl39/Fau/Rpl27/Rpl6/Rps27l/Rps21/Rpl38/Rpl37a/Rps3a1"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",149,0.692140891737226,3.01576155974884,1e-10,8.27818181818182e-09,6.4822966507177e-09,2067,"tags=70%, list=20%, signal=57%","Psmb9/Psmb8/Rpl30/Rps17/Rpl24/Rps13/Pabpc1/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Psmd8/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rpl36al/Psmb10/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Rpl17/Rps19/Rps14/Rpl3/Sem1/Rpl10/Psmc1/Rps10/Rpl29/Rpl37/Rpl19/Rps27a/Rps6/Rbx1/Psmc4/Rplp0/Rps18/Rps24/Rpl36a/Rpl13a/Rpl21/Psmd13/Rpsa/Rpl18a/Ncbp2/Rpl23a/Elob/Rpl10a/Rpl12/Rpl34/Rps9/Rpl26/Rpl36/Psma2/Rpl15/Rps29/Rps8/Rpl23/Psme2/Rps25/Psmd10/Psmc3/Rpl7/Rpl5/Psma3/Eloc/Rps4x/Psme1/Psmb2/Upf3a/Psma7/Psmd12/Rpl4/Rbm8a/Rpl39/Fau/Psma6/Psmc2/Rpl27/Magoh/Rpl6/Magohb/Ubb/Psmb5/Rps27l/Rps21/Rpl38/Psmd9/Rpl37a/Rps3a1/Psmb6"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",84,0.751508796376624,3.00735675648034,1e-10,8.27818181818182e-09,6.4822966507177e-09,2053,"tags=85%, list=19%, signal=69%","Rpl30/Rps17/Rpl24/Rps13/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Rpl17/Rps19/Rps14/Rpl3/Rpl10/Rps10/Rpl29/Rpl37/Rpl19/Rps27a/Rps6/Rplp0/Rps18/Rps24/Rpl36a/Rpl13a/Rpl21/Rpsa/Rpl18a/Rpl23a/Rpl10a/Rpl12/Rpl34/Rps9/Rpl26/Rpl36/Rpl15/Rps29/Rps8/Rpl23/Rps25/Rpl7/Rpl5/Rps4x/Rps6ka1/Rpl4/Rpl39/Fau/Rpl27/Rpl6/Rps21/Rpl38/Rpl37a/Rps3a1"
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM",104,0.732479221819176,3.00552981441135,1e-10,8.27818181818182e-09,6.4822966507177e-09,2053,"tags=76%, list=19%, signal=62%","Rpl30/Rps17/Rpl24/Rps13/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rpl36al/Rplp2/Rps23/Rpl22/Rpl28/Lars/Rpl13/Rpl17/Rps19/Rps14/Rpl3/Rpl10/Rps10/Rpl29/Rpl37/Rpl19/Rps27a/Rps6/Rplp0/Rps18/Rps24/Rpl36a/Rpl13a/Rpl21/Rpsa/Rpl18a/Pstk/Rpl23a/Rpl10a/Rpl12/Rpl34/Papss2/Rps9/Rpl26/Rpl36/Rpl15/Rps29/Rps8/Rpl23/Aimp1/Rps25/Rpl7/Rpl5/Rps4x/Sephs2/Rpl4/Rars/Rpl39/Fau/Ahcy/Rpl27/Rpl6/Rps27l/Rps21/Rpl38/Rpl37a/Rps3a1"
"REACTOME_TRANSLATION","REACTOME_TRANSLATION","REACTOME_TRANSLATION",284,0.629140706268464,2.98586439948134,1e-10,8.27818181818182e-09,6.4822966507177e-09,2252,"tags=60%, list=21%, signal=48%","Lars2/Eif4ebp1/Rpl30/Rps17/Rpl24/Rps13/Pabpc1/Nars/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/N6amt1/Rps20/Rpl31/Rps16/Rpl8/Rps7/Mrps6/Mrps24/Rpl11/Mrpl17/Rpl32/Rpl9/Rpl36al/Ssr4/Eif3c/Rplp2/Rps23/Rpl22/Rpl28/Lars/Sec61b/Wars1/Rpl13/Mrpl33/Rpl17/Eif3k/Sec61g/Rps19/Eif3e/Rps14/Rpl3/Rpl10/Mrpl50/Rps10/Mrpl23/Rpl29/Rpl37/Rpl19/Eef1d/Rps27a/Mrpl46/Srp9/Rps6/Rplp0/Mrpl22/Rps18/Rps24/Eif3i/Mrpl52/Rpl36a/Rpl13a/Mrpl39/Mrps11/Rpl21/Mrps16/Mrps31/Eif3f/Rpsa/Rpl18a/Eif3h/Mrpl20/Yars2/Rpl23a/Mrpl18/Spcs2/Mrpl27/Mrps18c/Rpl10a/Mrpl57/Rpl12/Mrps33/Rpl34/Srp19/Eef1b2/Rps9/Rpl26/Rpl36/Eif2s2/Mrps14/Rpl15/Chchd1/Rps29/Rps8/Pars2/Rpl23/Aimp1/Eif4h/Mrpl4/Rps25/Mrpl35/Vars2/Eif2b2/Mrps12/Mrpl13/Rpl7/Mrps26/Rpl5/Eif2s1/Eif3l/Mtif3/Mrpl51/Mrpl53/Rps4x/Aurkaip1/Mrps25/Mrpl48/Mrpl34/Gadd45gip1/Srpr/Cars/Eif2b5/Tars/Rpl4/Rars/Rpl39/Sec11c/Srp14/Mrps15/Eif1ax/Fau/Sec11a/Rpl27/Mrpl15/Mrps17/Mrpl54/Eif2b1/Rpl6/Mrpl21/Iars2/Eif3d/Rps27l/Rps21/Mrps23/Mrpl30/Mrps34/Rpl38/Rpl37a/Rps3a1/Ears2/Tsfm/Mrpl9/Mrpl28/Mrpl41/Rpl7a/Eif3m/Spcs3/Gars/Mrpl40/Eif3g/Eif3j2/Rpl14/Tufm"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",94,0.734479738947133,2.95107165452266,1e-10,8.27818181818182e-09,6.4822966507177e-09,2153,"tags=83%, list=20%, signal=67%","Asns/Rpl30/Rps17/Rpl24/Rps13/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rpl36al/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Rpl17/Rps19/Rps14/Rpl3/Rpl10/Rps10/Rpl29/Rpl37/Rpl19/Rps27a/Rps6/Rplp0/Rps18/Rps24/Rpl36a/Rpl13a/Rpl21/Rpsa/Rpl18a/Rpl23a/Cebpg/Rpl10a/Rpl12/Rpl34/Rps9/Rpl26/Rpl36/Eif2s2/Rpl15/Rps29/Rps8/Rpl23/Rps25/Rpl7/Rpl5/Eif2s1/Rps4x/Rpl4/Rpl39/Fau/Rpl27/Rpl6/Rps27l/Rps21/Rpl38/Rpl37a/Rps3a1/Atf3/Rpl7a"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",108,0.693726381435837,2.87123812461879,1e-10,8.27818181818182e-09,6.4822966507177e-09,2053,"tags=72%, list=19%, signal=59%","Rpl30/Rps17/Rpl24/Rps13/Pabpc1/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rpl36al/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Rpl17/Rps19/Rps14/Rpl3/Rpl10/Rps10/Rpl29/Rpl37/Rpl19/Rps27a/Rps6/Rplp0/Rps18/Rps24/Rpl36a/Rpl13a/Rpl21/Rpsa/Rpl18a/Ncbp2/Rpl23a/Rpl10a/Rpl12/Rpl34/Rps9/Rpl26/Rpl36/Rpl15/Rps29/Rps8/Rpl23/Rps25/Rpl7/Rpl5/Rps4x/Upf3a/Rpl4/Rbm8a/Rpl39/Fau/Rpl27/Magoh/Rpl6/Magohb/Rps27l/Rps21/Rpl38/Rpl37a/Rps3a1"
