"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",194,0.564923726270735,2.60195419771846,1e-10,2.5e-09,1.52631578947368e-09,3415,"tags=71%, list=32%, signal=49%","Ndufb4/Mgst3/Echs1/Atp5j/Ndufab1/Atp5o/Cox6c/Cox6b1/Etfb/Idh2/Cycs/Cox17/Ldha/Ech1/Ndufa2/Grpel1/Bax/Slc25a4/Atp5g2/Ndufa1/Ndufc2/Tomm22/Ndufa5/Ndufa6/Cox7b/Atp6v1g1/Cox7c/Gpi1/Cox5b/Hspa9/Ndufa3/Timm50/Ndufb6/Mrps11/Cox4i1/Ndufv2/Alas1/Vdac1/Cox6a1/Uqcrq/Atp5g3/Uqcrh/Ndufb7/Sdhb/Ndufa7/Polr2f/Fdx1/Atp5e/Afg3l2/Timm13/Cox5a/Uqcrc2/Timm17a/Vdac3/Cyb5r3/Mrpl35/Mrps12/Cox7a2l/Ndufb2/Atp5j2/Mpc1/Tomm70a/Uqcrb/Cox7a2/Vdac2/Mrpl34/Atp6v1f/Hsd17b10/Ndufb3/Cyc1/Ndufa4/Ndufb8/Mrps15/Mrpl15/Got2/Ndufb1/Atp5h/Hadhb/Ndufs4/Isca1/Atp5d/Acaa1a/Ndufs3/Timm10/Ndufa8/Uqcr11/Slc25a5/Idh3g/Ndufb5/Iscu/Eci1/Atp5l/Uqcr10/Dld/Atp6v1e1/Timm8b/Atp5c1/Gpx4/Ndufa9/Hadha/Atp6v0b/Ndufs7/Ndufv1/Oat/Mdh2/Atp5g1/Prdx3/Ndufs6/Atp5b/Decr1/Atp5a1/Atp6v0e/Slc25a3/Cox8a/Immt/Acadm/Sdhd/Atp6v1c1/Cyb5a/Aco2/Atp5k/Mrps22/Slc25a11/Por/Fh1/Acat1/Atp5pb/Idh3b/Ndufc1/Mrpl11/Mrps30/Mdh1/Timm9/Mtrf1/Atp6v0c/Ndufs8/Suclg1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",201,0.553176297674141,2.54220287280834,1e-10,2.5e-09,1.52631578947368e-09,2970,"tags=57%, list=28%, signal=42%","Erh/Pabpc1/Rps5/Pabpc4/Ndufab1/Rpl18/Rps2/Rps3/Psmd8/Ldha/Cbx3/Rpl22/Snrpd1/Rfc4/Rps10/Mrpl23/Ruvbl2/Mcm7/Rps6/Ppia/Psmc4/Rplp0/H2az1/Ddx21/Snrpg/Acp1/Nhp2/Nme1/Pgk1/Cct5/Ncbp2/Vdac1/Ube2l3/Eif4g2/Rpl34/Eef1b2/Snrpd2/Eif2s2/Psma2/Cox5a/Vdac3/Eif4h/Ssbp1/Cnbp/Snrpd3/Eif2s1/Cct4/Kpna2/Pwp1/Txnl4a/Tomm70a/Psmb2/Fbl/Rsl1d1/Ptges3/Pa2g4/Dut/Psma7/Cct2/Snrpa1/Hnrnpa3/Ran/Cyc1/Clns1a/Hnrnpd/Prdx4/Eif1ax/Psma6/Hspe1/Got2/Rpl6/Pole3/Gnl3/Eif3d/Serbp1/Set/Mrpl9/Mcm4/Psma1/Prpf31/Phb/Ranbp1/Ssb/Pold2/Eif3j2/Rpl14/Tufm/Hnrnpa1/Hspd1/Tcp1/Hddc2/Cct7/U2af1/Srsf7/Rrm1/Gspt1/Tyms/Prdx3/Mrps18b/Hsp90ab1/Tra2b/Rack1/Psmb3/Iars/Npm1/Slc25a3/Lsm7/Psmd7/Etf1/Nop16/Hprt/Cops5/Snrpb2/Odc1/Ppm1g"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",107,-0.516366604866367,-2.00008238390853,6.64947981836106e-06,0.000110824663639351,6.76613735903406e-05,1102,"tags=31%, list=10%, signal=28%","Ank/Traf1/Cbl/Rbm4/Dcbld2/Slpi/Vwa5a/Lif/Ptbp2/Spon1/Pecam1/Dnmbp/Spp1/Map7/Rabgap1l/Il2rg/Atg10/Akap12/Scn1b/Itgb2/Pdcd1lg2/Car2/Hdac9/Ikzf1/Ctss/Laptm5/Satb1/Il7r/Fcer1g/Lcp1/Dock2/Il1b/G0s2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,-0.456937872913907,-1.87456156437206,1.9095174899421e-05,0.000238689686242762,0.000145726334758739,1159,"tags=19%, list=11%, signal=17%","Il6st/Klf9/Traf1/Gadd45a/Ifit2/Nfkb1/Marcks/Clcf1/Cd44/Lif/Socs3/Csf1/Zfp36/Rigi/Tank/Ifih1/Hes1/Dram1/Dusp1/Smad3/Abca1/Dusp2/Nr4a3/Il7r/Plek/Ccrl2/Cd80/Il1b/G0s2/Ccl4/Pde4b"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",112,0.427629499221167,1.79754799283592,0.000164675281914247,0.00164675281914247,0.00100538593168698,2156,"tags=38%, list=20%, signal=31%","Tap1/Asns/Irf1/Ccne1/Tfrc/H2-M3/Icam1/Grpel1/Slc25a4/Rab27a/Dnajb1/Ctsl/Bid/Rfc4/Mrpl23/Selenow/Casp3/Polr2h/Ddx21/Tmbim6/Dnaja1/Aldoa/Alas1/Pdap1/Cebpg/Ykt6/Ppt1/Sod2/Nr4a1/Psmc3/Hmox1/Ap2s1/Ggh/Atp6v1f/Tars/Creg1/Ppp1r2/Pole3/Ago2/Acaa1a/Cxcl1/Atf3/Cltb"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",101,-0.459661610137157,-1.77002039747255,0.000733164128954293,0.00610970107461911,0.00373013328766219,1018,"tags=19%, list=10%, signal=17%","Nfkb1/Dcbld2/Il18r1/Lif/Csf1/Stab1/Il4ra/P2rx7/Itgb3/Scn1b/Gpr132/Ifitm1/Abca1/Osm/Rgs1/Il7r/Ccrl2/Il1b/Pde4b"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",87,-0.473830584603814,-1.7737722421732,0.000899535363924927,0.00642525259946377,0.00392278579756735,1583,"tags=33%, list=15%, signal=29%","Pten/Rsu1/Plcg1/B4galt1/Evl/Nf2/Tsc1/Itga3/Vcl/Nf1/Mapk14/Traf1/Pkd1/Nectin1/Baiap2/Vav2/Syk/Epb41l2/Map3k20/Pecam1/Mpzl1/Map4k2/Mdk/Exoc4/Cercam/Sdc3/Arhgef6/Ptprc/Rac2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",183,0.347551901331442,1.5756725613069,0.00121300648212857,0.00758129051330354,0.0046285773660169,2270,"tags=33%, list=21%, signal=27%","Asns/Slc7a5/Tfrc/Egln3/Ddx39a/Pgm1/Ero1a/Cdkn1a/Ldha/Nupr1/Psmg1/Gbe1/Ifi30/Eno1/Wars1/Polr3g/Gapdh/Gpi1/Ppia/Psmc4/Glrx/Hspa9/Pno1/Pgk1/Aldoa/Psmd13/Tomm40/Pdap1/Ufm1/Tpi1/Eif2s2/Ykt6/Slc2a1/Nfkbib/Ppp1r15a/Psph/Psma3/Ccnf/Tmem97/Arpc5l/Nufip1/Psmd12/Rdh11/Actr2/Sec11a/Nmt1/Cd9/Psmc2/Hspe1/Plod2/Slc1a5/Rrm2/Hk2/Psmb5/Sqle/Mthfd2/Mcm4/Got1/Pdk1/Cct6a/Cacybp"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",112,-0.42460121538931,-1.65628775856427,0.00147815975253807,0.00821199862521148,0.00501364126591859,759,"tags=21%, list=7%, signal=19%","F2r/Ccnd3/Csf1/Stab1/Il4ra/Ltb/Cfp/Cd1d1/Itgal/Il2rg/H2-Q7/Itgb2/H2-Aa/Itk/Hdac9/Ptprc/Ctss/Srgn/St8sia4/Cd80/Stat4/Il1b/Ccl4"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",91,-0.453785824790736,-1.71912308960925,0.00220946027847938,0.0110473013923969,0.006744668218516,2649,"tags=49%, list=25%, signal=37%","Apbb2/Atrn/Togaram1/Atrx/Prkce/Rasa2/Nipbl/Pex14/Nek7/Bhlhe40/Lamc1/Id1/Runx1/Zmiz1/Dlg1/Akt3/Wdr37/Igf1r/Sipa1l1/Scaf8/Cdk13/Nr1d2/Pten/Synj2/Mios/Nrp1/Fyn/Celf2/Cdon/Mapk14/Inpp4b/Notch2/Nfkb1/Sfmbt1/Vav2/Kalrn/Map2k5/Prkar2b/Dusp1/Syne1/Smad3/Bckdhb/Itgb3/Cacna1a/Atp2b4"
