"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.742228066897887,2.73882269313477,1e-10,1.25e-09,9.21052631578947e-10,947,"tags=47%, list=9%, signal=43%","Gbp2/Psmb8/Psmb9/Gbp3/Tap1/Cd74/Ifi44/Cxcl10/B2m/Ddx60/Bst2/Oas1a/Batf2/Parp12/Ube2l6/H2-Q7/Isg15/Usp18/Parp14/Rtp4/Irf1/Irf7/Trim12c/Procr/Ifitm3/Ifit2/Parp9/Mx2/Psme2/Dhx58/Psme1/Nmi/Csf1/Cd47/Tmem140/Mvb12a/Epsti1/Trim21/Samd9l"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.67052974633359,2.64945119368081,1e-10,1.25e-09,9.21052631578947e-10,674,"tags=35%, list=6%, signal=33%","Psmb8/Psmb9/Gbp3/Tap1/Nlrc5/Cd74/Ifi44/Cxcl10/Casp4/B2m/H2-D1/Ptgs2/Cd274/Ddx60/Gbp8/Gbp9/Zbp1/Bst2/Batf2/Fas/H2-M3/Parp12/Ube2l6/Stat1/H2-Eb1/Oas2/H2-Q7/Psmb10/Isg15/Usp18/Parp14/Icam1/Upp1/Rtp4/H2-Aa/Il18bp/Irf1/Oas3/Xaf1/Irf7/Ifitm3/Ifit2/Ptpn6/Samhd1/Mx2/Il15ra/Psme2/Dhx58/Psme1/Socs1/Nmi/Mthfd2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",201,0.548383256839591,2.25611305154322,1e-10,1.25e-09,9.21052631578947e-10,3406,"tags=62%, list=32%, signal=43%","Rpl34/Snrpg/Rpl18/Rpl22/Ranbp1/Rps10/Snrpd1/Erh/Rps2/Rps5/Rfc4/Ssbp1/Snrpd2/Mrpl23/Psmd8/Ube2l3/Lsm7/Nhp2/Ndufab1/Ppia/Mcm4/Tomm70a/Rps3/H2az1/Hdgf/Pold2/Nme1/Serbp1/Eef1b2/Rrp9/Tra2b/Srm/Ruvbl2/Hspe1/Ncbp2/Rpl14/Rplp0/Set/Pole3/Snrpa1/Rpl6/Got2/Gnl3/Mrpl9/Rnps1/Gspt1/Rsl1d1/Acp1/Eif3j1/Rps6/Vdac3/Psma7/Phb/Fbl/Cox5a/Eif1ax/Cbx3/Ddx18/Txnl4a/Eif3j2/Psmc4/Eif2s1/Cnbp/Ptges3/C1qbp/Hnrnpa3/Dek/U2af1/Ddx21/Clns1a/Dut/Vdac1/Pa2g4/Lsm2/Psmb3/Kars/Ldha/Cct7/Cct3/Hsp90ab1/Psmb2/Mad2l1/Npm1/Tufm/Pwp1/Psmd7/Cdc45/Hnrnpd/Ran/Psma2/Cad/Exosc7/Etf1/Rack1/Nolc1/Snrpd3/Nap1l1/Phb2/Cct4/Ap3s1/Psma6/Cops5/Cct2/Impdh2/Sf3b3/Odc1/Nop16/Prpf31/Abce1/Psma4/Prdx4/Tcp1/Rrm1/Tyms/Myc/Hnrnpa2b1/Apex1/Xrcc6/Ssb/Cct5/Mrps18b/Cul1/Glo1/Eif2s2/Tfdp1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",194,0.546939887799288,2.24216112576616,1e-10,1.25e-09,9.21052631578947e-10,2882,"tags=51%, list=27%, signal=38%","Ndufb4/Ndufa5/Cox17/Atp5j/Atp5o/Ndufa2/Ndufa3/Cox6b1/Slc25a4/Ndufa1/Cox7b/Cycs/Ndufa7/Ndufb2/Ndufb1/Mgst3/Ndufc1/Etfb/Ndufb7/Cox7c/Ndufab1/Cox5b/Cox4i1/Tomm70a/Mrpl35/Atp5e/Cox7a2/Atp5l/Atp5j2/Uqcrq/Uqcrb/Ndufa4/Ndufb6/Atp5k/Ndufc2/Mrps11/Bax/Uqcr11/Cox6c/Echs1/Acadm/Got2/Ndufb5/Fdx1/Polr2f/Ndufs6/Cox7a2l/Ndufv2/Ndufb3/Timm8b/Uqcrh/Atp5g1/Mpc1/Cox6a1/Uqcr10/Hspa9/Timm13/Alas1/Grpel1/Atp6v1f/Timm10/Htra2/Vdac3/Cox5a/Timm50/Mrpl34/Hsd17b10/Aifm1/Cox8a/Ech1/Vdac1/Ndufb8/Ldha/Atp5g2/Atp5pb/Decr1/Atp5h/Afg3l2/Mrps15/Idh2/Eci1/Ndufa6/Mrpl15/Ndufa9/Sdhb/Atp6v0e/Cyb5a/Atp5g3/Tomm22/Mrpl11/Atp5d/Ndufa8/Ndufs4/Etfdh/Phb2/Gpx4/Suclg1/Gpi1/Ndufs7"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",180,-0.418865194309087,-1.95538488880662,2.12110072491968e-07,2.12110072491968e-06,1.56291632362502e-06,3155,"tags=50%, list=30%, signal=36%","Clip1/Kif4/Sptan1/Smc3/Kntc1/Stau1/Kif2c/Arhgap5/Alms1/Espl1/Arl8a/Ssh2/Atg4b/Arhgef2/Rhot2/Hook3/Ckap5/Aurka/Cdk1/Cdk5rap2/Pcgf5/Cenpf/Pcnt/Marcks/Rasa2/Nek2/Ttk/Mid1/Katnb1/Kif20b/Tlk1/Top2a/Rictor/Katna1/Bcl2l11/Tubgcp6/Rapgef6/Kif15/Arfgef1/Dst/Map3k11/Rabgap1/Incenp/Clip2/Kif1b/Cntrob/Notch2/Myo1e/Als2/Plekhg2/Pif1/Llgl1/Nf1/Akap13/Fbxo5/Ranbp9/Cep72/Nedd9/Ccdc88a/Klc1/Pxn/Kif3c/Vcl/Tsc1/Abl1/Trio/Kif3b/Kif11/Dock4/Nin/Epb41/Cep250/Fgd6/Tuba4a/Cdc27/Clasp1/Arap3/Arhgef12/Myh9/Arhgap27/Abr/Bcr/Epb41l2/Pkd2/Lats1/Prex1/Nck2/Arhgef3/Septin9/Dock2"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",112,0.480264013800717,1.83682003389033,0.000271751380364291,0.0022645948363691,0.00166864882679828,1140,"tags=32%, list=11%, signal=29%","Gbp2/Map4k1/Tap1/Cd74/B2m/Nlrp3/Fas/H2-M3/Tap2/Stat1/Ccr1/H2-Q7/Psmb10/Prkcb/Icam1/H2-Aa/H2-DMb1/Irf7/Ctss/Ptpn6/H2-T23/Rpl39/Rps19/Socs1/Csf1/Cd47/Rps3a1/Il10/Nme1/Rps9/Rpl9/Timp1/Ifnar2/Eif5a/Ccnd2/Srgn"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",44,-0.468584042518483,-1.70770890298951,0.0033186497880764,0.0237046413434029,0.0174665778319811,2038,"tags=43%, list=19%, signal=35%","Smurf1/Bcar3/Ppm1a/Ctnnb1/Id2/Pmepa1/Furin/Xiap/Junb/Smad7/Tgfb1/Smurf2/Serpine1/Id3/Bmpr2/Ski/Slc20a1/Id1/Smad3"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",17,-0.629052312912502,-1.77674519054054,0.00392860594796272,0.024553787174767,0.0180922642340388,2683,"tags=65%, list=25%, signal=48%","Cdk6/Ptch1/Ldb1/Tle1/Nf1/Nrp1/Vegfa/L1cam/Myh9/Tle3/Celsr1"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",91,-0.376081314397688,-1.56463776532956,0.00463508467769787,0.0257504704316548,0.0189740308443772,2516,"tags=47%, list=24%, signal=36%","Igf1r/Tent4a/Atp2c1/Atp2b1/Rasa2/Spop/Sipa1l1/Lamc1/Prkca/Insig1/Pex14/Atrn/Aggf1/Runx1/Notch2/Pparg/Bhlhe40/Map2k5/Atrx/Wdr37/Nrp1/Cdon/Atxn1/Zmiz1/Prkar2b/Pten/Synj2/Smad7/Cdk13/Nipbl/Sfmbt1/Serpine1/Mapk14/Cited2/Vav2/Atp2b4/Apbb2/Syne1/Itgb3/Id1/Smad3/Cacna1a/Tfpi"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",62,0.476061040325425,1.6763598243005,0.00729430985323071,0.0364715492661535,0.0268737731434816,780,"tags=26%, list=7%, signal=24%","Cxcl10/Csf2/Cxcl3/Csf2ra/Fas/Stat1/Ccr1/Cxcl1/Cxcl2/Irf1/Pik3r5/Map3k8/Il15ra/Socs1/Csf1/Crlf2"
