"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035456","BP","GO:0035456","response to interferon-beta",35,0.925016734724233,3.17357670127671,1e-10,9.42898550724638e-09,6.92906178489703e-09,168,"tags=63%, list=2%, signal=62%","Iigp1/Gbp2/Gbp6/Gbp3/Ifi47/Igtp/Gbp7/Irgm1/Irgm2/Bst2/Oas1a/Stat1/Gm12185/Ifit1/Xaf1/Irf1/Ifi204/Ifi203/Mndal/Ifitm3/Ifit3/Ifi211"
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta",29,0.944041191168358,3.15819122077539,1e-10,9.42898550724638e-09,6.92906178489703e-09,168,"tags=66%, list=2%, signal=65%","Iigp1/Gbp2/Gbp6/Gbp3/Ifi47/Igtp/Gbp7/Irgm1/Irgm2/Oas1a/Stat1/Gm12185/Ifit1/Irf1/Ifi204/Ifi203/Mndal/Ifit3/Ifi211"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",158,0.666075473400868,3.01480881099408,1e-10,9.42898550724638e-09,6.92906178489703e-09,3053,"tags=82%, list=29%, signal=59%","Isg15/Rpl24/Uba52/Mrpl39/Mrps6/Rpl35/Rps2/Mrpl22/Rpl35a/Rps17/Mrps11/Mrpl15/Mrpl17/Ndufa7/Rpl13/Mrpl46/Rps5/Rps11/Rpl31/Mrpl23/Rpl18/Rps3/Rpl27a/Mrps14/Rpl7l1/Rpl36/Mrps12/Rps15a/Rps13/Mrps24/Mrps31/Mrpl21/Rps7/Rps10/Rpl36al/Rps18/Mrpl28/Mrps18b/Rpl22l1/Mrpl52/Mrpl34/Rps29/Rpl30/Mrpl14/Mrps34/Rpl32/Rps28/Rps24/Mrps18a/Rpl8/Mrpl36/Rpl34/Mrpl57/Mrpl2/Rpl7/Mrps16/Rpl11/Rpl28/Mrpl13/Mrps21/Rpl10a/Rpl19/Rps16/Rpl3/Mrpl41/Mrpl18/Mrpl27/Rpl22/Rps27a/Mrpl24/Mrpl30/Rps20/Mrps18c/Mrpl43/Rpl9/Rps14/Rplp2/Mrpl55/Mrps10/Mrps25/Mrpl35/Rps19/Rps27l/Rps9/Rps4x/Rps23/Rpl36a/Rpl15/Mrps7/Rpl39/Mrpl19/Rps3a1/Mrpl51/Srbd1/Rpl17/Mrpl20/Rpl37a/Rpl12/Rpl38/Mrpl12/Rpl26/Fau/Rpl9-ps6/Rpl21/Mrpl32/Rpl18a/Mrps17/Mrpl54/Rpl29/Mrpl9/Mrpl11/Rplp0/Mrpl33/Mrps23/Mrpl44/Rsl24d1/Mrpl47/Mrpl49/Rpsa/Rps26/Mrpl4/Mrps15/Rpl27/Dap3/Mrps22/Gm6133/Rpl6/Mrps9/Rps25/Rpl37"
"GO:0044391","CC","GO:0044391","ribosomal subunit",187,0.646091609919427,3.00206986999109,1e-10,9.42898550724638e-09,6.92906178489703e-09,3053,"tags=77%, list=29%, signal=56%","Hba-a1/Isg15/Rpl24/Uba52/Mrpl39/Mrps6/Rpl35/Ndufab1/Rps2/Mrpl22/Rpl35a/Rps17/Mrps11/Mrpl15/Mrpl17/Mpv17l2/Rpl13/Mrpl46/Rps5/Rps11/Rpl31/Mrpl23/Rpl18/Rps3/Rpl27a/Mrps14/Mcts1/Rpl7l1/Rpl36/Mrps12/Rps15a/Rps13/Mrps24/Mrps31/Mrpl21/Rps7/Rps10/Rpl36al/Rps18/Mrpl28/Mrps18b/Mrpl52/Mrpl34/Rps29/Rpl30/Mrps33/Mrpl14/Mrpl50/Mrps34/Rpl32/Rps28/Rps24/Mrps18a/Rpl8/Mrpl36/Rpl34/Mrpl57/Mrpl2/Rpl7/Mrps16/Rpl11/Rpl28/Mrpl13/Mrps21/Rpl10a/Rpl19/Chchd1/Rps18-ps6/Rps16/Rpl3/Gadd45gip1/Mrpl41/Mrpl18/Mrpl27/Rpl22/Rps27a/Mrpl24/Mrpl30/Rps20/Mrpl40/Mrps18c/Mrpl43/Rpl9/Rps14/Rplp2/Mrpl55/Mrps10/Mrps25/Mrpl35/Rps19/Nsun3/Rps27l/Rps9/Rps4x/Mrpl42/Rps23/Rpl36a/Rpl15/Mrps7/Rpl39/Mrpl19/Mterf4/Rps3a1/Mrpl51/Rpl17/Mrpl20/Rpl37a/Rpl12/Rpl38/Mrpl12/Rpl26/Fau/Rpl9-ps6/Rpl21/Mrpl32/Rpl18a/Mrps17/Mrpl54/Aurkaip1/Rpl29/Malsu1/Mrpl9/Mrpl11/Rplp0/Mrpl33/Mrps23/Mrpl44/Mrpl47/Mrpl49/Rpsa/Rps26/Mrpl4/Mrps15/Rpl27/Dap3/Mrpl53/Mrps26/Eif2d/Mrps22/Gm6133/Rpl6/Mrps9/Rps25/Rpl37"
"GO:0005840","CC","GO:0005840","ribosome",209,0.619096959920624,2.89628209745304,1e-10,9.42898550724638e-09,6.92906178489703e-09,3053,"tags=74%, list=29%, signal=53%","Hba-a1/Isg15/Oas1a/Rpl24/Uba52/Mrpl39/Mrps6/Rpl35/Ndufab1/Rps2/Mrpl22/Rpl35a/Rps17/Mrps11/Mrpl15/Mrpl17/Ndufa7/Mpv17l2/Oas1c/Rpl13/Mrpl46/Rps5/Rps11/Rpl31/Mrpl23/Rpl18/Rps3/Rpl27a/Mrps14/Mcts1/Rpl7l1/Rpl36/Mrps12/Rps15a/Rps13/Mrps24/Mrps31/Mrpl21/Rps7/Rps10/Rpl36al/Mtg1/Rps18/Mrpl28/Mrps18b/Rpl22l1/Mrpl52/Mrpl34/Rps29/Rpl30/Abcf1/Mrps33/Mrpl14/Mrpl50/Mrps34/Rpl32/Rps28/Rps24/Mrps18a/Rpl8/Mrpl36/Rpl34/Mrpl57/Mrpl2/Rpl7/Mrps16/Rpl11/Rpl28/Mrpl13/Mrps21/Rpl10a/Rpl19/Chchd1/Rps18-ps6/Rps16/Rpl3/Gadd45gip1/Mrpl41/Mrpl18/Mrpl27/Rpl22/Rps27a/Mrpl24/Mrpl30/Rps20/Mrpl40/Mrps18c/Mrpl43/Rpl9/Rps14/Rplp2/Mrpl55/Mrps10/Mrps25/Mrpl35/Rps19/Nsun3/Rps27l/Rps9/Rps4x/Mrpl42/Rps23/Rpl36a/Rpl15/Mrps7/Rpl39/Mrpl19/Mterf4/Rps3a1/Mrpl51/Rpl17/Mrpl20/Rpl37a/Btf3/Eif3h/Rpl12/Rpl38/Mrpl12/Rpl26/Fau/Rpl9-ps6/Rpl21/Mrpl32/Rpl18a/Mrps17/Mrpl54/Aurkaip1/Rpl29/Malsu1/Mrpl9/Mrpl11/Rplp0/Mrpl33/Mrps23/Mrpl44/Pnpt1/Rsl24d1/Mrpl47/Mrpl49/Rpsa/Rps26/Mrpl4/Mrps15/Rpl27/Dap3/Mrpl53/Mrps26/Eif2d/Mrps22/Gm6133/Rpl6/Mrps9/Rps25/Rpl37"
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex",266,0.599879865115733,2.88255132412764,1e-10,9.42898550724638e-09,6.92906178489703e-09,2825,"tags=68%, list=27%, signal=51%","AA467197/Ndufb4/Atp5j/Mrpl39/Mrps6/Atp5o/Dnajc15/Ndufab1/Etfb/Bax/Mrpl22/Chchd10/Ndufa13/Timm10b/Mrps11/Mrpl15/Mrpl17/Ndufb4b/Cox6b1/Pam16l/Ndufv2/Ndufa7/Mpv17l2/Ndufb10/Cox7b/Mrpl46/Ndufb9/Grpel1/Slc25a4/Ndufb2/Mrpl23/Ndufa3/Ndufa1/Trmt10c/Timm8a1/Micos13/Mrps14/Ndufa11/Mrps12/Ndufa5/Ndufb7/Cox6c/Mrps24/Mrps31/Mrpl21/Tomm6/Hsd17b10/Mrpl28/Uqcrb/Mrps18b/Dnajc19/Mrpl52/Mrpl34/Ndufc2/Cox4i1/Timm50/Atp5g1/Mrps33/Timm10/Ndufc1/Mrpl14/Mrpl50/Mrps34/Tomm20/Cox5b/Tomm22/Mrps18a/Ndufa2/Mrpl36/Cox7c/Mrpl57/Mrpl2/Samm50/Atp5j2/Uqcrq/Ndufb6/Mrps16/Phb/Tomm40/Tomm7/Pam16/Ndufa4/Cox5a/Mrpl13/Mrps21/Atp5e/Timm17a/Suclg2/Ndufb8/Vdac1/Timm9/Smdt1/Dmac2/Chchd1/Ndufa8/Tomm5/Gadd45gip1/Mrpl41/Mrpl18/Dmac1/Mrpl27/Sdhb/Mrpl24/Atp5k/Ndufv3/Mrpl30/Mrpl40/Mrps18c/Timm21/Ndufb5/Ndufs5/Mrpl43/Atp5g2/Uqcc3/Mrpl55/Mrps10/Ndufb3/Prorp/Atp5pb/Mrps25/Mrpl35/Pmpcb/Nsun3/Atp5mpl/Cox7a2/Timm13/Tomm70a/Mrpl42/Atp5md/Uqcrc2/Timm17b/Mrps7/Mrpl19/Cyc1/Mterf4/Mrpl51/Atp5h/Ndufs8/Mrpl20/Cox8a/Ndufs7/Suclg1/Ndufb11/Mrpl12/Ndufs6/Atp5l/Uqcr11/Mrps36/Ndufs4/Ndufa12/Mrpl32/Mtx1/Mrps17/Atp5g3/Atp5c1/Mrpl54/Foxred1/Aurkaip1/Malsu1/Atp5d/Mrpl9/Mrpl11/Mrpl33/Mrps23/Trmt10b/Ndufs2/Mrpl44/Uqcr10/Romo1/Pnpt1/Cox6a1/Mcub/Micos10/Mtx2/Mrpl47/Timm22/Ndufv1/Mrpl49/Uqcrh/Mrpl4/Grpel2"
"GO:0048002","BP","GO:0048002","antigen processing and presentation of peptide antigen",39,0.811972510212106,2.85594950656337,1e-10,9.42898550724638e-09,6.92906178489703e-09,608,"tags=56%, list=6%, signal=53%","Cd74/Tap1/H2-D1/B2m/H2-K1/H2-T22/H2-Eb1/H2-Q4/H2-Ab1/Tap2/Pycard/H2-T23/H2-M3/H2-Aa/H2-T24/Fcgr3/Ifi30/H2-DMa/H2-DMb1/Tapbpl/Tapbp/Ctsl"
"GO:0019884","BP","GO:0019884","antigen processing and presentation of exogenous antigen",27,0.850082417000923,2.77611802629838,1e-10,9.42898550724638e-09,6.92906178489703e-09,504,"tags=59%, list=5%, signal=57%","Cd74/Tap1/B2m/H2-K1/H2-Eb1/H2-Ab1/Tap2/H2-M3/H2-Aa/Psme2/Fcgr3/Ifi30/H2-DMa/H2-DMb1/Psme1/Tapbp"
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex",124,0.637291761241447,2.75848455747134,1e-10,9.42898550724638e-09,6.92906178489703e-09,2825,"tags=75%, list=27%, signal=56%","AA467197/Ndufb4/Atp5j/Atp5o/Dnajc15/Ndufab1/Chchd10/Ndufa13/Timm10b/Ndufb4b/Cox6b1/Pam16l/Ndufv2/Ndufa7/Ndufb10/Cox7b/Ndufb9/Grpel1/Ndufb2/Ndufa3/Ndufa1/Micos13/Ndufa11/Ndufa5/Ndufb7/Cox6c/Uqcrb/Dnajc19/Ndufc2/Cox4i1/Timm50/Atp5g1/Timm10/Ndufc1/Cox5b/Ndufa2/Cox7c/Atp5j2/Uqcrq/Ndufb6/Phb/Pam16/Ndufa4/Cox5a/Atp5e/Timm17a/Ndufb8/Timm9/Smdt1/Dmac2/Ndufa8/Dmac1/Sdhb/Atp5k/Ndufv3/Timm21/Ndufb5/Ndufs5/Atp5g2/Uqcc3/Ndufb3/Atp5pb/Atp5mpl/Cox7a2/Atp5md/Uqcrc2/Timm17b/Cyc1/Atp5h/Ndufs8/Cox8a/Ndufs7/Ndufb11/Ndufs6/Atp5l/Uqcr11/Ndufs4/Ndufa12/Atp5g3/Atp5c1/Foxred1/Atp5d/Trmt10b/Ndufs2/Uqcr10/Romo1/Cox6a1/Mcub/Micos10/Timm22/Ndufv1/Uqcrh/Grpel2"
"GO:0005746","CC","GO:0005746","mitochondrial respirasome",69,0.707000111000155,2.75732103395583,1e-10,9.42898550724638e-09,6.92906178489703e-09,2592,"tags=83%, list=24%, signal=63%","AA467197/Ndufb4/Ndufab1/Cox7a1/Ndufa13/Ndufb4b/Cox6b1/Ndufv2/Ndufa7/Ndufb10/Cox7b/Ndufb9/Ndufb2/Ndufa3/Ndufa1/Ndufa11/Ndufa5/Ndufb7/Cox6c/Uqcrb/Ndufc2/Cox4i1/Ndufc1/Cox5b/Ndufa2/Cox7c/Uqcrq/Ndufb6/Ndufa4/Cox5a/Ndufb8/Dmac2/Ndufa8/Dmac1/Sdhb/Cox7a2l/Ndufv3/Ndufb5/Ndufs5/Uqcc3/Ndufb3/Rab5if/Cox7a2/Uqcrc2/Cyc1/Ndufs8/Cox8a/Ndufs7/Ndufb11/Ndufs6/Uqcr11/Ndufs4/Ndufa12/Foxred1/Ndufs2/Uqcr10/Cox6a1"
