"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP","ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP","ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP",85,0.768699696417073,3.06620192854578,1e-10,5.23333333333333e-09,3.88142770719903e-09,827,"tags=51%, list=8%, signal=47%","Gbp2/Gbp3/Cxcl10/Psmb8/Lyz2/Gbp7/Cd74/Psmb9/Irgm1/Xdh/Irgm2/Usp18/Isg15/Tap1/Stat1/Irf7/Ifit1/Fas/H2-Eb1/Irf1/Ifi204/Mndal/H2-Ab1/Tap2/Ifit3/H2-Aa/Psmb10/Il18bp/Cd53/Cd14/Psme2/Ifi27/H2-DMa/H2-DMb1/Cyba/Psme1/Samhd1/Tapbp/Ifi35/Uba7/Clic1/Mak16/Saal1"
"BROWNE_INTERFERON_RESPONSIVE_GENES","BROWNE_INTERFERON_RESPONSIVE_GENES","BROWNE_INTERFERON_RESPONSIVE_GENES",45,0.8422747436357,2.97866988706682,1e-10,5.23333333333333e-09,3.88142770719903e-09,594,"tags=58%, list=6%, signal=55%","Gbp2/Ifi44/Cxcl10/Psmb8/Psmb9/Bst2/Isg15/Tap1/Oas1a/Oas2/Stat1/Irf7/Ube2l6/Xaf1/Sp100/Ifit3/Mx2/H2-M3/Ifi30/Ifi27/Nmi/Eif2ak2/Samhd1/Trim21/Ifi35/Isg20"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",52,0.81810661655322,2.96902541499597,1e-10,5.23333333333333e-09,3.88142770719903e-09,511,"tags=60%, list=5%, signal=57%","H3c7/H4c3/H4c1/H2ac10/H3c2/H3c11/H4c8/H4c4/H2ac22/H3c3/H2ac4/H2bc14/H2bc18/H2bc3/H4c18/H2ac20/H2-Eb1/H2ac13/H2-Ab1/H2ac18/H2-Aa/H2bc8/H2-DMa/H2aj/H2-DMb1/H4c14/H2bc6/H2ac8/H3c1/H2bc4/Trim21"
"REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION","REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION","REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION",46,0.829764074772067,2.94336356199231,1e-10,5.23333333333333e-09,3.88142770719903e-09,430,"tags=48%, list=4%, signal=46%","H3c7/H4c3/H4c1/H2ac10/H3c2/H3c11/H4c8/H4c4/H3c3/H2ac4/H2bc14/H2bc18/H2bc3/H4c18/H2ac20/H2ac13/H2bc8/H2aj/H4c14/H2bc6/H3c1/H2bc4"
"REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION","REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION","REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION",38,0.866163233416949,2.92407935239196,1e-10,5.23333333333333e-09,3.88142770719903e-09,430,"tags=61%, list=4%, signal=58%","H3c7/H4c3/H4c1/H2ac10/H3c2/H3c11/H4c8/H4c4/H3c3/H2ac4/H2bc14/H2bc18/H2bc3/H4c18/H2ac20/H2ac13/H2bc8/H2aj/H4c14/H2bc6/Rrp8/H3c1/H2bc4"
"WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP","WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP","WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP",44,0.827932223168624,2.91033847780031,1e-10,5.23333333333333e-09,3.88142770719903e-09,267,"tags=48%, list=3%, signal=47%","Gbp2/Ifi44/Psmb8/Cd74/Psmb9/Bst2/Gbp9/Stat1/H2-D1/B2m/Gbp8/H2-Eb1/H2-Ab1/Tap2/H2-T23/H2-Aa/Psmb10/Cd14/Psme2/H2-DMa/H2-DMb1"
"REACTOME_HDACS_DEACETYLATE_HISTONES","REACTOME_HDACS_DEACETYLATE_HISTONES","REACTOME_HDACS_DEACETYLATE_HISTONES",60,0.773625584354203,2.9088887970976,1e-10,5.23333333333333e-09,3.88142770719903e-09,430,"tags=38%, list=4%, signal=37%","H3c7/H4c3/H4c1/H2ac10/H3c2/H3c11/H4c8/H4c4/H2ac22/H3c3/H2ac4/H2bc14/H2bc18/H2bc3/H4c18/H2ac20/H2ac13/H2bc8/H4c14/H2bc6/H2ac8/H3c1/H2bc4"
"REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION","REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION","REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION",39,0.852268003591727,2.89691892560484,1e-10,5.23333333333333e-09,3.88142770719903e-09,430,"tags=56%, list=4%, signal=54%","H3c7/H4c3/H4c1/H2ac10/H3c2/H3c11/H4c8/H4c4/H3c3/H2ac4/H2bc14/H2bc18/H2bc3/H4c18/H2ac20/H2ac13/H2bc8/H2aj/H4c14/H2bc6/H3c1/H2bc4"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",47,0.804695781914468,2.87904284302613,1e-10,5.23333333333333e-09,3.88142770719903e-09,650,"tags=51%, list=6%, signal=48%","Gbp2/Psmb8/Usp18/Bst2/Isg15/Oas1a/Oas2/Stat1/H2-D1/Irf7/Xaf1/Irf1/Oas3/Ifitm3/Ifit3/H2-T23/Mx2/H2-M3/Ifi27/Irf9/Samhd1/Ifi35/Isg20/Ifnar2"
"DER_IFN_ALPHA_RESPONSE_UP","DER_IFN_ALPHA_RESPONSE_UP","DER_IFN_ALPHA_RESPONSE_UP",59,0.760266226282053,2.86227233294092,1e-10,5.23333333333333e-09,3.88142770719903e-09,857,"tags=44%, list=8%, signal=41%","Ifi44/Psmb8/Psmb9/Bst2/Isg15/Tap1/Oas1a/Oas2/Stat1/B2m/Fas/Irf1/Ifit3/H2-T23/Mx2/Psmb10/Ifi30/Nmi/Irf9/Psme1/Trim21/Ifi35/Rhoc/Bbc3/Cycs/Sem1"
