"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035456","BP","GO:0035456","response to interferon-beta",35,-0.917235796962797,-2.74483138110561,1e-10,2.71083333333333e-08,2.38947368421053e-08,222,"tags=63%, list=2%, signal=62%","Ifitm1/Gbp2/Oas1c/Ifi211/Gbp7/Mndal/Gm12185/Ifi203/Igtp/Irgm2/Stat1/Bst2/Gbp6/Ifi204/Oas1a/Irgm1/Ifi47/Xaf1/Ifit3/Gbp3/Ifit1/Ifitm3"
"GO:0048525","BP","GO:0048525","negative regulation of viral process",71,-0.779074043662679,-2.65019619906045,1e-10,2.71083333333333e-08,2.38947368421053e-08,508,"tags=38%, list=5%, signal=36%","Trim25/Ly6e/Resf1/Trim21/Trim56/Ifitm1/Parp10/Oas1c/Eif2ak2/Zfp36/Trim12a/Sp100/Trim12c/Trim30d/Stat1/Ifih1/Trim30a/Oas1b/Bst2/Ifi204/Oas1a/Oas2/Oas3/Cd74/Oasl2/Isg15/Ifitm3"
"GO:0051607","BP","GO:0051607","defense response to virus",189,-0.674482126256234,-2.63368865300952,1e-10,2.71083333333333e-08,2.38947368421053e-08,820,"tags=28%, list=8%, signal=26%","Sting1/Rnf125/Mx1/Znfx1/Mov10/Unc93b1/Apobec1/Ifngr1/Irf1/Trim25/Ifit2/Trim21/Marchf2/Slfn9/Trim56/Rnf135/Zbp1/Ifitm1/Ifi27/Oas1c/Trim34a/Eif2ak2/Slfn8/Trim12a/Gbp7/Stat2/Rigi/Parp9/Dtx3l/Trim12c/Trim30d/Stat1/Ifih1/Mx2/Trim30a/Oas1b/Il1b/Bst2/Ifi204/Oas1a/Dhx58/Irf7/Ddx60/Oas2/Oas3/Ifit3/Oasl2/Ifit3b/Cxcl10/Rtp4/Isg15/Ifit1/Ifitm3"
"GO:0140546","BP","GO:0140546","defense response to symbiont",189,-0.674482126256234,-2.63368865300952,1e-10,2.71083333333333e-08,2.38947368421053e-08,820,"tags=28%, list=8%, signal=26%","Sting1/Rnf125/Mx1/Znfx1/Mov10/Unc93b1/Apobec1/Ifngr1/Irf1/Trim25/Ifit2/Trim21/Marchf2/Slfn9/Trim56/Rnf135/Zbp1/Ifitm1/Ifi27/Oas1c/Trim34a/Eif2ak2/Slfn8/Trim12a/Gbp7/Stat2/Rigi/Parp9/Dtx3l/Trim12c/Trim30d/Stat1/Ifih1/Mx2/Trim30a/Oas1b/Il1b/Bst2/Ifi204/Oas1a/Dhx58/Irf7/Ddx60/Oas2/Oas3/Ifit3/Oasl2/Ifit3b/Cxcl10/Rtp4/Isg15/Ifit1/Ifitm3"
"GO:0009615","BP","GO:0009615","response to virus",225,-0.654480888968782,-2.60998729789484,1e-10,2.71083333333333e-08,2.38947368421053e-08,649,"tags=25%, list=6%, signal=24%","Bcl3/Rrp1b/Mov10/Unc93b1/Apobec1/Ifngr1/Irf1/Trim25/Ifit2/Ivns1abp/Trim21/Marchf2/Slfn9/Trim56/Lgals9/Rnf135/Zbp1/Ifitm1/Ifi27/Oas1c/Trim34a/Eif2ak2/Slfn8/Trim12a/Gbp7/Stat2/Rigi/Igtp/Parp9/Dtx3l/Trim12c/Trim30d/Stat1/Ifih1/Mx2/Trim30a/Oas1b/Il1b/Bst2/Ifi204/Oas1a/Dhx58/Irgm1/Irf7/Ddx60/Oas2/Oas3/Ifit3/Oasl2/Ifit3b/Cxcl10/Rtp4/Ifi27l2a/Isg15/Ifit1/Ifitm3"
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta",29,-0.911444209507366,-2.59787805656954,1e-10,2.71083333333333e-08,2.38947368421053e-08,215,"tags=69%, list=2%, signal=68%","Pnpt1/Irf1/Gbp2/Oas1c/Ifi211/Gbp7/Mndal/Gm12185/Ifi203/Igtp/Irgm2/Stat1/Gbp6/Ifi204/Oas1a/Irgm1/Ifi47/Ifit3/Gbp3/Ifit1"
"GO:0050792","BP","GO:0050792","regulation of viral process",120,-0.668041504881931,-2.4835494938755,1e-10,2.71083333333333e-08,2.38947368421053e-08,508,"tags=24%, list=5%, signal=23%","Trim25/Ly6e/Ppid/Resf1/Trim21/Trim56/Ifitm1/Parp10/Oas1c/Trim34a/Eif2ak2/Zfp36/Trim12a/Sp100/Trim12c/Trim30d/Stat1/Ifih1/Trim30a/Oas1b/Bst2/Ifi204/Oas1a/Oas2/Oas3/Cd74/Oasl2/Isg15/Ifitm3"
"GO:1903900","BP","GO:1903900","regulation of viral life cycle",99,-0.68154370620916,-2.44753533063193,1e-10,2.71083333333333e-08,2.38947368421053e-08,508,"tags=26%, list=5%, signal=25%","Trim25/Ly6e/Ppid/Resf1/Trim21/Trim56/Ifitm1/Parp10/Oas1c/Trim34a/Eif2ak2/Trim12a/Trim12c/Trim30d/Ifih1/Trim30a/Oas1b/Bst2/Ifi204/Oas1a/Oas2/Oas3/Cd74/Oasl2/Isg15/Ifitm3"
"GO:0009617","BP","GO:0009617","response to bacterium",314,-0.571970172511777,-2.36781536999763,1e-10,2.71083333333333e-08,2.38947368421053e-08,522,"tags=23%, list=5%, signal=23%","Stab1/Macrod2/Resf1/Fer/Marchf2/Nfkbil1/Nfkbia/Cd14/Pld1/Ptgs2/Ncf2/Optn/Mef2c/Lgals9/Alpk1/Trf/Cebpb/Cd52/Naaladl2/Gbp2/Gbp8/Plaat3/Rab29/Pdcd1lg2/Fam20a/Oas1c/Rgs1/Syt11/P2rx7/Eif2ak2/Zfp36/Ifi211/Trim12a/Gbp7/Mndal/Cxcl16/Serpinb9/Lilrb4a/Rnf213/Igtp/Trim12c/Trim30d/Irgm2/Stat1/Herc6/Slfn2/Cd80/Mx2/Gbp9/Trim30a/Il1b/Gbp6/Ifi204/Oas1a/Ly6a/Dhx58/Irgm1/Pde4b/Oas2/Oas3/S100a9/Ifit3/Ccdc80/Fcer1g/Cxcl10/Gbp3/Fabp4/Isg15/Ifit1/Usp18/S100a8/Ifi44/Lyz2"
"GO:0045088","BP","GO:0045088","regulation of innate immune response",136,-0.629270065388381,-2.35263562421917,1e-10,2.71083333333333e-08,2.38947368421053e-08,354,"tags=21%, list=3%, signal=21%","Trim56/Lgals9/Rnf135/Zbp1/Oas1c/Ccr1/Ifi211/Trim12a/Mndal/Stat2/Ifi35/Serpinb9/Ifi203/Igtp/Parp9/Trim12c/Trim30d/Trim30a/Parp14/Tyrobp/Ifi204/Oas1a/Dhx58/Irgm1/Irf7/Oas3/Cd74/Apoe/Isg15"
