"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",151,0.713776921250255,2.94507306242624,1e-10,1.19815789473684e-08,9.61495844875346e-09,870,"tags=53%, list=8%, signal=49%","Hba-a1/Gas2l3/E2f8/Depdc1b/Hba-a2/Cdk1/Aurkb/Aurka/Ncapd2/Kifc5b/Prr11/Top2a/Kif18b/Tubb6/Kif2c/Troap/Ube2c/Gtse1/Racgap1/Anln/Cdca2/Rrm2/Kif15/Gem/Nuf2/Foxm1/Spc25/Mybl2/Tpx2/Kif4/Tk1/Traip/Mad2l1/Fbxo5/Poc1a/Ncaph/Dsn1/Tacc3/Fancd2/Pimreg/Cdca3/Spag5/Knstrn/Nusap1/Ccnb2/Ccnb1/Melk/Parpbp/Bub1/Cenpu/Dlgap5/Ncapg2/Prc1/Esco2/Kif11/Ska3/Kif23/Blm/Ckap2l/Hmgn2/Cdca8/Plk4/Fanci/Kifc1/Ttk/Cenpa/Birc5/Espl1/Tent5c/Plk1/Arhgap19/Msh5/Pbk/Kif22/Arhgap11a/Kntc1/Hjurp/Mki67/Rad51ap1/Nek2"
"BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP","BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP","BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP",118,-0.760413822063182,-2.83024125265308,1e-10,1.19815789473684e-08,9.61495844875346e-09,1204,"tags=61%, list=11%, signal=55%","Erap1/Zeb2/Cd274/Pik3ap1/H2-M3/Plekha4/Nt5e/Nmi/Rgs2/Tgm2/Cd68/Samhd1/Otud1/Cd55/Epsti1/Znfx1/Pnpt1/Creb5/Irf1/Trim25/Traf1/Ifit2/Trim21/Egr1/Ncf2/Pla1a/Atf3/Glipr1/Helz2/Ifitm1/Gbp2/Parp10/Uba7/Irf9/Tmem140/Eif2ak2/Parp12/Ccl3/Ccl4/Sp100/Stat2/Rasgrf2/Rigi/Parp9/Dtx3l/Trim12c/Samd9l/Stat1/Herc6/Ube2l6/Slc15a3/Ifih1/Mx2/Parp14/Il1b/Bst2/Oas1a/Dhx58/Irf7/Ddx60/Xaf1/Oas2/Oas3/Ifit3/Mctp1/Ctss/Cxcl10/Gbp3/Rtp4/Usp18/Ifitm3/Ifi44"
"GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP",127,-0.746598307655667,-2.82794695735372,1e-10,1.19815789473684e-08,9.61495844875346e-09,542,"tags=40%, list=5%, signal=39%","Irf1/Txnip/Trim25/Resf1/Ifit2/Trim21/Dnajc27/Egf/Helz2/Zbp1/Gbp2/H2-T23/Ifi27/Fas/Gbp8/Kctd12/Uba7/Irf9/Tmem140/Trim34a/Kalrn/Eif2ak2/Parp12/Casd1/Gbp7/Mndal/Sp100/Ifi35/Igfbp7/Parp9/Trim12c/Irgm2/Stat1/Ifih1/Mx2/Gbp9/Parp14/Bst2/Ifi204/Oas1a/Irgm1/Irf7/Ddx60/Oas2/Ifit3/Cxcl10/Rtp4/Isg15/Ifit1/Usp18/Ifi44"
"XIE_ST_HSC_S1PR3_OE_UP","XIE_ST_HSC_S1PR3_OE_UP","XIE_ST_HSC_S1PR3_OE_UP",89,-0.794930075207574,-2.80751027556146,1e-10,1.19815789473684e-08,9.61495844875346e-09,508,"tags=55%, list=5%, signal=53%","Trim25/Ly6e/Ifit2/Vwa5a/Bambi/Bmf/Plek/Il1rn/Helz2/Cd52/Ifitm1/Gbp2/Ramp1/Ifi27/Parp10/Rgs1/Irf9/Kalrn/Eif2ak2/Spp1/Parp12/Ccl4/Ifi35/Rigi/Rnf213/Parp9/Dtx3l/Samd9l/Stat1/Herc6/Ifih1/Mx2/Hdac9/Pkdcc/Bst2/Oas1a/Dhx58/Irf7/Ddx60/Xaf1/Oas2/Oas3/Ifit3/Cxcl10/Rtp4/Isg15/Usp18/Ifitm3/Ifi44"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",142,-0.712816456954842,-2.72189090814027,1e-10,1.19815789473684e-08,9.61495844875346e-09,562,"tags=29%, list=5%, signal=28%","Ifngr1/Irf1/Trim25/Ifit2/Trim21/Egr1/Ifitm1/Gbp2/H2-T23/Ifi27/Gbp8/Uba7/Socs3/Irf9/Trim34a/Eif2ak2/H2-Q7/Gbp7/Sp100/Stat2/Ifi35/Rigi/Trim12c/Stat1/Ube2l6/Mx2/Gbp9/Bst2/Oas1a/Irf7/Xaf1/Oas2/Oas3/Ifit3/H2-Eb1/H2-Ab1/H2-Aa/Gbp3/Isg15/Usp18/Ifitm3"
"HECKER_IFNB1_TARGETS","HECKER_IFNB1_TARGETS","HECKER_IFNB1_TARGETS",42,-0.898124892457106,-2.72078880802956,1e-10,1.19815789473684e-08,9.61495844875346e-09,617,"tags=74%, list=6%, signal=70%","G0s2/Pnpt1/Ly6e/Ifit2/Egr1/Clu/Zbp1/Ifi27/Tmem140/Eif2ak2/Parp12/Ifi35/Rigi/Parp9/Dtx3l/Samd9l/Stat1/Herc6/Mx2/Oas1a/Dhx58/Irf7/Ddx60/Xaf1/Oas2/Oas3/Ifit3/Cxcl10/Rtp4/Isg15/Ifi44"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",266,0.602599452964052,2.69532488383935,1e-10,1.19815789473684e-08,9.61495844875346e-09,1960,"tags=52%, list=19%, signal=43%","Tff1/Slc7a5/Gas2l3/E2f8/Depdc1b/Cit/Cdk1/Aurkb/Aurka/Ncapd2/Kifc5b/Man1a/Prr11/Top2a/Kif2c/Troap/Ube2c/Gtse1/Racgap1/Anln/Cdca2/Rrm2/Zwilch/Fam83d/Slc26a2/Foxm1/Ncapg/Ticrr/Spc24/Mybl2/Clspn/Tpx2/Kif4/Rad54b/Tk1/Areg/Traip/Fbxo5/E2f2/Ncaph/Dsn1/Tacc3/Dnmt1/Rad18/Fancd2/Mybl1/Spag5/Knstrn/Nusap1/Impa2/Ccnb2/Knl1/Melk/Cenpi/Lig1/Bub1/Slc2a1/Cenpu/Dlgap5/Skp2/Ncaph2/Amz1/Ncapg2/Recql4/Prc1/Esco2/Kif11/Ska3/Kif23/Pkmyt1/Rad51/Blm/Rfc5/Mcm8/Plk4/Fanci/Kifc1/Ttk/Mis18a/Rrm1/Mcm2/Birc5/Espl1/Tent5c/Pclaf/Plk1/Pbk/Arhgap11a/Kntc1/Mki67/Asf1b/Stil/Wdhd1/Atad2/Incenp/Tcf19/Eps15l1/Brip1/Mcm5/Deptor/Rbl1/Nup107/Ggh/Smc2/Fanca/Mastl/Ncapd3/Pole2/Pcna/Tmpo/Brca2/E2f1/Gins2/Cdc45/Haus4/Cenpn/Mcm7/Iqgap3/Mtfr2/Cenpm/Trip13/Cbx5/Rab31/Vrk1/Ccne2/Gins1/Brca1/Cdca4/Bub1b/Dut/Cdca5/Rpa3/Wdr76/Cep55/Psmc3ip/Gmnn/Rad54l"
"BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP",162,-0.693362018489773,-2.68416092076497,1e-10,1.19815789473684e-08,9.61495844875346e-09,650,"tags=43%, list=6%, signal=41%","Adamts6/G0s2/Jun/Pnpt1/Rasgef1b/Creb5/Irf1/Txnip/Traf1/Ifit2/Trim21/Egr1/Nfkbia/Ptgs2/Pla1a/Klf9/Lgals9/Atf3/Klf10/Dusp1/Helz2/Bach2/Zbp1/Tnfrsf9/Ifitm1/Parp10/Synpo2/Pdcd1lg2/Nr4a3/Akap12/Tmem140/Eif2ak2/Zfp36/Parp12/Mmp13/Sp100/Stat2/Ifi35/Serpinb9/Rigi/Rnf213/Parp9/Dtx3l/Trim12c/Samd9l/Stat1/Ube2l6/Slc15a3/Ifih1/Mx2/Parp14/Hdac9/Il1b/Bst2/Oas1a/Dhx58/Irf7/Ddx60/Thbs1/Pde4b/Xaf1/Oas2/Oas3/Ifit3/Cxcl10/Gbp3/Rtp4/Isg15/Usp18/Ifi44"
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP",62,-0.810298905364841,-2.68391558964881,1e-10,1.19815789473684e-08,9.61495844875346e-09,537,"tags=47%, list=5%, signal=45%","Rexo2/Ly6e/Ifit2/Hs3st3b1/Ptgs2/Mef2c/Prkar2b/Ifitm1/Ifi27/Eif2ak2/Rigi/Rnf213/Stat1/Herc6/Ifih1/Mx2/Enpp2/Oas1a/Irf7/Ddx60/Thbs1/Xaf1/Oas2/Oas3/Ifit3/Auts2/Isg15/Usp18/Ifi44"
"DAUER_STAT3_TARGETS_DN","DAUER_STAT3_TARGETS_DN","DAUER_STAT3_TARGETS_DN",34,-0.910472248575652,-2.6743334819226,1e-10,1.19815789473684e-08,9.61495844875346e-09,222,"tags=56%, list=2%, signal=55%","Ifitm1/Ifi27/Parp12/Ifi35/Rigi/Trim12c/Stat1/Herc6/Ifih1/Mx2/Oas1a/Irf7/Ddx60/Oas2/Oas3/Ifit3/Isg15/Usp18/Ifi44"
