"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",99,0.749708974042337,2.63404498031169,1e-10,7.22888888888889e-08,6.36023391812866e-08,1541,"tags=73%, list=15%, signal=63%","Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl41/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Hba-a1/Rps16/Rps18/Rps11/Rpl18/Rpsa/Rpl26/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Rpl17/Rps3a1/Eif2a/Rps24/Rpl6/Rps27rt/Rpl10a/Rpl19/Rps9/Rps7/Rplp0"
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit",55,0.779743774701228,2.52601872514416,1e-10,7.22888888888889e-08,6.36023391812866e-08,1541,"tags=76%, list=15%, signal=66%","Rplp1/Rplp2/Uba52/Rpl41/Rpl35/Rpl31/Rpl32/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rpl36a/Rpl37/Rpl22/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rpl38/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rpl21/Rpl18/Rpl26/Rpl30/Rpl13/Rps12/Rpl5/Rpl17/Rpl6/Rpl10a/Rpl19/Rplp0"
"GO:0002181","BP","GO:0002181","cytoplasmic translation",135,0.62937405950891,2.30871459043093,1e-10,7.22888888888889e-08,6.36023391812866e-08,2027,"tags=59%, list=19%, signal=48%","Rps17/Rplp1/Rplp2/Uba52/Rps25/Rps15/Rpl41/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl22/Eif4ebp1/Rps28/Rps15a/Rpl14/Rpl24/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Dph5/Rpl21/Rps16/Rps18/Rps11/Rpl18/Rpsa/Rpl26/Aars/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Nck1/Fau/Rps6/Rpl17/Rps3a1/Rps24/Rpl6/Rpl10a/Rpl19/Rps9/Rps7/Rplp0/Rpl22l1/Csde1/Rps5/Rpl15/Ybx1/Rpl9/Dhx36/Rwdd1/Eif2s3x/Slbp"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",158,0.611736102574935,2.27279786991446,1e-10,7.22888888888889e-08,6.36023391812866e-08,1609,"tags=49%, list=15%, signal=42%","Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl41/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Rps16/Rps18/Rps11/Rpl18/Rpsa/Rpl26/Mrpl52/Gm2000/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Mrpl33/Rpl17/Rps3a1/Mrps21/Rps24/Rpl6/Mrps18c/Rps27rt/Rpl10a/Mrpl35/Rpl19/Rps9/Rps7/Rplp0/Rpl22l1/Mrps5"
"GO:0098797","CC","GO:0098797","plasma membrane protein complex",204,0.566604893553232,2.16243104906891,1e-10,7.22888888888889e-08,6.36023391812866e-08,907,"tags=22%, list=9%, signal=20%","Ighm/H2-Q6/Kcnq5/Dab2/Apbb1ip/Itgam/Syk/H2-Q4/Gnb5/Csf2/Chrna9/H2-Q7/Il12rb2/Pde4b/H2-K1/Ncf1/Itgb2/B2m/Kcnmb4/Cd247/Ncf2/Itgae/H2-D1/Itga4/Gngt2/Ptpn6/Csf2ra/Tfrc/Skap1/Itgb7/H2-M3/Grid2/Adam8/Cybb/Slc7a5/Itga11/Kcnab2/Il12rb1/Fcer1g/Catsperd/Eps8/Kcnk2/Gnb4/Cacna1a"
"GO:0009617","BP","GO:0009617","response to bacterium",314,0.518350459276832,2.05094592757184,1e-10,7.22888888888889e-08,6.36023391812866e-08,1123,"tags=25%, list=11%, signal=23%","Ighm/Casp4/Nlrp3/Gbp7/Il1b/Syk/Psmb9/Cxcl3/Lilrb4a/Nlrc5/Gbp2/Iigp1/Cxcl1/S100a9/Cd80/Trbc1/Il12rb2/Rgs1/Cxcl2/Pde4b/Mt2/H2-K1/Tnip3/Slpi/BC018473/Ncf1/Ptgs2/Adgrl2/Cd52/Ccl5/B2m/Arg2/Stap1/Ncf2/Cd274/Myo1f/Fkbp5/Il7r/Plcg2/Pde2a/AA467197/Tnfrsf1b/Fabp4/Lsm5/Nod1/P2rx7/H2-M3/Rpl13a/Ccdc80/Mef2c/Amy1/Gbp8/Nlrc3/Havcr2/Pglyrp1/Fam20a/Gas2l3/Hmgb2/Tap2/Spn/Ptpn22/Rpl39/Stab1/Emilin2/Fcer1g/S100a8/Gstp1/Rps19/Hba-a1/Tnfaip3/Nfkb1/Fuca2/Trac/Rpl30/Nod2/Gbp3/Fau/Cep192"
"GO:0002684","BP","GO:0002684","positive regulation of immune system process",491,0.469305654148031,1.88916696374902,1e-10,7.22888888888889e-08,6.36023391812866e-08,772,"tags=17%, list=7%, signal=17%","Ighm/H2-Q6/Casp4/Itgam/Nlrp3/Il1b/Syk/H2-Q4/Lilrb4a/Nlrc5/Cxcl1/Cd80/Tnfsf13b/Trbc1/Icam1/H2-Q7/Itk/Il12rb2/Fcho1/Pde4b/H2-K1/Csf1/Gpsm3/Itgb2/Pecam1/Ccl5/Rftn1/Ccdc88b/B2m/Laptm5/Ccl3/Ddx60/Ikzf1/Rac2/Cd101/Cd5/Cd247/Stap1/Fyn/Nr4a3/Prkcb/Myo1g/Cd274/Myo1f/Lat2/Prkch/H2-D1/Il7r/Itga4/Ptpn6/Ptprc/Plcg2/Evi2b/Coro1a/Ccr1/Ripor2/Tfrc/Skap1/Tnfrsf18/Nod1/P2rx7/H2-M3/Rgcc/Mef2c/Adam8/Zbtb46/Dapk2/Havcr2/Lck/Hmgb2/Tap2/Spn/Pram1/Lpxn/Il12rb1/Ptpn22/Gsdme/Vav3/Inpp5d/Blm/Fcer1g/Ppp3ca/Il2rg/Txk"
"GO:0005576","CC","GO:0005576","extracellular region",586,0.46317840089936,1.8780847158955,1e-10,7.22888888888889e-08,6.36023391812866e-08,1585,"tags=27%, list=15%, signal=24%","Ighm/Ctrb1/Try5/H2-Q6/Prss2/Casp4/Itgam/Ctla2a/Nlrp3/Nrg1/Gbp7/Il1b/Osm/H2-Q4/Il1r2/Xdh/Csf2/4930486L24Rik/Cxcl3/Ctla2b/Srgn/Ckm/Fgf13/Clstn1/Gbp2/Iigp1/Entpd1/Cxcl1/S100a9/Tnfsf13b/Trbc1/Icam1/H2-Q7/Ceacam16/Xylt1/Sema4d/Hpse/Cxcl2/H2-K1/Slpi/Csf1/Sorl1/Plat/Pecam1/Ccl5/B2m/Ccl3/Mical1/Rbm44/Tg/Col23a1/Cd274/Clec2g/H2bc18/H2-D1/Spon1/Itga4/Wnt5b/Pdzd2/Ndnf/Mmp13/Tfrc/Mtus2/Ccl4/a/Gstm5/Tnfrsf18/Serpinb1a/Ctss/H2-M3/Serpinc1/Ccdc80/S100a4/Amy1/Calu/Anpep/Gstm1/Procr/Abhd18/Havcr2/Pglyrp1/Fam20a/Hmgb2/Ska1/Spn/Cyth4/Txndc16/S100a13/Gars/Hmgn2/Gstm4/Rpl39/Metrn/Cela1/Crtap/Emilin2/Col20a1/S100a8/Iqcb1/Fam151b/Fabp5/S100a11/Tpx2/Tff1/Tulp3/Hba-a1/Nucb2/Tuft1/Hdgf/Fuca2/Glb1l/Kif23/Flt3l/Il15ra/Sod1/Apol8/Sema3c/Fas/Cdca8/Gbp3/Fau/Gcnt1/Pla2g12a/Cep55/Lrp8/Ccdc126/Fam83d/Adam15/Cd74/Rap2b/Kars/Ldlr/Il18bp/S100a10/Sema4b/Thbs1/Serpini1/Mif/Dand5/4930503L19Rik/Insl6/Txn1/Gbp9/Itga2b/Milr1/Plau/Pon3/Prc1/Aimp1/Sema4a/Ccl27a/F3/Arsg/Spata6/Gba/Edil3/Nrg4"
"GO:0006955","BP","GO:0006955","immune response",779,0.430271201910205,1.7537330976742,1e-10,7.22888888888889e-08,6.36023391812866e-08,690,"tags=14%, list=7%, signal=14%","Ighm/H2-Q6/Casp4/Apbb1ip/Itgam/Nlrp3/Gbp7/Il1b/Syk/Osm/H2-Q4/Csf2/4930486L24Rik/Cxcl3/Ccrl2/Lilrb4a/Nlrc5/Samsn1/Gbp2/Iigp1/Cxcl1/S100a9/Cd80/Tnfsf13b/Trbc1/Icam1/H2-Q7/Itk/Il12rb2/Fcho1/Cxcl2/Dock10/Pde4b/H2-K1/Tnip3/Slpi/Csf1/Ncf1/Tap1/Itgb2/Ccl5/Rftn1/Lcp1/B2m/Laptm5/Ccl3/Ddx60/Rac2/Arg2/Sp100/Cd247/Stap1/Fyn/Nr4a3/Prkcb/Myo1g/Cd274/Myo1f/Lat2/Prkch/H2-D1/Ifit2/Il7r/Il21r/Ptpn6/Ptprc/Plcg2/Coro1a/Tnfrsf1b/Ccr1/Pstpip1/Tfrc/Skap1/Ccl4/Camk4/Nod1/P2rx7/Serpinb1a/Ctss/H2-M3/Rpl13a/Tbkbp1/Rgcc/Mef2c/Adam8/Gbp8/Cybb/Rora/Dock2/Lst1/Nlrc3/Il20rb/Pou2f2/Havcr2/Pglyrp1/Lck/Hmgb2/Tap2/Spn/Pram1/Lpxn/Nlrx1/Il12rb1/Ptpn22/Gsdme/Vav3/Hmgn2/Inpp5d/Rpl39"
"GO:0002697","BP","GO:0002697","regulation of immune effector process",214,0.544402745859447,2.08797102636247,1.33777958179934e-10,8.05411059129638e-08,7.08629336409626e-08,641,"tags=18%, list=6%, signal=17%","Ighm/H2-Q6/Casp4/Itgam/Nlrp3/Il1b/Syk/H2-Q4/Lilrb4a/Cxcl1/H2-Q7/H2-K1/Ncf1/Tap1/Itgb2/B2m/Laptm5/Ddx60/Rac2/Stap1/Nr4a3/H2-D1/Il7r/Ptpn6/Ptprc/Plcg2/Tnfrsf1b/Tfrc/Nod1/P2rx7/H2-M3/Il20rb/Havcr2/Pglyrp1/Tap2/Spn/Pram1/Nlrx1/Ptpn22"
"GO:0050778","BP","GO:0050778","positive regulation of immune response",281,0.515748242737068,2.02908639762441,1.36174633421857e-10,8.05411059129638e-08,7.08629336409626e-08,656,"tags=18%, list=6%, signal=17%","Ighm/H2-Q6/Itgam/Nlrp3/Il1b/Syk/H2-Q4/Lilrb4a/Nlrc5/Tnfsf13b/Trbc1/H2-Q7/Itk/Fcho1/Pde4b/H2-K1/Itgb2/Rftn1/B2m/Laptm5/Cd247/Stap1/Fyn/Nr4a3/Prkcb/Myo1g/Cd274/Lat2/Prkch/H2-D1/Ptpn6/Ptprc/Plcg2/Tfrc/Skap1/P2rx7/H2-M3/Rgcc/Mef2c/Adam8/Havcr2/Lck/Hmgb2/Tap2/Pram1/Lpxn/Il12rb1/Ptpn22/Gsdme/Vav3"
"GO:0044391","CC","GO:0044391","ribosomal subunit",187,0.572273806779509,2.1624600334908,1.54604637253419e-10,8.38214808308953e-08,7.37491243319379e-08,1888,"tags=48%, list=18%, signal=40%","Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl41/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rps18-ps6/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Hba-a1/Rps16/Rps18/Rps11/Rpl18/Rpsa/Rpl26/Mrpl52/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Mrpl33/Rpl17/Rps3a1/Eif2a/Mrps21/Rps24/Rpl6/Mrps18c/Rps27rt/Rpl10a/Mrpl35/Rpl19/Rps9/Rps7/Rplp0/Nsun3/Mrps5/Mrpl53/Rps5/Rpl15/Rack1/Mrps33/Rps27l/Dap3/Rpl9/Mrpl48"
