"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_RIBOSOME","KEGG_RIBOSOME","KEGG_RIBOSOME",82,0.797492419955562,2.78030471061794,1e-10,1.75115384615385e-08,1.45060728744939e-08,1804,"tags=87%, list=17%, signal=72%","Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl35/Rpl31/Rpl32/Rps20/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Rps16/Rps18/Rps11/Rpl18/Rpsa/Rpl26/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Rpl17/Rps3a1/Rps24/Rpl6/Rpl10a/Rpl19/Rps9/Rps7/Rplp0/Rpl22l1/Rps5/Rpl15/Rps27l"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",86,0.795369777251402,2.77843509960088,1e-10,1.75115384615385e-08,1.45060728744939e-08,1804,"tags=86%, list=17%, signal=72%","Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Rps16/Rps18/Rps11/Rpl18/Rpsa/Rpl26/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Rpl17/Rps3a1/Rps24/Rpl6/Rpl10a/Rpl19/Rps9/Rps7/Rplp0/Rpl22l1/Eef1b2/Rps5/Eef1a1/Rpl15/Rps27l"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",84,0.792668246733681,2.75317944271411,1e-10,1.75115384615385e-08,1.45060728744939e-08,1759,"tags=85%, list=17%, signal=71%","Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Rps16/Rps18/Rps11/Rpl18/Rpsa/Rpl26/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Rpl17/Rps3a1/Rps24/Rpl6/Rpl10a/Rpl19/Rps9/Rps7/Rplp0/Rps6ka2/Rps5/Rpl15"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",106,0.760707554848769,2.71061201650898,1e-10,1.75115384615385e-08,1.45060728744939e-08,1588,"tags=71%, list=15%, signal=61%","Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Ssr3/Sec61g/Rps16/Rps18/Rps11/Sec61a1/Rpl18/Rpsa/Rpl26/Sec61b/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Rpl17/Rps3a1/Rps24/Rpl6/Rpn1/Rpl10a/Rpl19/Sec11c/Rps9/Rps7/Rplp0/Rpl22l1"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",94,0.761799118325901,2.68422698049704,1e-10,1.75115384615385e-08,1.45060728744939e-08,1588,"tags=76%, list=15%, signal=65%","Asns/Rps17/Impact/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Rps16/Rps18/Rps11/Rpl18/Rpsa/Rpl26/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Rpl17/Rps3a1/Rps24/Rpl6/Rpl10a/Rpl19/Rps9/Rps7/Rplp0/Rpl22l1"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",108,0.742557980097827,2.65062678620813,1e-10,1.75115384615385e-08,1.45060728744939e-08,2008,"tags=75%, list=19%, signal=61%","Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rnps1/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Rps16/Rps18/Rps11/Rpl18/Magohb/Rpsa/Rpl26/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Rpl17/Rps3a1/Rps24/Rpl6/Rpl10a/Rpl19/Rps9/Rps7/Rplp0/Rpl22l1/Smg5/Magoh/Upf3a/Rps5/Rpl15/Rps27l/Rpl9/Casc3/Rpl36al/Upf1"
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM",104,0.736826039414175,2.61886737611832,1e-10,1.75115384615385e-08,1.45060728744939e-08,1588,"tags=69%, list=15%, signal=59%","Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Papss2/Rps19/Rpl21/Rps16/Rps18/Rps11/Rpl18/Rpsa/Rpl26/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Rpl17/Rps3a1/Kars/Rps24/Rpl6/Rpl10a/Rpl19/Aimp1/Rps9/Rps7/Rplp0/Rpl22l1"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",114,0.729297426781999,2.61849758066233,1e-10,1.75115384615385e-08,1.45060728744939e-08,1804,"tags=66%, list=17%, signal=55%","Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Eif4ebp1/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Rps16/Rps18/Rps11/Rpl18/Rpsa/Rpl26/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Rpl17/Rps3a1/Rps24/Rpl6/Rpl10a/Rpl19/Rps9/Rps7/Rplp0/Rpl22l1/Eif3c/Rps5/Eif3g/Rpl15/Rps27l"
"BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",140,0.697862823767593,2.5631102790202,1e-10,1.75115384615385e-08,1.45060728744939e-08,2199,"tags=70%, list=21%, signal=56%","Fanci/Hrob/Foxm1/E2f8/Traip/Phgdh/Ncapg2/Mybl2/Kif15/Clspn/Plk4/Kif18b/Gins2/Anln/Pclaf/Ska1/Depdc1b/Pimreg/Mnd1/Vav3/Eme1/Ska3/Map3k12/Tk1/Cdca3/Blm/Cdc45/Uhrf1/Diaph3/Mtfr2/Sgo1/Rad51/Kifc5b/Brca1/Mcm2/Sfxn2/Neil3/Rrm2/Ccnb2/Cdca5/Asf1b/Prr11/Cdca2/Cdt1/Cit/Orc1/Mcm10/Spc25/Tcf19/Nuf2/Kif24/Aurka/Cdca8/Troap/Ccna2/Ncapg/Mcm4/Cep55/Cenpi/Fancb/Wdhd1/Pkmyt1/Kif4/Ncaph/Kifc1/Chtf18/Rad54l/Aurkb/Rhno1/Wdr76/Hjurp/Kif2c/Tacc3/Irag2/E2f1/Prim1/Prc1/Ccdc34/Zfp608/Nek2/Ttk/Xrcc2/Ube2c/Kif20a/Cenpe/Ercc6l/Birc5/Dhfr/Knl1/Nsd2/Cdc25c/Rbl1/Zfp395/Castor1/Atad5/Tedc2/Fads1/Wdr62"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",149,0.672149209907203,2.488480626159,1e-10,1.75115384615385e-08,1.45060728744939e-08,1691,"tags=54%, list=16%, signal=46%","Psmb8/Psmb9/Rps17/Rplp1/Rps27/Rplp2/Uba52/Rps25/Rps15/Rpl35/Rpl31/Rpl32/Rps20/Rps14/Rpl23a/Rpl34/Rpl13a/Rpl35a/Rpl12/Rpl36/Rpl18a/Rpl28/Rps21/Rpl36a/Rps26/Rps8/Rps23/Rpl37/Rpl22/Rps28/Rps15a/Rpl14/Rpl24/Rpl10/Rpl39/Rpl27a/Rpl27/Rps13/Rpl38/Rnps1/Rps29/Rpl29/Rpl11/Rpl4/Rpl37a/Rpl23/Rps19/Rpl21/Rps16/Rps18/Sem1/Elob/Rps11/Rpl18/Magohb/Rpsa/Rpl26/Rpl30/Rpl13/Rps27a/Rps10/Rps12/Rpl5/Fau/Rps6/Rpl17/Rps3a1/Psmb10/Rps24/Rpl6/Rpl10a/Rpl19/Rps9/Rps7/Rplp0/Rpl22l1/Psmd4/Magoh/Upf3a/Rps5"
