"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035456","BP","GO:0035456","response to interferon-beta",35,0.820273761845372,2.95830126949489,1e-10,1.18290909090909e-08,9.93301435406699e-09,1058,"tags=74%, list=10%, signal=67%","Oas1a/Ifit1/Gbp2/Ifit3/Ifi47/Xaf1/Ifitm3/Bst2/Ifi204/Oas1c/Igtp/Ifi203/Mndal/Irgm1/Ifi211/Gbp6/Ifitm2/Stat1/Cdc34/Ifitm1/Gbp7/Gbp3/Sting1/Ikbke/Irf1/Gm12185"
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta",29,0.81745054223004,2.82586807006992,1e-10,1.18290909090909e-08,9.93301435406699e-09,1058,"tags=72%, list=10%, signal=65%","Oas1a/Ifit1/Gbp2/Ifit3/Ifi47/Ifi204/Oas1c/Igtp/Ifi203/Mndal/Irgm1/Ifi211/Gbp6/Ifitm2/Stat1/Cdc34/Gbp7/Gbp3/Sting1/Irf1/Gm12185"
"GO:0009615","BP","GO:0009615","response to virus",225,0.555282498190599,2.81510673613096,1e-10,1.18290909090909e-08,9.93301435406699e-09,1435,"tags=38%, list=14%, signal=34%","Isg20/Irf7/Oas3/Isg15/Oas1a/Ifit1/Ifit3/Rtp4/Mx1/Ifi27l2a/Zbp1/Cxcl10/Ifitm3/Ifit3b/Trim30d/Bst2/Samhd1/Oasl1/Ddx60/Slfn8/Ifi204/Oas2/Oas1c/Igtp/Dhx58/Rigi/Oasl2/Ifit2/Irgm1/Trim30a/Pycard/Stat2/Ifih1/Tnf/Itch/Slfn9/Ptpn22/Mx2/Nmi/Irak3/Oas1b/Lgals9/Znfx1/Dtx3l/Trim12a/Ifitm2/Stat1/Eif2ak2/Zc3hav1/Ifitm1/Spn/Gbp7/Hif1a/Parp9/Ddit4/Tbk1/Map3k14/Il1b/Il12rb1/Rrp1b/Ticam1/Tgfb1/Trim25/Gpatch3/Sting1/Ikbke/Irf2/Mov10/Myd88/Apobec3/Il17ra/Bax/Riok3/Irf1/Rnasel/Trim12c/Aup1/Nlrp3/Pmaip1/Atg7/Bcl2l1/Pou2f2/Pml/Ercc6/Bcl3/Ifnar2"
"GO:0045071","BP","GO:0045071","negative regulation of viral genome replication",40,0.744531470042781,2.78585515413374,1e-10,1.18290909090909e-08,9.93301435406699e-09,991,"tags=65%, list=9%, signal=59%","Isg20/Oas3/Isg15/Oas1a/Resf1/Ifitm3/Bst2/Oasl1/Ifi204/Oas2/Oas1c/Oasl2/Parp10/Ifih1/Tnf/Oas1b/Znfx1/Ifitm2/Slpi/N4bp1/Eif2ak2/Zc3hav1/Ifitm1/Apobec3/Setdb1/Rnasel"
"GO:0032635","BP","GO:0032635","interleukin-6 production",84,0.639582469802072,2.77875670402749,1e-10,1.18290909090909e-08,9.93301435406699e-09,1857,"tags=65%, list=18%, signal=54%","Tlr4/Rigi/Trim30a/Pycard/Ifih1/Tnf/Il18/Ptpn22/Irak3/P2rx7/Lgals9/Lilrb4a/Havcr2/Ripk2/Nod2/Sphk2/Lilrb4b/Fcer1g/Gba/Cyba/Ptpn6/Il1b/Tyrobp/Grk2/Csk/Ticam1/Klf2/Cebpb/Myd88/Il17ra/Xbp1/Syk/Mbp/Nod1/Arrb2/Psen2/Tbc1d23/Il6ra/Arrb1/Plcg2/Pou2f2/Tmem106a/Inpp5d/Traf6/Cd47/Laptm5/App/Nlrx1/Arid5a/Tnfaip3/Zc3h12a/Unc93b1/Nlrc3/F2r/Mapkapk2"
"GO:0048525","BP","GO:0048525","negative regulation of viral process",71,0.66130762905239,2.77748229342108,1e-10,1.18290909090909e-08,9.93301435406699e-09,1037,"tags=49%, list=10%, signal=45%","Isg20/Oas3/Isg15/Oas1a/Ly6e/Resf1/Ifitm3/Trim30d/Bst2/Oasl1/Ifi204/Oas2/Oas1c/Oasl2/Parp10/Sp100/Trim30a/Ifih1/Tnf/Oas1b/Znfx1/Trim12a/Ifitm2/Stat1/Slpi/N4bp1/Eif2ak2/Zc3hav1/Ifitm1/Gsn/Trim25/Apobec3/Setdb1/Rnasel/Trim12c"
"GO:0001913","BP","GO:0001913","T cell mediated cytotoxicity",31,0.784946742628413,2.7739645475918,1e-10,1.18290909090909e-08,9.93301435406699e-09,1544,"tags=74%, list=15%, signal=64%","H2-Q6/H2-Q7/H2-T22/H2-T23/H2-T24/Il7r/H2-D1/P2rx7/Pnp/H2-K1/Tap2/B2m/H2-Q4/Raet1e/Ctsc/Stx11/Stx7/Rab27a/Cyrib/Cd1d1/Pvr/Ptprc/H2-M3"
"GO:0032675","BP","GO:0032675","regulation of interleukin-6 production",78,0.645539872133441,2.7648745314553,1e-10,1.18290909090909e-08,9.93301435406699e-09,1857,"tags=68%, list=18%, signal=56%","Tlr4/Rigi/Trim30a/Pycard/Ifih1/Tnf/Ptpn22/Irak3/P2rx7/Lgals9/Lilrb4a/Havcr2/Ripk2/Nod2/Sphk2/Lilrb4b/Fcer1g/Gba/Cyba/Ptpn6/Il1b/Tyrobp/Grk2/Csk/Ticam1/Klf2/Cebpb/Myd88/Il17ra/Xbp1/Syk/Mbp/Nod1/Arrb2/Tbc1d23/Il6ra/Arrb1/Plcg2/Pou2f2/Tmem106a/Inpp5d/Traf6/Cd47/Laptm5/App/Nlrx1/Arid5a/Tnfaip3/Zc3h12a/Unc93b1/Nlrc3/F2r/Mapkapk2"
"GO:0002221","BP","GO:0002221","pattern recognition receptor signaling pathway",111,0.608567144165114,2.76378902160003,1e-10,1.18290909090909e-08,9.93301435406699e-09,1963,"tags=54%, list=19%, signal=44%","Irf7/Oas3/Oas1a/Oasl1/Ddx60/Tlr4/Ifi35/Oas1c/Igtp/Dhx58/Rigi/Irgm1/Trim30a/Pycard/Ifih1/Ptpn22/Tnip3/Nmi/Irak3/Lgals9/Havcr2/Ripk2/Mapkapk3/Nod2/Flot1/Gps2/Zc3hav1/Cyba/Tnip1/Alpk1/Otulin/Ticam1/Gpatch3/Myd88/Riok3/Irf1/Irak2/Lyn/Slc15a3/Pik3ap1/Nfkbia/Nod1/Arrb2/Gramd4/Nlrp3/Lacc1/Plcg2/Cd14/App/Tifa/Nlrx1/Tnfaip3/Bcl10/Lrrfip2/Clpb/Unc93b1/Mapkapk2/Ninj1/Usp15/Peli1"
"GO:0051607","BP","GO:0051607","defense response to virus",189,0.559952504904125,2.75894412458096,1e-10,1.18290909090909e-08,9.93301435406699e-09,1037,"tags=33%, list=10%, signal=31%","Isg20/Irf7/Oas3/Isg15/Oas1a/Ifit1/Ifit3/Rtp4/Mx1/Zbp1/Cxcl10/Ifitm3/Ifit3b/Trim30d/Bst2/Samhd1/Oasl1/Ddx60/Slfn8/Ifi204/Oas2/Oas1c/Dhx58/Rigi/Oasl2/Ifit2/Trim30a/Pycard/Stat2/Ifih1/Itch/Slfn9/Ptpn22/Mx2/Oas1b/Znfx1/Dtx3l/Trim12a/Ifitm2/Stat1/Eif2ak2/Zc3hav1/Ifitm1/Spn/Gbp7/Parp9/Ddit4/Tbk1/Map3k14/Il1b/Il12rb1/Ticam1/Trim25/Gpatch3/Sting1/Irf2/Mov10/Myd88/Apobec3/Riok3/Irf1/Rnasel/Trim12c"
"GO:0140546","BP","GO:0140546","defense response to symbiont",189,0.559952504904125,2.75894412458096,1e-10,1.18290909090909e-08,9.93301435406699e-09,1037,"tags=33%, list=10%, signal=31%","Isg20/Irf7/Oas3/Isg15/Oas1a/Ifit1/Ifit3/Rtp4/Mx1/Zbp1/Cxcl10/Ifitm3/Ifit3b/Trim30d/Bst2/Samhd1/Oasl1/Ddx60/Slfn8/Ifi204/Oas2/Oas1c/Dhx58/Rigi/Oasl2/Ifit2/Trim30a/Pycard/Stat2/Ifih1/Itch/Slfn9/Ptpn22/Mx2/Oas1b/Znfx1/Dtx3l/Trim12a/Ifitm2/Stat1/Eif2ak2/Zc3hav1/Ifitm1/Spn/Gbp7/Parp9/Ddit4/Tbk1/Map3k14/Il1b/Il12rb1/Ticam1/Trim25/Gpatch3/Sting1/Irf2/Mov10/Myd88/Apobec3/Riok3/Irf1/Rnasel/Trim12c"
"GO:0001909","BP","GO:0001909","leukocyte mediated cytotoxicity",68,0.646304568863634,2.70707344346362,1e-10,1.18290909090909e-08,9.93301435406699e-09,1544,"tags=54%, list=15%, signal=47%","H2-Q6/H2-Q7/H2-T22/H2-T23/Il18/H2-T24/Coro1a/Il7r/H2-D1/P2rx7/Pnp/Lgals9/Tap1/Havcr2/H2-K1/Tap2/Stap1/B2m/H2-Q4/Raet1e/Ptpn6/Tyrobp/Ncf1/Itgam/Myd88/Ctsc/Stx11/Stx7/Rab27a/Arrb2/Cyrib/Clec2d/Fcgr3/Cd1d1/Pvr/Ptprc/H2-M3"
"GO:1903555","BP","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",103,0.598340067066894,2.69802539731332,1e-10,1.18290909090909e-08,9.93301435406699e-09,1934,"tags=59%, list=18%, signal=49%","Oas3/Oas1a/Tlr4/Oas2/Oas1c/Rigi/Tspo/Trim30a/Pycard/Ifih1/Arg2/Il18/Ptpn22/Irak3/Lgals9/Lilrb4a/Havcr2/Ripk2/Nod2/Sphk2/Lilrb4b/Thbs1/Fcer1g/Ccl3/Spn/Cd274/Ccl4/Cyba/Ptpn6/Gpr18/Tyrobp/Adam8/Ticam1/Myd88/Gstp1/Syk/Nod1/Arrb2/Tbc1d23/Ptger4/Plcg2/Cd14/Tmem106a/Fcgr3/Bcl3/Cd47/Jak2/App/Hspb1/Ptprc/Zfp36/Arid5a/Pik3r1/Rara/Tnfaip3/Zc3h12a/Lrrfip2/Nlrc3/Mapkapk2/Psen1/Ptprj"
"GO:0009617","BP","GO:0009617","response to bacterium",314,0.504997336738975,2.67801388127847,1e-10,1.18290909090909e-08,9.93301435406699e-09,1857,"tags=46%, list=18%, signal=39%","Ly6a/Plac8/Oas3/Isg15/Oas1a/Ifi44/Ifit1/Gbp2/Usp18/Ifit3/AA467197/Resf1/Cxcl10/Trim30d/Tlr4/Ifi204/Oas2/Oas1c/Igtp/Dhx58/Cxcl3/Rnf213/Slfn2/Cxcl2/Mndal/Irgm1/Ifi211/Cd52/Trim30a/Pycard/Il12rb2/Tnf/Herc6/Arg2/Il18/Gbp6/Psmb9/Ptpn22/Il7r/Mx2/Tnip3/Irak3/P2rx7/Lgals9/Lilrb4a/Hba-a2/Havcr2/Znfx1/H2-K1/Ripk2/Tap2/Stap1/B2m/Mapkapk3/Trim12a/Gch1/Nod2/Naip6/Hba-a1/Noct/Stat1/Slpi/Fcer1g/Eif2ak2/Ptgs2/Cd80/Spn/Nfkbib/Emilin2/Gbp7/Gpx1/Cd274/Cflar/Tbk1/Cyba/Naip2/Tnip1/Gbp9/Gbp3/Ccdc80/Il1b/Ncf1/Alpk1/Malt1/BC018473/Ticam1/Tgfb1/Chd7/Cebpb/Myd88/Gstp1/Irak2/Ncf2/Trim12c/Xbp1/Syk/Lyn/Nlrc5/Fam20a/Litaf/Prkcd/Nfkbia/Nod1/Mt2/Nlrp3/Cyrib/Grn/Casp4/Ptger4/Gsdmd/Plcg2/Pdcd1lg2/Cd14/Traf6/Bcl3/Cd47/Jak2/App/Sharpin/Sbno2/Gbp8/H2-M3/Zfp36/Sirt2/Arid5a/Pde4b/Rara/Rps19/Tnfaip3/Rbck1/Zc3h12a/Fkbp5/Tnfrsf1b/Fuca2/Irgm2/Ccl5/Bcl10/Nfkb1/Rpl39/Nlrc3/Hmgb2/Lyst/F2r/Mapkapk2"
"GO:0032680","BP","GO:0032680","regulation of tumor necrosis factor production",101,0.592919795219392,2.65839297761473,1e-10,1.18290909090909e-08,9.93301435406699e-09,1934,"tags=58%, list=18%, signal=48%","Oas3/Oas1a/Tlr4/Oas2/Oas1c/Rigi/Tspo/Trim30a/Pycard/Ifih1/Arg2/Il18/Ptpn22/Irak3/Lgals9/Lilrb4a/Havcr2/Ripk2/Nod2/Sphk2/Lilrb4b/Thbs1/Fcer1g/Ccl3/Spn/Ccl4/Cyba/Ptpn6/Gpr18/Tyrobp/Ticam1/Myd88/Gstp1/Syk/Nod1/Arrb2/Tbc1d23/Ptger4/Plcg2/Cd14/Tmem106a/Fcgr3/Bcl3/Cd47/Jak2/App/Hspb1/Ptprc/Zfp36/Arid5a/Pik3r1/Rara/Tnfaip3/Zc3h12a/Lrrfip2/Nlrc3/Mapkapk2/Psen1/Ptprj"
"GO:0071706","BP","GO:0071706","tumor necrosis factor superfamily cytokine production",108,0.584764677190956,2.6458203876006,1e-10,1.18290909090909e-08,9.93301435406699e-09,1934,"tags=57%, list=18%, signal=47%","Oas3/Oas1a/Tlr4/Oas2/Oas1c/Rigi/Tspo/Trim30a/Pycard/Ifih1/Arg2/Il18/Ptpn22/Irak3/Lgals9/Lilrb4a/Havcr2/Ripk2/Nod2/Sphk2/Lilrb4b/Thbs1/Fcer1g/Ccl3/Spn/Cd274/Ccl4/Cyba/Ptpn6/Gpr18/Tyrobp/Adam8/Ticam1/Myd88/Gstp1/Syk/Nod1/Arrb2/Psen2/Tbc1d23/Ptger4/Plcg2/Cd14/Tmem106a/Fcgr3/Bcl3/Cd47/Jak2/App/Hspb1/Ptprc/Zfp36/Arid5a/Pik3r1/Rara/Tnfaip3/Zc3h12a/Lrrfip2/Nlrc3/Mapkapk2/Psen1/Ptprj"
