"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP","BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP","BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP",118,0.739334735054299,3.44172902066973,1e-10,9.106e-09,7.59368421052632e-09,1266,"tags=64%, list=12%, signal=57%","Irf7/Oas3/Ube2l6/Oas1a/Ifi44/Gbp2/Usp18/Ifit3/Rtp4/Cxcl10/Xaf1/Ifitm3/Bst2/Samhd1/Oasl1/Ddx60/Oas2/Dhx58/Rigi/Parp10/Sp100/Helz2/Ifit2/Crybg1/Samd9l/Sp140/Stat2/Ifih1/Herc6/Traf1/Parp12/Mx2/Nmi/Uba7/Parp14/Tap1/Znfx1/Dtx3l/Tap2/Pla1a/B2m/Xdh/Noct/Stat1/Il15ra/Batf2/Eif2ak2/Zc3hav1/Ifitm1/Ccl3/Epsti1/Irf9/Plaur/Cd274/Ccl4/Parp9/Raet1e/Mxd1/Tgm2/Gbp3/Il1b/Ctss/Creb5/Trim25/Ppp1r15a/Irf1/Ncf2/Trim12c/Nlrc5/Slc15a3/Zeb2/Pik3ap1/Pmaip1/Ptger4/Mcl1"
"MARKEY_RB1_ACUTE_LOF_DN","MARKEY_RB1_ACUTE_LOF_DN","MARKEY_RB1_ACUTE_LOF_DN",167,0.667822049451575,3.24813112808469,1e-10,9.106e-09,7.59368421052632e-09,1923,"tags=61%, list=18%, signal=51%","Isg20/Irf7/Plac8/Isg15/Ube2l6/Ifit1/Gbp2/Usp18/Ifit3/Ifi27l2a/Cxcl10/H2-Q7/Ifi35/Sp100/Ifit2/Cxcl2/Irgm1/Psmb8/Cd52/Msrb1/Psme2/Mkrn1/Prdx5/H2-T23/Ifih1/Daxx/Napsa/Lst1/Psmb9/Psmb10/Il7r/Grina/H2-D1/Uba7/Selplg/Tap1/Tapbp/Znfx1/Rac2/Il18bp/Uck2/Nupr1/Pfkp/Xdh/Glrx/Plin2/Rtf2/Lilrb4b/Stat1/Cfp/Ctse/Srgn/Ccl3/Gba/Irf9/Gbp7/Ccl4/Gmfg/Fndc3a/Ube2a/Ptpn6/Ddit3/Tor3a/Lgals3bp/Gbp3/Tyrobp/Sod2/Ncf1/Itgb2/Itgam/Adam8/Smpdl3a/Csf2ra/Rnf34/Ccr1/Lcp1/Retreg1/Ncf2/Trim12c/Mt1/Mt2/Fermt3/Grn/Casp4/Evi2a/App/Ptprc/Plekho1/Pla2g7/Iqgap1/Nampt/Skap2/Irgm2/Ccl5/Lat2/Pcyt1a/Ctsz/Bhlhe40/Sat1/Rab8b/Sap30/Ddx3y"
"BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP","BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP","BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP",60,0.786730696559196,3.23751425257668,1e-10,9.106e-09,7.59368421052632e-09,1009,"tags=65%, list=10%, signal=59%","Plac8/Oas3/Isg15/Oas1a/Ifit3/Rtp4/Zbp1/Cxcl10/Ifitm3/Oas2/Ifit2/Alox5ap/Samd9l/Il2rg/Sp140/Tnf/Map2k6/Mx2/Stap1/Gch1/Ifitm2/Hba-a1/Fcer1g/Pstpip2/Eif2ak2/Srgn/Ifitm1/Epsti1/S100a11/Cd53/Ccl4/Mxd1/Tyrobp/Rbp4/Dok3/Il1rn/Lcp1/Apbb1ip/Hsh2d"
"SANA_RESPONSE_TO_IFNG_UP","SANA_RESPONSE_TO_IFNG_UP","SANA_RESPONSE_TO_IFNG_UP",45,0.820694540496296,3.17431574473377,1e-10,9.106e-09,7.59368421052632e-09,696,"tags=62%, list=7%, signal=58%","Ube2l6/Oas1a/Gbp2/Cxcl10/Bst2/H2-Q7/Samhd1/Ddx60/Ifi35/Oas2/Rnf213/Golm1/Samd9l/H2-T23/Ifih1/Mx2/H2-D1/Parp14/Lgals9/Dtx3l/Il18bp/Pla1a/Stat1/Batf2/Cd274/Parp9/Lgals3bp/Gbp3"
"HECKER_IFNB1_TARGETS","HECKER_IFNB1_TARGETS","HECKER_IFNB1_TARGETS",42,0.822322281403422,3.1536188749223,1e-10,9.106e-09,7.59368421052632e-09,685,"tags=69%, list=6%, signal=65%","Irf7/Oas3/Isg15/Oas1a/Ifi44/Ifit3/Rtp4/Ly6e/Zbp1/Cxcl10/Xaf1/Oasl1/Ddx60/Ifi35/Oas2/Dhx58/Rigi/Ifit2/Samd9l/Herc6/Parp12/Mx2/Dtx3l/Stap1/Stat1/Eif2ak2/Epsti1/Parp9/Lgals3bp"
"BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP","BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP","BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP",147,0.65298546921124,3.12659339405467,1e-10,9.106e-09,7.59368421052632e-09,1317,"tags=56%, list=12%, signal=50%","Irf7/Oas3/Ube2l6/Oas1a/Ifi44/Gbp2/Usp18/Ifit3/AA467197/Cxcl10/Xaf1/Bst2/Samhd1/Oasl1/Ddx60/Dhx58/Rigi/Cxcl3/Parp10/Sp100/Helz2/Ifit2/Cxcl2/Vdr/Crybg1/Samd9l/Gpat3/Sp140/Stat2/Ifih1/Tnf/Herc6/Arg2/Traf1/Parp12/Il7r/Mx2/Tnip3/Uba7/Selplg/Parp14/Tap1/Znfx1/Dtx3l/B2m/Xdh/Adgre5/Stat1/Il15ra/Batf2/Zc3hav1/Ifitm1/Ccl3/Plaur/Cd274/Ccl4/Parp9/Raet1e/Mxd1/Tgm2/Icam1/Gbp3/Il1b/Sod2/Ctss/Chst11/Creb5/Ppp1r15a/St3gal1/Lcp1/Irf1/Irak2/Ncf2/Stx11/Gk/Nlrc5/Strip2/Nfkbiz/Pmaip1/Ptger4/Lacc1/Pou2f2"
"BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP",162,0.642074352696698,3.12506618311588,1e-10,9.106e-09,7.59368421052632e-09,1320,"tags=52%, list=12%, signal=46%","Isg20/Irf7/Oas3/Isg15/Ube2l6/Oas1a/Ifi44/Usp18/Ifit3/Rtp4/Zbp1/Cxcl10/Xaf1/Bst2/Samhd1/Oasl1/Ddx60/Ifi35/Oas2/Dhx58/Rigi/Rnf213/Parp10/Sp100/Helz2/Ifit2/Cxcl2/Samd9l/Stat2/Ifih1/Tnf/Traf1/Lst1/Parp12/Mx2/Parp14/Lgals9/Tap1/Znfx1/Dtx3l/Spry2/Nupr1/Pla1a/Nod2/Ifitm2/Csrnp1/Noct/Thbs1/Stat1/Il15ra/Batf2/Eif2ak2/Ptgs2/Zc3hav1/Ifitm1/Epsti1/Cd274/Parp9/Raet1e/Icam1/Gbp3/Il1b/Per1/Itgam/Creb5/Cyth4/Ppp1r15a/Irf1/Dusp1/Hsh2d/Irak2/Stx11/Trim12c/Nlrc5/Slc15a3/H1f3/Zeb2/Nfkbia/Mt2/Nlrp3/Pmaip1/Ptger4/Pdcd1lg2/Pml"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",47,0.792163154629684,3.09847181102237,1e-10,9.106e-09,7.59368421052632e-09,991,"tags=68%, list=9%, signal=62%","Isg20/Irf7/Oas3/Isg15/Oas1a/Gbp2/Usp18/Ifit3/Xaf1/Ifitm3/Bst2/H2-Q7/Samhd1/Oasl1/Ifi35/Oas2/Ifit2/Psmb8/Socs1/H2-T23/Stat2/Mx2/H2-D1/Ifitm2/Stat1/Ifitm1/Irf9/Ptpn6/Ptpn1/Irf2/Irf1/Rnasel"
"ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP","ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP","ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP",85,0.704835665395222,3.08223248942998,1e-10,9.106e-09,7.59368421052632e-09,1209,"tags=59%, list=11%, signal=53%","Irf7/Plac8/Isg15/Ifit1/Gbp2/Usp18/Ifit3/Cxcl10/Samhd1/Ifi204/Ifi35/Tmsb10/Mndal/Irgm1/Crybg1/Psmb8/Psme1/Socs1/Psme2/Shisa5/Atp11a/Psmb9/Psmb10/Uba7/Tap1/Tapbp/Il18bp/Tap2/Xdh/Lilrb4b/Flot1/Stat1/N4bp1/Cd53/Gbp7/Icam1/Cyba/Lgals3bp/Gbp3/Tyrobp/Ctss/Ptpn1/Fas/Il1rn/Irf1/Clic1/Litaf/Nfkbia/Mt1/Nfkbiz"
"BROWNE_INTERFERON_RESPONSIVE_GENES","BROWNE_INTERFERON_RESPONSIVE_GENES","BROWNE_INTERFERON_RESPONSIVE_GENES",45,0.793155643590262,3.06779967848997,1e-10,9.106e-09,7.59368421052632e-09,522,"tags=58%, list=5%, signal=55%","Isg20/Irf7/Isg15/Ube2l6/Oas1a/Ifi44/Gbp2/Ifit3/Cxcl10/Xaf1/Bst2/Samhd1/Oasl1/Ifi35/Oas2/Sp100/Ifit2/Psmb8/Psmb9/Mx2/Nmi/Tap1/Gch1/Stat1/Il15ra/Eif2ak2"
