"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.743640366942964,3.58702434759152,1e-10,1.66666666666667e-09,1.19298245614035e-09,1807,"tags=72%, list=17%, signal=61%","Isg20/Irf7/Oas3/Isg15/Ube2l6/Ifi44/Usp18/Ifit3/Rtp4/Ly6e/Zbp1/Cxcl10/Xaf1/Ifitm3/Bst2/H2-Q7/Upp1/Samhd1/Oasl1/Ddx60/Ifi35/Itgb7/Oas2/Dhx58/Rigi/Rnf213/Helz2/Ifit2/Psmb8/Psme1/Samd9l/Socs1/Psme2/Stat2/Ifih1/Herc6/Psmb9/Psmb10/Parp12/Mx2/Nmi/H2-D1/Parp14/Tap1/Tapbp/Znfx1/Il18bp/Ripk2/Trafd1/B2m/Pfkp/Gch1/Ifitm2/Stat1/Il15ra/Batf2/Eif2ak2/Mvp/Ptgs2/Epsti1/Irf9/Hif1a/Cd274/Ogfr/Icam1/Ptpn6/Lgals3bp/Gpr18/Gbp9/Gbp3/Sod2/Ptpn1/Cmtr1/Sppl2a/Fas/Pim1/Trim25/Cdkn1a/Irf2/Myd88/Irf1/Nlrc5/Arid5b/Nfkbia/Nod1/Ifi30/Btg1/Mt2/Casp4/Pml/Casp8/Ifnar2/Jak2/Trim14/Gbp8/H2-M3/Lats2/Pde4b/Ptpn2/Tnfaip3/Rbck1/Nampt/H2-DMa/Ccl5/Nfkb1/Wars1/Pla2g4a/Isoc1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.80787381605561,3.48825098133793,1e-10,1.66666666666667e-09,1.19298245614035e-09,1037,"tags=67%, list=10%, signal=61%","Isg20/Irf7/Isg15/Ube2l6/Oas1a/Ifi44/Gbp2/Usp18/Ifit3/Rtp4/Ly6e/Cxcl10/Ifitm3/Bst2/H2-Q7/Oasl1/Ddx60/Ifi35/Dhx58/Helz2/Ifit2/Cnp/Psmb8/Psme1/Samd9l/Psme2/Stat2/Ifih1/Herc6/Psmb9/Parp12/Mx2/Nmi/Uba7/Parp14/Tap1/Ripk2/Trafd1/B2m/Ifitm2/Batf2/Eif2ak2/Ifitm1/Epsti1/Irf9/Parp9/Ogfr/Lgals3bp/Gbp3/Cmtr1/Ccrl2/Trim25/Irf2/Mov10/Irf1/Trim12c"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",112,0.555193936798455,2.5611066110244,1e-10,1.66666666666667e-09,1.19298245614035e-09,2064,"tags=55%, list=20%, signal=45%","Irf7/Gbp2/H2-Q7/Capg/Socs1/Il2rg/H2-T23/Tnf/Il18/Psmb10/Ccnd2/Tap1/Map4k1/Tapbp/Ripk2/Tap2/B2m/Eif3j2/Ccnd3/Stat1/Cfp/Srgn/Cd80/Timp1/Hif1a/Ccl4/Icam1/Ptpn6/Il1b/Itgal/Ctss/Itgb2/Ikbkb/Il12rb1/Fas/Csk/Tgfb1/Ccr1/Lyn/Acvr2a/Nlrp3/Cd1d1/Bcl3/Cd47/Ifnar2/Jak2/Eif5a/Ptprc/Degs1/H2-M3/Rps19/H2-DMb1/H2-DMa/Ccl5/Bcl10/Rpl39/Wars1/F2r/Fyb/Rps9/Eif4g3/Il4ra"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,0.462080362022838,2.23594991942954,1.79029533179948e-09,2.23786916474935e-08,1.60184319161006e-08,2623,"tags=54%, list=25%, signal=41%","Cxcl10/Rigi/Cxcl3/Clcf1/Areg/Ifit2/Cxcl2/Edn1/Ifih1/Tnf/Il18/Traf1/Il7r/Tap1/Slc2a6/Ier3/Ripk2/Gch1/Il15ra/Ptgs2/Cd80/Plaur/Ccl4/Dram1/Mxd1/Cflar/Icam1/Tnip1/Il1b/Sod2/Per1/Ccrl2/Cd44/Klf2/Nfil3/Cebpb/Cdkn1a/Plk2/Ehd1/Ppp1r15a/Nfkbie/Irf1/Kdm6b/Dusp1/Relb/Litaf/Rel/Nfkbia/Btg1/Ets2/Ptger4/Mcl1/Gadd45b/Bcl3/Zfp36/Pde4b/Dusp5/Tnfaip3/Zc3h12a/Map3k8/Nampt/Birc3/Ccl5/Nfkb1/Klf6/Bhlhe40/Nfe2l2/Sat1/Ninj1/G0s2/Rnf19b/Dusp2/Dennd5a/Tnfaip2/Sdc4/Cxcl1/Tgif1/Sgk1/Nfat5/Btg2/Ier5/Fos/Tiparp/Fosl2/Tank/Ccnl1/Tnfsf9/Sik1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",62,0.555930718605467,2.25527715298282,8.69129045288529e-07,7.24274204407108e-06,5.18427851575614e-06,2498,"tags=71%, list=24%, signal=55%","Cxcl10/Il3ra/Cxcl3/Cxcl2/Socs1/Il2rg/Stat2/Tnf/Bak1/Stat1/Il15ra/Irf9/Crlf2/Il1b/Il13ra1/Il1r2/Ptpn1/Il12rb1/Fas/Csf2ra/Cd44/Tgfb1/Pim1/Myd88/Il17ra/Ccr1/Irf1/Itga4/Pik3r5/Tyk2/Cd14/Ptpn2/Map3k8/Tnfrsf1b/Tnfrsf12a/Il4ra/Tnfrsf1a/Cxcl1/Ifngr1/Cd38/Grb2/Ltb/Ifnar1/Acvr1b"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",101,0.472827856906593,2.13004310124381,8.23220105556723e-07,7.24274204407108e-06,5.18427851575614e-06,1796,"tags=50%, list=17%, signal=41%","Irf7/Rtp4/Ly6e/Cxcl10/Bst2/Edn1/Osm/Il18/Il7r/Nmi/P2rx7/Tapbp/Ripk2/Gch1/Nod2/Slc31a2/Emp3/Il15ra/Eif2ak2/Ifitm1/Plaur/Timp1/Hif1a/Rhog/Cybb/Mxd1/Icam1/Il1b/Ccrl2/Cdkn1a/Irf1/Irak2/Lyn/Pik3r5/Acvr2a/Nfkbia/Nlrp3/Ptger4/Cd14/Pvr/Sgms2/Pde4b/Gpr132/Nampt/Tnfrsf1b/Ccl5/Nfkb1/P2rx4/Sema4d/Klf6"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",119,0.372999493600131,1.73567916046784,0.000445454524454394,0.0031818180318171,0.00227751185435329,1916,"tags=38%, list=18%, signal=31%","Isg20/Ifitm3/Tspo/Tnf/Il18/Satb1/Ccnd2/Tap1/Ier3/Bcl2l11/Gch1/Nedd9/Timp1/Gpx1/Cflar/Ddit3/Il1b/Madd/Sod2/Gsn/Lgals3/Fas/Cd44/Cdkn1a/Bax/Irf1/Rnasel/Psen2/Pmaip1/Casp4/Mcl1/Bcl2l1/Cd14/Casp8/Gadd45b/App/Hspb1/Rara/Birc3/Bcl10/Hmgb2/F2r/Sat1/Psen1/Tnfrsf12a"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",160,0.338382480076218,1.63850311932422,0.000521775359322399,0.00326109599576499,0.00233425818644231,2590,"tags=42%, list=24%, signal=32%","Upp1/S100a4/Vdr/Socs1/Ccnd2/S100a10/Tap1/Ier3/Trafd1/Nupr1/Mapkapk3/Bak1/Ccnd3/Def6/Rrad/Dram1/Mxd1/Ddit4/Ddit3/Plk3/Cdk5r1/Fas/Tgfb1/Cdkn1a/Slc7a11/Plk2/Ppp1r15a/Bax/Ercc5/Apaf1/Fuca1/Ifi30/Btg1/Cyfip2/Tprkb/Fgf13/Ccng1/App/H2aj/Rpl36/Aen/Mknk2/Vwa5a/Rhbdf2/Rps27l/Rpl18/Irag2/F2r/Sat1/Ninj1/Cgrrf1/Rnf19b/H1f2/Ccp110/Rps12/Iscu/Gm2a/Slc3a2/Btg2/Sesn1/Zfp36l1/Ier5/Fos/Acvr1b/Dcxr/Tnfsf9/Vamp8"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",119,0.34922350001123,1.62504229017784,0.00200961157987588,0.0111645087770882,0.00799143786149473,2405,"tags=44%, list=23%, signal=34%","Irf7/Cxcl3/Car2/Cxcl2/Msrb1/Psmb9/Atox1/Fcer1g/Plaur/Timp1/Dock10/Rhog/Ctss/Cd46/Itgam/Lgals3/Cdk5r1/Pim1/Cebpb/Gnai2/Lamp2/Irf2/Ehd1/Irf1/Calm1/Ctsc/Lyn/Pik3r5/Gngt2/Prkcd/Casp4/Ppp4c/Pfn1/Lrp1/Jak2/Fyn/Gnb2/Dusp5/Pla2g7/Tnfaip3/Ccl5/Pla2g4a/Psen1/Usp15/Cxcl1/Prcp/Calm3/Sh2b3/Stx4a/Cblb/Dock4/Grb2"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",107,0.359474148366394,1.64853609199682,0.00251993513794289,0.0125996756897144,0.00901871523053245,2104,"tags=40%, list=20%, signal=33%","Cxcl10/Car2/Psmb8/Il2rg/Traf1/Satb1/Il7r/Ccnd2/Map4k1/Spry2/Glrx/Spon1/Slpi/Fcer1g/Ptgs2/Plaur/Il1b/Hsd11b1/Ctss/Itgb2/Rbp4/Adam8/Csf2ra/Spp1/Ppp1r15a/Lcp1/Map7/Fuca1/Cdadc1/Ikzf1/Pdcd1lg2/Dock2/Laptm5/Tnfaip3/Vwa5a/Birc3/Tnfrsf1b/Lat2/G0s2/Bpgm/Nin/Akt2/Tspan13"
