"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,-0.641050394648659,-3.07335474760395,1e-10,1.66666666666667e-09,1.2280701754386e-09,744,"tags=36%, list=7%, signal=34%","Tmpo/Plk1/Chek2/E2f8/Mybl2/Dut/Dlgap5/Espl1/Ccp110/Pold2/H2ax/Tipin/Cks1b/Mcm3/Wdr90/Rpa1/Cdc25b/Pole/Mcm7/Ccne1/Gins3/Hells/Atad2/Mad2l1/Ccnb2/Ube2t/Psmc3ip/Plk4/Bard1/Mcm2/Bub1b/Tk1/Spc25/Tacc3/Brca2/Cenpm/Aurkb/Mki67/Mcm6/Spc24/Mcm5/Trip13/Stmn1/Cdca8/Kif2c/Cenpe/Asf1b/Mms22l/Birc5/Ncapd2/Cdk1/Tcf19/Cdc20/Brca1/Spag5/Racgap1/Top2a/Cdkn2c/Rrm2/Cdca3/Depdc1a/Rad51ap1/Diaph3/Kif4/Melk/Cit/Hmmr/Mxd3/Kif22/Kif18b/Dscc1"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,-0.626946675055817,-2.97996668823324,1e-10,1.66666666666667e-09,1.2280701754386e-09,1425,"tags=41%, list=13%, signal=36%","Ndc80/Meis1/Cdkn3/Mapk14/Prim2/Nup98/Dr1/Uck2/Fancc/Troap/Ccnf/E2f1/Hmgb3/Incenp/Cenpa/Cdc7/Chaf1a/Tmpo/Plk1/Mybl2/Rbl1/Slc38a1/Espl1/E2f2/Stil/H2ax/Cks1b/Mcm3/Egf/Cdc25b/Pole/Nek2/Foxn3/Mad2l1/Ccnb2/Plk4/Cdc45/Bard1/Mcm2/Tacc3/Brca2/Aurkb/Kif23/Mki67/Mcm6/Mcm5/Stmn1/Traip/Prc1/Kif2c/Cenpe/Kif20b/Knl1/Birc5/Cdk1/Ube2c/Cdc20/Smc2/Cenpf/Racgap1/Top2a/Tpx2/Bub1/Cdc6/Cdkn2c/Rad54l/Nusap1/Polq/Kif4/Exo1/Ttk/Hmmr/Fbxo5/Pbk/Kif15/Ccna2/Kif22/Kif11"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",180,-0.47772331300616,-2.26150086965334,1e-10,1.66666666666667e-09,1.2280701754386e-09,937,"tags=25%, list=9%, signal=23%","Incenp/Dock2/Cdk5rap2/Kif3c/Akap13/Epb41l2/Myo1e/Dock4/Plk1/Prex1/Nedd9/Cep72/Dlgap5/Plekhg2/Espl1/Alms1/Epb41/Stk38l/Tubgcp5/Nek2/Ccnb2/Brca2/Fscn1/Kif23/Ssh2/Prc1/Kif2c/Cenpe/Kif20b/Birc5/Cdk1/Cenpf/Racgap1/Top2a/Tpx2/Bub1/Nusap1/Kif4/Anln/Ttk/Fbxo5/Ect2/Kif15/Kif22/Kif11"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",194,0.376485915050384,1.8241435301825,3.1224313422608e-06,3.903039177826e-05,2.8759236047139e-05,3659,"tags=51%, list=35%, signal=34%","Mrps22/Timm8b/Eci1/Hsd17b10/Ndufv1/Tomm22/Grpel1/Timm17a/Mrpl35/Vdac3/Cycs/Por/Timm10/Surf1/Polr2f/Idh3b/Ndufb4/Pmpca/Slc25a4/Acadm/Cyb5r3/Atp5j/Fxn/Mrps30/Pdha1/Afg3l2/Fdx1/Cox7a2/Nqo2/Pdp1/Cox5b/Ndufa7/Ndufv2/Cox15/Ndufa8/Retsat/Ndufs3/Cox8a/Ech1/Ndufa4/Mrps12/Cyb5a/Ndufb5/Ndufb3/Atp6v1e1/Ndufb2/Vdac1/Ndufc1/Echs1/Ndufb8/Sucla2/Ndufa5/Immt/Ndufs4/Mrpl11/Atp5c1/Etfdh/Sdhb/Idh1/Atp5g3/Ndufs2/Phb2/Cox6a1/Ndufs8/Atp5l/Suclg1/Mrpl15/Acaa2/Mrpl34/Mtx2/Cox6c/Aifm1/Uqcrc1/Acadsb/Ndufs7/Atp5o/Cox7b/Ndufab1/Atp5pb/Atp5j2/Cox7c/Cox6b1/Ndufa6/Mrps11/Gpx4/Atp5g1/Uqcrb/Bax/Vdac2/Sdhd/Uqcrh/Uqcrfs1/Tomm70a/Ndufa1/Cox11/Ndufs1/Ndufb6/Atp6v1f"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",107,-0.419139899506095,-1.85568905279742,0.000109850100091612,0.00109850100091612,0.000809421790148722,1935,"tags=36%, list=18%, signal=29%","Ptcd2/St6gal1/Nrp1/Ets1/Lcp1/Laptm5/Mtmr10/Nin/Cbl/Vwa5a/Adam17/Pdcd1lg2/Prdm1/Plau/Dcbld2/Tnfaip3/Etv5/Dock2/Atg10/Birc3/Pecam1/Tmem176b/Igfbp3/Bpgm/H2bc3/Tspan13/G0s2/Ikzf1/Tmem176a/Rabgap1l/Hdac9/Spon1/Car2/Tfpi/Satb1/Cpe/Rbp4/Tmem158"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,-0.33356511298928,-1.54853076579954,0.00290082121805924,0.0241735101504936,0.0178120601108901,3373,"tags=48%, list=32%, signal=33%","Ccrl2/Stat5a/Tnip1/Junb/Irs2/Ppp1r15a/Il7r/Dram1/F3/Btg2/Cd44/Traf1/Icam1/Sik1/Il1b/Ripk2/Csf1/Socs3/Marcks/Rhob/Sdc4/Klf2/Zc3h12a/Rnf19b/Nfe2l2/Birc2/Ccnl1/Il15ra/Areg/Lif/Ifih1/Tank/Bhlhe40/Kdm6b/Cflar/Atp2b1/Nampt/Litaf/Plek/Dusp2/Ets2/Nfil3/Relb/B4galt1/B4galt5/Slc16a6/Pfkfb3/Plau/Rel/Sgk1/Nfkb1/Dusp1/Nr4a1/Tnfaip3/Bcl6/Fosl2/Abca1/Tnfaip8/Tnip2/Zfp36/Slc2a3/Birc3/Per1/Dennd5a/Pde4b/Tnfrsf9/Fosb/Panx1/Pmepa1/Hes1/Cd80/G0s2/Rcan1/Nr4a3/Spsb1/Zbtb10/Ptger4"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",112,-0.36115935380813,-1.60568001120152,0.00389658818841106,0.0243536761775692,0.0179448140255773,2513,"tags=38%, list=24%, signal=29%","Hif1a/Ccnd2/Galnt1/Map4k1/Elf4/Irf8/Cd247/Lif/Cfp/Tgfb1/H2-DMa/H2-Aa/Ets1/Tapbp/Cd74/Ifngr1/Ikbkb/Acvr2a/Map3k7/Lyn/Csk/Ptprc/Tpd52/Ltb/Timp1/Ccnd3/Eif4g3/Il10/Jak2/Itgal/Il4ra/Prkcb/Cd80/Cd4/Ly75/Stab1/Hdac9/Stat4/St8sia4/Brca1/Itk/F2r"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",139,-0.344737044200876,-1.56793363283654,0.00351779871315525,0.0243536761775692,0.0179448140255773,2361,"tags=40%, list=22%, signal=32%","Huwe1/Cyfip1/Slc39a8/Irf8/Tgm2/Lif/P2rx4/Syngr2/Bcl2l1/Bhlhe40/Furin/Itga6/Tnfrsf21/Nrp1/Dhrs3/Nfil3/Mapkapk2/Ifngr1/Il18r1/Cdc42se2/Ncoa3/Cish/Nfkbiz/Il1r2/Itgav/Lrrc8c/Galm/Uck2/Igf1r/Ltb/Ccnd3/Socs2/Lclat1/Wls/Il10/Myo1e/Slc2a3/Il4ra/Prkch/Dennd5a/Tnfrsf9/Swap70/Fah/Ctla4/Ikzf4/Ahr/Cd81/Rora/Ccne1/Bcl2/Rabgap1l/Itgae/Car2/Cdc6/Adam19/Ikzf2"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",56,-0.428564825491748,-1.67139335142453,0.00537962306635709,0.0298867948130949,0.0220218488096489,1578,"tags=30%, list=15%, signal=26%","Topbp1/Ezh2/Cdkn3/Clpb/Coil/Rfc4/Braf/Prkar2a/Nek2/Ccnb2/Ncaph/Grm8/Camk4/Kif2c/Cdk1/Bub1/Ttk"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",70,-0.401323445498121,-1.6514470240513,0.00900681649705438,0.0410014206381346,0.0302115731017834,1563,"tags=24%, list=15%, signal=21%","Pvr/Anpep/Mmp14/Itgav/Timp1/Tnfaip3/Wipf1/Pmepa1/Igfbp3/Fn1/Itgb3/Mcm7/Dab2/Igfbp4/Prss2/Edil3/Cald1"
