"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035456","BP","GO:0035456","response to interferon-beta",35,0.884416537313507,2.90037114801237,1e-10,5.75752212389381e-09,4.62133209129017e-09,593,"tags=71%, list=6%, signal=68%","Iigp1/Gbp2/Ifit3/Ifi47/Gbp6/Igtp/Oas1a/Ifit1/Xaf1/Bst2/Ifitm3/Irgm1/Ifi211/Ifi204/Irgm2/Gbp3/Stat1/Irf1/Ifi203/Mndal/Gm12185/Oas1c/Ifitm2/Ifitm1/Gbp7"
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta",29,0.892419667869116,2.80525974361831,1e-10,5.75752212389381e-09,4.62133209129017e-09,593,"tags=72%, list=6%, signal=69%","Iigp1/Gbp2/Ifit3/Ifi47/Gbp6/Igtp/Oas1a/Ifit1/Irgm1/Ifi211/Ifi204/Irgm2/Gbp3/Stat1/Irf1/Ifi203/Mndal/Gm12185/Oas1c/Ifitm2/Gbp7"
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation",245,-0.623147810558541,-2.7573527056352,1e-10,5.75752212389381e-09,4.62133209129017e-09,1377,"tags=37%, list=13%, signal=33%","Cenpq/Dis3l2/Zw10/Psmc3ip/Cdc23/Smarca2/Rad51c/Slf2/Gen1/Haspin/Cenps/Pds5a/Mad1l1/Rcc2/Spdl1/Numa1/Ccne1/Mlh3/Espl1/Ncapd3/Hecw2/Prdm9/Kif18a/Incenp/Spc24/Atm/Cdk5rap2/Spice1/Birc5/Sgo2a/Mad2l1/Mlh1/Tacc3/Cdc6/Ncaph/Kif23/Fam83d/Cdca8/Kifc5b/Ndc1/Cenpk/Fancm/Prc1/Ndc80/Ube2c/Brip1/Eme1/Nsl1/Zwilch/Plk1/Smc2/Aurkb/Spc25/Nusap1/Ccne2/Trip13/Ncapg/Knstrn/Ddx11/Ccnb1/Ncapd2/Knl1/Racgap1/Dscc1/Nek2/Brca2/Top2a/Cenpf/Fbxo5/Cit/Sgo1/Recql4/Spag5/Fancd2/Kif2c/Kif18b/Ttk/Cenpe/Kif4/Bub1/Cdc20/Kntc1/Cdca5/Esco2/Kif22/Bcl7a/Ect2/Nuf2/Ankle1/Kif14/Kif11"
"GO:0007059","BP","GO:0007059","chromosome segregation",303,-0.602938439402074,-2.73889903721295,1e-10,5.75752212389381e-09,4.62133209129017e-09,2052,"tags=43%, list=19%, signal=36%","Rcc1/Cep192/Pds5b/Baz1b/Usp9x/Slf1/Tlk1/Kpnb1/Ncaph2/Top3a/Nek6/Nup37/Rmi1/Smc4/Hdac8/Top2b/Cdt1/Tnks/Dsn1/Arid1a/Rad18/Nek8/Arid1b/Pogz/Bub1b/Ercc2/Ddx3x/Cenpq/Dis3l2/Zw10/Psmc3ip/Cdc23/Smarca2/Rad51c/Slf2/Gen1/Haspin/Ska3/Cenps/Nde1/Pds5a/Mad1l1/Rcc2/Spdl1/Numa1/Ccne1/Mlh3/Espl1/Ncapd3/Hecw2/Prdm9/Cenpn/Kif18a/Incenp/Spc24/Atm/Cdk5rap2/Spice1/Birc5/Sgo2a/Dlgap5/Mad2l1/Mlh1/Tacc3/Cdc6/Ska1/Ncaph/Kif23/Fam83d/Cdca8/Kifc5b/Ndc1/Cenpk/Fancm/Prc1/Ndc80/Ube2c/Brip1/Eme1/Cenph/Nsl1/Zwilch/Plk1/Mki67/Smc2/Aurkb/Spc25/Chtf18/Nusap1/Ccne2/Trip13/Ncapg/Knstrn/Ddx11/Ccnb1/Ncapd2/Knl1/Racgap1/Dscc1/Nek2/Brca2/Top2a/Cenpf/Fbxo5/Cit/Sgo1/Recql4/Cdca2/Oip5/Spag5/Fancd2/Brca1/Kif2c/Kif18b/Ttk/Ska2/Cenpe/Kif4/Bub1/Cdc20/Kntc1/Cdca5/Esco2/Kif22/Bcl7a/Ect2/Nuf2/Ankle1/Kif14/Kif11"
"GO:0044391","CC","GO:0044391","ribosomal subunit",187,0.614990058322763,2.71798019817156,1e-10,5.75752212389381e-09,4.62133209129017e-09,3025,"tags=71%, list=29%, signal=52%","Isg15/Mrps18c/Mrpl33/Uba52/Mrpl35/Mrpl22/Hba-a1/Rpl35/Mrpl52/Aurkaip1/Rpl36al/Mrpl43/Mrpl54/Mrpl30/Mrps21/Mrps24/Mrpl53/Mterf4/Rpl34/Rpl31/Mrpl21/Mrpl57/Mrpl32/Mrps16/Rpl24/Mrpl39/Fau/Mrpl20/Mrpl27/Rpl37/Rps17/Rps20/Mrpl14/Rpl10/Rps13/Rps15a/Rpl19/Mrpl47/Mrps22/Rpl36/Mrpl55/Rpl9/Rpl11/Rps23/Rpl30/Mrps14/Rps27/Mrpl58/Rpl18/Malsu1/Rps27l/Rpl15/Rpl41/Rpl22/Rpl27/Chchd1/Mrpl49/Mrps18a/Rpl29/Mrps11/Rpl38/Rpl32/Mrps33/Rps18/Rps29/Rpl18a/Rpl26/Mrpl38/Mpv17l2/Rps18-ps6/Mrps18b/Rpl27a/Mrps10/Rps28/Rpl39/Rpl7a/Rpl35a/Rpl23/Mrpl19/Rps27a/Rps24/Rpl6/Mrpl36/Rps25/Rplp2/Rps10/Rps9/Rpl28/Rps7/Mrpl11/Mrps25/Rpl23a/Mrpl4/Rpl37a/Mrpl42/Mrpl2/Rps14/Mrpl18/Rps21/Rps16/Mrpl46/Rpl36a/Rpl21/Rps11/Mcts1/Rpl13/Mrpl17/Mrpl40/Mrpl23/Rplp0/Zcchc17/Mrpl45/Rps2/Rps5/Mrps34/Rpl17/Mrpl15/Mrps30/Mrpl9/Rps26/Mrps31/Ndufab1/Rps3/Rps19/Mrpl34/Rpl8/Mrps12/Rps8/Mrps35/Mrps17/Rpl7l1/Gadd45gip1/Rps12"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",158,0.630074432278152,2.70064913132327,1e-10,5.75752212389381e-09,4.62133209129017e-09,2938,"tags=73%, list=28%, signal=53%","Isg15/Mrps18c/Mrpl33/Uba52/Mrpl35/Mrpl22/Rpl35/Mrpl52/Rpl36al/Mrpl43/Mrpl54/Mrpl30/Mrps21/Mrps24/Rpl34/Rpl31/Mrpl21/Mrpl57/Mrpl32/Mrps16/Ndufa7/Rpl24/Mrpl39/Fau/Mrpl20/Mrpl27/Rpl37/Rps17/Rps20/Mrpl14/Rpl10/Rps13/Rps15a/Rpl19/Mrpl47/Mrps22/Rpl36/Mrpl55/Rpl9/Rpl11/Rps23/Rpl30/Mrps14/Rps27/Rpl18/Rps27l/Rpl15/Rpl41/Rpl22/Rpl27/Rsl24d1/Mrpl49/Mrps18a/Rpl29/Mrps11/Rpl38/Rpl32/Rps18/Rps29/Rpl18a/Rpl26/Mrps18b/Rpl27a/Mrps10/Rps28/Rpl39/Rpl7a/Rpl35a/Rpl23/Mrpl19/Rps27a/Rps24/Rpl6/Mrpl36/Rps25/Rplp2/Rps10/Rps9/Rpl28/Rps7/Mrpl11/Mrps25/Rpl23a/Mrpl4/Rpl37a/Mrpl2/Rps14/Mrpl18/Rps21/Rps16/Mrpl46/Rpl36a/Rpl21/Rps11/Rpl13/Mrpl17/Mrpl23/Rplp0/Rps2/Rps5/Mrps34/Rpl17/Mrpl15/Mrps30/Mrpl9/Rps26/Mrps31/Rps3/Rps19/Mrpl34/Rpl8/Mrps12/Rps8/Mrps35/Mrps17"
"GO:0008608","BP","GO:0008608","attachment of spindle microtubules to kinetochore",41,-0.794511261890354,-2.69432356265784,1e-10,5.75752212389381e-09,4.62133209129017e-09,964,"tags=51%, list=9%, signal=47%","Mad1l1/Rcc2/Incenp/Spc24/Birc5/Cdca8/Ndc80/Aurkb/Spc25/Knstrn/Ccnb1/Knl1/Racgap1/Nek2/Brca2/Sgo1/Spag5/Kif2c/Cenpe/Ect2/Nuf2"
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation",173,-0.626494991571387,-2.69080823842654,1e-10,5.75752212389381e-09,4.62133209129017e-09,1690,"tags=42%, list=16%, signal=36%","Cdt1/Tnks/Dsn1/Arid1a/Arid1b/Pogz/Bub1b/Dis3l2/Zw10/Cdc23/Smarca2/Slf2/Gen1/Haspin/Pds5a/Mad1l1/Spdl1/Numa1/Espl1/Ncapd3/Hecw2/Kif18a/Incenp/Spc24/Atm/Cdk5rap2/Birc5/Sgo2a/Mad2l1/Tacc3/Cdc6/Ncaph/Kif23/Cdca8/Kifc5b/Cenpk/Prc1/Ndc80/Ube2c/Nsl1/Zwilch/Plk1/Smc2/Aurkb/Spc25/Nusap1/Trip13/Ncapg/Knstrn/Ccnb1/Ncapd2/Racgap1/Dscc1/Nek2/Fbxo5/Cit/Sgo1/Spag5/Kif2c/Kif18b/Ttk/Cenpe/Bub1/Cdc20/Kntc1/Cdca5/Esco2/Kif22/Bcl7a/Nuf2/Kif14/Kif11"
"GO:0005840","CC","GO:0005840","ribosome",209,0.595342984743536,2.66860665197646,1e-10,5.75752212389381e-09,4.62133209129017e-09,2753,"tags=63%, list=26%, signal=47%","Isg15/Oas1a/Oas1c/Mrps18c/Mrpl33/Uba52/Mrpl35/Mrpl22/Hba-a1/Rpl35/Mrpl52/Aurkaip1/Rpl36al/Mrpl43/Mrpl54/Mrpl30/Mrps21/Mrps24/Mrpl53/Mterf4/Rpl34/Rpl31/Mrpl21/Mrpl57/Mrpl32/Mrps16/Ndufa7/Rpl24/Mrpl39/Fau/Mrpl20/Mrpl27/Rpl37/Rps17/Rps20/Mrpl14/Rpl10/Rps13/Rps15a/Rpl19/Mrpl47/Mrps22/Rpl36/Mrpl55/Rpl9/Rpl11/Rps23/Btf3/Rpl30/Mrps14/Rps27/Mrpl58/Rpl18/Malsu1/Rps27l/Rpl15/Rpl41/Rpl22/Rpl27/Chchd1/Rsl24d1/Mrpl49/Mrps18a/Rpl29/Mrps11/Rpl38/Rpl32/Mrps33/Rps18/Rps29/Rpl18a/Rpl26/Mrpl38/Mpv17l2/Rps18-ps6/Mrps18b/Rpl27a/Mrps10/Rps28/Rpl39/Rpl7a/Rpl35a/Rpl23/Mrpl19/Rps27a/Rps24/Rpl6/Mrpl36/Rps25/Rplp2/Rps10/Eif3h/Rps9/Rpl28/Rps7/Mrpl11/Mrps25/Rpl23a/Mrpl4/Rpl37a/Mrpl42/Mrpl2/Rps14/Mrpl18/Rps21/Rps16/Mrpl46/Rpl36a/Rpl21/Rps11/Mcts1/Rpl13/Mrpl17/Mrpl40/Mrpl23/Rplp0/Zcchc17/Mrpl45/Rps2/Rps5/Mrps34/Rpl17/Mrpl15/Mrps30/Mrpl9/Rps26/Mrps31/Ndufab1/Rps3/Rps19/Mrpl34"
"GO:0071174","BP","GO:0071174","mitotic spindle checkpoint signaling",43,-0.782191485109715,-2.66175504589786,1e-10,5.75752212389381e-09,4.62133209129017e-09,1439,"tags=63%, list=14%, signal=54%","Bub1b/Zw10/Gen1/Mad1l1/Spdl1/Incenp/Spc24/Stil/Atm/Cdk5rap2/Birc5/Mad2l1/Mtbp/Cdca8/Ndc80/Zwilch/Plk1/Aurkb/Spc25/Trip13/Ccnb1/Ttk/Cenpe/Bub1/Cdc20/Kntc1/Nuf2"
