"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.790940723530992,3.1201035720797,1e-10,8.33333333333333e-10,5.26315789473684e-10,629,"tags=55%, list=6%, signal=53%","Isg20/Isg15/Irf7/Gbp2/H2-Q7/Ifit3/Rtp4/Oas1a/Ube2l6/Ifi44/Usp18/Bst2/Ifitm3/Samd9l/Ly6e/Nmi/Batf2/Psmb8/Cxcl10/Oasl1/Psmb9/Ifi35/Gbp3/Ifit2/Irf1/Psme2/Psme1/Dhx58/Cnp/B2m/Parp14/Ddx60/Tap1/Uba7/Mov10/Lgals3bp/Mx2/Parp12/Ifitm2/Ogfr/Trafd1/Helz2/Herc6/Trim21/Ifitm1/Irf2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.714209422775823,3.06321271700656,1e-10,8.33333333333333e-10,5.26315789473684e-10,1809,"tags=62%, list=17%, signal=52%","Isg20/Isg15/Irf7/Upp1/Oas3/H2-Q7/Ifit3/Zbp1/Rtp4/Ube2l6/Ifi44/Xaf1/Usp18/Bst2/Ifitm3/Socs1/Samd9l/Il18bp/Ly6e/Nmi/Batf2/Itgb7/Psmb8/Cxcl10/H2-D1/Oasl1/Casp3/Samhd1/Psmb9/Ifi35/Psmb10/Gbp3/Stat1/Ifit2/Irf1/Psme2/Oas2/Ccl5/Psme1/Dhx58/Gbp9/Rigi/Nod1/Rnf213/B2m/Parp14/Ddx60/Sod2/Fas/Tap1/Nlrc5/Lgals3bp/Mx2/Parp12/Ifitm2/Ogfr/H2-M3/Trafd1/Helz2/Znfx1/Herc6/Trim21/Psma2/Irf2/Cd274/Vamp5/Ptgs2/Gch1/Myd88/Psmb2/Txnip/Stat2/Ifih1/Btg1/Ripk2/Irf9/Arl4a/Eif2ak2/Vamp8/Cdkn1a/Mvp/Psma3/Tnfaip2/Casp4/Casp8/Nfkbia/Gpr18/Gbp8/Icam1/Epsti1/Pml/Tapbp/Sppl2a"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,-0.643662873434732,-2.77338851323691,1e-10,8.33333333333333e-10,5.26315789473684e-10,1714,"tags=51%, list=16%, signal=43%","Ung/Ubr7/Xpo1/Srsf1/Rad50/Hus1/Pan2/Wee1/Cks1b/Bub1b/Mthfd2/Rad1/Ccp110/Pms2/Nup205/Tfrc/Zw10/Psmc3ip/Pold2/Paics/Ccnb2/Nup153/Chek1/Tmpo/Rad51c/E2f8/Suv39h1/Dnmt1/Plk4/Cdc25a/Ezh2/Dut/H2ax/Ccne1/Rpa1/Espl1/Prkdc/Prim2/Cbx5/Gins3/Mcm3/Spc24/Prps1/Birc5/Cenpm/Chek2/Mybl2/Cdc25b/Dlgap5/Mad2l1/Pold1/Mlh1/Tipin/Tacc3/Mms22l/Wdr90/Tk1/Stmn1/Ctps/Pole/Cdca8/Atad2/Cdca3/Hmgb3/Ube2t/Hells/Mcm2/Depdc1a/Mxd3/Plk1/Cdk1/Mki67/Mcm7/Mcm5/Aurkb/Spc25/Mcm6/Trip13/Asf1b/Ncapd2/Melk/Racgap1/Dscc1/Brca2/Top2a/Bard1/Cit/Diaph3/Spag5/Cdkn2c/Brca1/Kif2c/Rad51ap1/Kif18b/Cenpe/Kif4/Cdc20/Tcf19/Kif22/Rrm2/Hmmr"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,-0.614880183228693,-2.64086476809296,1e-10,8.33333333333333e-10,5.26315789473684e-10,1499,"tags=43%, list=14%, signal=37%","Prmt5/E2f3/Cks1b/E2f1/Cenpa/Tfdp1/Orc5/Foxn3/Ccnb2/Smad3/Chek1/Slc38a1/Tmpo/Dkc1/Abl1/Suv39h1/Plk4/Cdc25a/Ezh2/Egf/Slc7a1/Rbl1/Numa1/H2ax/Espl1/Prim2/Incenp/Mcm3/Stil/Birc5/Cdc7/Mybl2/Cdc25b/Mad2l1/Tacc3/Cdc6/Kif23/Stmn1/Pole/Troap/Rad54l/Chaf1a/Polq/Prc1/Cdc45/Ndc80/Hmgb3/Ube2c/Mcm2/Tpx2/Plk1/Cdk1/Mki67/Smc2/Mcm5/Aurkb/Nusap1/Mcm6/Knl1/Traip/Racgap1/Nek2/Brca2/Top2a/Bard1/Cenpf/Kif15/Fbxo5/Cdkn2c/Kif2c/Kif20b/Ttk/Cenpe/Kif4/Bub1/Cdc20/Kif22/Pbk/Hmmr/Ccna2/Exo1/Kif11"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",194,0.529939588958229,2.37724211706296,1e-10,8.33333333333333e-10,5.26315789473684e-10,2886,"tags=55%, list=27%, signal=41%","Cycs/Mgst3/Ndufb1/Cox5b/Mrpl35/Cox17/Ndufa1/Grpel1/Cox7b/Bax/Timm8b/Atp5j2/Cox7c/Cox7a2/Atp5j/Cox6c/Surf1/Cox8a/Cox6b1/Ndufa3/Timm17a/Sdhb/Atp6v1e1/Ndufb6/Atp5l/Ndufa7/Ndufa8/Atp5e/Uqcrq/Atp5g1/Ndufc1/Ndufb7/Ndufb8/Ndufs4/Ndufb2/Eci1/Alas1/Atp5k/Por/Ndufb3/Uqcr10/Mrps22/Uqcrb/Acaa2/Cox6a1/Tomm22/Ndufa5/Atp5h/Phyh/Ndufa6/Polr2f/Ldha/Atp6v1f/Ndufs8/Fxn/Atp6v0c/Ndufa2/Ech1/Ndufs6/Mrps11/Atp5o/Atp6v1g1/Cox4i1/Cox5a/Ndufb4/Vdac3/Aifm1/Atp5pb/Atp5d/Ndufa4/Uqcrh/Uqcrc1/Uqcrfs1/Timm10/Atp5g3/Cpt1a/Atp5c1/Hsd17b10/Mrpl11/Mdh2/Ndufv2/Atp6v0e/Ndufv1/Vdac1/Gpx4/Etfb/Acaa1a/Iscu/Mrpl15/Mrps30/Cyc1/Cox11/Uqcr11/Timm13/Ndufs3/Slc25a5/Ndufs7/Ndufab1/Mrpl34/Slc25a12/Vdac2/Atp6v0b/Ndufb5/Idh3b/Slc25a3/Mrps12/Sdhd"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",180,-0.558121062980518,-2.36369458363304,1e-10,8.33333333333333e-10,5.26315789473684e-10,2037,"tags=39%, list=19%, signal=32%","Epb41l2/Cep192/Dock4/Nf1/Tlk1/Als2/Lrpprc/Taok2/Smc4/Ckap5/Akap13/Mid1ip1/Hdac6/Plekhg2/Trio/Rasa1/Dynll2/Rhot2/Ccnb2/Cenpj/Myo1e/Pif1/Prex1/Abl1/Epb41/Tubgcp6/Arhgap5/Numa1/Dst/Arhgef3/Espl1/Itsn1/Alms1/Mid1/Incenp/Ssh2/Cdk5rap2/Birc5/Stk38l/Dlgap5/Kif23/Cep72/Nck2/Cntrob/Prc1/Ndc80/Tpx2/Plk1/Cdk1/Nusap1/Arhgef12/Fscn1/Racgap1/Nek2/Brca2/Top2a/Cenpf/Kif15/Flnb/Fbxo5/Anln/Kif2c/Kif20b/Ttk/Cenpe/Kif4/Bub1/Kntc1/Kif22/Ect2/Kif11"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",62,0.520259688019935,1.94522419502723,0.000204318367868324,0.00145941691334517,0.000921736997902215,2655,"tags=53%, list=25%, signal=40%","Socs1/Cxcl3/Cxcl10/Il2rg/Stat1/Irf1/Cxcl2/Tnf/Il3ra/Fas/Il12rb1/Il1r1/Crlf2/Tnfrsf12a/Myd88/Stat2/Bak1/Cxcl1/Irf9/Csf2ra/Cd14/Hax1/Il1b/Il15ra/Cd44/Ptpn1/Pim1/Ccr1/Tnfrsf1b/Map3k8/Stam2/Csf2/Tnfrsf1a"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",56,-0.509325341652044,-1.79226245520722,0.000665570426363884,0.00415981516477427,0.00262725168301533,1316,"tags=30%, list=12%, signal=27%","Nf2/Ccnb2/Hspa4l/Topbp1/Ezh2/Rfc4/Prkar2a/Gstm5/Lpin1/Camk4/Ncaph/Cdk1/Nek2/Kif2c/Ttk/Bub1/Grm8"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",112,0.393901554636581,1.64062149904147,0.00123696243769788,0.00687201354276598,0.00434021907964167,1364,"tags=28%, list=13%, signal=24%","Irf7/Gbp2/H2-Q7/Socs1/Capg/H2-T23/Psmb10/Il2rg/Il18/Stat1/Ccl5/Tnf/B2m/Fas/Tap1/H2-M3/Il12rb1/Tap2/Bcl10/Ctss/Ccl4/Srgn/Eif3j2/Itgb2/Ccnd2/Ripk2/Flna/Rpl9/Map4k1/Nme1/Bcl3"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",45,0.496524658934624,1.72700960152479,0.00356965026687364,0.0178482513343682,0.0112725797901273,2520,"tags=51%, list=24%, signal=39%","Prdx6/Txn1/Mgst1/Sod2/Lsp1/Glrx/Lamtor5/Prnp/Prdx2/Gsr/Hmox2/Atox1/Glrx2/G6pdx/Ndufa6/Cdkn2d/Ndufb4/Ftl1/Gpx4/Pfkp/Selenos/Prdx1/Egln2"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",91,-0.415882966265851,-1.61568819066068,0.00440256314918356,0.0200116506781071,0.0126389372703834,1511,"tags=27%, list=14%, signal=24%","Dyrk1a/Smad7/Nek7/Apbb2/Smad3/Dmac2l/Rxra/Slc7a1/Dab2/Map2k5/Bckdhb/Sfmbt1/Nrp1/Vav2/Tgfbr2/Cdon/Prkca/Tfpi/Nr1d2/Dbp/Syne1/Cacna1a/Ica1/Itgb3/F3"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",48,-0.474053819780653,-1.62292458470968,0.00745761308305449,0.0233050408845453,0.0147189731902391,1465,"tags=40%, list=14%, signal=34%","Ccdc106/Gpr19/Rgs11/Vps50/Ckm/Cdkal1/Coq8a/Egf/Fggy/Tent5c/Dtnb/Slc25a23/Grid2/Brdt/Selenop/Bard1/Prkn/Thrb/Tff2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",104,-0.391866987818199,-1.55450471844897,0.00624967571408123,0.0233050408845453,0.0147189731902391,762,"tags=15%, list=7%, signal=14%","Fasn/Adcy9/Bcl2/Dhcr7/Egr3/Krt18/Flnb/Mreg/Mybl1/Ttc39a/Krt8/Mast4/Igfbp4/Hes1/Krt19/Ablim1"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",101,0.379039631288393,1.54648683540393,0.00585892861701023,0.0233050408845453,0.0147189731902391,1977,"tags=37%, list=19%, signal=30%","Irf7/Edn1/Rtp4/Bst2/Ly6e/Nmi/Cxcl10/Sgms2/Il18/Irf1/Ccl5/Slc31a2/Emp3/Fzd5/Il1r1/Ifitm1/Il7r/Adrm1/Gch1/P2rx7/Ripk2/Plaur/Nod2/Eif2ak2/Tnfsf9/Mxd1/Cdkn1a/Cd14/Rhog/Ldlr/Nfkbia/Icam1/Tapbp/Sri/Il1b/Ccrl2/Il15ra"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",119,0.364093934895965,1.52409290594093,0.00719418599254011,0.0233050408845453,0.0147189731902391,1698,"tags=28%, list=16%, signal=24%","Isg20/Ifitm3/Casp3/Tspo/Il18/Irf1/Tnf/Ier3/Sod2/Fas/Tap1/Igf2r/Ddit3/Lgals3/Bax/Anxa1/Bcl10/Tnfrsf12a/Gsr/Gpx1/Gch1/Txnip/Ccnd2/Psen2/Bcl2l11/Cdkn1a/Cd14/Gsn/Casp4/Casp8/Sqstm1/Btg3/Mcl1"
