"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",151,-0.805259539148756,-3.47606464777789,1e-10,3.95913043478261e-09,2.9812356979405e-09,553,"tags=68%, list=5%, signal=65%","E2f8/Cenpa/Plk4/Elmo1/Kif18a/Serpine1/Gem/Ckap2l/Mis18bp1/Ska3/Cenpu/Cep152/Arhgap19/Sgo2a/Dlgap5/Brca2/Poc1a/Tk1/Ncaph/Mybl2/Mad2l1/Bub1b/Fn1/Birc5/Ccnb2/Prc1/Mki67/Ndc80/Aurkb/Cenpk/Gtse1/Tfpi/Cdk1/Plk1/Top2a/Kifc1/Rad51ap1/Knstrn/Ube2t/Cenpm/Brip1/Tacc3/Spc25/Troap/Iqgap3/Cdca8/Ska1/Kif2c/Kif23/Tpx2/Parpbp/Cdc45/Fbxo5/Mnd1/Ckap2/Ube2c/Phgdh/Esco2/Bub1/Melk/Polq/Cenpf/Dtl/Anln/Nek2/Brca1/Nusap1/Ccnb1/Kif15/Hmmr/Prr11/Kifc5b/Fancd2/Cenpe/Cdca2/Cdc20/Racgap1/Pbk/Kif20a/Kif18b/Cdca3/Cdca5/Foxm1/Ncapd2/Exo1/Traip/Spag5/Kif4/Shcbp1/Nuf2/Rrm2/Cip2a/Pimreg/Kif14/Fanci/Depdc1a/Aspm/Ttk/Kif11/Sgo1/Depdc1b/Kif22"
"BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",140,-0.805818332748585,-3.44907221032738,1e-10,3.95913043478261e-09,2.9812356979405e-09,1028,"tags=68%, list=10%, signal=62%","Fancg/Ddx11/E2f8/Mcm4/Plk4/Zfp395/Rbl1/Cdc7/Sfxn2/Hrob/Ska3/Cdc6/Mcm2/Rad51/Wdr76/Prim1/Chtf18/Tk1/Ncaph/Mybl2/Orc1/Wdhd1/Oip5/Cenpi/Bub1b/Atad5/Uhrf1/Birc5/Ccnb2/Prc1/Aurkb/Eme1/Mtfr2/Rad54l/Plk1/Top2a/Kifc1/Ube2t/Cenpm/Tacc3/Knl1/Spc25/Troap/Cdca8/Ska1/Pclaf/Kif2c/Mcm10/Ccdc18/Tcf19/Cdc45/Asf1b/Mnd1/Ube2c/Phgdh/Cit/Cenpf/Dtl/Anln/Nek2/Brca1/Ncapg/Nusap1/Kif15/Clspn/Hmmr/Prr11/Kifc5b/Cenpe/Pkmyt1/Cdca2/Kif20a/Kif18b/Cdca3/Diaph3/Cdca5/Cep55/Foxm1/Exo1/Traip/Spag5/Kif4/Shcbp1/Nuf2/Rrm2/Pimreg/Kif14/Fanci/Ttk/Kif11/Neil3/Ccna2/Sgo1/Depdc1b/Cdc25c"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",266,-0.734043182301915,-3.40065474569705,1e-10,3.95913043478261e-09,2.9812356979405e-09,1144,"tags=55%, list=11%, signal=50%","Espl1/Cbx5/H1f2/Pold1/Suv39h2/Mis18a/Fancg/E2f8/Tet2/Mcm4/Plk4/Rbl1/Dars2/H2ax/Hells/Man1a/Mcm3/Cdca7l/Dut/Sfxn2/Nrip1/Tyms/Zfp367/Haus4/Ska3/Rad18/Incenp/Cdc6/Bcl2/Tmem120b/Atad2/Mcm2/Mcm8/C1qtnf6/Jak2/Rad51/Ncapd3/Cenpu/Wdr76/Dlgap5/Prim1/Mcm6/Brca2/Chtf18/Tk1/Ncaph/Mcm5/Mybl2/Wdhd1/Stmn1/Stil/Mms22l/Spc24/Cenpi/Mphosph9/Bub1b/Atad5/Uhrf1/Pola1/Mastl/Birc5/Skp2/Fignl1/Ccnb2/Prc1/Mki67/Aurkb/Ccne2/Mtfr2/Gtse1/Bard1/Rad54l/Dscc1/Cdk1/Plk1/Slc39a8/Top2a/Kifc1/Igfbp4/Trip13/Lrr1/Knstrn/Ube2t/Tonsl/Smc2/Cenpm/Brip1/Tacc3/Knl1/Rrm1/Troap/Iqgap3/Pclaf/Pole/Gins3/Kif2c/Zwilch/Kif23/Mcm10/Tpx2/Tcf19/Cdc45/Asf1b/Fbxo5/Rad54b/Ube2c/Cenpn/Esco2/Mybl1/Bub1/Cit/Fam83d/Melk/Polq/Dtl/Anln/Brca1/Ncapg/Nusap1/Clspn/Prr11/Kifc5b/Fancd2/Pkmyt1/Cdca2/Racgap1/Pbk/Cdca5/Cep55/Foxm1/Ncapd2/Exo1/Traip/Spag5/Kif4/Ticrr/Shcbp1/Rrm2/Cip2a/Fanci/Aspm/Ttk/Kif11/Ccna2/Depdc1b/E2f7"
"KONG_E2F3_TARGETS","KONG_E2F3_TARGETS","KONG_E2F3_TARGETS",86,-0.821730508917656,-3.25932464334428,1e-10,3.95913043478261e-09,2.9812356979405e-09,929,"tags=62%, list=9%, signal=57%","Rbl1/H2ax/Cdc7/Mcm3/Tyms/Incenp/Cdc6/Rad51/Dlgap5/Prim1/Tk1/Ncaph/Bub1b/Skp2/Fignl1/Prc1/Mki67/Cenpk/Rad54l/Plk1/Top2a/Rad51ap1/Ube2t/Smc2/Tacc3/Spc25/Iqgap3/Pclaf/Kif2c/Cenph/Tpx2/Asf1b/Ube2c/Bub1/Melk/Cenpf/Brca1/Ncapg/Nusap1/Ccnb1/Hmmr/Cdc20/Racgap1/Pbk/Kif20a/Cdca3/Cdca5/Ncapd2/Shcbp1/Nuf2/Depdc1a/Kif11/Ccna2"
"LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP",84,-0.813687586992383,-3.20583772148172,1e-10,3.95913043478261e-09,2.9812356979405e-09,982,"tags=71%, list=9%, signal=65%","E2f8/Mcm4/Cenpa/Rcan1/Tyms/Ldlrad4/Atad2/Mcm2/Cenpu/Sgo2a/Dlgap5/Oip5/Bub1b/Uhrf1/Birc5/Ccnb2/Prc1/Mki67/Ndc80/Dscc1/Cdk1/Top2a/Rad51ap1/Lrr1/Ube2t/Knl1/Cxxc5/Pclaf/Cep128/Kif2c/Mcm10/Tfdp2/Ube2c/Hmgb3/Bub1/Melk/Dtl/Nek2/Ncapg/Nusap1/Ccnb1/Kif15/Hmmr/Prr11/Cdca2/Pbk/Kif20a/Kif18b/Cdca3/Diaph3/Cep55/Nuf2/Rrm2/Kif14/Fanci/Aspm/Ttk/Kif11/Neil3/E2f7"
"FISCHER_G2_M_CELL_CYCLE","FISCHER_G2_M_CELL_CYCLE","FISCHER_G2_M_CELL_CYCLE",215,-0.698738792206244,-3.14644107764669,1e-10,3.95913043478261e-09,2.9812356979405e-09,583,"tags=39%, list=6%, signal=38%","Cdr2/Rad51c/Cntrob/Arhgap19/Sgo2a/Cdc25b/Ccsap/Ncaph/Pif1/Fyn/Stil/Oip5/Mphosph9/Mad2l1/Bub1b/Ndc1/Birc5/Ccnb2/Prc1/Mki67/Ndc80/Aurkb/Gtse1/Cdk1/Plk1/Top2a/Kifc1/Trip13/Knstrn/Plekha5/Adgrg6/Tacc3/Troap/Iqgap3/Cdca8/Kif2c/Kif23/Cdkn2c/Tpx2/Ckap2/Ube2c/Hmgb3/Bub1/Cit/Fam83d/Melk/Polq/Cenpf/Anln/Nek2/Nusap1/Ccnb1/Kif15/Hmmr/Kif20b/Kifc5b/Cenpe/Cdca2/Cdc20/Racgap1/Pbk/Kif20a/Kif18b/Cdca3/Cep55/Foxm1/Arhgef39/Spag5/Shcbp1/Nuf2/Pimreg/Sapcd2/Kif14/Ect2/Depdc1a/Aspm/Ttk/Kif11/Neil3/Ccna2/Sgo1/Depdc1b/Kif22/Cdc25c"
"GAVIN_FOXP3_TARGETS_CLUSTER_P6","GAVIN_FOXP3_TARGETS_CLUSTER_P6","GAVIN_FOXP3_TARGETS_CLUSTER_P6",73,-0.806018379309687,-3.10721140979411,1e-10,3.95913043478261e-09,2.9812356979405e-09,574,"tags=62%, list=5%, signal=59%","Rad51/Pdcd1lg2/Ksr1/Gemin8/Tnfrsf9/Tk1/Mms22l/Spc24/Bub1b/Birc5/Fignl1/Ccnb2/Aurkb/Cenpk/Rad54l/Cdk1/Plk1/Spc25/Cdca8/Pclaf/Kif2c/Mcm10/Tpx2/Stard10/Bub1/Cenpf/Nek2/Ncapg/Nusap1/Ccnb1/Clspn/Hmmr/Cenpe/Cdc20/Nedd4/Pbk/Kif20a/Cdca3/Cdca5/Cep55/Spag5/Nuf2/Rrm2/Aspm/Ccna2"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",153,-0.719334461250407,-3.09819361431352,1e-10,3.95913043478261e-09,2.9812356979405e-09,595,"tags=47%, list=6%, signal=45%","Mcm2/Rad51/Cenpu/Dlgap5/Mcm6/Ncaph/Mybl2/Shmt2/Stmn1/Stil/Oip5/Cenpi/Mad2l1/Bub1b/Birc5/Ccnb2/Prc1/Mki67/Ndc80/Aurkb/Ccne2/Gtse1/Dscc1/Cdk1/Plk1/Top2a/Kifc1/Trip13/Tacc3/Troap/Cdca8/Kif2c/Mcm10/Tpx2/Parpbp/Cdc45/Fbxo5/Rad54b/Ube2c/Cenpn/Hmgb3/Bub1/Melk/Polq/Cenpf/Nek2/Ncapg/Nusap1/Ccnb1/Kif15/Hmmr/Kifc5b/Cenpe/Pkmyt1/Cdc20/Racgap1/Kif20a/Kif18b/Cdca3/Cep55/Foxm1/Exo1/Spag5/Kif4/Rrm2/Pimreg/Kif14/Ect2/Aspm/Ttk/Kif11/Ccna2"
"MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP",387,-0.640499918957181,-3.09363969969814,1e-10,3.95913043478261e-09,2.9812356979405e-09,1248,"tags=47%, list=12%, signal=43%","H3c4/Slc7a5/Tipin/Mcm7/Kif24/Chaf1a/Usp11/Nt5e/Nipal3/Espl1/Cks1b/Ercc6l/Suv39h2/Cenpw/Ccdc15/Cep135/Fancg/Tle3/Ddx11/E2f8/Cenpa/Plk4/Rbl1/Slc7a11/H2ax/Kif18a/Gem/Cdc7/Ckap2l/Mis18bp1/Tyms/Hirip3/Hrob/Lin9/Ska3/Rad18/Incenp/Nup155/Haus6/Cep76/Prim2/Cdc6/Fancm/Atad2/Mcm2/Mcm8/Rad51/Ncapd3/Cenpu/Mex3b/Arhgap19/Wdr76/Sgo2a/Dlgap5/Prim1/BC055324/Cdc25b/Brca2/Ccsap/Tk1/Tedc1/Mcm5/Mybl2/Orc1/Wdhd1/Stmn1/Stil/Mms22l/Spc24/Oip5/Cenpi/Mad2l1/Mtbp/Bub1b/Rad51b/Uhrf1/Pgm2l1/Rgs12/Birc5/Cep97/Prc1/Mki67/H2ac8/Ndc80/Aurkb/Ccne2/Mtfr2/Gtse1/Bard1/H3c1/Rad54l/Tmsb15b2/Cdk1/Plk1/Top2a/Kifc1/Aunip/Trip13/Lrr1/Knstrn/Plat/Ube2t/Tonsl/Cenpm/Tacc3/Knl1/Spc25/Rrm1/Troap/Cdca8/Ska1/Pclaf/Cep128/Gins3/Kif2c/Zwilch/Kif23/Mcm10/Cenph/Tpx2/Tcf19/Parpbp/Cdc45/Fscn1/Asf1b/Fbxo5/Mnd1/Rad54b/Dnmt3b/Cenpn/Esco2/Bub1/Cit/Fam83d/Melk/Polq/Anln/Nek2/Phf19/Ccdc80/Brca1/Ncapg/Nusap1/Ccnb1/Kif15/Hmmr/Kif20b/Prr11/Kifc5b/Cenpe/Pkmyt1/Cdc20/Pbk/Kif20a/Cdca3/Diaph3/Cdca5/Cep55/Foxm1/Ncapd2/Exo1/Arhgef39/Traip/Kif4/Ticrr/Mns1/Shcbp1/Nuf2/Rrm2/Kif14/Fanci/Ect2/Aspm/Ttk/Cenpp/Kif11/Ccna2/Sgo1/Depdc1b/Kif22/Cdc25c"
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",136,-0.726943502242814,-3.08370775013384,1e-10,3.95913043478261e-09,2.9812356979405e-09,1070,"tags=61%, list=10%, signal=56%","Ercc6l/Car2/E2f8/Acaca/Mcm4/Cenpa/H2ax/Slc38a1/Hells/Tyms/Cdc6/Atad2/Mcm2/Cenpu/Dlgap5/Tk1/Ncaph/Mybl2/Stil/Oip5/Mad2l1/Bub1b/Birc5/Ccnb2/Prc1/Mki67/Ndc80/Aurkb/Ccne2/Gtse1/Cdk1/Plk1/Top2a/Kifc1/Rad51ap1/Trip13/Smc2/Cenpm/Tacc3/Cdca8/Pclaf/Kif2c/Kif23/Mcm10/Tpx2/Asf1b/Fbxo5/Ube2c/Dnmt3b/Bub1/Melk/Polq/Cenpf/Dtl/Nek2/Brca1/Ncapg/Nusap1/Ccnb1/Kif15/Hmmr/Kif20b/Kifc5b/Cenpe/Cdc20/Racgap1/Pbk/Kif20a/Kif18b/Cdca3/Cep55/Foxm1/Spag5/Kif4/Shcbp1/Rrm2/Kif14/Fanci/Ect2/Aspm/Ttk/Kif11/Ccna2"
