"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035456","BP","GO:0035456","response to interferon-beta",35,-0.854362515426561,-2.84408882100013,1e-10,3.88151507618118e-08,3.58340075148281e-08,268,"tags=57%, list=3%, signal=56%","Stat1/Gm12185/Gbp7/Gbp3/Ifi211/Mndal/Ifitm3/Igtp/Irgm1/Ifi203/Oas1c/Ifi204/Gbp6/Ifit1/Gbp2/Bst2/Ifi47/Oas1a/Xaf1/Ifit3"
"GO:0048525","BP","GO:0048525","negative regulation of viral process",71,-0.714444647812358,-2.76994090420413,1e-10,3.88151507618118e-08,3.58340075148281e-08,729,"tags=38%, list=7%, signal=36%","Setdb1/Trim12a/Fam111a/Trim12c/Trim14/Stat1/Znfx1/Parp10/Resf1/Eif2ak2/Ifih1/Sp100/Ly6e/Ifitm3/Oasl1/Oas1c/Trim30a/Ifi204/Oas1b/Oasl2/Trim30d/Oas2/Bst2/Oas1a/Isg15/Oas3/Isg20"
"GO:0051607","BP","GO:0051607","defense response to virus",189,-0.610615815371744,-2.76815658902937,1e-10,3.88151507618118e-08,3.58340075148281e-08,878,"tags=28%, list=8%, signal=26%","Ifitm2/Exosc4/Myd88/Rnf26/Itch/Pycard/Trim12a/Irf2/Sting1/Apobec1/Mov10/Trim12c/Samhd1/Parp9/Mlkl/Stat1/Znfx1/Gpam/Gbp7/Stat2/Dtx3l/Pml/Slfn8/Mx2/Slfn9/Eif2ak2/Ifih1/Ifitm3/Ifit3b/Oasl1/Oas1c/Trim30a/Ifi204/Rigi/Dhx58/Ifit1/Oas1b/Cxcl10/Oasl2/Trim30d/Oas2/Ifit2/Zbp1/Bst2/Oas1a/Ddx60/Rtp4/Mx1/Isg15/Oas3/Ifit3/Irf7/Isg20"
"GO:0140546","BP","GO:0140546","defense response to symbiont",189,-0.610615815371744,-2.76815658902937,1e-10,3.88151507618118e-08,3.58340075148281e-08,878,"tags=28%, list=8%, signal=26%","Ifitm2/Exosc4/Myd88/Rnf26/Itch/Pycard/Trim12a/Irf2/Sting1/Apobec1/Mov10/Trim12c/Samhd1/Parp9/Mlkl/Stat1/Znfx1/Gpam/Gbp7/Stat2/Dtx3l/Pml/Slfn8/Mx2/Slfn9/Eif2ak2/Ifih1/Ifitm3/Ifit3b/Oasl1/Oas1c/Trim30a/Ifi204/Rigi/Dhx58/Ifit1/Oas1b/Cxcl10/Oasl2/Trim30d/Oas2/Ifit2/Zbp1/Bst2/Oas1a/Ddx60/Rtp4/Mx1/Isg15/Oas3/Ifit3/Irf7/Isg20"
"GO:0009615","BP","GO:0009615","response to virus",225,-0.590084130482033,-2.72929461367194,1e-10,3.88151507618118e-08,3.58340075148281e-08,878,"tags=27%, list=8%, signal=25%","Ifitm2/Exosc4/Myd88/Rnf26/Itch/Pycard/Trim12a/Irf2/Il17ra/Sting1/Apobec1/Lgals8/Mov10/Trim12c/Samhd1/Parp9/Mlkl/Stat1/Znfx1/Lgals9/Gpam/Gbp7/Stat2/Dtx3l/Pml/Nmi/Slfn8/Mx2/Slfn9/Eif2ak2/Ifih1/Ifitm3/Igtp/Irgm1/Ifit3b/Oasl1/Oas1c/Trim30a/Ifi204/Rigi/Dhx58/Ifit1/Oas1b/Cxcl10/Oasl2/Trim30d/Ifi27l2a/Oas2/Ifit2/Zbp1/Bst2/Oas1a/Ddx60/Rtp4/Mx1/Isg15/Oas3/Ifit3/Irf7/Isg20"
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta",29,-0.850946145514648,-2.72000791551396,1e-10,3.88151507618118e-08,3.58340075148281e-08,268,"tags=62%, list=3%, signal=61%","Sting1/Stat1/Gm12185/Gbp7/Gbp3/Ifi211/Mndal/Igtp/Irgm1/Ifi203/Oas1c/Ifi204/Gbp6/Ifit1/Gbp2/Ifi47/Oas1a/Ifit3"
"GO:0045071","BP","GO:0045071","negative regulation of viral genome replication",40,-0.786784867201861,-2.68773242328106,1e-10,3.88151507618118e-08,3.58340075148281e-08,226,"tags=42%, list=2%, signal=42%","Znfx1/Parp10/Resf1/Eif2ak2/Ifih1/Ifitm3/Oasl1/Oas1c/Ifi204/Oas1b/Oasl2/Oas2/Bst2/Oas1a/Isg15/Oas3/Isg20"
"GO:0050792","BP","GO:0050792","regulation of viral process",120,-0.561219885900244,-2.37758502746512,1.01422926982908e-10,3.88151507618118e-08,3.58340075148281e-08,878,"tags=27%, list=8%, signal=25%","Ifitm2/Stom/Mdfic/Setdb1/Trim12a/Dynlt1b/Axl/Fam111a/Trim12c/Trim14/Stat1/Znfx1/Parp10/Resf1/Eif2ak2/Ifih1/Sp100/Ly6e/Ifitm3/Oasl1/Oas1c/Trim30a/Ifi204/Oas1b/Oasl2/Trim30d/Oas2/Bst2/Oas1a/Isg15/Oas3/Isg20"
"GO:0045087","BP","GO:0045087","innate immune response",397,-0.478606989345145,-2.35736822445561,1e-10,3.88151507618118e-08,3.58340075148281e-08,885,"tags=24%, list=8%, signal=23%","Sla/Apoe/Ifitm2/Arrb2/Chid1/Myd88/Alpk1/Itch/Il18/Arid5a/Pycard/Fcer1g/B2m/Gsdmd/Coro1a/Capg/Trim12a/Ulbp1/Cybb/Axl/Il17ra/Tifa/Gch1/Sting1/Naip6/Endod1/Cx3cr1/Ptpn6/Grn/Casp4/Msrb1/Tap1/Tmem106a/Lacc1/Lag3/Tap2/Trim12c/Ighm/Naip2/Samhd1/Trim14/Nlrc3/Ccl3/Parp9/Gbp8/Stat1/Morc3/Trafd1/Znfx1/Lgals9/Gbp7/Gbp9/Stat2/Gbp3/Dtx3l/Pml/Nmi/Ccl4/Mx2/Parp14/Ifi211/Eif2ak2/Mndal/Ifih1/Sp100/Ifitm3/Igtp/Irgm1/Ifi203/Oasl1/Oas1c/Ifi35/Trim30a/Ifi204/Gbp6/Herc6/Rigi/Dhx58/Ifit1/Gbp2/Oasl2/Trim30d/Oas2/Ifit2/Zbp1/Bst2/Oas1a/Pparg/Mx1/Isg15/Oas3/Ifit3/Irf7/Isg20"
"GO:0098542","BP","GO:0098542","defense response to other organism",532,-0.462014265626406,-2.3238717652116,1e-10,3.88151507618118e-08,3.58340075148281e-08,885,"tags=23%, list=8%, signal=22%","Sla/Apoe/Ifitm2/Ccdc88b/Arrb2/Exosc4/Chid1/Lyz2/Myd88/Alpk1/Rnf26/Itch/Il18/Arid5a/Pycard/Fcer1g/B2m/Gsdmd/Coro1a/Capg/Trim12a/Ulbp1/Batf2/Cybb/Axl/Irf2/Il17ra/Tifa/Gch1/Sting1/Naip6/Endod1/Rnase4/Cx3cr1/Apobec1/Stab1/Ptpn6/Adm/Lgals8/Grn/Casp4/Msrb1/Tap1/Tmem106a/Mov10/Lacc1/Lag3/Enpp1/Tap2/Trim12c/Ighm/Naip2/Samhd1/Trim14/Nlrc3/P2rx7/Ccl3/Parp9/Gbp8/Mlkl/Stat1/Morc3/Il10/Trafd1/Znfx1/Lgals9/Gpam/Gbp7/Gbp9/Stat2/Gbp3/Dtx3l/Pml/Nmi/Ccl4/Slfn8/Mx2/Parp14/Ifi211/Slfn9/Eif2ak2/Mndal/Ifih1/Sp100/Ifitm3/Igtp/Irgm1/Ifit3b/Ifi203/Oasl1/Oas1c/Rnf213/Ifi35/Trim30a/Ifi204/Gbp6/Herc6/Rigi/Plac8/Dhx58/Ifit1/Gbp2/Oas1b/Cxcl10/Oasl2/Trim30d/Oas2/Ifit2/Zbp1/Bst2/Oas1a/Ddx60/Pparg/Rtp4/Mx1/Isg15/Oas3/Ifit3/Irf7/Isg20"
