"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",62,0.628192219592788,2.420800709467,2.88237253579459e-09,1.44118626789729e-07,9.70904433109756e-08,2309,"tags=58%, list=22%, signal=46%","Cxcl3/Cxcl2/Il1r2/Il18r1/Ltb/Socs1/Tnf/Il12rb1/Fas/Cxcl1/Pik3r5/Cd14/Il1b/Il1r1/Cd44/Il3ra/Pim1/Tnfrsf1b/Itgb3/Tgfb1/Cd9/Csf2ra/Il6st/Ifngr1/Acvr1b/Ptpn2/Tnfrsf12a/Bak1/Stat3/Irf1/Ptpn1/Il2rg/Ccr1/Csf1/Crlf2/Il13ra1"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",112,0.445746381573075,1.9481081927644,8.6072326255778e-06,0.000215180815639445,0.000144963917904468,2497,"tags=49%, list=24%, signal=38%","Lck/H2-Q7/Timp1/Il18rap/Cd247/Ly75/Ltb/Socs1/Tnf/Ripk2/Capg/Il12rb1/Hif1a/Fas/Rps19/Bcl3/Jak2/Map4k1/F2r/Cd80/Srgn/Il1b/Rps9/Eif3j2/Rpl39/Cd1d1/Rpl9/Itgb2/Cfp/Stat4/Il18/Tgfb1/Ikbkb/Nlrp3/Bcl10/Ifngr1/Ccnd3/Ccnd2/Ccl5/Rps3a1/Icam1/Lif/Il2rg/B2m/Ccr1/Eif5a/Degs1/Csf1/Flna/Npm1/Itk/Acvr2a/Akt1/Ifnar2/Cd47"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",132,0.402758672878378,1.79785154010248,2.95909847752493e-05,0.000493183079587488,0.000332249653616834,1057,"tags=28%, list=10%, signal=26%","Sult2b1/Igfbp3/Plac8/S100a4/Tes/Eno1/Ndrg1/Tgm2/Mt2/Prdx5/Ier3/Errfi1/Mt1/Anxa2/Large1/Gpc1/Glrx/Bhlhe40/Grhpr/Plaur/Pfkp/Btg1/Fam162a/Vegfa/Ero1a/Plin2/Cdkn1a/Casp6/Pim1/Slc2a1/Ldha/Gapdh/Ddit3/Mif/Noct/Ddit4/Pgk1"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",119,0.397204163614492,1.76194091941026,6.70189661938538e-05,0.000647726512799934,0.000436363124412587,1780,"tags=34%, list=17%, signal=28%","Cxcl3/Lck/Timp1/Cdk5r1/Cxcl2/Plat/Dusp5/Zeb1/Atox1/Cxcl1/Jak2/Pik3r5/Ehd1/Plaur/Fyn/Car2/Lgals3/Pim1/Cebpb/Itgam/Dock9/Serpinc1/Gca/Brpf3/Cd46/Gpd2/Gnb4/Dock10/Prkcd/Usp15/Calm1/Msrb1/Casp3/Gnai2/Prdm4/Lrp1/Cblb/Irf1/Ccl5/Lta4h"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",160,0.368899535684537,1.67585213603072,6.02443216773336e-05,0.000647726512799934,0.000436363124412587,1843,"tags=34%, list=17%, signal=29%","Tm4sf1/Upp1/Vdr/Cdk5r1/S100a10/S100a4/Rrad/Ndrg1/Socs1/Dgka/Ier3/Fgf13/Rpl36/Slc7a11/Nudt15/Fas/Rps12/Rpl18/Def6/F2r/Btg1/Fam162a/Cdkn1a/H2aj/Hexim1/Ddit3/Tgfb1/Rack1/Mknk2/Ddit4/App/H1f2/Osgin1/Ralgds/Traf4/Tob1/Blcap/Ercc5/Sfn/Tnfsf9/Acvr1b/Ccnd3/Ccnd2/Rps27l/Gm2a/Rnf19b/Procr/Gls2/Fuca1/Bak1/Iscu/Ptpre/Tprkb/Mapkapk3/Lif"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,0.368187645762416,1.67548722972491,7.77271815359921e-05,0.000647726512799934,0.000436363124412587,2210,"tags=41%, list=21%, signal=33%","Cxcl3/Clcf1/Cxcl2/Slc2a6/Ptgs2/Il7r/Traf1/Dusp5/Ier3/Tnf/Ripk2/Areg/Cxcl1/Bcl3/Sod2/Cd80/G0s2/Tnip1/Id2/Bhlhe40/Lamb3/Ehd1/Plaur/Btg1/Il1b/Cd44/Vegfa/Kdm6b/Cdkn1a/Nfkb1/Cebpb/Nfat5/Il18/Nfkbie/Stat5a/Nfkbia/Ldlr/Zc3h12a/Il6st/Tnfsf9/Nfkb2/Cflar/Phlda1/Tnfaip2/Nfil3/Rnf19b/Map2k3/Irf1/Eif1/Rel/Edn1/Tiparp/Ccl5/Ptpre/Icam1/Lif/Btg3/Litaf/Serpine1/Nr4a3/Dennd5a/Mcl1/Csf1/Sqstm1/Gem/Ppp1r15a/Pde4b"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",139,0.381320191584157,1.71102926993145,0.00010940889943288,0.000781492138806285,0.000526478914564234,1647,"tags=35%, list=16%, signal=30%","Cish/Itgae/Ahcy/Traf1/Il1r2/Spp1/Ndrg1/Uck2/Il18r1/Ltb/Socs1/Tgm2/Capg/Abcb1a/Tiam1/Irf6/Nt5e/Alcam/Plec/Ikzf4/Igf2r/Tnfrsf18/Socs2/Bhlhe40/Car2/Cd44/Il3ra/Plin2/Ttc39b/Odc1/Pim1/Tnfrsf1b/Syngr2/Ahnak/Rnh1/Serpinc1/Smpdl3a/Ifngr1/Ccnd3/Phlda1/Casp3/Ccnd2/Nfil3/Slc1a5/Rabgap1l/Lrrc8c/Igf1r/Prnp"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",70,0.455877840588419,1.8163193000964,0.000563389555035483,0.00352118471897177,0.00237216654751783,1083,"tags=37%, list=10%, signal=34%","Cxcl3/Igfbp3/Prss2/Try5/Timp1/Cxcl2/Thbs1/Cald1/Spp1/Tgm2/Capg/Areg/Nt5e/Fas/Cxcl1/Vim/Gpc1/Id2/Plaur/Cd44/Vegfa/Notch2/Itgb3/Tgfb1/Basp1/Emp3"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,-0.378577601028736,-1.54501904593731,0.00084095256759794,0.00467195870887745,0.00314742481440165,3742,"tags=52%, list=35%, signal=34%","H2ax/Spc25/Cit/Ranbp1/Trp53/Eif2s1/Cdc25b/Mms22l/Nop56/Nup153/Exosc8/Plk1/Rnaseh2a/Tubb5/Pan2/Rpa1/Nasp/Cdk1/Brca1/Ran/Dlgap5/Mre11a/Suv39h1/Srsf1/Smc6/Cenpe/Prkdc/Cdc20/Ubr7/Stmn1/Orc2/Pold2/Tmpo/Pcna/Smc3/Ipo7/Gspt1/Tk1/Xpo1/Rrm2/Pds5b/Trip13/Timeless/Pnn/Mki67/Wee1/Ezh2/Ccne1/Espl1/Mcm3/Ddx39a/Nup205/Ssrp1/Aurkb/Aurka/Cbx5/Lig1/Zw10/Xrcc6/Paics/Rfc2/Cdk4/Chek1/Top2a/Dscc1/Brms1l/Cdkn2c/Ccp110/Rad50/Prps1/Kpna2/Nolc1/Dnmt1/Prdx4/Psip1/Bard1/Kif2c/Rpa3/Atad2/Rfc1/Mcm5/Pttg1/Tcf19/Pold1/Cdc25a/Mcm2/Rad51ap1/Hmmr/Tipin/Mcm6/Rfc3/Mlh1/Brca2/Msh2/Hells/Gins1/Tfrc/Chek2/Ung/Mcm7/Shmt1/Rad1/Ctps"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",56,-0.508082853749368,-1.71874546636504,0.00132180735450648,0.00660903677253238,0.00445240372044286,3084,"tags=50%, list=29%, signal=36%","Phb/Tfb2m/Noc4l/Slc19a1/Pus1/Ppan/Dusp2/Nop16/Aimp2/Prmt3/Bysl/Ipo4/Cdk4/Cbx3/Tmem97/Ddx18/Nolc1/Utp20/Ndufaf4/Mcm5/Gnl3/Nop2/Srm/Hspd1/Grwd1/Pprc1/Ung/Sord"
