"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.743640366942964,3.52703581460418,1e-10,6.4e-10,4e-10,1807,"tags=72%, list=17%, signal=61%","Isg20/Irf7/Oas3/Isg15/Ube2l6/Ifi44/Usp18/Ifit3/Rtp4/Ly6e/Zbp1/Cxcl10/Xaf1/Ifitm3/Bst2/H2-Q7/Upp1/Samhd1/Oasl1/Ddx60/Ifi35/Itgb7/Oas2/Dhx58/Rigi/Rnf213/Helz2/Ifit2/Psmb8/Psme1/Samd9l/Socs1/Psme2/Stat2/Ifih1/Herc6/Psmb9/Psmb10/Parp12/Mx2/Nmi/H2-D1/Parp14/Tap1/Tapbp/Znfx1/Il18bp/Ripk2/Trafd1/B2m/Pfkp/Gch1/Ifitm2/Stat1/Il15ra/Batf2/Eif2ak2/Mvp/Ptgs2/Epsti1/Irf9/Hif1a/Cd274/Ogfr/Icam1/Ptpn6/Lgals3bp/Gpr18/Gbp9/Gbp3/Sod2/Ptpn1/Cmtr1/Sppl2a/Fas/Pim1/Trim25/Cdkn1a/Irf2/Myd88/Irf1/Nlrc5/Arid5b/Nfkbia/Nod1/Ifi30/Btg1/Mt2/Casp4/Pml/Casp8/Ifnar2/Jak2/Trim14/Gbp8/H2-M3/Lats2/Pde4b/Ptpn2/Tnfaip3/Rbck1/Nampt/H2-DMa/Ccl5/Nfkb1/Wars1/Pla2g4a/Isoc1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.80787381605561,3.51645865628803,1e-10,6.4e-10,4e-10,1037,"tags=67%, list=10%, signal=61%","Isg20/Irf7/Isg15/Ube2l6/Oas1a/Ifi44/Gbp2/Usp18/Ifit3/Rtp4/Ly6e/Cxcl10/Ifitm3/Bst2/H2-Q7/Oasl1/Ddx60/Ifi35/Dhx58/Helz2/Ifit2/Cnp/Psmb8/Psme1/Samd9l/Psme2/Stat2/Ifih1/Herc6/Psmb9/Parp12/Mx2/Nmi/Uba7/Parp14/Tap1/Ripk2/Trafd1/B2m/Ifitm2/Batf2/Eif2ak2/Ifitm1/Epsti1/Irf9/Parp9/Ogfr/Lgals3bp/Gbp3/Cmtr1/Ccrl2/Trim25/Irf2/Mov10/Irf1/Trim12c"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",47,0.792163154629684,3.00787879506854,1e-10,6.4e-10,4e-10,991,"tags=68%, list=9%, signal=62%","Isg20/Irf7/Oas3/Isg15/Oas1a/Gbp2/Usp18/Ifit3/Xaf1/Ifitm3/Bst2/H2-Q7/Samhd1/Oasl1/Ifi35/Oas2/Ifit2/Psmb8/Socs1/H2-T23/Stat2/Mx2/H2-D1/Ifitm2/Stat1/Ifitm1/Irf9/Ptpn6/Ptpn1/Irf2/Irf1/Rnasel"
"REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING",58,0.667384875842942,2.68943417281823,1e-10,6.4e-10,4e-10,1601,"tags=60%, list=15%, signal=51%","Irf7/Oas3/Oas1a/Gbp2/H2-Q7/Oasl1/Oas2/Sp100/Socs1/H2-T23/H2-D1/B2m/Stat1/Irf9/Gbp7/Camk2b/Icam1/Ptpn6/Gbp9/Gbp3/Ptpn1/Cd44/Trim25/Irf2/Irf1/Trim12c/Prkcd/Ifi30/Mt2/Pml/Jak2/Trim14/Gbp8/H2-M3/Ptpn2"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",142,0.564757577157207,2.63429046912399,1e-10,6.4e-10,4e-10,1544,"tags=43%, list=15%, signal=37%","Isg20/Irf7/Oas3/Isg15/Ube2l6/Oas1a/Gbp2/Usp18/Ifit3/Xaf1/Ifitm3/Bst2/H2-Q7/Samhd1/Oasl1/Ifi35/Oas2/Rigi/Sp100/Ifit2/Psmb8/Socs1/H2-T23/Stat2/Mx2/H2-D1/Uba7/B2m/Ifitm2/Nup43/Stat1/Eif2ak2/Ifitm1/Nupl2/Irf9/Gbp7/Camk2b/Icam1/Ptpn6/Gbp9/Gbp3/Ptpn1/Cd44/Trim25/Irf2/Irf1/Rnasel/Trim12c/Uba52/Ubb/Prkcd/Ifi30/Mt2/Tyk2/Nup107/Pml/Ifnar2/Jak2/Trim14/Gbp8/H2-M3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,0.462080362022838,2.21987097250655,1.56923828461766e-09,8.36927085129419e-09,5.23079428205887e-09,2623,"tags=54%, list=25%, signal=41%","Cxcl10/Rigi/Cxcl3/Clcf1/Areg/Ifit2/Cxcl2/Edn1/Ifih1/Tnf/Il18/Traf1/Il7r/Tap1/Slc2a6/Ier3/Ripk2/Gch1/Il15ra/Ptgs2/Cd80/Plaur/Ccl4/Dram1/Mxd1/Cflar/Icam1/Tnip1/Il1b/Sod2/Per1/Ccrl2/Cd44/Klf2/Nfil3/Cebpb/Cdkn1a/Plk2/Ehd1/Ppp1r15a/Nfkbie/Irf1/Kdm6b/Dusp1/Relb/Litaf/Rel/Nfkbia/Btg1/Ets2/Ptger4/Mcl1/Gadd45b/Bcl3/Zfp36/Pde4b/Dusp5/Tnfaip3/Zc3h12a/Map3k8/Nampt/Birc3/Ccl5/Nfkb1/Klf6/Bhlhe40/Nfe2l2/Sat1/Ninj1/G0s2/Rnf19b/Dusp2/Dennd5a/Tnfaip2/Sdc4/Cxcl1/Tgif1/Sgk1/Nfat5/Btg2/Ier5/Fos/Tiparp/Fosl2/Tank/Ccnl1/Tnfsf9/Sik1"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",101,0.472827856906593,2.11376874230128,1.11196695797324e-06,5.08327752216337e-06,3.1770484513521e-06,1796,"tags=50%, list=17%, signal=41%","Irf7/Rtp4/Ly6e/Cxcl10/Bst2/Edn1/Osm/Il18/Il7r/Nmi/P2rx7/Tapbp/Ripk2/Gch1/Nod2/Slc31a2/Emp3/Il15ra/Eif2ak2/Ifitm1/Plaur/Timp1/Hif1a/Rhog/Cybb/Mxd1/Icam1/Il1b/Ccrl2/Cdkn1a/Irf1/Irak2/Lyn/Pik3r5/Acvr2a/Nfkbia/Nlrp3/Ptger4/Cd14/Pvr/Sgms2/Pde4b/Gpr132/Nampt/Tnfrsf1b/Ccl5/Nfkb1/P2rx4/Sema4d/Klf6"
"GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",11,0.823598410351135,2.16164520508009,0.000100669723724167,0.000402678894896667,0.000251674309310417,1525,"tags=82%, list=14%, signal=70%","Ifi35/Nmi/Havcr2/Tyrobp/Ticam1/Syk/Grn/Plcg2/Sbno2"
"GOBP_MACROPHAGE_CYTOKINE_PRODUCTION","GOBP_MACROPHAGE_CYTOKINE_PRODUCTION","GOBP_MACROPHAGE_CYTOKINE_PRODUCTION",12,0.720566283529242,1.92408712894626,0.00143870746815758,0.00511540433122695,0.00319712770701685,1544,"tags=58%, list=15%, signal=50%","H2-Q7/Tlr4/Irak3/Tgfb1/Plcg2/Laptm5/H2-M3"
"BIOCARTA_MONOCYTE_PATHWAY","BIOCARTA_MONOCYTE_PATHWAY","BIOCARTA_MONOCYTE_PATHWAY",8,0.747607910779106,1.79386704149144,0.00616008359745795,0.0197122675118654,0.0123201671949159,988,"tags=75%, list=9%, signal=68%","Icam1/Itgal/Itgb2/Itgam/Cd44/Itga4"
