"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007059","BP","GO:0007059","chromosome segregation",303,0.464026977729452,2.13708338394983,1e-10,4.52899492330236e-07,4.31964422684605e-07,1522,"tags=31%, list=14%, signal=27%","Msh5/Psrc1/M1ap/Spc24/Cdca8/Cenpf/Birc5/Fbxo5/Spag5/Prdm9/Cenpw/Rmi2/Kif4/Cdc20/Zwilch/Dsn1/Cpeb1/Cit/Aurkb/Brca1/Top2a/Prc1/Trip13/Cenps/Tubg1/Plk1/Knstrn/Rcc1/Phf13/Kif11/Tacc3/Ncaph/Mki67/Kif2c/Nusap1/Cenpe/Ube2c/Ska1/Sgo1/Incenp/Oip5/Dlgap5/Pmf1/Ect2/Smc2/Cenph/Ncapd2/Cenpk/Bub1/Ncapg/Kif18b/Knl1/Spc25/Ncapg2/Cenpx/Psmc3ip/Bub1b/Banf1/Spdl1/Dscc1/Cenpn/Fam83d/Smc1a/Ccne1/Mis18a/Ncapd3/Ccnb1/Kif23/Espl1/Ntmt1/Brip1/Ska3/Nuf2/Anapc15/Nup43/Cdca5/Ran/Esco2/Naa10/Slc25a5/Racgap1/Syce2/Mad2l1/Anapc11/Cdca2/Haspin/Ttk/Pttg1/Fen1/Hjurp/Fancd2/Eme1/Kif22"
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation",245,0.469294792166612,2.1156191021615,1.39225174402163e-10,4.52899492330236e-07,4.31964422684605e-07,1522,"tags=31%, list=14%, signal=27%","Msh5/Psrc1/M1ap/Spc24/Cdca8/Cenpf/Birc5/Fbxo5/Spag5/Prdm9/Rmi2/Kif4/Cdc20/Zwilch/Dsn1/Cpeb1/Cit/Aurkb/Top2a/Prc1/Trip13/Cenps/Tubg1/Plk1/Knstrn/Phf13/Kif11/Tacc3/Ncaph/Kif2c/Nusap1/Cenpe/Ube2c/Sgo1/Incenp/Ect2/Smc2/Ncapd2/Cenpk/Bub1/Ncapg/Kif18b/Knl1/Spc25/Ncapg2/Cenpx/Psmc3ip/Bub1b/Spdl1/Dscc1/Fam83d/Smc1a/Ccne1/Ncapd3/Ccnb1/Kif23/Espl1/Brip1/Nuf2/Anapc15/Cdca5/Ran/Esco2/Naa10/Racgap1/Syce2/Mad2l1/Anapc11/Haspin/Ttk/Pttg1/Fen1/Fancd2/Eme1/Kif22"
"GO:0051276","BP","GO:0051276","chromosome organization",444,0.395761305104987,1.89487101211326,4.46988038386552e-10,9.69368059247636e-07,9.24559468873237e-07,1892,"tags=31%, list=18%, signal=26%","Msh5/Psrc1/Spc24/Cdca8/Birc5/Fbxo5/Spag5/Prdm9/Cenpw/Rmi2/Myc/Cdc20/H1f1/Zwilch/Dsn1/Cpeb1/Cit/Aurkb/Cenpi/Top2a/Prc1/Trip13/Cenps/Tubg1/Plk1/Knstrn/Nup107/Phf13/Kif11/Tacc3/Ncaph/Cdc45/Kif2c/Nusap1/Cenpe/Ube2c/Nhp2/Sgo1/Incenp/Oip5/Dlgap5/Smc2/Cenph/Ctc1/Ncapd2/Cenpk/Bub1/Ncapg/Kif18b/Mterf1a/Spc25/Ruvbl1/Mad2l2/Ncapg2/H1f5/Cenpx/Psmc3ip/Bub1b/Banf1/Spdl1/Gins2/Rad51/Dscc1/Cenpn/Dnmt1/Cdk1/Pelo/Telo2/Smc1a/Ccne1/Mis18a/Ncapd3/Ccnb1/Dna2/Zranb3/Kif23/Naf1/Espl1/Hells/Cenpp/H1f4/Ruvbl2/Brip1/Blm/Nuf2/Ddx1/Anapc15/Trim28/Cdca5/Ran/Nbn/Mcm5/Esco2/Pml/Anxa1/Naa10/Mcm6/Racgap1/Pcna/Hmgb1/Syce2/Mad2l1/Rtel1/Nabp2/Anapc11/Mcm3/Lmna/Mcm2/Hspa2/Haspin/Ttk/Pttg1/Fen1/Cenpa/H1f3/Hat1/Hjurp/Fancd2/Ercc1/Kif22/Cct2/Gins1/Mad2l1bp/Nudc/Gins3/Cct6a/Ezh2/Klhl22/Cdt1/Mis12/Actl6a/Supv3l1/Chmp2a/Mcm4/Recql4/Cdc23"
"GO:0051301","BP","GO:0051301","cell division",488,0.375697039071391,1.81174962594224,3.21679342001267e-09,5.23211449765061e-06,4.99026242394071e-06,1490,"tags=28%, list=14%, signal=25%","Numbl/Dixdc1/Pdgfa/Tgfb3/Pard3b/Psrc1/Rhob/Nek1/Septin8/Spc24/Cdca8/Birc5/Fbxo5/Spag5/Cenpw/Ccna2/Myc/Reep4/Ckap2/Cdca3/Haus8/Cep55/Cdc25c/Cdc20/Zwilch/Dsn1/Fut10/Cit/Aurkb/Stmn1/Top2a/Ercc6l/Cinp/Prc1/Cenps/Plk1/Knstrn/Orc6/Rcc1/Phf13/Stx2/Kif11/Cks1b/Tacc3/Lmln/Ccnb2/Ncaph/Tpx2/Kif20a/Mical3/Kif2c/Nusap1/Cenpe/Ube2c/Aspm/E2f8/Ska1/Sgo1/Incenp/Oip5/Smyd5/Pmf1/Ect2/Sapcd2/Smc2/Lig1/Klhl21/E2f7/Ncapd2/Pik3cb/Plec/Bub1/Kif18b/Wee1/Knl1/Spc25/Cdc14b/Ruvbl1/Mad2l2/Ncapg2/Cenpx/Plk4/Vegfb/Bub1b/Katnb1/Spdl1/Timeless/Mastl/Cdk1/Cks2/Cdc25a/Pelo/Fam83d/Smc1a/Ccne1/Mis18a/Ncapd3/Septin2/Bora/Ccnb1/Rhoc/Kif23/Hells/Ccnf/Brip1/Blm/Ska3/Pin1/Kmt5a/Htr2b/Spire1/Nuf2/Anapc15/Kif20b/Ppp1ca/Nup43/Cdca5/Ran/Bod1/Racgap1/Cntrob/Unc119/Vegfa/Syce2/Mad2l1/Calm3/Anapc11/Cdca2/Septin11/Pttg1/Anln/Cenpa/Cetn2/Haus4/Rbl1"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",158,0.505140914871581,2.13918366599675,1.4091548115073e-08,1.31821032684775e-05,1.25727666393248e-05,3778,"tags=65%, list=36%, signal=43%","Mrpl11/Isg15/Mrps18b/Rps17/Mrps18c/Mrpl28/Mrpl17/Mrps10/Rps27l/Mrpl57/Mrpl55/Mrpl33/Gm6133/Mrpl23/Mrps7/Mrps23/Mrps14/Rpl41/Mrpl32/Rpl28/Mrpl43/Rpl35/Mrps2/Mrpl52/Mrpl2/Rps15/Rpl31/Mrps24/Mrpl54/Rpl36al/Rpl10/Uba52/Mrpl12/Mrpl18/Mrpl20/Rpl23a/Rps26/Mrps25/Mrps11/Mrpl46/Rps12/Rpl39/Rpl34/Rpl6/Rpl7a/Rpl32/Mrpl36/Rpl38/Mrps12/Mrpl16/Rpl37/Rpl36/Mrpl19/Rpl15/Rps18/Rps8/Mrpl51/Mrpl9/Mrpl34/Rpl10a/Mrps15/Rpl14/Rplp2/Mrpl35/Rpl11/Rpl27/Rpl24/Rpl29/Rpl22l1/Mrps9/Rps23/Rps29/Rps19/Gm2000/Rps13/Rpl26/Rpl27a/Rpsa/Rps20/Mrpl41/Mrpl47/Rpl36a/Rps25/Rps11/Mrpl37/Rpl23/Rpl21/Mrps16/Rpl12/Rps28/Mrps21/Mrpl4/Rps15a/Rpl7l1/Mrps18a/Mrpl21/Rpl13/Mrps5/Rps21/Rps2/Rpl22/Rpl37a/Rpl35a"
"GO:0044391","CC","GO:0044391","ribosomal subunit",187,0.480662425241453,2.08667503471676,1.61622698623162e-08,1.31821032684775e-05,1.25727666393248e-05,3778,"tags=66%, list=36%, signal=43%","Mrpl11/Isg15/Mrps18b/Rps18-ps6/Rps17/Mrps18c/Mrpl28/Mrpl17/Mrps10/Hba-a1/Rps27l/Mrpl57/Gadd45gip1/Mrpl55/Mrpl40/Ndufab1/Mrpl33/Gm6133/Mrpl23/Mrps7/Chchd1/Mrps23/Mrps14/Rpl41/Mrps33/Mrpl32/Rpl28/Mrpl43/Mrps27/Rpl35/Mrpl50/Mrps2/Mrpl52/Mrpl2/Rps15/Rpl31/Mrps24/Zcchc17/Mrpl54/Mrpl53/Rpl36al/Rpl10/Uba52/Mrpl12/Mrpl18/Mrpl20/Rpl23a/Rps26/Malsu1/Mrps25/Mrps11/Mrpl46/Rps12/Mrpl42/Rpl39/Aurkaip1/Rpl34/Mterf4/Rpl6/Mrpl38/Rpl7a/Rpl32/Mrpl36/Mrpl58/Rpl38/Mrps12/Mrpl16/Rpl37/Rpl36/Mrpl19/Rpl15/Rps18/Rps8/Mrpl51/Mrpl9/Mrpl34/Rpl10a/Mrps15/Rpl14/Rplp2/Eif2d/Mrpl35/Rpl11/Rpl27/Rpl24/Rpl29/Mrps26/Mrps9/Rack1/Rps23/Npm1/Rps29/Rps19/Rps13/Rpl26/Rpl27a/Rpsa/Rps20/Mrpl41/Mrpl47/Rpl36a/Rps25/Rps11/Mrpl37/Rpl23/Rpl21/Mrps16/Rpl12/Rps28/Mrps21/Mrpl4/Rps15a/Rpl7l1/Mrps18a/Mrpl21/Rpl13/Mrps5/Mrps28/Rps21/Rps2/Rpl22/Rpl37a/Rpl35a"
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex",266,0.440029691747017,2.00563877111939,1.62091647937011e-08,1.31821032684775e-05,1.25727666393248e-05,2914,"tags=53%, list=28%, signal=39%","Ndufb4b/Mrpl11/Etfb/Mrps18b/Timm8a1/Timm50/Pam16/Polrmt/Cyc1/Mrps18c/Smdt1/Mrpl28/Dna2/Mrpl17/Micos10/Mrps10/Uqcr10/Foxred1/Ndufb2/Pam16l/Timm21/Mrpl57/Gadd45gip1/Micos13/Mrpl55/Mrpl40/Ndufab1/Mrpl33/Mrpl23/Slc25a5/Timm23/Mtx2/Timm10b/Atp5k/Mrps7/Grpel1/Chchd1/Mrps23/Cox6a1/Cox5b/Timm13/Cox7a2/Atp5d/Cox5a/Cox6c/AA467197/Mrps14/Atp5b/Mrps33/Mrpl32/Ndufa13/Atp5e/Mrpl43/Atp5j2/Mrps27/Ndufa9/Cox7b/Atp5mpl/Cox7c/Atp5g1/Grpel2/Mrpl50/Mrps2/Uqcrb/Atp5g2/Mrpl52/Ndufb6/Ndufa1/Mrpl2/Ndufb10/Ndufa12/Ndufb8/Ndufs7/Mrps24/Supv3l1/Mrpl54/Timm9/Atp5j/Mrpl53/Mtx1/Ndufb9/Ndufc2/Sdhb/Mrpl12/Atp5c1/Mrpl18/Ndufb11/Mrpl20/Tomm7/Tomm5/Ndufs6/Malsu1/Mrps25/Mrps11/Mrps36/Atp5o/Mrpl46/Ndufs5/Uqcrq/Prorp/Mrpl42/Ndufa4/Phb/Bckdk/Aurkaip1/Idh3a/Mterf4/Atp5h/Mrpl38/Suclg1/Pdhx/Mrpl36/Mrpl58/Mrps12/Ndufa8/Mrpl16/Dnajc15/Etfdh/Ndufv3/Slc25a4/Mrpl19/Ndufa11/Tomm40/Atp5pb/Ndufa5/Atp5l/Mrpl51/Cox4i1/Bax/Ndufc1/Romo1/Ndufv1/Mrpl9/Mrpl34/Mrps15/Dnajc19/Cox8a/Ndufb4/Vdac1/Mrpl35"
"GO:0000278","BP","GO:0000278","mitotic cell cycle",712,0.332277796148934,1.64278378497162,1.44520188036094e-08,1.31821032684775e-05,1.25727666393248e-05,1857,"tags=29%, list=18%, signal=25%","Shb/Psrc1/Spry2/Eml1/Rhob/Pkd2/Mybl2/Iqgap3/Spc24/Cdca8/Cenpf/Birc5/Fbxo5/Spag5/Cenpw/Ccna2/Myc/Reep4/Ckap2/Cep55/Kif4/Cdc25c/Cdc20/Zwilch/Dsn1/Ube2e2/Esr1/Cit/Aurkb/Stmn1/Brca1/Prc1/Trip13/Tubg1/Plk1/Knstrn/Rcc1/Phf13/Stx2/Kif11/Cks1b/Tacc3/Ccnb2/Ncaph/Tpx2/Pole/Kif20a/Mki67/Cdc45/Tubb6/Stil/Timp2/Kif2c/Nusap1/Cenpe/Ube2c/E2f8/Klf4/Ska1/Cetn4/Sgo1/Pbk/Tcf19/Incenp/Tnf/Dlgap5/Ect2/Sapcd2/Clspn/Abcb1b/Dynlt1b/Smc2/Cenph/Tuba1b/Ctc1/Lig1/E2f7/Ncapd2/Cenpk/Skp2/Bub1/Ncapg/Kif18b/Ptpn3/Wee1/Spc25/Kifc1/Cdc14b/Tubb4b/Ncapg2/Acvr1b/Rrm2/Tubb5/Plk4/Fbxl15/Orc1/Bub1b/Xrcc2/Banf1/Pola1/Spdl1/Ranbp1/Anp32b/Cdkn1a/Rad51/Dscc1/Tuba1a/Mastl/Cdk1/Cks2/Cdc25a/Smc1a/Ccne1/Ncapd3/Rpa3/Rad51b/Bora/Ccnb1/Rhoc/Dna2/Rrm1/Kif23/Espl1/Tube1/Atad5/Ccnf/Tubgcp2/Bard1/Blm/Ska3/Rad9b/E2f3/Rps27l/Nuf2/Fbxl22/Dtl/Anapc15/Kif20b/Cdca5/Ran/Id2/Nbn/Esco2/Pml/Anxa1/Naa10/Mcm6/Racgap1/Pcna/Cntrob/Unc119/Hmgb1/Rad9a/Mad2l1/Rtel1/Calm3/Psme2/Rtf2/Nabp2/Anapc11/Mcm3/Cdca2/Mcm2/Hspa2/Asns/Haspin/Klf11/Nudt15/Ttk/Pttg1/Myo16/Anln/Cenpa/E2f1/Cetn2/Rbl1/Fancd2/Eme1/Tubb2a/Kif22/Appl2/Prmt2/Ticrr/Gins1/Nrde2/Mad2l1bp/Cdc25b/Cfl1/Ccsap/Nudc/Lmnb1/Gins3/Zfp36l2/Sde2/Babam1/Ezh2/Klhl22/Cdt1/Arl3/Mis12/Gpsm2/Pdxp/Actl6a/Chmp2a/Mcm4"
"GO:0000793","CC","GO:0000793","condensed chromosome",230,0.448321921861285,2.00205557527659,2.16052070953984e-08,1.56181641514069e-05,1.48962217341958e-05,1496,"tags=30%, list=14%, signal=26%","Msh5/Xlr/Spc24/Cenpf/Birc5/Spag5/Cenpw/Zwilch/Dsn1/Aurkb/Brca1/Cenpi/Top2a/Ercc6l/Cenps/Tubg1/Plk1/Knstrn/Nup107/Rcc1/Ncaph/Mki67/Kif2c/Cenpe/Ska1/Sgo1/Incenp/Pmf1/Smc2/Cenph/Ncapd2/Cenpk/Hmgb2/Bub1/Ncapg/Knl1/Spc25/H2ax/Ncapg2/Cenpx/Psmc3ip/Bub1b/Banf1/Spdl1/Rad51/Cenpn/Smc1a/Ncapd3/Septin2/Ccnb1/Blm/Ska3/Cbx5/Rad9b/Nuf2/Nol6/Nup43/Cenpm/Bod1/Hmgb1/Hmbs/Syce2/Rad9a/Mad2l1/Hspa2/Ttk/Cenpa/Hjurp/Fancd2"
"GO:0005840","CC","GO:0005840","ribosome",209,0.465765371903859,2.06878647285921,4.09097933435397e-08,2.6615911549307e-05,2.53856033431755e-05,3778,"tags=63%, list=36%, signal=41%","Oas1a/Mrpl11/Isg15/Mrps18b/Rps18-ps6/Rps17/Mrps18c/Mrpl28/Mrpl17/Mrps10/Hba-a1/Rps27l/Mrpl57/Gadd45gip1/Mrpl55/Mrpl40/Ndufab1/Mrpl33/Gm6133/Mrpl23/Mrps7/Chchd1/Mrps23/Mrps14/Rpl41/Mrps33/Mrpl32/Rpl28/Mrpl43/Mrps27/Rpl35/Mrpl50/Mrps2/Mrpl52/Repin1/Mrpl2/Rps15/Rpl31/Mrps24/Zcchc17/Mrpl54/Mrpl53/Rpl36al/Rpl10/Uba52/Mrpl12/Mrpl18/Mrpl20/Rpl23a/Rps26/Malsu1/Mrps25/Mrps11/Mrpl46/Rps12/Mrpl42/Rpl39/Aurkaip1/Rpl34/Mterf4/Rpl6/Mrpl38/Rpl7a/Rpl32/Mrpl36/Mrpl58/Rpl38/Mrps12/Mrpl16/Rpl37/Eif3h/Rpl36/Mrpl19/Rpl15/Rps18/Rps8/Mrpl51/Mrpl9/Mrpl34/Rpl10a/Mrps15/Rpl14/Btf3/Rplp2/Eif2d/Canx/Mrpl35/Rpl11/Rpl27/Mtg1/Rpl24/Rpl29/Rpl22l1/Mrps26/Mrps9/Rack1/Rps23/Npm1/Rps29/Rps19/Gm2000/Rps13/Rpl26/Rpl27a/Rpsa/Rps20/Hspa14/Mrpl41/Mrpl47/Rpl36a/Rps25/Rps11/Mrpl37/Rpl23/Rpl21/Mrps16/Rpl12/Rps28/Mrps21/Mrpl4/Rps15a/Rpl7l1/Mrps18a/Mrpl21/Rpl13/Mrps5/Mrps28/Rps21/Rps2/Rpl22/Rpl37a/Rpl35a"
