"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,0.655711239708464,2.89215145802899,1e-10,1.66666666666667e-09,1.2280701754386e-09,1783,"tags=58%, list=17%, signal=49%","Asf1b/Mybl2/Spc24/Cdca8/Birc5/Spag5/Myc/Cdca3/Kif4/Cdc20/Cit/Aurkb/Stmn1/Brca1/Top2a/Trip13/Tubg1/Plk1/Nup107/Orc6/Depdc1a/Cks1b/Tacc3/Ccnb2/Pole/Tk1/Mki67/Kif2c/Cenpe/E2f8/Ube2t/Tcf19/Hmgb3/Dlgap5/Nolc1/Lig1/Diaph3/Hmmr/Ncapd2/Mms22l/Hmgb2/Pold1/Cdkn3/Kif18b/Wee1/Spc25/H2ax/Dut/Psmc3ip/Nme1/Rfc3/Rrm2/Tubb5/Plk4/Bub1b/Timeless/Ranbp1/Cdkn1a/Dscc1/Dnmt1/Cdk1/Cks2/Cdc25a/Pa2g4/Hmga1/Smc1a/Ccne1/Rpa3/Prdx4/Slbp/Espl1/Ssrp1/Hells/Bard1/Lyar/Cbx5/Pold2/Paics/Usp1/Nudt21/Dek/Melk/Ran/Cenpm/Nbn/Mxd3/Mcm5/Mcm6/Dctpp1/Racgap1/Ak2/Pcna/Pold3/Mad2l1/Nap1l1/Tmpo/Anp32e/H2az1/Mcm3/Pola2/Mcm2/Lbr/Pttg1/Ddx39a/Kif22/Gins1/Rad51ap1/Cdc25b/Snrpb/Wdr90/Lmnb1/Gins3/Kpna2/Ezh2/Exosc8"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",201,0.569287062486735,2.51432753072475,1e-10,1.66666666666667e-09,1.2280701754386e-09,3251,"tags=63%, list=31%, signal=44%","Ccna2/Myc/Cdc20/Rfc4/Cdc45/Tyms/Nhp2/Mrps18b/Nolc1/Dut/Nme1/Cyc1/Ranbp1/Snrpd1/Pa2g4/Srm/Prdx4/Rrm1/Set/Ruvbl2/Pold2/Ldha/Hdgf/Tfdp1/Acp1/Usp1/Trim28/Dek/Impdh2/Ran/Rrp9/Psma4/Mcm5/Pole3/Ndufab1/Tufm/Mcm6/Mrpl23/Snrpa1/Rnps1/Pcna/Eif1ax/Txnl4a/Mad2l1/Nap1l1/Eif3j2/H2az1/Rsl1d1/Mcm2/Cox5a/Ncbp2/Snrpg/Cct2/Snrpd2/Hdac2/C1qbp/Fbl/U2af1/Psmb2/Pcbp1/Ppia/Kpna2/Psma7/Snrpa/Pgk1/Hnrnpa3/Serbp1/Mcm4/Vbp1/Psmd1/Cops5/Odc1/Snrpd3/Hprt/Gspt1/Ywhae/Slc25a3/Ppm1g/Tcp1/Psmc4/Erh/Cct3/Phb/Rpl34/Eif2s2/Hsp90ab1/Prpf31/Rpl6/Srsf2/Vdac3/Pwp1/Cnbp/Srsf7/Eif4h/Ube2l3/Cdk4/Psma2/Iars/Ddx21/Cdk2/Psmc6/Eif3d/Uba2/Psma1/Eif4a1/Cct4/Hspe1/Hspd1/Hnrnpa1/Mrpl9/Srsf3/Rpl14/Nop16/Canx/Vdac1/Ywhaq/Hnrnpa2b1/Hddc2/Nop56/Psma6/Cct5/Rack1/Ddx18/Npm1/Eif3b/Psmb3"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,0.571071374608719,2.48945525658127,1e-10,1.66666666666667e-09,1.2280701754386e-09,2069,"tags=51%, list=20%, signal=42%","Mybl2/Cenpf/Birc5/Fbxo5/Ccna2/Myc/Mt2/Meis1/Kif4/Cdc20/Aurkb/Stmn1/Top2a/Prc1/Plk1/Orc6/Kif11/Cks1b/Tacc3/Ccnb2/Tpx2/Pole/Mki67/Cdc45/Stil/Kif2c/Nusap1/Cenpe/Ube2c/Traip/Pbk/Hmgb3/Incenp/Smc2/Nolc1/Hmmr/Cdkn3/Bub1/Troap/Knl1/Hmgn2/H2ax/Plk4/Kif15/Dtymk/Gins2/Polq/Cdk1/Cks2/Snrpd1/Cdc25a/Hmga1/Sap30/Smc1a/Kif23/Espl1/Ccnf/Bard1/E2f3/Tfdp1/Kmt5a/Slc7a5/H2az2/Kif20b/Mcm5/Pml/Mcm6/Racgap1/Mad2l1/Tmpo/H2az1/Mcm3/Pola2/Mcm2/Cbx1/Lbr/Ttk/Pttg1/Cenpa/E2f1/Rbl1/Ddx39a/Kif22/E2f2/Prmt5/Cdc25b/Lmnb1/Kpna2/Ezh2/Ncl/Nsd2/Cdc7/Notch2/Brca2/Odc1/Gspt1/Exo1/Nasp"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",14,0.852265064919702,2.16924129451267,3.73455558225064e-06,4.66819447781329e-05,3.4397222468098e-05,351,"tags=36%, list=3%, signal=35%","Timp1/Pdgfa/Tnfrsf21/Ptk2/S100a4"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",56,0.546540045517087,1.97002908667786,0.000157424530275978,0.00131187108563315,0.000966641852571796,3308,"tags=62%, list=31%, signal=43%","Hk2/Myc/Plk1/Nop2/Nolc1/Slc19a1/Plk4/Pa2g4/Srm/Dusp2/Tcof1/Rrp9/Mcm5/Nip7/Dctpp1/Pus1/Mybbp1a/Mrto4/Supv3l1/Mcm4/Rabepk/Pes1/Noc4l/Phb/Cdk4/Hspe1/Hspd1/Nop16/Nop56/Ddx18/Imp4/Npm1/Pprc1/Sord/Rrp12"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",194,0.378802682543681,1.66178292991229,0.000135737060003013,0.00131187108563315,0.000966641852571796,3256,"tags=52%, list=31%, signal=36%","Atp1b1/Mrpl11/Etfb/Timm50/Fdx1/Decr1/Cyc1/Uqcr10/Ndufb2/Ldha/Nqo2/Cycs/Ndufab1/Slc25a5/Mtx2/Atp5k/Grpel1/Cox6a1/Cox5b/Timm13/Cox7a2/Atp5d/Cox5a/Cox6c/Atp5b/Atp5e/Atp5j2/Polr2f/Rhot2/Ndufa9/Mtrf1/Cox17/Cox7b/Cox7c/Atp5g1/Pdp1/Uqcrb/Atp5g2/Ndufb6/Atp6v0e/Ndufa1/Ndufb8/Ndufs7/Supv3l1/Timm9/Atp5j/Ndufc2/Atp6v1g1/Sdhb/Hspa9/Atp5c1/Ndufb1/Slc25a3/Ndufs6/Cox10/Mrps11/Atp5o/Gpx4/Uqcrq/Ndufa4/Idh3a/Atp5h/Slc25a11/Suclg1/Pdhx/Vdac3/Mrps12/Mpc1/Por/Ndufa8/Vdac2/Etfdh/Slc25a4/Cox15/Cs/Atp5pb/Ndufa5/Atp5l/Cox4i1/Bax/Ndufc1/Ndufv1/Mrpl34/Mrps15/Cox8a/Ndufb4/Vdac1/Mrpl35/Ndufa2/Mdh1/Eci1/Acadvl/Mdh2/Uqcr11/Idh3b/Idh3g/Fh1/Idh2/Ndufb7/Slc25a20"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,-0.474924900962047,-1.86751719572724,0.000236017687659745,0.00168584062614103,0.00124219835610392,154,"tags=14%, list=1%, signal=14%","Ier3/Trib1/Il1b/Tnfsf9/Il6st/Hes1/Plau/Serpine1/Tsc22d1/Trip10/Edn1/Sgk1/Marcks/F3/Ccnd1/Cxcl1/Csf1/Abca1/Il1a/Egr3/G0s2/Plk2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.400128500273803,1.68583240883577,0.000349375936658883,0.00218359960411802,0.00160896812935012,2053,"tags=32%, list=19%, signal=26%","Ifitm3/Lgals3bp/Oas3/Usp18/Irf8/Ifi44/Rtp4/Mx2/Cxcl10/Mt2/Bst2/Ube2l6/Ptgs2/Irf7/Isg15/Ifi30/Il15ra/Il18bp/Oas2/Isg20/Gbp3/Cdkn1a/Ifitm2/Xaf1/Upp1/Ddx60/Bpgm/Zbp1/Psmb9/Trim21/Ly6e/Dhx58/Pml/Irf9/Vamp5/Psme2/Psmb8/Trafd1/H2-Q7/Psmb2/Psmb10/Ifi35/Pla2g4a/B2m/Rigi/Psme1/Stat2/Trim25"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.461763705176079,1.78203815389663,0.00050350527501002,0.00279725152783344,0.00206113270471938,2262,"tags=47%, list=21%, signal=37%","Ifitm3/Lgals3bp/Usp18/Oas1a/Ifitm1/Ifi44/Rtp4/Mx2/Cxcl10/Bst2/Ube2l6/Irf7/Isg15/Ifi30/Isg20/Gbp3/Ifitm2/Ddx60/Psmb9/Trim21/Ly6e/Ccrl2/Dhx58/Irf9/Psme2/Psmb8/Trafd1/Ncoa7/H2-Q7/Ifi35/B2m/Psme1/Stat2/Uba7/Trim25/Cd47/Tap1/Herc6/Parp9"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",183,0.359483944023799,1.5592024531518,0.00138587229487057,0.00692936147435284,0.00510584529689156,2620,"tags=39%, list=25%, signal=30%","Hk2/Ddit4/Ddit3/Fkbp2/Tubg1/Plk1/Eef1e1/Insig1/Ifi30/Sdf2l1/Bub1/Rrm2/Psat1/Cdkn1a/Cdc25a/Nfil3/Ldlr/Shmt2/Eno1/Ccnf/Ldha/Slc7a5/Calr/M6pr/Rrp9/Psma4/Psmg1/Hmbs/Glrx/Pno1/Ebp/Mcm2/Asns/Slc7a11/Dhcr24/Ddx39a/Tpi1/Stard4/Atp5g1/Psmd13/Nfkbib/Cct6a/Ppia/Psmb5/Pgk1/Sytl2/Mcm4/Hspa9/Cops5/Txnrd1/Hprt/Coro1a/Psmc4/Gclc/Psmc2/Dhfr/Hsp90b1/Rdh11/Arpc5l/Mthfd2/Eif2s2/Ero1a/Phgdh/Stip1/Map2k3/Aldoa/Hspa5/Bhlhe40/Tfrc/Psmc6/Tomm40/Psme3"
