"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",151,-0.756088635712886,-2.60476795895176,1e-10,1.89708333333333e-08,1.44122807017544e-08,1999,"tags=79%, list=19%, signal=65%","Serpine1/Chek2/Hsd17b11/Mnd1/Hjurp/Aurka/Cenpa/Tent5c/Atp9b/Ube2t/Depdc1b/Arhgap11a/Elmo1/Mis18bp1/Kif14/Kntc1/Dsn1/Brca2/Pimreg/Cenpu/Traip/Dlgap5/Sgo1/Cdkn3/Sgo2a/Plk4/Nuf2/Ska1/E2f8/Cdca5/Rad51ap1/Depdc1a/Esco2/Ska3/Ncaph/Melk/Kif22/Dtl/Espl1/Nek2/Brip1/Troap/Prr11/Ckap2l/Fanci/Cenpk/Cep152/Gtse1/Wee1/Tacc3/Ncapg2/Knstrn/Blm/H1f1/Kif15/Brca1/Parpbp/Poglut3/Pbk/Spc25/Kif23/Anln/Gem/Epb41l2/Emp1/Fbxo5/Ttk/Cdk1/Gins1/Cks1b/Polq/Timeless/Kifc1/Cenpm/Arhgap19/Ccnb1/Ube2c/Ncapd2/Ccnb2/Kif4/Kif11/Ckap2/Rrm2/Nusap1/Plk1/Mybl2/Cdca2/Tfpi/Bub1/Psrc1/Tpx2/Kif18b/Hmmr/Mki67/Aurkb/Cdc45/Prc1/Kif2c/Shcbp1/Cdca8/Cdca3/Top2a/Spag5/Birc5/Cenpe/Tk1/Cenpf/Bub1b/Fancd2/Aspm/Kif20a/Gas2l3/Cdc20/Iqgap3/Ldlr/Msh5/Tubb6/Anxa1/Fn1"
"BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",140,-0.734040898817164,-2.50103599095686,1e-10,1.89708333333333e-08,1.44122807017544e-08,1927,"tags=74%, list=18%, signal=62%","Mnd1/Hjurp/Aurka/Wdr76/Cdc25a/Ube2t/Depdc1b/Gins2/Eme1/Kif14/Pimreg/Zfp395/Traip/Sgo1/Orc1/Cdkn3/Plk4/Nuf2/Wdr62/Vav3/Mcm10/Ska1/E2f8/Clspn/Dhfr/Cdca5/Mcm2/Ska3/E2f1/Ncaph/Dtl/Nek2/Troap/Prr11/Prim1/Fanci/Tcf19/Tacc3/Rad51/Ncapg2/Pkmyt1/Blm/Mtfr2/Kif15/Brca1/Ercc6l/Ccdc18/Uhrf1/Kif24/Spc25/Anln/Rad54l/Chtf18/Ttk/Atad5/Kifc1/Cenpm/Cdc25c/Cep55/Ube2c/Ccnb2/Kif4/Diaph3/Kif11/Castor1/Pclaf/Rrm2/Nusap1/Tfap4/Plk1/Oip5/Mybl2/Ccdc34/Cdca2/Psrc1/Hilpda/Kif18b/Hmmr/Ncapg/Hrob/Aurkb/Cdc45/Prc1/Kif2c/Knl1/Shcbp1/Cdca8/Cit/Cdca3/Top2a/Spag5/Birc5/Neil3/Mfsd13a/Cenpe/Cenpi/Tk1/Cenpf/Bub1b/Asf1b/Kif20a/Ccna2/Camk1/Zfp608"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",266,-0.682193746643512,-2.47610662289898,1e-10,1.89708333333333e-08,1.44122807017544e-08,2322,"tags=72%, list=22%, signal=57%","Exo1/Wdhd1/Cenpl/Slc29a1/Cdca7/Cdc6/Rbl1/E2f2/Pold2/Rad18/Fen1/Cip2a/Cep85/Sfxn2/Cdca7l/Zfp367/Ncaph2/Rpa3/Ticrr/Aurka/Fam83d/Haus4/Pcna/Tent5c/Tfdp1/Wdr76/Ube2t/Tff1/Depdc1b/Mcm6/Gins3/Arhgap11a/Ddias/Nasp/Rnaseh2a/Pold3/Gins2/Mcm3/Vrk1/Kntc1/Ung/Dsn1/Brca2/Dars2/Chaf1b/Recql4/Nfatc2/Cenpu/Pola2/Traip/Dlgap5/Haus8/Hells/Mthfd1/Plk4/Ccne2/Wdr62/Impa2/Dnmt1/Mcm10/E2f8/Clspn/Rfc5/Cdca5/Lrr1/Mcm2/Gmnn/Bcl2/H2ax/E2f7/Cbx5/Jak2/Spdl1/Rfc4/Cdca4/Nme1/Tmem120b/Skp2/Esco2/Ska3/E2f1/Ncaph/Cdk2/C1qtnf6/Melk/Ttf2/Dtl/Mcm5/Espl1/Mis18a/Brip1/Psmc3ip/Troap/Prr11/Prim1/Fanci/Fanca/Incenp/Mcm8/Tmpo/Tcf19/Gtse1/Rrm1/Tacc3/Rad51/Ncapg2/Colgalt1/Knstrn/Pkmyt1/Blm/Mtfr2/Pola1/Bard1/Brca1/Uhrf1/Pbk/Dna2/Pole/Kif23/Anln/Ncapd3/Nup107/Stmn1/Fbxo5/Tyms/Rad54l/Mms22l/Chtf18/Amz1/Ttk/Cdk1/Gins1/Fignl1/Polq/Timeless/Atad5/Kifc1/Cenpm/Areg/Rad54b/Pold1/Cep55/Ube2c/Ncapd2/Ccnb2/Cenpn/Lig1/Kif4/Kif11/Smc2/Pclaf/Rrm2/Nusap1/Mastl/Tfap4/Igfbp4/Plk1/Mybl2/Ccdc34/Cdca2/Bub1/Tpx2/Ncapg/Mki67/Aurkb/Nrip1/Cdc45/Prc1/Kif2c/Knl1/Shcbp1/Cit/Top2a/Spag5/Spc24/Birc5/Zwilch/Cenpi/Tk1/Bub1b/Asf1b/Fancd2/Aspm/Stil/Rab31/Ccna2/Gas2l3/Iqgap3/Slc39a8/Nos1ap/Deptor"
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",113,-0.729275248428952,-2.42213676453358,1e-10,1.89708333333333e-08,1.44122807017544e-08,2140,"tags=72%, list=20%, signal=58%","Cep43/Hmgb2/Ezh2/Dtymk/Ncaph2/Lbr/Tdp1/Lxn/Pcna/Cenpa/Cln6/Ube2t/Gins3/Nasp/Paics/Mcm3/Alyref/Cmc2/Kntc1/Pimreg/Dlgap5/Haus8/Cdkn3/Nuf2/Bora/E2f8/Rfc5/Mcm2/H2ax/Dctpp1/Depdc1a/Rfc4/Ranbp1/E2f1/Fabp5/Cdk2/Melk/Kif22/Nek2/Cenpk/Mcm8/Knstrn/Mtfr2/Uhrf1/Parpbp/Spc25/Kif23/Anln/Nup107/Fbxo5/Rad54l/Ttk/Cdk1/Timeless/Kifc1/Ccnb1/Pold1/Cep55/Ube2c/Ccnb2/Cenpn/Kif11/Ckap2/Smc2/Nusap1/Mybl2/Bub1/Hmmr/Prc1/Cdca8/Top2a/Spag5/Birc5/Neil3/Cenpf/Sulf2/Aspm/Kif20a/Ccna2/Cdc20/Qser1"
"LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP",84,-0.748995684721803,-2.39905292955688,1e-10,1.89708333333333e-08,1.44122807017544e-08,1908,"tags=75%, list=18%, signal=62%","Aurka/Cenpa/Cdc25a/Ube2t/Tfdp2/Kif14/Cenpw/Mpp1/Cenpu/Dlgap5/Cdkn3/Sgo2a/Nuf2/Mcm10/E2f8/Lrr1/Mcm2/E2f7/Rad51ap1/Melk/Dtl/Nek2/Tubb5/Prr11/Fanci/Kif15/Uhrf1/Pbk/Tyms/Ttk/Cdk1/Gins1/Ccnb1/Cep55/Ube2c/Ccnb2/Diaph3/Kif11/Pclaf/Rrm2/Nusap1/Oip5/Cdca2/Bub1/Kif18b/Cep128/Hmmr/Ncapg/Mki67/Prc1/Kif2c/Knl1/Cdca3/Top2a/Birc5/Neil3/Bub1b/Aspm/Kif20a/Palld/Cxxc5/Syk/Tnfrsf21"
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",136,-0.707553671636218,-2.39733261189214,1e-10,1.89708333333333e-08,1.44122807017544e-08,2116,"tags=71%, list=20%, signal=57%","Hmgb2/Fen1/Ezh2/Dtymk/Rpa3/Hjurp/Aurka/Pcna/Pafah1b3/Cenpa/Apobec3/Kif14/Dnmt3b/Chaf1b/Cenpu/Pola2/Dlgap5/Hells/Ccne2/Mcm10/E2f8/Dhfr/Mcm2/Gmnn/H2ax/Spdl1/Rad51ap1/E2f1/Ncaph/Melk/Dtl/Espl1/Nek2/Fanci/Tmpo/Gtse1/Kif20b/Slc25a15/Tacc3/Kif15/Brca1/Ercc6l/Pbk/Dna2/Eif4ebp1/Kif23/Hmga1/H2az1/Fbxo5/Tyms/Ttk/Cdk1/Gins1/Polq/Kifc1/Cenpm/Ect2/Ccnb1/Cep55/Ube2c/Ccnb2/Kif4/Kif11/Smc2/Pclaf/Rrm2/Nusap1/Plk1/Oip5/Mybl2/Bub1/Tpx2/Kif18b/Hmmr/Ncapg/Mki67/Aurkb/Prc1/Kif2c/Shcbp1/Cdca8/Cdca3/Top2a/Spag5/Birc5/Cenpe/Tk1/Cenpf/Bub1b/Asf1b/Aspm/Stil/Kif20a/Ccna2/Cdc20/Car2"
"MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP",387,-0.631341071915751,-2.35642577752511,1e-10,1.89708333333333e-08,1.44122807017544e-08,2518,"tags=64%, list=24%, signal=50%","Ccnf/Tex30/Haus6/Trip13/Chek1/Etv5/Chaf1a/Fancg/H1f5/Ccsap/Rfwd3/Smc4/Tedc2/Ddah1/Nup188/Exo1/Wdhd1/Mad2l1/Lrrcc1/Cenpl/Cdca7/Arhgap31/Cdc6/Haspin/Rbl1/BC055324/Rangap1/Cdc25b/Rad18/4930579G24Rik/Lrrc45/Hmgb2/Ezh2/Tipin/Fmnl3/Rcc2/Lmf2/Dtymk/Tmsb15b2/Chek2/Hirip3/Tdp1/Sass6/Ticrr/Mnd1/Gpsm2/Hjurp/Aurka/Fam83d/Orc6/H3c1/Pcna/Cenpa/Tfdp1/Wdr76/Cdc25a/Ube2t/Depdc1b/Gins3/Arhgap11a/Ccdc15/Ddias/Rnaseh2a/Gins2/Prim2/Mis18bp1/Vrk1/Kif14/Kntc1/Zeb2/Dnmt3b/Brca2/Niban1/Chaf1b/Cenpw/Rdm1/Hpse/Phtf2/Cenpu/Pola2/Traip/Dlgap5/Haus8/Sgo1/Orc1/Cdkn3/Sgo2a/Plk4/Nuf2/Ccne2/Wdr62/Slc37a2/Mcm10/Ska1/E2f8/Dhfr/Cdca5/Lrr1/Mcm2/Pgm2l1/Runx1/Mboat1/H2ax/H3c2/Spdl1/Syce2/Tubg1/Rfc4/Cdca4/Cep57l1/Ranbp1/H2ac8/Esco2/Ska3/E2f1/Cdk2/Cenpp/Melk/Kif22/Mcm5/Espl1/Nek2/Ints4/Psmc3ip/Troap/Cenph/Prr11/Prim1/Ckap2l/Fanci/Fanca/Incenp/Mcm8/Tmpo/Tcf19/Gtse1/Rrm1/Wee1/Kif20b/Tacc3/Rad51/Ncapg2/Knstrn/Pkmyt1/Blm/Mtfr2/P2rx7/Bard1/Kif15/Brca1/Ercc6l/Uhrf1/Parpbp/Kif24/Poglut3/Pbk/Dna2/Spc25/Kif23/Anln/Gem/Ncapd3/Nup107/Stmn1/Fbxo5/Tyms/Rad54l/Mms22l/Arhgef39/Ttk/Cdk1/Gins1/Cks1b/Polq/Timeless/Kifc1/Cenpm/Arhgap19/Ect2/Ccnb1/Rad54b/Cdc25c/Cep55/Ncapd2/Aunip/Cenpn/Kif4/Diaph3/Kif11/Tedc1/Tmem237/Pclaf/Rrm2/Nusap1/Plk1/Slc19a1/Oip5/Mybl2/Nt5e/Ccdc34/Rgs9/Bub1/Psrc1/Tpx2/Cep128/Hmmr/Ncapg/Mki67/Hrob/Aurkb/Cdc45/Prc1/Kif2c/Knl1/Rgs12/Shcbp1/Cdca8/Cit/Cdca3/Top2a/Spc24/Birc5/Zwilch/Gng12/Cenpe/Cenpi/Tk1/Mid1/Mdfic/Bub1b/Asf1b/Phf19/Aspm/Stil/Rad51b/Kif20a/Ccna2/Cdc20/Phldb1/Tubb6/Plat/Anxa3/Mical3/Atf3/Gprc5a/Creb5/Slc7a11"
"KONG_E2F3_TARGETS","KONG_E2F3_TARGETS","KONG_E2F3_TARGETS",86,-0.728293410846905,-2.33205669704859,1e-10,1.89708333333333e-08,1.44122807017544e-08,2116,"tags=74%, list=20%, signal=60%","Cdc6/Rbl1/Hmgb2/Fen1/Ezh2/Hjurp/Aurka/Ube2t/Nasp/Mcm3/Chaf1b/Dlgap5/Nuf2/E2f3/Cdca5/H2ax/Spdl1/Syce2/Rad51ap1/Depdc1a/Skp2/Ncaph/Melk/Cenph/Prim1/Cenpk/Incenp/Tacc3/Rad51/Ncapg2/Brca1/Ercc6l/Pbk/Dna2/Spc25/Tyms/Rad54l/Fignl1/Ccnb1/Ube2c/Ncapd2/Kif11/Smc2/Pclaf/Nusap1/Plk1/Bub1/Tpx2/Hmmr/Ncapg/Mki67/Prc1/Kif2c/Shcbp1/Cdca3/Top2a/Tk1/Cenpf/Bub1b/Asf1b/Kif20a/Ccna2/Cdc20/Iqgap3"
"GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP","GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP","GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP",151,-0.673883932575756,-2.32156812404768,1e-10,1.89708333333333e-08,1.44122807017544e-08,2146,"tags=65%, list=20%, signal=52%","Zfp593/Sord/Fen1/Ezh2/Slc25a13/Snrpd1/Rpa3/Rmdn1/Aurka/Acot7/Cenpa/Sfxn1/Rnaseh2a/Gins2/Hat1/Vrk1/Gspt1/Apobec3/Nudt1/Pdlim1/Hbb-bt/Cenpu/Dlgap5/Cdkn3/Ccne2/Mcm10/E2f8/Nudt4/Dhfr/Mcm2/Gmnn/H2ax/Rad51ap1/Elovl6/Rfc4/Mrps28/Ranbp1/Fabp5/Melk/Mcm5/Espl1/Nek2/Fanci/Rrm1/Rad51/Idh2/Kif15/Brca1/Pbk/Spc25/Prkar2b/Shmt2/Stmn1/Fbxo5/Tyms/Ttk/Cdk1/Gins1/Cks1b/Cenpm/Arhgap19/Ect2/Ccnb1/Cep55/Ube2c/Ccnb2/Kif4/Kif11/Smc2/Pclaf/Rrm2/Nusap1/Oip5/Nt5dc2/Bub1/Tpx2/Kif18b/Hmmr/Ncapg/Aurkb/Prdx4/Cdc45/Prc1/Kif2c/Top2a/Spag5/Birc5/Tk1/Cenpf/Bub1b/Aspm/Rab31/Kif20a/Ccna2/Cdc20/Lmna/Hdc/Tubb6"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",153,-0.667983934270634,-2.30722713960441,1e-10,1.89708333333333e-08,1.44122807017544e-08,1920,"tags=58%, list=18%, signal=48%","Hjurp/Aurka/Cenpa/Cdc25a/Mcm6/Rnaseh2a/Mcm3/Vrk1/Cmc2/Apobec3/Kif14/Dsn1/Nudt1/Pimreg/Cenpu/Dlgap5/Cdkn3/Ccne2/Mcm10/E2f8/Mcm2/Rfc4/Nme1/E2f1/Ncaph/Cdk2/Melk/Espl1/Nek2/Mis18a/Troap/Tmpo/Gtse1/Tacc3/Rad51/Ncapg2/Pkmyt1/Blm/Kif15/Parpbp/Shmt2/Stmn1/H2az1/Fbxo5/Tuba1b/Ttk/Cdk1/Gins1/Polq/Timeless/Kifc1/Ect2/Ccnb1/Rad54b/Cep55/Ube2c/Ccnb2/Cenpn/Kif4/Kif11/Rrm2/Nusap1/Plk1/Oip5/Mybl2/Bub1/Tpx2/Kif18b/Hmmr/Ncapg/Mki67/Aurkb/Cdc45/Prc1/Kif2c/Cdca8/Cdca3/Top2a/Spag5/Birc5/Cenpe/Cenpi/Cenpf/Bub1b/Aspm/Stil/Kif20a/Ccna2/Cdc20"
