"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,-0.639422259178602,-2.2553111308904,1e-10,2.5e-09,1.21052631578947e-09,2568,"tags=65%, list=24%, signal=50%","Mre11a/Rfc2/Shmt1/Trp53/Ppp1r8/Trip13/Dscc1/Chek1/Dut/Dck/Rfc1/Dek/Smc4/Xrcc6/Mad2l1/Mthfd2/Anp32e/Pold2/Cdc25b/Hmgb2/Ezh2/Nap1l1/Tipin/Cdk4/Slbp/Chek2/Lbr/Rpa3/Nup205/Lyar/Aurka/Orc6/Cdkn2c/Pcna/Cdc25a/Ube2t/Mcm6/Gins3/Pan2/Nasp/Ak2/Rnaseh2a/Paics/Pold3/Mcm3/Prim2/Eed/Ssrp1/Gspt1/Wdr90/Ung/Brca2/Pa2g4/Pola2/Dlgap5/Cdkn3/Hells/Plk4/Ran/Dnmt1/E2f8/Mlh1/Mcm2/H2ax/Cbx5/Dctpp1/Rad51ap1/Tfrc/Tubg1/Depdc1a/Ranbp1/Nme1/Smc1a/Melk/Kif22/Mcm5/Espl1/Rad50/Mxd3/Tubb5/Psmc3ip/Tmpo/Tcf19/Wee1/Tacc3/Bard1/Brca1/Pole/Spc25/Nup107/Stmn1/Hmga1/H2az1/Mms22l/Myc/Cdk1/Gins1/Cks1b/Timeless/Cenpm/Pold1/Ncapd2/Ccnb2/Lig1/Kif4/Diaph3/Nolc1/Rrm2/Plk1/Mybl2/Cdkn1a/Kif18b/Hmmr/Mki67/Aurkb/Prdx4/Kif2c/Cdca8/Cit/Cdca3/Top2a/Spag5/Spc24/Birc5/Cenpe/Tk1/Bub1b/Asf1b/Nbn/Cdc20"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,-0.60446279278075,-2.113267095897,1e-10,2.5e-09,1.21052631578947e-09,2414,"tags=55%, list=23%, signal=43%","Ccnf/Chek1/Chaf1a/Rbm14/Smc4/Abl1/Kmt5a/Exo1/Mad2l1/Odc1/Cdc6/Rbl1/E2f2/Mt2/Cdc25b/Ezh2/Dkc1/Cdk4/Dtymk/Uck2/Snrpd1/Lbr/Aurka/Egf/Orc6/Hira/Cdkn2c/Cenpa/Tfdp1/Cdc25a/Mcm6/Rps6ka5/Nasp/Gins2/Mcm3/Foxn3/Prim2/Gspt1/Brca2/Pola2/Traip/Cdkn3/Plk4/E2f3/Mnat1/Mcm2/H2ax/Smc1a/E2f1/Kif22/Mcm5/Espl1/Nek2/Slc7a1/Troap/Incenp/Tmpo/Kif20b/Tacc3/Bard1/Kif15/Pbk/Pole/Kif23/Stmn1/Hmga1/H2az1/Fbxo5/Rad54l/Myc/Prmt5/Ttk/Cdk1/Cks1b/Polq/Ube2c/Ccnb2/Kif4/Kif11/Nolc1/Smc2/Nusap1/Plk1/Mybl2/Bub1/Tpx2/Hmmr/Mki67/Aurkb/Cdc45/Prc1/Kif2c/Knl1/Top2a/Birc5/Atf5/Cenpe/Cenpf/Stil/Ccna2/Cdc20/Ccnd1/Marcks/Map3k20/Meis1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",70,-0.724383472706828,-2.26571411277519,4.75051533441834e-09,7.91752555736389e-08,3.83374921724988e-08,1027,"tags=44%, list=10%, signal=40%","Colgalt1/Id2/Gem/Capg/Areg/Igfbp4/Nt5e/Tnfrsf12a/Sdc4/Igfbp3/Plaur/Gadd45a/Thbs1/Tgm2/Itgav/Prss2/Spp1/Cxcl2/Dst/Lrp1/Vegfa/Try5/Ecm1/Basp1/Fn1/Edil3/Rhob/Cadm1/Dab2/Itga5/Anpep"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",139,-0.590906740250882,-1.99011562230366,3.07552833286192e-08,3.8444104160774e-07,1.86150399094274e-07,1781,"tags=50%, list=17%, signal=42%","Plscr1/Csf2/Lrrc8c/Spred2/Nfil3/Traf1/Mapkapk2/Gpx4/P2rx4/Gadd45b/Cd44/Praf2/Phtf2/Tnfrsf18/Nop2/Cxcl10/Fah/Bcl2/Furin/Il4ra/Ahcy/Rabgap1l/Cish/Ikzf2/Serpinc1/Plin2/Ndrg1/Myo1c/Map3k8/Dennd5a/Emp1/Myc/Itgae/Cyfip1/Capg/Ikzf4/Rora/Hk2/Nt5e/Dhrs3/Tnfrsf9/Ctsz/Anxa4/Syngr2/Bmpr2/Swap70/Tgm2/Maff/Itgav/Lif/Ahr/Irf8/Tiam1/Spp1/Car2/Amacr/Il1r2/Socs2/Myo1e/Slc39a8/Plpp1/Igf1r/Irf6/Cd81/Ecm1/Rhob/Prnp/S100a1/Tnfrsf21"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",14,-0.862862633245902,-1.97560469285099,1.13282768861265e-05,0.000113282768861265,5.48527091328232e-05,868,"tags=57%, list=8%, signal=53%","Vav2/Itgav/App/Spp1/Vegfa/Ptk2/Pdgfa/Tnfrsf21"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",107,-0.567449827910976,-1.85895448547999,2.39238524634133e-05,0.000199365437195111,9.65348432734222e-05,1026,"tags=36%, list=10%, signal=33%","Birc3/Pdcd1lg2/Ero1a/Id2/Emp1/Dnmbp/Scn1b/Map7/Tfpi/Ly96/Igfbp3/Il7r/Mtmr10/Plaur/St6gal1/Lat2/Akap12/Tspan13/Lif/Spry2/Irf8/Spp1/Csf2ra/Car2/Plau/Trib1/Hdac9/Fcer1g/Plat/Il1b/Cpe/Rbp4/Tmem176b/Slpi/Tmem176a/Klf4/Evi5/Eng/Ptgs2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",201,-0.492032718571982,-1.73090713850793,8.98691699612987e-05,0.000641922642580705,0.000310825700618026,3668,"tags=56%, list=35%, signal=37%","Eif3b/Psma1/Sf3b3/Eif2s1/Hnrnpc/Hnrnpa2b1/Rps2/Mcm4/Hspd1/Clns1a/Kpna2/Serbp1/Ilf2/Snrpd2/Iars/G3bp1/Srsf3/Psma4/Canx/Tufm/Hdgf/Ppm1g/U2af1/Srsf2/Cct7/Snrpd3/Rps6/Rpl6/Usp1/Snrpa/Cct3/Ube2l3/Abce1/Uba2/Cct2/Lsm2/Ndufab1/Cnbp/Rsl1d1/Pcbp1/Tcp1/Ppia/Ncbp2/Ctps/Hsp90ab1/Ywhae/Npm1/Rnps1/Cct4/Eif4a1/Dut/Rpl14/Exosc7/Dek/Ifrd1/Cyc1/Rack1/Xrcc6/Vbp1/Pole3/Mad2l1/Lsm7/Odc1/Snrpa1/Pold2/Acp1/Eprs/Mrpl23/Nap1l1/Cdk4/Pwp1/Hdac2/Snrpd1/C1qbp/Vdac1/Pcna/Tfdp1/Set/Apex1/Mcm6/Ldha/Txnl4a/Gnl3/Trim28/Impdh2/Gspt1/Prpf31/Rrp9/Pa2g4/Ran/Mcm2/Cad/Fbl/Rfc4/Ranbp1/Nme1/Cdk2/Nop16/Mcm5/Ruvbl2/Rrm1/Nhp2/H2az1/Tyms/Myc/Nolc1/Mrps18b/Prdx4/Cdc45/Srm/Ccna2/Cdc20"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",53,-0.647902410104255,-1.94667175125288,0.000169582664634808,0.000856301429479458,0.000414630165853211,1328,"tags=45%, list=13%, signal=40%","Csrp1/Klf7/Adam9/Furin/Serpinc1/Prep/Trf/Lgmn/Clu/Gng12/Thbs1/Ctsl/Maff/Cd9/Plau/Cpq/Lrp1/F3/Gda/Plat/Anxa1/Fn1/S100a1/Ctsh"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",132,-0.514945981268722,-1.73302589818712,0.000167849110259622,0.000856301429479458,0.000414630165853211,1078,"tags=35%, list=10%, signal=32%","Dusp1/Glrx/Ldha/Nfil3/Aldoc/Csrp2/Jun/Fosl2/Klf7/Bcl2/Gaa/Plin2/Ddit4/Ndrg1/Ero1a/Rbpj/Ext1/Rora/Hk2/Slc25a1/Cdkn1a/Zfp36/Sdc4/Hexa/Igfbp3/Plaur/Adm/Fos/Ier3/Akap12/Tgm2/Maff/Scarb1/Irs2/Tpd52/Tgfb3/Gys1/Vegfa/F3/Gcnt2/Nedd4l/Pam/Large1/Ampd3/Atf3/Hs3st1"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",180,-0.48853404731551,-1.69891166415318,0.000171260285895892,0.000856301429479458,0.000414630165853211,1202,"tags=26%, list=11%, signal=23%","Smc1a/Vcl/Clip2/Kif22/Espl1/Nek2/Incenp/Kif20b/Kif15/Kif23/Anln/Epb41l2/Fbxo5/Ttk/Cdk1/Ect2/Kifap3/Ccnb2/Kif4/Kif11/Nusap1/Plk1/Bub1/Tpx2/Prc1/Kif2c/Arhgap5/Top2a/Birc5/Cenpe/Cd2ap/Cenpf/Mid1/Arhgef11/Dock4/Flnb/Tiam1/Palld/Marcks/Myo1e/Dst/Trio/Pkd2/Arap3/Fgd4/Ccdc88a"
