"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051607","BP","GO:0051607","defense response to virus",189,0.536929680032049,2.39649605369779,1e-10,2.40925925925926e-08,1.77933723196881e-08,1255,"tags=30%, list=12%, signal=27%","Ifit3/Ifit1/Ifit3b/Ifitm3/Oasl2/Bst2/Oas1a/Rtp4/Oas3/Ifitm1/Isg15/Irf7/Zbp1/Oas2/Isg20/Ccl5/Mx2/Mx1/Oasl1/Trim30d/Traf3ip1/Ddx60/Trim65/Polr3k/Ifih1/Trim21/Dtx3l/Exosc4/Trim30a/Ifi204/Ifitm2/Garin5a/Trim26/Trim34a/Parp9/Ifit2/Ddit4/Znfx1/Slfn8/Creb3/Trim32/Trim8/Pml/Rigi/Myd88/Cxcl10/Trim12c/Trim25/Stat2/Elmod2/Agbl5/Oas1b/Vapb/Dhx58/Vamp8/Eif2ak2"
"GO:0140546","BP","GO:0140546","defense response to symbiont",189,0.536929680032049,2.39649605369779,1e-10,2.40925925925926e-08,1.77933723196881e-08,1255,"tags=30%, list=12%, signal=27%","Ifit3/Ifit1/Ifit3b/Ifitm3/Oasl2/Bst2/Oas1a/Rtp4/Oas3/Ifitm1/Isg15/Irf7/Zbp1/Oas2/Isg20/Ccl5/Mx2/Mx1/Oasl1/Trim30d/Traf3ip1/Ddx60/Trim65/Polr3k/Ifih1/Trim21/Dtx3l/Exosc4/Trim30a/Ifi204/Ifitm2/Garin5a/Trim26/Trim34a/Parp9/Ifit2/Ddit4/Znfx1/Slfn8/Creb3/Trim32/Trim8/Pml/Rigi/Myd88/Cxcl10/Trim12c/Trim25/Stat2/Elmod2/Agbl5/Oas1b/Vapb/Dhx58/Vamp8/Eif2ak2"
"GO:0009615","BP","GO:0009615","response to virus",225,0.500202137931236,2.28079424125374,1e-10,2.40925925925926e-08,1.77933723196881e-08,1255,"tags=28%, list=12%, signal=25%","Ifit3/Ifit1/Ifit3b/Ifitm3/Oasl2/Bst2/Oas1a/Rtp4/Oas3/Ifitm1/Isg15/Irf7/Zbp1/Oas2/Isg20/Ifi27l2a/Ccl5/Mx2/Irgm1/Mx1/Oasl1/Trim30d/Traf3ip1/Ddx60/Trim65/Polr3k/Smpd1/Ifih1/Trim21/Dtx3l/Exosc4/Trim30a/Ifi204/Tnf/Ifitm2/Garin5a/Trim26/Trim34a/Parp9/Igtp/Ifit2/Ddit4/Znfx1/Slfn8/Creb3/Trim32/Trim8/Pml/Rigi/Myd88/Cxcl10/Nmi/Trim12c/Trim25/Stat2/Elmod2/Agbl5/Oas1b/Vapb/Dhx58/Vamp8/Eif2ak2"
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex",266,0.468762217658044,2.18609368522914,1e-10,2.40925925925926e-08,1.77933723196881e-08,2650,"tags=52%, list=25%, signal=40%","Mterf4/Pam16/Mrps2/Slc25a4/Dnajc15/Polrmt/Pam16l/Mrps18c/Mrpl43/Cox5b/Mrps36/Mrpl57/Cox7b/Mrpl50/Mrpl53/Ndufa13/Mrpl47/Mrpl58/Ndufv3/Ndufa11/Grpel1/Mrps24/Ndufb4/Mrps35/Idh3a/Chchd10/Cox7c/Ndufb8/Timm10b/Smdt1/Mrpl20/Ndufb2/Atp5l/Apoo/Atp5md/Mrpl30/Ndufb6/Ndufb9/Cox8a/Mrps16/Cox6b1/Ndufa9/Cox6c/Ndufb7/Uqcrq/Atp5j2/Mrpl41/Mrpl11/Tomm22/Cox5a/Mrpl33/Timm17a/Mrpl55/Micos13/Mrpl52/Cox6a1/Mrpl54/Ndufc1/Mrpl9/Ndufa1/Ndufa7/Atp5j/Mrps12/Atp5k/Atp5c1/Mrpl35/Romo1/Uqcrh/Cox7a2/Uqcr10/Mrpl4/Gadd45gip1/Tomm7/Sdhb/Etfb/Atp5h/Ndufb3/Cox4i1/Cyc1/Mrps23/Idh3b/Ndufa12/Mrpl32/Ndufa5/Mrps21/Mrpl18/Ndufa8/Dnajc19/Atp5e/Ndufb10/Mrps30/Ndufa3/Mrps10/Ndufb11/Uqcrb/Mrpl46/Hsd17b10/Mrps31/Mrpl16/Mrpl40/Ndufs6/Atp5g1/Pdhx/Mrps34/Atp5d/Mrpl19/Atp5mpl/Ndufa4/Mrps14/Mrps33/Mrps22/Micos10/Ndufv1/Mrps7/Etfdh/Bax/Mrpl44/Phb/Ndufa6/Ndufs8/Timm17b/Ndufc2/Mrpl42/Mtx3/Mrpl15/Ndufa2/Mrpl49/Ndufab1/Tomm20/Samm50/Afg3l1/Atp5o/Aurkaip1/Atp5pb/Atp5g3/Tomm5/Mrps11/Trmt10b"
"GO:0030155","BP","GO:0030155","regulation of cell adhesion",411,-0.574136641045424,-2.07349876944772,1e-10,2.40925925925926e-08,1.77933723196881e-08,1370,"tags=26%, list=13%, signal=24%","Cd55/Rsu1/Lrrc32/Wnk1/Malt1/Bcl6/Mfsd2b/Vcl/Nf2/Cyth3/Bcl2/Adk/Zc3h8/Kifap3/Serpini1/Stat5a/Ppm1f/Dusp1/Jak2/Cd244a/Plaur/Foxo3/Ift74/Il4ra/Map2k5/Nr4a3/Rbpj/H2-DMa/Cd4/Zfp609/Il6st/Runx1/Il4i1/Afdn/Vav3/Arg2/Emilin2/Ripor2/Zbtb7b/Ptk2/Rgcc/Src/Il2/Il7r/Serpine1/Dusp10/Ass1/Hpse/Wdpcp/Itgav/Vegfa/Spp1/Gsn/Cd80/Lyn/Pik3r2/Il1rn/Ccdc80/Gcnt2/Lif/Prnp/Il6ra/Swap70/Tnfrsf21/Anxa1/Myadm/St6gal1/Nlrp3/Adam15/Dscaml1/Frmd5/Cd9/Rnd1/Cd81/Klf4/Tgm2/H2-Ab1/Cask/Il1a/H2-Eb1/Mmp14/Lrp1/Cd74/Rin2/Carmil1/Plxnb2/Stx3/Plau/Cd24a/Thbs1/Syk/Il1b/H2-Aa/Cd63/Hes1/Fn1/Il18/Edil3/H2-DMb1/Itga5/Nrg1/Dab2/Zfhx3/F11r/Arhgap6/Sox4/Zfp608"
"GO:0048514","BP","GO:0048514","blood vessel morphogenesis",296,-0.57753083625374,-2.05259798217372,1e-10,2.40925925925926e-08,1.77933723196881e-08,970,"tags=24%, list=9%, signal=22%","Map2k5/Ccm2/Rbpj/Pecam1/Gadd45a/Junb/Rora/Runx1/Tcf4/Vav3/Jun/Emilin2/Ldlr/Nox1/Pparg/Vav2/Ptk2/Rhob/S100a1/Prcp/Jcad/Rgcc/Egf/Gpx1/Tgfbr1/Serpine1/Meis1/Ramp1/Myo1e/Ahr/Zfp36l1/Hpse/Itgav/Grn/Tnfsf12/Vegfa/Calcrl/Bmpr2/Tnfrsf12a/Pik3r2/Lif/Hhex/Ctsh/Anxa1/Adam15/Cald1/Stab1/Klf4/Il1a/Lrp1/Apoe/Rin2/Plau/Thbs1/Syk/Anxa3/Nrp2/Hdac9/Ptgs2/Il1b/Hes1/Fn1/Il18/Eng/F3/Itga5/Id1/Anpep/Sox4/Tnfaip2/Arhgap22"
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion",272,-0.579670415798364,-2.04959775084987,1e-10,2.40925925925926e-08,1.77933723196881e-08,1195,"tags=25%, list=11%, signal=22%","Cyth3/Adk/Kifap3/Stat5a/Ppm1f/Jak2/Cd244a/Plaur/Foxo3/Ift74/Il4ra/Nr4a3/H2-DMa/Cd4/Zfp609/Il6st/Runx1/Il4i1/Afdn/Vav3/Emilin2/Zbtb7b/Ptk2/Src/Il2/Il7r/Dusp10/Hpse/Itgav/Vegfa/Spp1/Cd80/Pik3r2/Ccdc80/Gcnt2/Lif/Il6ra/Anxa1/Myadm/Nlrp3/Frmd5/Cd81/Tgm2/H2-Ab1/Il1a/H2-Eb1/Cd74/Rin2/Carmil1/Stx3/Cd24a/Thbs1/Syk/Il1b/H2-Aa/Cd63/Hes1/Fn1/Il18/Edil3/H2-DMb1/Itga5/Nrg1/Dab2/Zfhx3/F11r/Sox4"
"GO:0040017","BP","GO:0040017","positive regulation of locomotion",303,-0.572836781179012,-2.0359328693947,1e-10,2.40925925925926e-08,1.77933723196881e-08,837,"tags=23%, list=8%, signal=22%","Zfp609/Elp3/Wdr62/Il6st/Abcc1/Foxp1/Jun/Mgat5/Ripor2/Ptk2/Rhob/Prr5/Jcad/Rapgef4/Arhgap5/Src/Egf/Irs2/Plcg2/Tgfbr1/Serpine1/Insr/Hpse/Itgav/Grn/Lgmn/Vegfa/Bmpr2/Akap12/Cd151/Lyn/Gcnt2/Gab2/Tirap/Ctsh/Trf/Tiam1/Swap70/Dock7/Anxa1/Myadm/Pld1/Igf1r/App/Il1r1/Dock4/Il1a/Mmp14/Ccr1/Lrp1/Cd74/Rin2/Carmil1/Stx3/Plau/Thbs1/Anxa3/Hdac9/Ptgs2/Il1b/Pla2g7/Cxcl16/Fn1/Il18/F3/Itga5/Dab2/Fer/Tlr4"
"GO:2000147","BP","GO:2000147","positive regulation of cell motility",300,-0.570814202122855,-2.03026174622087,1e-10,2.40925925925926e-08,1.77933723196881e-08,837,"tags=23%, list=8%, signal=21%","Zfp609/Elp3/Wdr62/Il6st/Abcc1/Foxp1/Jun/Mgat5/Ripor2/Ptk2/Rhob/Prr5/Jcad/Rapgef4/Arhgap5/Src/Egf/Irs2/Plcg2/Tgfbr1/Serpine1/Insr/Hpse/Itgav/Grn/Lgmn/Vegfa/Bmpr2/Akap12/Cd151/Lyn/Gcnt2/Gab2/Tirap/Ctsh/Trf/Tiam1/Swap70/Dock7/Anxa1/Myadm/Pld1/Igf1r/App/Il1r1/Dock4/Il1a/Mmp14/Ccr1/Lrp1/Cd74/Rin2/Carmil1/Plau/Thbs1/Anxa3/Hdac9/Ptgs2/Il1b/Pla2g7/Cxcl16/Fn1/Il18/F3/Itga5/Dab2/Fer/Tlr4"
"GO:0030335","BP","GO:0030335","positive regulation of cell migration",294,-0.571460329262478,-2.02994143982411,1e-10,2.40925925925926e-08,1.77933723196881e-08,837,"tags=23%, list=8%, signal=22%","Zfp609/Elp3/Wdr62/Il6st/Abcc1/Foxp1/Jun/Mgat5/Ripor2/Ptk2/Rhob/Prr5/Jcad/Rapgef4/Arhgap5/Src/Egf/Irs2/Plcg2/Tgfbr1/Serpine1/Insr/Hpse/Itgav/Grn/Lgmn/Vegfa/Bmpr2/Akap12/Cd151/Lyn/Gcnt2/Gab2/Tirap/Ctsh/Tiam1/Swap70/Dock7/Anxa1/Myadm/Pld1/Igf1r/App/Il1r1/Dock4/Il1a/Mmp14/Ccr1/Lrp1/Cd74/Rin2/Carmil1/Plau/Thbs1/Anxa3/Hdac9/Ptgs2/Il1b/Pla2g7/Cxcl16/Fn1/Il18/F3/Itga5/Dab2/Fer/Tlr4"
