"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MCLACHLAN_DENTAL_CARIES_UP","MCLACHLAN_DENTAL_CARIES_UP","MCLACHLAN_DENTAL_CARIES_UP",132,-0.763176696271171,-2.75547886458958,1e-10,2.39631578947368e-08,1.72465373961219e-08,904,"tags=42%, list=9%, signal=39%","Birc3/Rgs2/Ccl3/Irf8/Tent5c/Ifi30/Cd55/Pecam1/Lyz2/Fcer1g/H2-DMa/Il7r/Ighm/Tyrobp/Cd4/Spp1/Il13ra1/Plaur/Cxcl1/Igfbp4/Plau/Timp1/Stab1/Apoe/Cybb/Tnfrsf21/Lyn/Ctsh/Rab31/Cd74/H2-Ab1/Pla2g7/H2-Eb1/Ncf2/Cebpd/Il1rn/Trib1/S100a9/Slpi/Alox5ap/Adm/H2-Aa/S100a8/Ier3/Chst15/Ccr1/Mrc1/Anpep/Cxcl2/Ptgs2/Cd14/Slc7a11/H2-DMb1/Abca1/Il1b/G0s2"
"GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP",127,0.599098061666261,2.6617140534273,1e-10,2.39631578947368e-08,1.72465373961219e-08,589,"tags=26%, list=6%, signal=25%","Ifit3/Ifi44/Bst2/Ifit1/Usp18/Rtp4/Oas2/Isg15/Irf7/Oas1a/Mx2/Lgals3bp/Parp12/Zbp1/Cxcl10/Irgm1/Eif2ak2/Ifi204/Mettl7a1/Gbp2/Resf1/Tor3a/Ifih1/Lipa/Trim8/Ddx60/Ifit2/Gbp9/Irf9/Gtf3c6/Ebna1bp2/Apol8/Sod2"
"REACTOME_MITOCHONDRIAL_TRANSLATION","REACTOME_MITOCHONDRIAL_TRANSLATION","REACTOME_MITOCHONDRIAL_TRANSLATION",93,0.61219470589495,2.59644706423918,1e-10,2.39631578947368e-08,1.72465373961219e-08,2680,"tags=68%, list=25%, signal=51%","Mrpl53/Mrpl49/Mrpl50/Mrpl27/Mrpl43/Mrpl35/Mrpl30/Mrps10/Mrps18a/Mrps35/Mrps12/Mrpl22/Mrpl20/Mrpl55/Mrps22/Mrpl51/Mrpl40/Mrps24/Mrps17/Mrpl12/Mrpl21/Mrps34/Mrps21/Mrpl2/Mrps25/Mrpl15/Mrpl39/Mrpl38/Mrpl14/Mrpl34/Mrpl11/Mrps7/Mrpl58/Mrps5/Mrps18c/Mrpl17/Mrpl19/Mrpl18/Mrps11/Mrpl42/Mrps14/Mrps33/Mrrf/Mrpl28/Chchd1/Mrpl9/Tsfm/Dap3/Mrpl46/Mtif3/Mrps15/Mrpl16/Mrps23/Mrpl57/Mrpl36/Mrps36/Mrps31/Mrpl4/Gadd45gip1/Mrps16/Mrpl33/Aurkaip1/Mrps26"
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN",88,-0.74150374219362,-2.52111125070526,1e-10,2.39631578947368e-08,1.72465373961219e-08,619,"tags=34%, list=6%, signal=32%","Spns3/Emp1/Tmcc3/Jun/Rps6ka2/Prnp/Il7r/Adgrg3/Cxcl1/Mmp14/Dock4/Il1r2/Lgmn/Cybb/Cd9/Clu/Pla2g7/Ncf2/Itgam/Aldh2/Cd24a/S100a9/Slpi/H2-Aa/Mrc1/Dab2/Cxcl2/Cd14/Slc7a7/Creb5"
"VERHAAK_AML_WITH_NPM1_MUTATED_UP","VERHAAK_AML_WITH_NPM1_MUTATED_UP","VERHAAK_AML_WITH_NPM1_MUTATED_UP",91,-0.735230334029786,-2.50279555826235,1e-10,2.39631578947368e-08,1.72465373961219e-08,352,"tags=30%, list=3%, signal=29%","Selenop/Plaur/Cxcl1/Lmna/Laptm4b/Hmox1/Clu/Camk1/Mctp1/Basp1/Ctsl/Trib1/Marcks/Pla2g4a/Thbs1/Ier3/Pilra/Chst15/Ccr1/Dmxl2/Cxcl2/Cd14/Tnfaip2/Il1b/G0s2/Arhgap22/Tlr4"
"MCBRYAN_PUBERTAL_BREAST_4_5WK_UP","MCBRYAN_PUBERTAL_BREAST_4_5WK_UP","MCBRYAN_PUBERTAL_BREAST_4_5WK_UP",118,-0.696381378740094,-2.4674638386043,1e-10,2.39631578947368e-08,1.72465373961219e-08,890,"tags=38%, list=8%, signal=35%","Bcl6/Slc44a2/Runx1/Trmt1/Sesn3/Cnn3/Mfge8/Retreg1/Fos/Jun/Patj/Ripor2/Dusp16/Hspa1a/Spp1/Tgm2/Plpp2/Hspa1b/Scin/Spon1/Timp1/Cd9/Tnfrsf12a/Irf6/Arg2/Palld/Pla2g7/H2-Eb1/Wfdc2/Cystm1/Krt8/Tgfb3/Cd24a/Slpi/Krt18/Cald1/Rnf128/Thbs1/F3/Fn1/Krt19/Plat/Cd14/Sox4/Tnfaip2"
"ONDER_CDH1_TARGETS_2_DN","ONDER_CDH1_TARGETS_2_DN","ONDER_CDH1_TARGETS_2_DN",185,-0.657815669150471,-2.45999574856921,1e-10,2.39631578947368e-08,1.72465373961219e-08,958,"tags=41%, list=9%, signal=38%","Fgd6/Slc31a2/Upp1/Zhx2/Camk2b/Map7/Birc3/Hook1/Car2/Lrrc1/Gm2a/Mast4/Abcg2/Ifi30/Cd55/Ly75/Inpp4b/Dusp10/Fos/Lsr/Slc12a8/Tspan13/Flnb/Slc2a9/Myo1e/Serinc5/Slc39a8/Cxcl1/Mob3b/Anxa3/Il1r2/Ndrg1/Lrp12/Plau/Myo1d/Vdr/Tnfrsf21/Lyn/Ctsh/Dst/Cd9/Irf6/Arg2/Pstpip2/Il18/Ncf2/St6gal1/Mreg/Mtss1/Krt8/Ampd3/Il1rn/Cd24a/Ctsl/Gprc5a/S100a9/Slpi/Pla2g4a/Krt18/Rnf128/S100a8/Tmem51/Syk/F3/Hdac9/Ier3/Il1a/F11r/Cxcl2/Ptgs2/Cadm1/Hs3st1/Nrg1/Bhlhe41/Il1b/G0s2"
"CHYLA_CBFA2T3_TARGETS_UP","CHYLA_CBFA2T3_TARGETS_UP","CHYLA_CBFA2T3_TARGETS_UP",182,-0.640277297443816,-2.39793905896826,1e-10,2.39631578947368e-08,1.72465373961219e-08,1727,"tags=47%, list=16%, signal=40%","Ppp1r3b/Hpse/Cebpb/Sun2/Itpkb/Poglut3/Slco3a1/Zfp235/Gpr160/Atp10a/4931406C07Rik/Phf21a/Rin3/Rhoq/Rab27a/Thada/Ern1/Ikbke/Rasgrp2/Ccdc125/Ppm1k/Gca/Galk2/Atp13a2/Klhl5/Unc93b1/Smyd4/Vat1/Alpk1/P2rx7/Pkd1l3/Mast4/Plekha1/Cdin1/Socs2/Spns3/Plcg2/Emp1/Ramp1/Pik3ip1/Tcn2/Egln3/Vill/Idh1/Ass1/Trf/Pam/Nim1k/Atrnl1/Ldlrad3/Cxxc5/B4galt6/Adgrg3/Nostrin/Rbpms/Plpp2/Anxa3/Rhob/Lrp12/Rab27b/Fndc3b/Nav2/Cask/Gys1/Tnfrsf12a/Irf6/Peli2/Rab31/Ralb/Sgms2/Ncf2/Mctp1/Pard3b/App/Ctsl/Gprc5a/Id1/Slpi/Alox5ap/Krt18/H2-Aa/Eepd1/Fnbp1l/Hdc/Nrg1"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17",175,0.510025168364662,2.36634230352947,1e-10,2.39631578947368e-08,1.72465373961219e-08,3000,"tags=61%, list=28%, signal=44%","Capn2/Hmgcs1/Trappc4/Gclm/Gstp1/Hmbs/Grpel1/Dpp3/Dohh/Pdap1/Mrps12/Txnrd1/Fam162a/Mrps22/Vdac3/Rps6ka4/Pdcd2/Mrpl51/Eif1ax/Srsf9/Polr3k/Dlgap4/Mrpl21/Ufc1/Mrps34/Ruvbl1/Mrpl2/Rnf7/Stub1/Cyb5r1/Romo1/Drap1/Arl3/Cnih1/Hsd17b12/Cope/Ndufa11/Ciao2b/Tor2a/Cmpk1/Ndufb6/Mrpl34/Fkbp1a/Krtcap2/Coq7/Mrps7/Mrpl58/Ifi35/Sdhb/Cenpb/Samm50/Alg5/Ndufb9/Tram1/Psmd8/Cops6/Aldh9a1/Slirp/Eif4a3/Mrpl18/Mrps11/Psmb6/Eif4e2/Mrps14/Xrcc5/Psma7/Erp29/Lrpap1/Lamtor1/Timm13/Ddx1/Erh/Ddx54/Mrps15/Ndufab1/Mrpl16/Rxylt1/Bag1/Pias3/Yipf5/Prelid1/Mrpl36/Slc25a39/Cdk4/Ndufs6/Arl2bp/Smap1/Ndufv2/Ndufb7/Lias/Lsm7/Phb2/Aurkaip1/Dnajc19/Cops5/Smdt1/Hsd17b4/Tmed10/Ccdc12/Ddost/Rpn2/Set/Psmb7/Parl/Psmg1/Ndufs3"
"ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP","ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP","ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP",224,-0.618842775991424,-2.34699071884332,1e-10,2.39631578947368e-08,1.72465373961219e-08,947,"tags=28%, list=9%, signal=26%","Ston2/Stat5a/Hdac4/Rel/Arhgap31/Rcan1/Dennd5a/Irf8/P2rx7/Catsper2/Cd55/Cdon/Tnfrsf9/Nfkb1/Atp1b1/Zeb2/Bambi/Fry/St3gal1/Lif/Acvr2a/Hspa1a/Plaur/Hectd2/Osm/Zc3h12c/Cxcl1/Trip10/Hspa1b/Aff3/Ndrg1/Cd80/Fndc3b/Spon1/Ldlr/Akap12/Vegfa/Dnhd1/Tpd52/Palld/Nedd4l/Il18/Sgms2/Basp1/Cnksr3/Marcks/Adm/Serpine1/F3/Ier3/Krt19/Psd3/Il1a/Dmxl2/Cxcl2/Ptgs2/Adgrl3/Tnfaip2/Tcf7l2/Abca1/Creb5/Il1b/G0s2"
