"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,-0.622577068000943,-2.29046123227636,1.08362093174855e-10,5.41810465874275e-09,2.39537258597048e-09,941,"tags=29%, list=9%, signal=27%","Stat5a/Rel/Birc3/Rcan1/Dennd5a/Egr1/Tnfrsf9/Dnajb4/Tank/Nfkb1/Fos/Irs2/Jun/Il6st/Il7r/Lif/Gadd45a/Zfp36/Plaur/Cxcl1/Trip10/Ifngr2/Rhob/Cd80/Plau/Ldlr/Atf3/Vegfa/Zbtb10/Ccnd1/Klf9/Klf4/Il18/Cebpd/Trib1/Marcks/Tsc22d1/Serpine1/F3/Ier3/Il1a/Cxcl2/Ptgs2/Tnfaip2/Abca1/Il1b/G0s2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.628472472313455,2.5550527741008,3.37462310207503e-10,8.43655775518757e-09,3.72984658650398e-09,451,"tags=29%, list=4%, signal=28%","Ifit3/Ifi44/Bst2/Usp18/Oasl1/Rtp4/Isg15/Irf7/Oas1a/Mx2/Batf2/Lgals3bp/Parp12/Isg20/Cxcl10/Ube2l6/Ifitm3/Eif2ak2/Gbp2/Ifih1/Dhx58/Ddx60/Ifit2/Irf9"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",70,-0.744067700152504,-2.42298882006719,3.44579645589147e-09,5.2552373898371e-08,2.32336810919114e-08,524,"tags=43%, list=5%, signal=41%","Try5/Nt5e/Prss2/Jun/Gadd45a/Spp1/Itgav/Plaur/Tgm2/Ecm1/Cxcl1/Mmp14/Igfbp4/Rhob/Timp1/Vegfa/Dst/Tnfrsf12a/Basp1/Lrp1/Cald1/Serpine1/Thbs1/Igfbp3/Fn1/Dab2/Anpep/Cxcl2/Itga5/Cadm1"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",107,-0.673305016268777,-2.33133832104674,4.20418991186968e-09,5.2552373898371e-08,2.32336810919114e-08,909,"tags=33%, list=9%, signal=30%","Map7/Birc3/Atg10/Car2/Irf8/Mmd/Pecam1/Satb1/Fcer1g/Rabgap1l/Emp1/Tspan13/Il7r/Lif/Spp1/Csf2ra/Plaur/Spon1/Plau/Tfpi/Akap12/Klf4/St6gal1/Evi5/Rbp4/Eng/Trib1/Slpi/Cpe/Igfbp3/Hdac9/Plat/Ptgs2/Il1b/G0s2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",194,0.447068151101787,2.0999531944886,9.83554081714689e-09,9.83554081714689e-08,4.34834436126494e-08,3315,"tags=58%, list=31%, signal=41%","Acadm/Nqo2/Tomm22/Atp6v1e1/Timm17a/Grpel1/Mrpl35/Cycs/Eci1/Mrps12/Cox15/Timm10/Timm8b/Atp6v0b/Mrps22/Vdac3/Atp6v0e/Ndufb4/Uqcrb/Idh3a/Ndufb2/Vdac2/Mrpl15/Pdp1/Hsd17b10/Ndufb8/Ndufb6/Ndufc1/Atp6v0c/Mrpl34/Mrpl11/Ndufa4/Sdhb/Atp6v1g1/Prdx3/Ndufa8/Ndufs8/Ndufv1/Atp5j/Acaa1a/Ndufb3/Por/Slc25a4/Mrps11/Ndufb5/Ndufa7/Acaa2/Echs1/Sdhd/Oat/Cyc1/Atp5k/Suclg1/Timm13/Atp5j2/Mtx2/Alas1/Atp5pb/Polr2f/Ech1/Mrps15/Ndufab1/Ndufa5/Ndufs2/Cox5b/Atp5g1/Atp5o/Etfb/Ndufa3/Iscu/Cox17/Uqcr11/Atp5c1/Idh3b/Cox6a1/Ndufs6/Lrpprc/Mtrf1/Ndufv2/Atp6v1f/Ndufb7/Uqcrfs1/Cox7b/Cox6b1/Phb2/Atp5g3/Acat1/Ndufb1/Cox5a/Hspa9/Surf1/Cpt1a/Uqcrc1/Cox7a2/Phyh/Pmpca/Vdac1/Fdx1/Ndufs7/Cyb5r3/Uqcr10/Acadvl/Ndufs3/Aifm1/Ndufc2/Atp5h/Mrps30/Fxn/Uqcrq/Tcirg1/Ndufa6/Bax/Ndufa2"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",53,-0.752397632366969,-2.34062520816565,3.09184175389463e-08,2.57653479491219e-07,1.13909959354013e-07,472,"tags=40%, list=4%, signal=38%","S100a1/Cpq/Trf/Gsn/Gda/Serpinc1/Mmp14/Lgmn/Plau/Timp1/Ctsh/Cd9/Clu/Anxa1/Lrp1/Ctsl/Serpine1/Thbs1/F3/Fn1/Plat"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",119,-0.592508343491184,-2.0956578325537,9.98021897215302e-07,7.01176230990395e-06,3.09993702122069e-06,654,"tags=24%, list=6%, signal=23%","Car2/Cd55/Cd46/Fcer1g/Prcp/Cpq/Hspa1a/Plaur/Cxcl1/Serpinc1/Mmp14/Dock4/Lgmn/Timp1/Lyn/Ctsh/Clu/Pla2g7/Lrp1/Itgam/Ctsl/Mmp13/S100a9/Pla2g4a/Serpine1/F3/Fn1/Plat/Cxcl2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.453300994174743,2.05016034944577,1.12188196958463e-06,7.01176230990395e-06,3.09993702122069e-06,451,"tags=21%, list=4%, signal=21%","Ifit3/Ifi44/Bst2/Usp18/Oas3/Oasl1/Rtp4/Oas2/Isg15/Irf7/Mx2/Batf2/Lgals3bp/Parp12/Isg20/Vamp5/Xaf1/Zbp1/Cxcl10/Ube2l6/Socs3/Ifitm3/Eif2ak2/Rnf213/Il18bp/Ifih1/Casp3/Dhx58/Ddx60/Ifit2/Gbp9/Irf9"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",104,-0.593458787394957,-2.04330772234814,5.64064154085357e-06,3.13368974491865e-05,1.38542072933245e-05,1144,"tags=37%, list=11%, signal=33%","Add3/Sh3bp5/Jak2/Elf1/Itpk1/Bcl2/Tbc1d30/Mybl1/Inpp5f/Elovl5/Mast4/Retreg1/Fos/Nrip1/Dhrs3/Scarb1/Il6st/Flnb/Rps6ka2/Papss2/Tgm2/Igfbp4/Igf1r/Tiam1/Blvrb/Ttc39a/Nav2/Ccnd1/Deptor/Rab31/Klf4/Gab2/Mreg/Krt8/Myof/Pex11a/Krt18/Krt19"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",119,-0.564909207173008,-1.99804174523229,1.00819535100483e-05,5.04097675502413e-05,2.22864235485277e-05,571,"tags=21%, list=5%, signal=20%","Gpx1/Emp1/Retsat/Jun/Gadd45a/Gsn/Rhob/Lmna/Timp1/Atf3/Hmox1/Hspb1/Ccnd1/Tnfrsf12a/Clu/Bmf/Il18/Anxa1/App/Krt18/Ier3/Plat/Il1a/Cd14/Il1b"
