"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane",441,-0.379023238360832,-1.91537183053498,1.05306526579512e-09,6.85124261926304e-06,6.36716514392333e-06,3028,"tags=45%, list=29%, signal=34%","Hadh/Mrps26/Mrpl16/Acadvl/Capn10/Acsl5/Trmt10b/Samm50/Pam16/Chchd6/Coq8b/Tmem242/Cox5a/Ndufs6/Ndufc1/Mtch2/Cox18/Ndufa13/Abcb10/Mrpl15/Ndufc2/Mrpl45/Ndufs2/Mrpl32/Mpst/Mdh2/Mrpl23/Cox7a2/Nipsnap1/Mrpl46/Atp5d/Ndufb9/Ucp2/Mrps21/Aurkaip1/Dhrs1/Sphk2/Atp5b/Ndufa8/Mrpl33/Tomm22/Mrpl19/Atp5j2/Cox6a1/Ccdc51/Cibar1/Fech/Atp5pb/Mrps18c/Sod2/Tmem14c/Exog/Ndufv1/Ndufb8/Romo1/Ndufs3/Ndufa12/Sdhd/Uqcr11/Slc25a5/Vdac2/Crls1/Slc25a11/Atp5j/Smdt1/Phb2/Tufm/Mrps17/Mrpl18/Atp5o/Mcub/Ndufs7/Ndufb6/Slc25a33/Acat1/Atp5g1/Mpv17l2/Sdhb/Mrps24/Timm17a/Mrps15/Uqcr10/Gadd45gip1/Mrps23/Ndufa4/Mrpl42/Mpc2/Coq7/Atp5k/Slc25a10/Micos13/Ndufb10/Tmem256/Mrps27/Atp23/Fdx1/Psen2/Suclg1/Mrpl20/Mrps11/Mrpl21/Sirt5/Slc25a15/Mrps12/Dnajc11/Mrpl43/Mrpl39/Lgals3/Timm9/Micos10/Ndufs5/Mrpl22/Smim20/Mrpl49/Gpx4/Mrps33/Dhfr/Mrps14/Hspd1/Dhodh/Mrpl35/Sco2/Mrpl38/Mrpl50/Tmem126a/Timm44/Ndufab1/Shmt2/Cox15/Timm23/Vdac3/Uqcrb/Uqcc2/Ndufb2/Coq2/Stoml2/Mrps18a/Mrps7/Timm13/Mrpl27/Vdac1/Mrpl51/Gcdh/Rcc1l/Mrpl36/Foxred1/Grpel1/Cyc1/Tomm40/Mrpl55/Grpel2/Ak2/Phb/Sfxn5/Slc25a13/Mrps5/Mrpl2/Gcat/Endog/Slc27a1/Cox7a1/Mrpl53/Mrpl40/Timm21/Chchd1/Pmpcb/Slc25a37/Coa3/Mrpl12/Eci1/Mrps28/Slc25a39/Mrpl17/Pcx/Tyms/Mrps25/Timm50/Mrpl28/Mrpl34/Mrps18b/Mrps10/Sco1/Atad3a/Timm8a1/Sfxn1/Mrpl11/Abcd3/Mtx1/Ndufb4b/Slc8b1/Mpv17/Slc25a1/Slc25a23/Abcb8/Slc25a24/Them4/Coq4/Src/Gatm/Gstk1"
"GO:0019866","CC","GO:0019866","organelle inner membrane",470,-0.368300894108104,-1.86925564468435,2.3308946899454e-09,7.5824004263924e-06,7.04666268370863e-06,3042,"tags=44%, list=29%, signal=33%","Lbr/Hadh/Mrps26/Mrpl16/Acadvl/Capn10/Acsl5/Trmt10b/Samm50/Pam16/Chchd6/Coq8b/Tmem242/Cox5a/Ndufs6/Ndufc1/Mtch2/Cox18/Ndufa13/Abcb10/Mrpl15/Ndufc2/Mrpl45/Ndufs2/Mrpl32/Mpst/Mdh2/Mrpl23/Cox7a2/Nipsnap1/Mrpl46/Atp5d/Ndufb9/Ucp2/Mrps21/Aurkaip1/Dhrs1/Sphk2/Atp5b/Ndufa8/Mrpl33/Tomm22/Mrpl19/Atp5j2/Cox6a1/Ccdc51/Cibar1/Fech/Atp5pb/Mrps18c/Sod2/Tmem14c/Exog/Ndufv1/Ndufb8/Nrm/Romo1/Ndufs3/Ndufa12/Sdhd/Uqcr11/Slc25a5/Vdac2/Crls1/Slc25a11/Tmpo/Atp5j/Smdt1/Phb2/Tufm/Mrps17/Mrpl18/Atp5o/Mcub/Ndufs7/Ndufb6/Unc50/Slc25a33/Acat1/Atp5g1/Mpv17l2/Sdhb/Mrps24/Timm17a/Mrps15/Uqcr10/Gadd45gip1/Mrps23/Ndufa4/Mrpl42/Mpc2/Coq7/Atp5k/Slc25a10/Micos13/Ndufb10/Tmem256/Mrps27/Atp23/Fdx1/Psen2/Smad1/Suclg1/Mrpl20/Mrps11/Tmem43/Mrpl21/Sirt5/Slc25a15/Mrps12/Dnajc11/Mrpl43/Mrpl39/Lgals3/Timm9/Micos10/Ndufs5/Mrpl22/Smim20/Mrpl49/Gpx4/Mrps33/Dhfr/Arl6ip6/Mrps14/Hspd1/Dhodh/Mrpl35/Sco2/Mrpl38/Mrpl50/Tmem126a/Timm44/Ndufab1/Shmt2/Cox15/Timm23/Vdac3/Uqcrb/Uqcc2/Ndufb2/Coq2/Stoml2/Mrps18a/Mrps7/Timm13/Mrpl27/Vdac1/Mrpl51/Gcdh/Rcc1l/Mrpl36/Foxred1/Grpel1/Cyc1/Tomm40/Dpy19l1/Mrpl55/Grpel2/Ak2/Phb/Sfxn5/Slc25a13/Mrps5/Mrpl2/Gcat/Endog/Slc27a1/Cox7a1/Mrpl53/Mrpl40/Timm21/Chchd1/Pmpcb/Slc25a37/Coa3/Mrpl12/Eci1/Mrps28/Slc25a39/Mrpl17/Pcx/Tyms/Mrps25/Timm50/Mrpl28/Mrpl34/Mrps18b/Mrps10/Sco1/Atad3a/Timm8a1/Sfxn1/Mrpl11/Abcd3/Mtx1/Ndufb4b/Slc8b1/Mpv17/Slc25a1/Slc25a23/Abcb8/Slc25a24/Them4/Coq4/Src/Gatm/Gstk1"
"GO:0000793","CC","GO:0000793","condensed chromosome",230,-0.440424532147897,-2.07243719240802,7.01041992250202e-09,1.52032640052661e-05,1.41290708894216e-05,2442,"tags=40%, list=23%, signal=32%","Chmp2b/Spout1/Dctn1/Nsmce4a/Nsmce3/Kntc1/Cdk2/Cfdp1/Blm/Lrpprc/Cenpu/Ska3/Hmgb2/Nuf2/Brca1/Ncaph/Nup37/Cenph/Ncapg2/Psen2/Ncapd3/Incenp/Champ1/Rrs1/Hjurp/Chmp2a/Smc1a/Cenpk/Kat5/Sec13/Eid3/Rcc1/Brca2/Cenpw/Msh5/Nup133/Pmf1/Rad9a/Spdl1/Nek2/Hmg20b/Nudcd2/Pes1/Dsn1/H2ax/Hormad2/Spag5/Ncapd2/Cenpx/Ncapg/Knstrn/Ska1/Zwilch/Ttk/Sgo2a/Chmp5/Nup107/Bub1b/Tubg1/Septin2/Spc25/Mki67/Cbx5/Smc2/Nifk/Fancd2/Cenpm/Knl1/Plk1/Rad51/Sgo1/Cenpn/Syce2/Cenps/Nol6/Nsmce1/Aurkb/Psmc3ip/Ccnb1/Banf1/Cenpf/Kifap3/Bub1/Kif2c/Bod1/Top2a/Spc24/Birc5/Ercc6l/Cenpe/Cenpi/Hmbs/Xlr"
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex",266,-0.427739026997972,-2.05148249123726,9.90249274883928e-09,1.61064044559871e-05,1.49683995656139e-05,3504,"tags=56%, list=33%, signal=38%","Mrps22/Tomm7/Atp5mpl/Tomm20/Ndufv2/Mrpl57/Mrps34/Spg7/Mrpl30/Mrpl14/Atp5a1/Ndufa5/Ndufb5/Malsu1/Hsd17b10/Timm10b/AA467197/Atp5c1/Ndufb4/Mrpl3/Bckdk/Mrps26/Mrpl16/Trmt10b/Samm50/Pam16/Chchd6/Cox5a/Ndufs6/Ndufc1/Ndufa13/Mrpl15/Ndufc2/Mrpl45/Ndufs2/Mrpl32/Mrpl23/Cox7a2/Idh3a/Mrpl46/Atp5d/Ndufb9/Mrps21/Aurkaip1/Atp5b/Ndufa8/Mrpl33/Tomm22/Mrpl19/Atp5j2/Cox6a1/Atp5pb/Mrps18c/Ndufv1/Ndufb8/Romo1/Ndufs3/Ndufa12/Sdhd/Uqcr11/Slc25a5/Atp5j/Smdt1/Phb2/Mrps17/Mrpl18/Atp5o/Mcub/Ndufs7/Ndufb6/Atp5g1/Mpv17l2/Sdhb/Mrps24/Timm17a/Mrps15/Uqcr10/Gadd45gip1/Mrps23/Ndufa4/Mrpl42/Atp5k/Trmt10c/Micos13/Ndufb10/Mrps27/Suclg1/Mrpl20/Mrps11/Mrpl21/Mrps12/Dnajc11/Mrpl43/Mrpl39/Timm9/Micos10/Ndufs5/Mrpl22/Mrpl49/Mrps33/Mrps14/Mrpl35/Mrpl38/Dna2/Mrpl50/Ndufab1/Timm23/Uqcrb/Ndufb2/Dbt/Mrps18a/Mrps7/Timm13/Mrpl27/Vdac1/Mrpl51/Mrpl36/Foxred1/Grpel1/Cyc1/Tomm40/Mrpl55/Grpel2/Phb/Mrps5/Mrpl2/Tomm5/Mrpl53/Mrpl40/Timm21/Chchd1/Pmpcb/Mrpl12/Mrps28/Mrpl17/Mrps25/Etfb/Timm50/Mrpl28/Mrpl34/Mrps18b/Mrps10/Prorp/Timm8a1/Mrpl11/Mtx1/Mtx2/Ndufb4b"
"GO:0005740","CC","GO:0005740","mitochondrial envelope",609,-0.333147538493565,-1.71966379568505,1.6040310963465e-08,2.08716526256606e-05,1.93969570892932e-05,3028,"tags=41%, list=29%, signal=31%","Hadh/Msto1/Mrps26/Mrpl16/Acadvl/Cisd1/Capn10/Acsl5/Trmt10b/Samm50/Vat1/Pam16/Chchd6/Coq8b/Tmem242/Cox5a/Ndufs6/Ndufc1/Ppp1cc/Mtch2/Cox18/Ndufa13/Abcb10/Mrpl15/Ndufc2/Nlrx1/Mrpl45/Ivd/Ndufs2/Mrpl32/Mpst/Mdh2/Mrpl23/Cox7a2/Nipsnap1/Mrpl46/Atp5d/Acad11/Ndufb9/Ucp2/Mrps21/Aurkaip1/Dhrs1/Sphk2/Atp5b/Ndufa8/Mrpl33/Tomm22/Coa6/Mrpl19/Atp5j2/Cox6a1/Prelid1/Pebp1/Ccdc51/Cibar1/Fech/Mtch1/Atp5pb/Mrps18c/Sod2/Tmem14c/Exog/Ndufv1/Ndufb8/Romo1/Ndufs3/Ndufa12/Sdhd/Uqcr11/Cox10/Slc25a5/Vdac2/Crls1/Slc25a11/Atp5j/Smdt1/Phb2/Tufm/Mrps17/Calm3/Pgrmc1/Prkn/Mrpl18/Atp5o/Mcub/Ndufs7/Ndufb6/Slc25a33/Acat1/Htra2/Atp5g1/Mpv17l2/Armc1/Scp2/Sdhb/Mrps24/Timm17a/Mrps15/Uqcr10/Gadd45gip1/Mrps23/Ndufa4/Mrpl42/Mpc2/Coq7/Atp5k/Slc25a10/Micos13/Ndufb10/Bad/Tmem256/Mrps27/Atp23/Fdx1/Psen2/Coa7/Suclg1/Prelid3b/Mrpl20/Mrps11/Pdia3/Acads/Mrpl21/Sirt5/Slc25a15/Mrps12/Dnajc11/Mrpl43/Mrpl39/Lgals3/Timm9/Micos10/Ndufaf4/Ndufs5/Mrpl22/Smim20/Mrpl49/Diablo/Gpx4/Mrps33/Bak1/Acsl3/Dhfr/Chchd4/Aifm2/Mrps14/Hspd1/Dhodh/Mrpl35/Sco2/Mrpl38/Abcb6/Tspo/Cycs/Mrpl50/Tmem126a/Timm44/Ndufab1/Shmt2/Plec/Cox15/Timm23/Vdac3/Uqcrb/Uqcc2/Ndufb2/Synj2/Rexo2/Coq2/Cdc25c/Stoml2/Mrps18a/Mrps7/Timm13/Mrpl27/Vdac1/Mrpl51/Gcdh/Capn2/Rcc1l/Dtymk/Mrpl36/Foxred1/Grpel1/Cyc1/Tomm40/Mrpl55/Grpel2/Spire1/Ak2/Phb/Sfxn5/Slc25a13/Mrps5/Mrpl2/Gcat/Endog/Tomm5/Slc27a1/Cox7a1/Mrpl53/Mrpl40/Timm21/Chchd1/Pmpcb/Slc25a37/Coa3/Ggnbp1/Mrpl12/Fam210b/Eci1/Mrps28/Slc25a39/Mrpl17/Pemt/Pcx/Tyms/Mrps25/Timm50/Mrpl28/Mrpl34/Thop1/Mrps18b/Acadm/Nme1/Mrps10/Sco1/Atad3a/Timm8a1/Sfxn1/Mrpl11/Abcd3/Slc11a2/Mtx1/Ifi27l2a/Mtx2/Ndufb4b/Slc8b1/Mpv17/Slc25a1/Slc25a23/Abcb8/Hk2/Slc25a24/Them4/Coq4/Src/Prnp/Gatm/Gstk1"
"GO:0031966","CC","GO:0031966","mitochondrial membrane",566,-0.33381561977609,-1.71708602889897,5.72074606803574e-08,6.20319565310675e-05,5.76490621312233e-05,3028,"tags=42%, list=29%, signal=31%","Hadh/Msto1/Mrps26/Mrpl16/Acadvl/Cisd1/Capn10/Acsl5/Trmt10b/Samm50/Vat1/Pam16/Chchd6/Coq8b/Tmem242/Cox5a/Ndufs6/Ndufc1/Ppp1cc/Mtch2/Cox18/Ndufa13/Abcb10/Mrpl15/Ndufc2/Nlrx1/Mrpl45/Ivd/Ndufs2/Mrpl32/Mpst/Mdh2/Mrpl23/Cox7a2/Nipsnap1/Mrpl46/Atp5d/Acad11/Ndufb9/Ucp2/Mrps21/Aurkaip1/Dhrs1/Sphk2/Atp5b/Ndufa8/Mrpl33/Tomm22/Mrpl19/Atp5j2/Cox6a1/Pebp1/Ccdc51/Cibar1/Fech/Mtch1/Atp5pb/Mrps18c/Sod2/Tmem14c/Exog/Ndufv1/Ndufb8/Romo1/Ndufs3/Ndufa12/Sdhd/Uqcr11/Cox10/Slc25a5/Vdac2/Crls1/Slc25a11/Atp5j/Smdt1/Phb2/Tufm/Mrps17/Calm3/Pgrmc1/Prkn/Mrpl18/Atp5o/Mcub/Ndufs7/Ndufb6/Slc25a33/Acat1/Atp5g1/Mpv17l2/Armc1/Scp2/Sdhb/Mrps24/Timm17a/Mrps15/Uqcr10/Gadd45gip1/Mrps23/Ndufa4/Mrpl42/Mpc2/Coq7/Atp5k/Slc25a10/Micos13/Ndufb10/Bad/Tmem256/Mrps27/Atp23/Fdx1/Psen2/Suclg1/Mrpl20/Mrps11/Acads/Mrpl21/Sirt5/Slc25a15/Mrps12/Dnajc11/Mrpl43/Mrpl39/Lgals3/Timm9/Micos10/Ndufaf4/Ndufs5/Mrpl22/Smim20/Mrpl49/Gpx4/Mrps33/Bak1/Acsl3/Dhfr/Aifm2/Mrps14/Hspd1/Dhodh/Mrpl35/Sco2/Mrpl38/Abcb6/Tspo/Mrpl50/Tmem126a/Timm44/Ndufab1/Shmt2/Plec/Cox15/Timm23/Vdac3/Uqcrb/Uqcc2/Ndufb2/Synj2/Coq2/Stoml2/Mrps18a/Mrps7/Timm13/Mrpl27/Vdac1/Mrpl51/Gcdh/Rcc1l/Mrpl36/Foxred1/Grpel1/Cyc1/Tomm40/Mrpl55/Grpel2/Spire1/Ak2/Phb/Sfxn5/Slc25a13/Mrps5/Mrpl2/Gcat/Endog/Tomm5/Slc27a1/Cox7a1/Mrpl53/Mrpl40/Timm21/Chchd1/Pmpcb/Slc25a37/Coa3/Mrpl12/Fam210b/Eci1/Mrps28/Slc25a39/Mrpl17/Pcx/Tyms/Mrps25/Timm50/Mrpl28/Mrpl34/Mrps18b/Acadm/Nme1/Mrps10/Sco1/Atad3a/Timm8a1/Sfxn1/Mrpl11/Abcd3/Slc11a2/Mtx1/Ifi27l2a/Mtx2/Ndufb4b/Slc8b1/Mpv17/Slc25a1/Slc25a23/Abcb8/Hk2/Slc25a24/Them4/Coq4/Src/Prnp/Gatm/Gstk1"
"GO:0005759","CC","GO:0005759","mitochondrial matrix",262,-0.393335940418299,-1.8772836182337,2.45438256901018e-07,0.000228117328485432,0.000211999601148789,2761,"tags=53%, list=26%, signal=40%","Acot11/Pccb/Malsu1/Hsd17b10/Glrx5/Trp53/Park7/Acadl/Mrpl3/Bckdk/Ak3/Nfs1/Mrps26/Mrpl16/Acadvl/Capn10/Pam16/Bola3/Pde12/Mrpl15/Mrpl45/Arhgap11a/Ivd/Mrpl32/Ssbp1/Mdh2/Mrpl23/Idh3a/Mrpl46/Glrx2/Mrps21/Grsf1/Aurkaip1/Atp5b/Lonp1/Mrpl33/Mrpl19/Mrps18c/Sod2/Slc25a5/Vdac2/Fastk/Tufm/Mrps17/Mrpl18/Acat1/Mpv17l2/Lrpprc/Mrps24/Coasy/Trmt5/Mrps15/Brca1/Gadd45gip1/Mrps23/Mrpl42/Ddx28/Tfb2m/Trmt10c/Tbrg4/Mrps27/Fdx1/Cbr4/Suclg1/Mrpl20/Mrps11/Acads/Mrpl21/Sirt5/Mrps12/Mrpl43/Mrpl39/Alas1/Mrpl22/C1qbp/Mrpl49/Mrps33/Dhfr/Ccar2/Mrps14/Hspd1/Mrpl35/Mrpl38/Oat/Dna2/Mrpl50/Timm44/Ndufab1/Shmt2/Lrrc59/Uqcc2/Rexo2/Dbt/Mrps18a/Mrps7/Tdrd7/Mrpl27/Vdac1/Mrpl51/Acot7/Dtymk/Mrpl36/Hspa9/Grpel1/Mrpl55/Grpel2/Mrps5/Mrpl2/Cdk1/Mrpl53/Mrpl40/Chchd1/Pmpcb/Hagh/Mrpl12/Mrps28/Tsfm/Mrpl17/Pcx/Tyms/Mrps25/Etfb/Mrpl28/Mrpl34/Mrps18b/Acadm/Mipep/Mrps10/Atad3a/Prorp/Nudt1/Fastkd2/Ccnb1/Mrpl11/Fdps/Rida/Tefm/Gstk1"
"GO:0051276","BP","GO:0051276","chromosome organization",444,-0.345817313718725,-1.74568637911,4.88728064980378e-07,0.000397458098845293,0.000369375527006223,1833,"tags=29%, list=17%, signal=25%","Ncapd3/Cdc16/Incenp/Champ1/Rrs1/Hjurp/Chmp2a/Smc1a/Cenpk/Cct4/Kat5/Fen1/Gins1/Trip13/Mcm4/Mcrs1/Cct7/Nabp2/Mcm6/Cct6a/Ercc1/Brca2/Cenpw/Msh5/Nup133/Cct8/Suv39h1/Dnmt1/Stn1/Spdl1/Nek2/Mcm7/Xrcc1/Dna2/Dsn1/Pcna/Dlgap5/Dkc1/Zranb3/Hormad2/Mcm3/Spag5/Ncapd2/Mcm2/Cenpx/Cct3/Mapk3/Apex1/Ncapg/Trim28/Phf13/Mcm5/Gem/Cdca5/Ube2c/Knstrn/Cit/Hells/Zwilch/Ran/Ttk/Sgo2a/Gins2/Chmp5/Ddx1/Tacc3/Nup107/Rmi2/Gar1/Nek6/Kif23/Nudc/Bub1b/Cdca8/Cdk1/Tubg1/Ccne2/Telo2/Cdc45/Dscc1/Dclre1b/Spc25/Mis18a/Esco2/Hhex/Smc2/Kif11/Nat10/Nusap1/Fancd2/Mcm8/Plk1/Rad51/Ruvbl2/Anapc11/Fbxo5/Sgo1/Cenpn/Prc1/Naf1/Syce2/Cenps/Myc/Aurkb/Cpeb1/Psrc1/Psmc3ip/Ccnb1/Banf1/H1f5/Bub1/Nhp2/H1f0/Ruvbl1/Kif2c/Oip5/Dclre1a/Top2a/Spc24/Ino80c/Birc5/Nbn/H1f1/Cenpe/Cdc20/Kif18b/Cenpi/Src/Zcwpw1"
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration",111,0.581955856955444,2.26951175005101,6.97844899127328e-07,0.000454017891372239,0.000421939063219723,595,"tags=22%, list=6%, signal=21%","Il1a/Pla2g7/S100a9/S100a8/Csf1/Itgam/Il1b/Serpine1/Cxcl2/Thbs1/Ccl5/Ccr1/Ccl3/Ano6/Cxcl1/Cxcl3/Abr/Mmp14/Dapk2/Myo1f/Enpp1/Lyst/Ccl4/App"
"GO:0007059","BP","GO:0007059","chromosome segregation",303,-0.381920560893963,-1.86018046326309,6.56014938508421e-07,0.000454017891372239,0.000421939063219723,2391,"tags=36%, list=23%, signal=29%","Ntmt1/Ccne1/Slc25a5/Kif22/Brip1/Riok2/Kntc1/Phb2/Kif14/Espl1/Ska3/Nuf2/Naa10/Brca1/Anapc15/Ncaph/Nup37/Cenph/Ncapg2/Nek8/Ncapd3/Cdc16/Incenp/Champ1/Rrs1/Hjurp/Chmp2a/Smc1a/Eme2/Cenpk/Kat5/Fen1/Trip13/Rcc1/Brca2/Cenpw/Msh5/Pmf1/Spdl1/Nek2/Dsn1/Dlgap5/Hormad2/Spag5/Ncapd2/Cenpx/Ncapg/Phf13/Gem/Cdca5/Ube2c/Spice1/Knstrn/Cit/Ska1/Zwilch/Ran/Ttk/Sgo2a/Chmp5/Tacc3/Kif4/Rmi2/Nek6/Kif23/Nudc/Bub1b/Cdca8/Tubg1/Ccne2/Chtf18/Dscc1/Spc25/Mki67/Mis18a/Esco2/Smc2/Kif11/Nusap1/Fancd2/Knl1/Plk1/Anapc11/Fbxo5/Sgo1/Cenpn/Ankle1/Prc1/Syce2/Cenps/Aurkb/Cpeb1/Psrc1/Psmc3ip/Ccnb1/Banf1/Cenpf/Bub1/Kif2c/Oip5/Top2a/Spc24/Ect2/Birc5/M1ap/Cenpe/Cdc20/Kif18b/Zcwpw1"
