"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",86,0.749018936602319,2.81660283939128,1e-10,5.05888888888889e-08,4.69824561403509e-08,2154,"tags=87%, list=20%, signal=70%","Rpl23a/Rps15/Rpl31/Rpl13a/Rps17/Rpl27/Rpl36/Rps13/Rpl37/Uba52/Rplp2/Rps12/Rps15a/Rpl34/Rpl35/Rps25/Rpl38/Rpl32/Rpl12/Rpl39/Rps21/Rps18/Rps28/Rpl27a/Rpl18a/Fau/Rps11/Rps26/Rpl30/Rpl24/Rps23/Rpl36a/Rps10/Rpl7a/Rpl37a/Rpl18/Rps19/Rpl23/Rps14/Rpl10/Rpl29/Rps16/Rpl22/Rpl14/Rpl22l1/Rps20/Rpl35a/Rpl11/Rpl17/Rpl28/Eef2/Rps29/Rplp1/Rpl10a/Rps8/Rpl26/Rps27/Rpl21/Rpl13/Rpl36al/Rps24/Rpl15/Rpl4/Rpsa/Rpl19/Rps9/Rpl6/Rps27a/Rps5/Rps7/Rpl3/Rps6/Rpl5/Eef1a1/Eef1b2"
"KEGG_RIBOSOME","KEGG_RIBOSOME","KEGG_RIBOSOME",82,0.754972234184319,2.8111602498079,1e-10,5.05888888888889e-08,4.69824561403509e-08,2097,"tags=87%, list=20%, signal=70%","Rpl23a/Rps15/Rpl31/Rpl13a/Rps17/Rpl27/Rpl36/Rps13/Rpl37/Uba52/Rplp2/Rps12/Rps15a/Rpl34/Rpl35/Rps25/Rpl38/Rpl32/Rpl12/Rpl39/Rps21/Rps18/Rps28/Rpl27a/Rpl18a/Fau/Rps11/Rps26/Rpl30/Rpl24/Rps23/Rpl36a/Rps10/Rpl7a/Rpl37a/Rpl18/Rps19/Rpl23/Rpl10/Rpl29/Rps16/Rpl22/Rpl14/Rpl22l1/Rps20/Rpl35a/Rpl11/Rpl17/Rpl28/Rps29/Rplp1/Rpl10a/Rps8/Rpl26/Rps27/Rpl21/Rpl13/Rpl36al/Rps24/Rpl15/Rpl4/Rpsa/Rpl19/Rps9/Rpl6/Rps27a/Rps5/Rps7/Rpl3/Rps6/Rpl5"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",84,0.733600440969881,2.75131810009328,1e-10,5.05888888888889e-08,4.69824561403509e-08,2097,"tags=83%, list=20%, signal=67%","Rpl23a/Rps15/Rpl31/Rpl13a/Rps17/Rpl27/Rpl36/Rps13/Rpl37/Uba52/Rplp2/Rps12/Rps15a/Rpl34/Rpl35/Rps25/Rpl38/Rpl32/Rpl12/Rpl39/Rps21/Rps18/Rps28/Rpl27a/Rpl18a/Fau/Rps11/Rps26/Rpl30/Rpl24/Rps23/Rpl36a/Rps10/Rpl7a/Rpl37a/Rpl18/Rps19/Rpl23/Rps14/Rpl10/Rpl29/Rps16/Rpl22/Rpl14/Rps20/Rpl35a/Rpl11/Rpl17/Rpl28/Rps29/Rplp1/Rpl10a/Rps8/Rpl26/Rps27/Rpl21/Rpl13/Rps24/Rpl15/Rpl4/Rpsa/Rpl19/Rps9/Rpl6/Rps27a/Rps5/Rps7/Rpl3/Rps6/Rpl5"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",94,0.717694364453333,2.74606185948528,1e-10,5.05888888888889e-08,4.69824561403509e-08,2012,"tags=80%, list=19%, signal=65%","Ddit3/Atf3/Rpl23a/Rps15/Rpl31/Rpl13a/Rps17/Rpl27/Rpl36/Rps13/Rpl37/Uba52/Asns/Rplp2/Rps12/Rps15a/Rpl34/Rpl35/Rps25/Rpl38/Rpl32/Rpl12/Rpl39/Rps21/Rps18/Rps28/Rpl27a/Rpl18a/Fau/Rps11/Rps26/Rpl30/Rpl24/Rps23/Rpl36a/Rps10/Rpl7a/Rpl37a/Rpl18/Rps19/Rpl23/Rps14/Rpl10/Rpl29/Rps16/Rpl22/Rpl14/Rpl22l1/Rps20/Rpl35a/Rpl11/Rpl17/Rpl28/Rps29/Rplp1/Rpl10a/Rps8/Rpl26/Rps27/Rpl21/Rpl13/Rpl36al/Rps24/Rpl15/Cebpb/Rpl4/Rpsa/Rpl19/Rps9/Rpl6/Rps27a/Rps5/Rps7/Rpl3/Rps6"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",106,0.66996828002601,2.65475370141213,1e-10,5.05888888888889e-08,4.69824561403509e-08,2097,"tags=71%, list=20%, signal=57%","Rpl23a/Rps15/Rpl31/Rpl13a/Rps17/Rpl27/Rpl36/Rps13/Rpl37/Uba52/Rplp2/Rps12/Rps15a/Rpl34/Rpl35/Rps25/Rpl38/Rpl32/Rpl12/Rpl39/Rps21/Rps18/Rps28/Rpl27a/Rpl18a/Fau/Rps11/Rps26/Rpl30/Rpl24/Rps23/Rpl36a/Rps10/Rpl7a/Rpl37a/Rpl18/Rps19/Rpl23/Rps14/Rpl10/Rpl29/Rps16/Rpl22/Rpl14/Rpl22l1/Rps20/Rpl35a/Rpl11/Rpl17/Rpl28/Rps29/Rplp1/Rpl10a/Rps8/Sec61g/Rpl26/Rps27/Rpl21/Rpl13/Rpl36al/Rps24/Rpl15/Rpl4/Rpsa/Rpl19/Rps9/Rpl6/Rps27a/Rps5/Sec11c/Rps7/Rpl3/Rps6/Ssr4/Rpl5"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",108,0.649899876946018,2.57975887032896,1e-10,5.05888888888889e-08,4.69824561403509e-08,2291,"tags=71%, list=22%, signal=56%","Rpl23a/Rps15/Rpl31/Rpl13a/Rps17/Rpl27/Rpl36/Rps13/Rpl37/Uba52/Rplp2/Rps12/Rps15a/Rpl34/Rpl35/Rps25/Rpl38/Rpl32/Rpl12/Rpl39/Rps21/Smg8/Rps18/Rps28/Rpl27a/Rpl18a/Fau/Rps11/Rps26/Rpl30/Rpl24/Rps23/Rpl36a/Rps10/Rpl7a/Rpl37a/Rpl18/Rps19/Rpl23/Rps14/Rpl10/Rpl29/Rps16/Rpl22/Rpl14/Rpl22l1/Rps20/Rpl35a/Rpl11/Rpl17/Rpl28/Rps29/Rplp1/Rpl10a/Rps8/Rpl26/Rps27/Rpl21/Rpl13/Rpl36al/Rps24/Rpl15/Rpl4/Rpsa/Rpl19/Rps9/Rpl6/Rps27a/Rps5/Rps7/Rpl3/Rps6/Upf3b/Rpl5/Casc3/Smg6/Smg7"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",114,0.621079257451072,2.48378389830122,1e-10,5.05888888888889e-08,4.69824561403509e-08,2012,"tags=64%, list=19%, signal=52%","Rpl23a/Rps15/Rpl31/Rpl13a/Rps17/Rpl27/Rpl36/Rps13/Rpl37/Uba52/Rplp2/Rps12/Eif3j2/Rps15a/Rpl34/Rpl35/Rps25/Rpl38/Rpl32/Rpl12/Rpl39/Rps21/Rps18/Rps28/Rpl27a/Rpl18a/Fau/Rps11/Rps26/Rpl30/Rpl24/Rps23/Rpl36a/Rps10/Rpl7a/Rpl37a/Rpl18/Rps19/Rpl23/Rps14/Rpl10/Rpl29/Rps16/Rpl22/Rpl14/Rpl22l1/Rps20/Rpl35a/Rpl11/Rpl17/Rpl28/Rps29/Rplp1/Rpl10a/Rps8/Rpl26/Rps27/Rpl21/Rpl13/Rpl36al/Rps24/Rpl15/Rpl4/Rpsa/Rpl19/Rps9/Rpl6/Rps27a/Rps5/Eif3h/Rps7/Rpl3/Rps6"
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION","REACTOME_CELLULAR_RESPONSE_TO_STARVATION","REACTOME_CELLULAR_RESPONSE_TO_STARVATION",141,0.594308300525761,2.46802398437682,1e-10,5.05888888888889e-08,4.69824561403509e-08,2012,"tags=61%, list=19%, signal=50%","Ddit3/Atf3/Fnip2/Rpl23a/Rps15/Rpl31/Rpl13a/Rps17/Rpl27/Rpl36/Rps13/Rpl37/Uba52/Flcn/Asns/Rplp2/Rps12/Rps15a/Rpl34/Rpl35/Rps25/Rpl38/Rpl32/Atp6v1g2/Rpl12/Rpl39/Rps21/Wdr59/Rps18/Rps28/Rpl27a/Rpl18a/Fau/Rps11/Mtor/Rps26/Rpl30/Rpl24/Rps23/Rpl36a/Rps10/Rpl7a/Rpl37a/Nprl3/Rpl18/Rps19/Rpl23/Rps14/Rpl10/Rpl29/Rps16/Rpl22/Rpl14/Rpl22l1/Rps20/Rpl35a/Rpl11/Rpl17/Rpl28/Rps29/Rplp1/Rpl10a/Rps8/Rpl26/Rptor/Rps27/Rpl21/Rpl13/Rpl36al/Rps24/Rpl15/Cebpb/Rpl4/Rpsa/Rragc/Rpl19/Rps9/Rpl6/Slc38a9/Mlst8/Rps27a/Rps5/Rps7/Rpl3/Nprl2/Rps6"
"REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION",145,0.57877401109428,2.40543403113016,1e-10,5.05888888888889e-08,4.69824561403509e-08,2012,"tags=55%, list=19%, signal=45%","Hspa1a/Cpsf4/Rpl23a/Rps15/Rpl31/Rpl13a/Rps17/Rpl27/Rpl36/Rps13/Rpl37/Uba52/Rplp2/Rps12/Rps15a/Rpl34/Rpl35/Rps25/Rpl38/Rpl32/Rpl12/Rpl39/Rps21/Rps18/Rps28/Rpl27a/Rpl18a/Fau/Rps11/Rps26/Rpl30/Rpl24/Rps23/Rpl36a/Rps10/Rpl7a/Rpl37a/Rpl18/Rps19/Rpl23/Rps14/Aaas/Rpl10/Rpl29/Rps16/Rpl22/Rpl14/Rpl22l1/Rps20/Rpl35a/Rpl11/Rpl17/Rpl28/Rps29/Rplp1/Rpl10a/Rps8/Rpl26/Rps27/Rpl21/Rpl13/Rpl36al/Hsp90aa1/Rps24/Rpl15/Nup43/Rpl4/Rpsa/Rpl19/Rps9/Polr2i/Nup88/Rpl6/Rps27a/Nup107/Rps5/Gtf2f2/Rps7/Rpl3/Rps6"
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM",104,0.616582356476258,2.43363087667939,9.60107572662426e-10,4.37136977833203e-07,4.05973907303681e-07,2012,"tags=68%, list=19%, signal=56%","Rpl23a/Rps15/Rpl31/Rpl13a/Rps17/Rpl27/Rpl36/Rps13/Rpl37/Uba52/Rplp2/Rps12/Rps15a/Rpl34/Rpl35/Rps25/Rpl38/Rpl32/Rpl12/Rpl39/Rps21/Rps18/Rps28/Rpl27a/Rpl18a/Fau/Rps11/Rps26/Rpl30/Rpl24/Rps23/Rpl36a/Rps10/Rpl7a/Rpl37a/Rpl18/Rps19/Rpl23/Rps14/Rpl10/Rpl29/Rps16/Rpl22/Rpl14/Rpl22l1/Rps20/Rpl35a/Rpl11/Rpl17/Rpl28/Rps29/Rplp1/Rpl10a/Rps8/Rpl26/Rps27/Rpl21/Rpl13/Rpl36al/Rps24/Rpl15/Rpl4/Rpsa/Rpl19/Rps9/Rpl6/Rps27a/Rps5/Rps7/Rpl3/Rps6"
