"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035456","BP","GO:0035456","response to interferon-beta",35,0.890055156574514,2.51475595412242,1e-10,1.85342857142857e-08,1.58796992481203e-08,421,"tags=63%, list=4%, signal=61%","Ifitm3/Gbp7/Ifi47/Gbp3/Gbp2/Ifit1/Gbp6/Ifi204/Xaf1/Iigp1/Oas1a/Bst2/Ifit3/Mndal/Ifi203/Irgm2/Igtp/Stat1/Irgm1/Gm12185/Oas1c/Ifi211"
"GO:0009617","BP","GO:0009617","response to bacterium",314,0.673700689378721,2.4661370385628,1e-10,1.85342857142857e-08,1.58796992481203e-08,755,"tags=28%, list=7%, signal=27%","Il1b/S100a9/S100a8/Ifi44/Gbp7/Fabp4/Lyz2/Pde4b/Lilrb4a/Cd80/Fcer1g/Ccdc80/Gbp3/Casp4/Cxcl10/Gbp2/Syk/Rgs1/Nlrp3/Ifit1/Usp18/Cxcl3/Isg15/Cd52/Gbp6/Dhx58/Gbp9/Oas3/Trim30a/Ifi204/P2rx7/Ptgs2/Cxcl2/Trim30d/Oas2/Iigp1/Oas1a/Ncf2/Fam20a/Gbp8/Ifit3/Herc6/Ly6a/Slpi/Mndal/Psmb9/Arg2/Irgm2/Cd274/Mef2c/Igtp/Il12rb2/Cxcl1/Mx2/Stat1/Rnf213/Irgm1/Fkbp5/H2-M3/Pdcd1lg2/BC018473/Stab1/Rab29/Amy1/Myo1f/B2m/AA467197/Trim12c/Eif2ak2/Adgrl2/Syt11/Serpinb9/Stap1/Tap2/Oas1c/Ifi211/Slfn2/Macrod2/Lsm5/Plaat3/Alpk1/Snhg1/Pde2a/Nod2/Gstp1/Zfp36/Rpl39/Resf1/Lgals9"
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta",29,0.894912495348005,2.46082868047844,1e-10,1.85342857142857e-08,1.58796992481203e-08,421,"tags=66%, list=4%, signal=63%","Gbp7/Ifi47/Gbp3/Gbp2/Ifit1/Gbp6/Ifi204/Iigp1/Oas1a/Ifit3/Mndal/Ifi203/Irgm2/Igtp/Stat1/Irgm1/Gm12185/Oas1c/Ifi211"
"GO:0034341","BP","GO:0034341","response to interferon-gamma",83,0.7462930372555,2.4435816961362,1e-10,1.85342857142857e-08,1.58796992481203e-08,227,"tags=27%, list=2%, signal=26%","Ifitm3/Gbp7/Gbp3/H2-Aa/H2-Ab1/H2-Q7/H2-Eb1/Cd74/Gbp2/Ccl3/Sp100/Gbp6/Ccl4/Gbp9/Bst2/Gbp8/Irgm2/Parp14/Igtp/Stat1/Irgm1/Parp9"
"GO:0019882","BP","GO:0019882","antigen processing and presentation",68,0.760749175483656,2.40426860023793,1e-10,1.85342857142857e-08,1.58796992481203e-08,1058,"tags=46%, list=10%, signal=41%","Ctss/Fcer1g/H2-Q6/H2-Aa/H2-Ab1/H2-Q7/H2-Eb1/Cd74/Psmb8/Thbs1/H2-Q4/Fcgr3/Tap1/Psmb9/H2-M3/B2m/Rftn1/Tap2/H2-T24/H2-T22/Cd1d1/Icam1/H2-DMb1/H2-D1/Nod2/H2-T23/Tapbp/H2-K1/Rab8b/Psme1/Psme2"
"GO:0048002","BP","GO:0048002","antigen processing and presentation of peptide antigen",39,0.835999755278659,2.399372394885,1e-10,1.85342857142857e-08,1.58796992481203e-08,694,"tags=49%, list=7%, signal=46%","Ctss/Fcer1g/H2-Q6/H2-Aa/H2-Ab1/H2-Q7/H2-Eb1/Cd74/H2-Q4/Fcgr3/Tap1/H2-M3/B2m/Tap2/H2-T24/H2-T22/H2-DMb1/H2-D1/H2-T23"
"GO:0042742","BP","GO:0042742","defense response to bacterium",109,0.704811198454438,2.36831854188921,1e-10,1.85342857142857e-08,1.58796992481203e-08,402,"tags=28%, list=4%, signal=28%","Il1b/Gbp7/Lyz2/Fcer1g/Gbp3/Casp4/Gbp2/Syk/Nlrp3/Isg15/Gbp6/Gbp9/Oas3/P2rx7/Oas2/Iigp1/Oas1a/Gbp8/Slpi/Arg2/Irgm2/Igtp/Rnf213/Irgm1/H2-M3/Stab1/Myo1f/B2m/Syt11/Serpinb9/Oas1c"
"GO:0031349","BP","GO:0031349","positive regulation of defense response",151,0.667085128315813,2.32502826683341,1e-10,1.85342857142857e-08,1.58796992481203e-08,816,"tags=28%, list=8%, signal=26%","Osm/Il1b/S100a9/S100a8/Fabp4/Ctss/Fcer1g/Casp4/Cd74/Syk/Nlrp3/Ccl3/Tyrobp/Trim30a/Ifi204/Ptgs2/Trim30d/Fcgr3/Irf7/Mndal/Ifi203/Mef2c/Igtp/Cxcl1/Irgm1/Parp9/H2-M3/Zbp1/Ifi35/Trim12c/Stap1/Adam8/Alox5ap/Ifi211/Lgals2/Napepld/Pde2a/Nod2/Mdk/Lgals9/Pla2g4a/Setd4"
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus",218,0.627551948885697,2.26406832052265,1e-10,1.85342857142857e-08,1.58796992481203e-08,760,"tags=23%, list=7%, signal=22%","Osm/Il1b/S100a9/S100a8/Nrg1/Fabp4/Ddx60/Ctss/Fcer1g/Casp4/Cd74/Cxcl10/Thbs1/Syk/Nlrp3/Ccl3/Tyrobp/Dhx58/Ccr1/Trim30a/Ifi204/Ptgs2/Trim30d/Fcgr3/Irf7/Mndal/Ifi203/Csf1/Igtp/Cxcl1/Irgm1/Parp9/Pla2g7/H2-M3/Zbp1/Ifi35/Trim12c/Plat/Stap1/Adam8/Alox5ap/Ifi211/Rac2/Plau/Lgals2/Napepld/Pde2a/Nod2/Mdk/Lgals9/Pla2g4a"
"GO:0009897","CC","GO:0009897","external side of plasma membrane",142,0.649327293232776,2.24135237593282,1e-10,1.85342857142857e-08,1.58796992481203e-08,739,"tags=29%, list=7%, signal=27%","Lilrb4a/Cd80/Fcer1g/H2-Q6/Itgam/Ccrl2/H2-Aa/Entpd1/H2-Ab1/H2-Q7/H2-Eb1/Cd74/Cxcl10/Thbs1/Apoe/Ccr1/P2rx7/Csf2ra/H2-Q4/Fcgr3/Ly6a/Cd274/Il12rb2/Fas/H2-M3/Pdcd1lg2/B2m/Abcg2/Abcb1b/Tnfrsf9/Pecam1/Itgb2/H2-T24/H2-T22/Cd1d1/Icam1/H2-D1/Ptprc/H2-T23/Cd5/Il3ra"
