"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP","BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP","BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP",118,0.801941120722392,2.70295940951122,1e-10,1.37909090909091e-08,1.14896331738437e-08,789,"tags=52%, list=7%, signal=48%","Il1b/Ifitm3/Ifi44/Ddx60/Ctss/Gbp3/Cxcl10/Gbp2/Ccl3/Sp100/Parp12/Usp18/Ccl4/Dhx58/Oas3/Rtp4/Oas2/Xaf1/Oas1a/Ncf2/Bst2/Ube2l6/Ifit3/Herc6/Ifit2/Tap1/Irf7/Cd274/Parp14/Dtx3l/Mx2/Epsti1/Sp140/Stat1/Ifih1/Parp9/H2-M3/B2m/Trim12c/Mctp1/Uba7/Rigi/Eif2ak2/Tmem140/Slc15a3/Tnfsf13b/Tap2/Stat2/Creb5/Samd9l/Nfe2l3/Il15ra/Rgs2/Irf9/Zeb2/Pla1a/Samhd1/Parp10/Otud1/Birc3/Trim21"
"BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP",162,0.75391709696272,2.62472889221487,1e-10,1.37909090909091e-08,1.14896331738437e-08,1294,"tags=59%, list=12%, signal=52%","Il1b/G0s2/Ifi44/Pde4b/Ddx60/Gbp3/Itgam/Cxcl10/Thbs1/Nlrp3/Sp100/Parp12/Usp18/Isg15/Mmp13/Nr4a3/Dhx58/Asns/Oas3/Ptgs2/Cxcl2/Rtp4/Synpo2/Oas2/Xaf1/Oas1a/Bst2/Ube2l6/Ifit3/Ifit2/Tap1/Irf7/Csf1/Cd274/Csf2/Parp14/Dtx3l/Cxcl1/Mx2/Epsti1/Stat1/Ifih1/Rnf213/Parp9/Pdcd1lg2/Zbp1/Ifi35/Trim12c/Bach2/Hdac9/Tnfrsf9/Plat/Rigi/Dnah17/Rasgef1b/Eif2ak2/Tmem140/Slc15a3/Serpinb9/Tnfsf13b/Stat2/Ankrd33b/Creb5/Samd9l/Icam1/Il15ra/Adamts6/Zeb2/Pla1a/Nod2/Samhd1/Dusp1/Zfp36/Lst1/Parp10/Otud1/Lgals9/Birc3/Trim21/Dusp8/Klf9/Map3k8/Zbtb10/Batf2/Mt2/Pdzd2/Dapp1/Pml/Tnfaip3/Rnd1/Irs2/Neurl3/Nfkbia/Zc3h12c/Akap12"
"HECKER_IFNB1_TARGETS","HECKER_IFNB1_TARGETS","HECKER_IFNB1_TARGETS",42,0.892774700665991,2.60488021890026,1e-10,1.37909090909091e-08,1.14896331738437e-08,478,"tags=69%, list=5%, signal=66%","G0s2/Ifi44/Ddx60/Cxcl10/Parp12/Isg15/Dhx58/Oas3/Rtp4/Oas2/Xaf1/Oas1a/Ifit3/Herc6/Ifit2/Irf7/Dtx3l/Mx2/Epsti1/Stat1/Parp9/Mmp25/Zbp1/Ifi35/Rigi/Eif2ak2/Tmem140/Stap1/Samd9l"
"SANA_RESPONSE_TO_IFNG_UP","SANA_RESPONSE_TO_IFNG_UP","SANA_RESPONSE_TO_IFNG_UP",45,0.873124342699891,2.59291124160403,1e-10,1.37909090909091e-08,1.14896331738437e-08,755,"tags=67%, list=7%, signal=62%","Ddx60/Gbp3/H2-Aa/H2-Ab1/H2-Q7/H2-Eb1/Cd74/Cxcl10/Gbp2/Oas2/Oas1a/Bst2/Ube2l6/Cd274/Parp14/Dtx3l/Mx2/Stat1/Ifih1/Rnf213/Parp9/Mmp25/Ifi35/Samd9l/Mlkl/H2-D1/Pla1a/Samhd1/H2-T23/Lgals9"
"ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP","ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP","ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP",85,0.778949990231446,2.54808130833644,1e-10,1.37909090909091e-08,1.14896331738437e-08,832,"tags=46%, list=8%, signal=43%","Gbp7/Lyz2/Ctss/Gbp3/H2-Aa/H2-Ab1/H2-Eb1/Cd74/Cxcl10/Gbp2/Psmb8/Tyrobp/Ifit1/Usp18/Isg15/Ifi204/Ifit3/Tap1/Irf7/Mndal/Psmb9/Irgm2/Cxcl1/Fas/Stat1/Irgm1/Fkbp5/Ifi35/Uba7/Tap2/Psmb10/Atp11a/Icam1/H2-DMb1/Samhd1/Snx10/Procr/Tmsb10/Flot1"
"WALLACE_PROSTATE_CANCER_RACE_UP","WALLACE_PROSTATE_CANCER_RACE_UP","WALLACE_PROSTATE_CANCER_RACE_UP",135,0.744405892983292,2.5451779355153,1e-10,1.37909090909091e-08,1.14896331738437e-08,694,"tags=44%, list=7%, signal=41%","Ifitm3/Ifi44/Lyz2/Srgn/Ddx60/Ctss/Fcer1g/H2-Aa/Plek/H2-Ab1/H2-Q7/H2-Eb1/Psmb8/Apoe/Rgs1/Il1r2/Parp12/Isg15/Cd52/Samsn1/Nr4a3/Ccl4/Oas2/Xaf1/Laptm5/Cytip/Ube2l6/Coro1a/Ifit3/Herc6/Tap1/Lsp1/Psmb9/Mx2/Dock10/Stat1/Gstm5/Mxra7/H2-M3/Pecam1/Syt11/Serpinb9/Stap1/Runx3/Itgb2/Tap2/Alox5ap/Jcad/Mcub/Fli1/Fyn/Rac2/Cebpd/Ucp2/Mical1/H2-D1/Irf9/Ptprc/H2-T23"
"MCLACHLAN_DENTAL_CARIES_UP","MCLACHLAN_DENTAL_CARIES_UP","MCLACHLAN_DENTAL_CARIES_UP",132,0.738967980273289,2.52028186480004,1e-10,1.37909090909091e-08,1.14896331738437e-08,892,"tags=42%, list=8%, signal=39%","Il1b/S100a9/S100a8/G0s2/Lyz2/Srgn/Ctss/Fcer1g/H2-Aa/Plek/H2-Ab1/H2-Eb1/Cd74/Lcp1/Apoe/Ccl3/Tyrobp/Cxcl3/Samsn1/Arhgdib/Ccr1/Ifi204/Ptgs2/Cxcl2/Laptm5/Ncf2/Cytip/Coro1a/Sorl1/Slpi/Mndal/Lsp1/Slc7a11/Cxcl1/Pla2g7/Stab1/Rab29/Pecam1/Itgb2/Alox5ap/Rac2/Cd1d1/Icam1/H2-DMb1/Plau/Cebpd/Tent5c/Ucp2/Timp1/Rgs2/Ptprc/Birc3/Mthfd2/Cybb/Ly96/Cd27"
"ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION","ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION","ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION",80,0.767874403146872,2.50522488105043,1e-10,1.37909090909091e-08,1.14896331738437e-08,572,"tags=48%, list=5%, signal=45%","Il1b/Fcer1g/Gbp3/Itgam/Ccrl2/Casp4/Plek/Cxcl10/Gbp2/Thbs1/Il1r2/Ccl3/Ifit1/Usp18/Isg15/Ccl4/Ccr1/Oas3/Cxcl2/Oas2/Ifit2/Irf7/Arg2/Irgm2/Csf2/Cxcl1/Mx2/Gda/Stat1/Ifih1/Irgm1/Pla2g7/Tifa/Trim12c/Slc15a3/Stat2/Cebpd/Timp1"
"BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP","BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP","BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP",147,0.724834096276207,2.49768117305083,1e-10,1.37909090909091e-08,1.14896331738437e-08,533,"tags=39%, list=5%, signal=37%","Il1b/Ifi44/Ddx60/Ctss/Gbp3/Cxcl10/Gbp2/Lcp1/Ccl3/Sp100/Parp12/Usp18/Cxcl3/Ccl4/Dhx58/Oas3/Cxcl2/Adam19/Xaf1/Oas1a/Ncf2/Bst2/Ube2l6/Ifit3/Herc6/Ifit2/Tap1/Irf7/Csf1/Arg2/Cd274/Parp14/Dtx3l/Cxcl1/Mx2/Sp140/Stat1/Ifih1/Parp9/Pou2f2/B2m/AA467197/Mctp1/Tnfrsf9/Uba7/Rigi/Tmem140/Tnfsf13b/Stat2/Ampd3/Creb5/Samd9l/Icam1/Nfe2l3/Il15ra/Hspa1a/Plau"
"GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP",127,0.734310590340513,2.48882048962994,1e-10,1.37909090909091e-08,1.14896331738437e-08,895,"tags=43%, list=8%, signal=39%","Ifi44/Gbp7/Ddx60/Cxcl10/Gbp2/Casd1/Ifit1/Sp100/Parp12/Usp18/Isg15/Kctd12/Gbp9/Ifi204/Rtp4/Oas2/Oas1a/Bst2/Gbp8/Ifit3/Ifit2/Irf7/Mndal/Csf1/Irgm2/Parp14/Mx2/Fas/Stat1/Ifih1/Irgm1/Parp9/Zbp1/Ifi35/Trim12c/Uba7/Eif2ak2/Tmem140/Tap2/Trim34a/Psmb10/Egf/Sfxn2/Txndc16/Irf9/Samhd1/H2-T23/Hipk2/Resf1/Hhat/Trim21/Adar/Kalrn/Igfbp7"
